1419-T,東証1部,タマホーム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,446,452,446,450,123500,55203600
2015-10-01,456,457,449,452,78200,35398900
2015-09-30,455,458,451,451,45700,20805800
2015-09-29,466,467,447,447,97800,44543000
2015-09-28,467,472,461,470,56600,26484800
2015-09-25,459,466,459,466,44400,20504100
2015-09-24,460,464,456,457,49500,22749200
2015-09-18,472,472,462,463,32000,14892400
2015-09-17,466,471,463,469,57800,27007000
2015-09-16,468,468,460,464,59100,27403000
2015-09-15,464,473,459,460,85700,39919600
2015-09-14,467,470,458,459,79900,37054700
2015-09-11,470,470,460,467,105400,49297200
2015-09-10,450,462,446,457,108300,49140800
2015-09-09,448,456,446,454,109200,49223100
2015-09-08,445,448,433,436,164000,72372800
2015-09-07,453,455,446,450,105700,47681500
2015-09-04,467,471,454,457,125300,57697600
2015-09-03,472,476,467,469,55400,26176500
2015-09-02,480,480,466,467,130200,61539800
2015-09-01,491,494,480,480,103400,50334800
2015-08-31,503,506,488,491,116600,57676700
2015-08-28,498,504,491,502,58300,29099300
2015-08-27,495,496,487,487,67800,33269400
2015-08-26,495,495,476,487,76700,37146600
2015-08-25,475,502,456,471,184900,88021200
2015-08-24,515,515,494,494,197900,99875700
2015-08-21,527,528,516,516,176900,91944700
2015-08-20,540,541,535,535,59200,31764200
2015-08-19,543,543,540,540,49400,26748400
2015-08-18,545,548,543,545,31200,17007200
2015-08-17,540,549,539,542,67300,36473500
2015-08-14,544,548,539,541,51900,28157600
2015-08-13,542,549,540,548,57900,31497700
2015-08-12,547,550,540,545,95700,52052100
2015-08-11,560,563,548,549,114500,63388200
2015-08-10,559,561,552,561,53200,29623600
2015-08-07,562,565,554,558,55000,30738200
2015-08-06,564,568,557,566,113800,64172300
2015-08-05,552,559,550,558,80700,44737000
2015-08-04,550,551,546,548,62300,34197700
2015-08-03,542,553,542,548,198800,108753500
2015-07-31,553,556,549,551,61600,34015600
2015-07-30,550,553,546,551,79500,43644900
2015-07-29,554,555,547,548,42300,23250200
2015-07-28,552,554,547,550,85000,46767900
2015-07-27,559,563,552,561,175300,97884700
2015-07-24,557,559,548,556,94800,52541300
2015-07-23,555,561,554,561,53300,29729000
2015-07-22,555,562,546,553,208300,115610800
2015-07-21,563,572,560,561,113800,64270800
2015-07-17,570,578,552,567,254600,143166300
2015-07-16,572,581,572,576,210700,121216300
2015-07-15,570,585,560,581,916500,527872300
2015-07-14,535,539,532,538,89500,47953400
2015-07-13,532,532,524,526,67300,35480400
2015-07-10,529,530,522,523,101000,53133600
2015-07-09,528,528,515,527,119500,62480400
2015-07-08,550,552,530,532,111200,59930500
2015-07-07,550,554,550,550,21700,11950700
2015-07-06,545,555,545,546,71200,39088400
2015-07-03,566,566,551,554,113800,63554600
2015-07-02,567,578,562,570,267000,152291900
2015-07-01,552,568,549,568,404000,226415500
2015-06-30,525,528,525,527,104900,55187700
2015-06-29,533,535,530,530,112700,59956200
2015-06-26,542,542,538,539,112800,60825400
2015-06-25,547,548,543,543,66400,36161900
2015-06-24,549,550,546,548,45300,24820300
2015-06-23,545,549,541,549,102000,55560900
2015-06-22,543,548,543,546,44800,24413200
2015-06-19,549,552,543,543,157500,85972100
2015-06-18,545,562,535,557,213600,116701800
2015-06-17,546,550,544,545,78500,42842500
2015-06-16,547,554,546,546,89700,49280800
2015-06-15,548,552,546,548,91200,50044000
2015-06-12,552,556,548,548,147900,81491000
2015-06-11,565,565,553,553,194300,108119300
2015-06-10,563,570,560,561,102500,57634200
2015-06-09,574,574,563,564,182000,103392400
2015-06-08,570,587,570,576,171300,99261900
2015-06-05,570,572,569,570,69200,39476700
2015-06-04,571,575,571,573,60800,34858000
2015-06-03,570,575,570,571,56200,32162300
2015-06-02,577,577,570,570,81200,46485800
2015-06-01,576,580,575,578,69300,40007300
2015-05-29,578,580,575,577,110300,63608600
2015-05-28,576,585,576,581,168800,97997200
2015-05-27,584,585,573,574,341300,197250900
2015-05-26,588,595,588,589,419100,247512000
2015-05-25,590,594,586,588,296500,175049700
2015-05-22,586,589,580,585,139800,81804600
2015-05-21,591,592,585,586,107500,63207000
2015-05-20,585,593,585,592,118100,69586500
2015-05-19,577,590,577,584,125800,73260400
2015-05-18,574,580,570,577,167500,96153900
2015-05-15,587,588,573,578,182600,105717700
2015-05-14,600,602,583,585,196700,115662000
2015-05-13,615,618,594,604,213800,130505900
2015-05-12,604,615,602,613,280600,170513000
2015-05-11,598,604,594,601,277700,166424900
2015-05-08,590,595,585,595,134700,79337000
2015-05-07,580,595,580,591,178800,105099000
2015-05-01,579,582,576,579,74800,43294600
2015-04-30,582,585,577,580,105800,61628900
2015-04-28,578,582,576,582,119100,69034200
2015-04-27,570,576,569,576,77000,44073400
2015-04-24,573,573,568,569,65700,37471900
2015-04-23,577,578,571,571,52300,30010500
2015-04-22,575,579,572,574,75600,43539100
2015-04-21,567,574,566,571,81400,46444300
2015-04-20,570,571,567,567,72300,41158200
2015-04-17,569,573,568,572,93400,53342400
2015-04-16,567,570,565,569,93100,52839300
2015-04-15,571,572,563,568,185600,105222400
2015-04-14,576,580,575,577,96100,55507200
2015-04-13,577,579,575,575,56400,32535300
2015-04-10,578,579,573,575,64200,36938900
2015-04-09,580,585,577,577,98900,57430400
2015-04-08,574,579,574,578,64300,37087700
2015-04-07,574,575,570,573,55500,31765700
2015-04-06,579,579,570,572,57300,32834700
2015-04-03,572,576,571,572,44800,25664700
2015-04-02,570,575,570,571,47100,26942800
2015-04-01,582,586,568,572,92600,53069500
2015-03-31,575,588,575,582,153300,89382500
2015-03-30,564,575,564,573,122500,70025400
2015-03-27,556,569,556,561,94500,53220000
2015-03-26,557,564,555,556,200400,111720800
2015-03-25,555,558,555,557,42000,23364600
2015-03-24,555,558,554,555,60000,33374900
2015-03-23,555,556,550,556,87500,48411600
2015-03-20,552,555,551,551,45900,25371400
2015-03-19,551,556,551,552,42100,23270100
2015-03-18,557,557,551,555,44300,24528400
2015-03-17,555,559,555,557,55100,30699500
2015-03-16,553,555,551,553,95100,52615400
2015-03-13,553,554,551,553,94400,52186100
2015-03-12,551,558,551,553,65700,36465000
2015-03-11,552,553,550,551,77000,42445900
2015-03-10,559,559,548,551,124400,68673500
2015-03-09,555,558,553,554,70700,39249500
2015-03-06,560,560,555,555,42500,23654500
2015-03-05,559,562,555,557,47800,26664000
2015-03-04,556,562,553,560,67100,37304500
2015-03-03,564,566,558,559,27100,15212900
2015-03-02,565,571,552,561,83800,47081700
2015-02-27,570,573,565,565,55900,31795000
2015-02-26,566,570,566,570,33900,19269200
2015-02-25,565,572,565,566,32200,18287700
2015-02-24,567,569,564,566,66400,37655800
2015-02-23,566,567,563,565,71200,40235700
2015-02-20,564,570,560,561,99000,55872500
2015-02-19,575,582,564,564,124900,70961100
2015-02-18,594,597,574,574,187100,108628500
2015-02-17,595,597,590,594,136600,81212200
2015-02-16,573,590,573,590,181200,105541900
2015-02-13,570,574,568,572,112100,63975200
2015-02-12,571,573,566,570,128200,73101500
