1663-T,東証1部,K&Oエナジー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1437,1478,1435,1478,11600,16838000
2015-10-01,1465,1479,1443,1446,11100,16141400
2015-09-30,1415,1478,1415,1451,15900,22951800
2015-09-29,1389,1406,1385,1397,16500,22986000
2015-09-28,1401,1424,1387,1418,25800,36179600
2015-09-25,1400,1418,1378,1406,48200,67148300
2015-09-24,1408,1420,1387,1399,18500,25900200
2015-09-18,1451,1457,1420,1436,18900,27176100
2015-09-17,1453,1485,1437,1478,19500,28552200
2015-09-16,1484,1484,1437,1457,13700,20030100
2015-09-15,1495,1504,1467,1470,15300,22723100
2015-09-14,1502,1505,1467,1497,19600,29149100
2015-09-11,1470,1528,1470,1502,33400,49607500
2015-09-10,1472,1505,1462,1497,8800,13093100
2015-09-09,1500,1508,1479,1496,29700,44501200
2015-09-08,1500,1500,1458,1459,9200,13545200
2015-09-07,1491,1507,1488,1500,6700,10026200
2015-09-04,1558,1558,1494,1508,16100,24337700
2015-09-03,1559,1575,1541,1545,19600,30447400
2015-09-02,1563,1571,1528,1551,33600,52212500
2015-09-01,1696,1696,1599,1599,19800,32419700
2015-08-31,1609,1695,1609,1695,17900,29762300
2015-08-28,1617,1662,1608,1639,20900,34218400
2015-08-27,1629,1629,1563,1567,19700,31116900
2015-08-26,1538,1613,1538,1600,60300,96202300
2015-08-25,1456,1598,1443,1539,53400,81734100
2015-08-24,1600,1611,1522,1566,69200,108968100
2015-08-21,1689,1689,1650,1659,22400,37345200
2015-08-20,1690,1751,1690,1712,48000,82450800
2015-08-19,1687,1710,1675,1690,19300,32650000
2015-08-18,1683,1692,1674,1687,5800,9762100
2015-08-17,1658,1684,1644,1683,12200,20382500
2015-08-14,1647,1657,1630,1651,12400,20407500
2015-08-13,1632,1710,1622,1647,36000,59029400
2015-08-12,1661,1729,1622,1672,28400,46953600
2015-08-11,1740,1761,1661,1664,31000,52927400
2015-08-10,1667,1727,1667,1721,15500,26311700
2015-08-07,1702,1736,1668,1693,28000,47690500
2015-08-06,1740,1781,1696,1734,22300,38621800
2015-08-05,1724,1826,1724,1760,20000,35416900
2015-08-04,1768,1771,1716,1732,18600,32353000
2015-08-03,1779,1792,1751,1766,8500,15042900
2015-07-31,1746,1793,1746,1779,14200,25121500
2015-07-30,1720,1755,1713,1731,14100,24367100
2015-07-29,1727,1783,1720,1736,21500,37520700
2015-07-28,1708,1721,1682,1709,28300,48269400
2015-07-27,1795,1797,1705,1721,24300,42189200
2015-07-24,1800,1846,1790,1793,15200,27573800
2015-07-23,1821,1829,1784,1812,14900,26905800
2015-07-22,1848,1848,1806,1820,15900,28997300
2015-07-21,1902,1923,1830,1853,62500,116961300
2015-07-17,1837,1840,1766,1822,26700,48332300
2015-07-16,1758,1873,1753,1840,41100,74849500
2015-07-15,1799,1808,1756,1774,21200,37556700
2015-07-14,1793,1800,1762,1799,20600,36849900
2015-07-13,1728,1778,1699,1753,32100,55744900
2015-07-10,1694,1734,1690,1725,39600,67895800
2015-07-09,1671,1699,1631,1691,32600,54498800
2015-07-08,1765,1765,1683,1695,32800,56057700
2015-07-07,1797,1801,1749,1767,19400,34482500
2015-07-06,1796,1804,1780,1797,21300,38196400
2015-07-03,1890,1890,1802,1808,18200,33353000
2015-07-02,1850,1880,1774,1849,66100,122162200
2015-07-01,1926,1927,1824,1850,57900,107253800
2015-06-30,1840,1930,1831,1926,115100,217633700
2015-06-29,1822,1883,1822,1838,70800,130873000
2015-06-26,1803,1980,1803,1872,153900,290670600
2015-06-25,1769,1818,1769,1808,59800,107941500
2015-06-24,1689,1768,1678,1760,64200,111030600
2015-06-23,1654,1673,1640,1671,47800,79204400
2015-06-22,1655,1668,1624,1653,25400,41881200
2015-06-19,1602,1658,1590,1658,77900,127529800
2015-06-18,1612,1635,1582,1606,36200,58214800
2015-06-17,1620,1650,1607,1612,23700,38582200
2015-06-16,1601,1615,1582,1606,11100,17753400
2015-06-15,1596,1629,1595,1614,41200,66271400
2015-06-12,1591,1636,1587,1606,41800,66709300
2015-06-11,1586,1600,1583,1591,10800,17176300
2015-06-10,1590,1637,1586,1586,18900,30238800
2015-06-09,1620,1627,1599,1599,20900,33622500
2015-06-08,1627,1650,1621,1646,16600,27192900
2015-06-05,1563,1625,1563,1622,31600,50810000
2015-06-04,1600,1616,1574,1601,13400,21413600
2015-06-03,1557,1595,1557,1588,18100,28674900
2015-06-02,1587,1593,1553,1571,16800,26411200
2015-06-01,1587,1606,1576,1578,21900,34760000
2015-05-29,1602,1618,1599,1611,17800,28650500
2015-05-28,1612,1620,1602,1602,15100,24275100
2015-05-27,1608,1635,1603,1625,17800,28791300
2015-05-26,1628,1640,1616,1632,11400,18584600
2015-05-25,1642,1648,1616,1642,15900,26065600
2015-05-22,1641,1650,1637,1642,21800,35829900
2015-05-21,1640,1660,1530,1618,35700,58344400
2015-05-20,1647,1653,1628,1650,18400,30257900
2015-05-19,1622,1661,1622,1647,65900,108550500
2015-05-18,1600,1638,1600,1638,33700,54819400
2015-05-15,1585,1620,1577,1619,41800,67254200
2015-05-14,1580,1609,1525,1590,56900,90110000
2015-05-13,1522,1540,1506,1535,21000,31990500
2015-05-12,1512,1539,1500,1522,21900,33250100
2015-05-11,1540,1563,1505,1532,36200,55726500
2015-05-08,1499,1539,1494,1524,44700,67597500
2015-05-07,1508,1509,1494,1499,21300,31953400
2015-05-01,1500,1514,1488,1496,25400,38001000
2015-04-30,1544,1548,1500,1510,18800,28596600
2015-04-28,1542,1578,1523,1541,40500,62908000
2015-04-27,1502,1510,1496,1506,13300,20005900
2015-04-24,1501,1529,1489,1502,31100,46798200
2015-04-23,1508,1540,1501,1516,25100,38162600
2015-04-22,1500,1508,1497,1501,18200,27334700
2015-04-21,1500,1503,1485,1500,53300,79818400
2015-04-20,1496,1508,1484,1495,32300,48397400
2015-04-17,1500,1527,1473,1496,20000,29983400
2015-04-16,1500,1515,1491,1496,21800,32694300
2015-04-15,1495,1503,1495,1497,8000,11992000
2015-04-14,1500,1511,1495,1502,11700,17592100
2015-04-13,1505,1505,1494,1500,20900,31352900
2015-04-10,1520,1534,1490,1500,42500,63835700
2015-04-09,1569,1569,1514,1534,9500,14620000
2015-04-08,1550,1571,1530,1567,17000,26450700
2015-04-07,1531,1554,1523,1539,13800,21220300
2015-04-06,1546,1546,1528,1531,4700,7200100
2015-04-03,1570,1575,1530,1561,16900,26421600
2015-04-02,1529,1569,1523,1549,35400,54733000
2015-04-01,1512,1531,1487,1527,29900,45399000
2015-03-31,1540,1540,1489,1501,17200,25992100
2015-03-30,1501,1537,1485,1511,25600,38790900
