1766-T,東証1部,東建コーポ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,9270,9440,9170,9230,54700,505975000
2015-10-01,9040,9350,9040,9260,46400,427156000
2015-09-30,8860,9100,8830,8980,77700,697271000
2015-09-29,8490,8930,8400,8780,118200,1035895000
2015-09-28,8310,8440,8190,8440,22700,190352000
2015-09-25,8140,8330,8100,8310,19900,163723000
2015-09-24,8250,8250,8120,8130,24200,197919000
2015-09-18,8400,8420,8250,8330,36100,299726000
2015-09-17,8310,8500,8290,8500,26300,221477000
2015-09-16,8500,8500,8240,8310,28200,234957000
2015-09-15,8350,8400,8240,8290,25500,211722000
2015-09-14,8270,8420,8250,8350,29800,248640000
2015-09-11,8030,8310,8030,8270,34200,278810000
2015-09-10,8050,8200,7920,8180,25400,205289000
2015-09-09,8000,8200,7800,8180,67300,539524000
2015-09-08,7720,7790,7510,7510,22800,172524000
2015-09-07,7730,7730,7530,7700,14900,114061000
2015-09-04,7890,7920,7580,7690,30500,235292000
2015-09-03,8030,8160,7860,7880,27500,220038000
2015-09-02,7910,8240,7850,8030,33400,269934000
2015-09-01,8300,8300,8000,8040,42400,345241000
2015-08-31,8200,8430,8060,8380,31500,260337000
2015-08-28,8160,8160,7950,8120,18600,150044000
2015-08-27,7680,8090,7680,7920,31000,244877000
2015-08-26,7500,7630,7450,7600,25600,193682000
2015-08-25,7320,7830,7100,7370,51500,383536000
2015-08-24,7900,7950,7520,7520,36400,281614000
2015-08-21,8290,8370,8130,8160,35100,288996000
2015-08-20,8420,8560,8420,8430,27500,233374000
2015-08-19,8460,8520,8440,8450,18000,152474000
2015-08-18,8400,8560,8390,8510,27700,235173000
2015-08-17,8250,8350,8170,8330,33400,276801000
2015-08-14,8080,8230,8000,8200,19600,160197000
2015-08-13,8030,8070,7940,8070,31000,248360000
2015-08-12,8250,8250,8040,8130,34300,278906000
2015-08-11,8270,8290,8130,8210,16100,132522000
2015-08-10,8210,8230,8110,8220,23300,190632000
2015-08-07,8280,8280,8150,8210,27600,226733000
2015-08-06,8270,8300,8210,8240,26800,221469000
2015-08-05,8200,8200,8080,8150,18500,150859000
2015-08-04,8180,8200,8130,8200,9100,74479000
2015-08-03,8150,8200,8060,8190,9500,77439000
2015-07-31,8060,8140,8020,8110,20000,161601000
2015-07-30,8090,8190,8050,8060,23300,189049000
2015-07-29,8030,8100,7950,8100,14100,113429000
2015-07-28,7900,8070,7810,8050,19100,152171000
2015-07-27,8000,8010,7910,7940,16100,127931000
2015-07-24,8100,8120,8010,8020,9200,74044000
2015-07-23,7980,8100,7950,8100,18700,150484000
2015-07-22,8040,8040,7920,7970,31000,247253000
2015-07-21,8070,8130,8060,8100,16700,135191000
2015-07-17,8100,8180,8060,8060,18600,150524000
2015-07-16,8170,8190,8090,8140,28200,229450000
2015-07-15,8170,8230,8150,8200,70500,577476000
2015-07-14,8100,8190,8030,8100,96600,782342000
2015-07-13,7650,8100,7650,8000,74500,593605000
2015-07-10,7670,7730,7540,7560,37600,286449000
2015-07-09,7510,7720,7300,7670,63800,480279000
2015-07-08,8090,8110,7830,7840,39900,315885000
2015-07-07,8000,8120,7920,8060,38800,310847000
