1802-T,東証1部,大林組,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1011,1037,1004,1017,4633000,4708374000
2015-10-01,1022,1027,986,1014,4980000,5026875000
2015-09-30,1006,1022,993,1018,4189000,4232600000
2015-09-29,1007,1031,993,999,7037000,7090034000
2015-09-28,1005,1028,996,1014,4913000,4995575000
2015-09-25,981,1000,966,1000,4516000,4443058000
2015-09-24,973,990,969,975,3370000,3297810000
2015-09-18,980,999,977,988,3782000,3743501000
2015-09-17,981,999,969,994,4834000,4773681000
2015-09-16,997,999,967,972,4641000,4530541000
2015-09-15,1023,1029,985,988,5690000,5660714000
2015-09-14,1022,1046,1016,1023,3423000,3525705000
2015-09-11,1000,1018,1000,1013,5324000,5355308000
2015-09-10,970,1019,965,1016,4944000,4927306000
2015-09-09,988,990,959,990,7253000,7080272000
2015-09-08,1020,1021,940,955,9933000,9602210000
2015-09-07,1041,1048,1005,1016,5710000,5843392000
2015-09-04,1040,1058,1030,1046,7403000,7744109000
2015-09-03,1044,1060,1024,1028,3448000,3581406000
2015-09-02,1013,1059,1004,1027,4968000,5150049000
2015-09-01,1054,1065,1032,1032,5740000,6017906000
2015-08-31,1054,1074,1045,1050,5174000,5457973000
2015-08-28,1062,1070,1047,1054,9374000,9912293000
2015-08-27,993,1036,991,1025,5921000,6028208000
2015-08-26,971,992,967,977,6402000,6256105000
2015-08-25,959,1017,932,963,7656000,7492594000
2015-08-24,1007,1048,987,989,7598000,7685204000
2015-08-21,1038,1062,1030,1036,4673000,4860181000
2015-08-20,1061,1089,1059,1060,3420000,3654551000
2015-08-19,1078,1098,1071,1072,5431000,5875904000
2015-08-18,1072,1093,1063,1078,4203000,4545513000
2015-08-17,1063,1071,1055,1068,3377000,3593405000
2015-08-14,1055,1064,1042,1053,3287000,3460727000
2015-08-13,1040,1068,1039,1052,3802000,4007353000
2015-08-12,1039,1069,1031,1042,5657000,5920993000
2015-08-11,1041,1055,1017,1039,5506000,5703250000
2015-08-10,998,1038,995,1036,5030000,5145537000
2015-08-07,981,996,967,993,3719000,3660777000
2015-08-06,1010,1035,968,973,9158000,9173098000
2015-08-05,966,1013,963,1006,7545000,7512684000
2015-08-04,942,956,933,954,5233000,4941863000
2015-08-03,948,954,939,941,2099000,1978741000
2015-07-31,941,955,937,955,2417000,2295188000
2015-07-30,955,961,943,946,2839000,2698471000
2015-07-29,944,949,939,946,1826000,1725733000
2015-07-28,928,948,928,940,4161000,3904092000
2015-07-27,940,940,925,927,2098000,1950695000
2015-07-24,945,950,940,943,2251000,2126517000
2015-07-23,938,940,933,937,1537000,1439844000
2015-07-22,944,948,938,938,1989000,1870262000
2015-07-21,935,948,933,946,1984000,1871460000
2015-07-17,939,959,937,943,3287000,3114267000
2015-07-16,948,949,936,939,3155000,2966992000
2015-07-15,942,947,937,945,3486000,3286267000
2015-07-14,940,948,927,944,6417000,6021978000
2015-07-13,950,952,923,949,5981000,5603392000
2015-07-10,944,956,939,942,4332000,4097693000
2015-07-09,919,944,909,938,6224000,5768648000
2015-07-08,960,964,938,943,4243000,4025208000
2015-07-07,965,970,954,960,4480000,4301105000
2015-07-06,954,967,948,950,4353000,4150757000
2015-07-03,951,968,941,964,5322000,5093643000
2015-07-02,933,964,933,953,7556000,7184800000
2015-07-01,899,936,893,930,6387000,5852568000
2015-06-30,893,906,888,893,4211000,3770837000
2015-06-29,878,902,876,890,3820000,3408420000
2015-06-26,892,908,885,905,3593000,3231033000
2015-06-25,890,895,886,892,2952000,2630863000
2015-06-24,902,903,886,889,4110000,3661000000
2015-06-23,899,910,897,900,4417000,3983151000
2015-06-22,875,897,872,896,4630000,4128308000
2015-06-19,868,871,861,866,2040000,1765162000
2015-06-18,878,879,861,862,2969000,2572228000
2015-06-17,873,879,871,875,3265000,2859421000
2015-06-16,863,872,857,869,3168000,2738501000
2015-06-15,858,864,853,863,2012000,1729783000
2015-06-12,877,877,859,862,4965000,4309130000
2015-06-11,845,872,844,872,5626000,4873652000
2015-06-10,844,852,839,842,3458000,2921714000
2015-06-09,845,856,840,843,3697000,3128422000
2015-06-08,850,854,842,850,3768000,3200895000
2015-06-05,839,842,832,839,1744000,1460732000
2015-06-04,840,852,838,843,5459000,4618041000
2015-06-03,834,837,829,830,2961000,2462479000
2015-06-02,835,841,830,832,4130000,3447933000
2015-06-01,811,835,809,835,5529000,4575304000
2015-05-29,813,822,812,815,4557000,3718998000
2015-05-28,820,821,813,816,3832000,3134249000
2015-05-27,805,819,802,819,7306000,5942395000
2015-05-26,793,805,790,802,4223000,3377233000
2015-05-25,801,801,793,793,4453000,3543360000
2015-05-22,801,803,798,799,3475000,2779943000
2015-05-21,807,811,796,802,5095000,4079682000
2015-05-20,803,818,797,806,6269000,5072147000
2015-05-19,802,802,793,800,6471000,5156429000
2015-05-18,803,805,797,799,3025000,2419142000
2015-05-15,807,808,799,804,4126000,3310866000
2015-05-14,803,811,796,800,4665000,3732378000
2015-05-13,798,828,795,810,6387000,5180350000
2015-05-12,794,809,792,807,3690000,2957866000
