1805-T,東証1部,飛島建,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,210,214,210,212,2402200,508901500
2015-10-01,213,217,210,212,3169600,674013300
2015-09-30,207,213,204,211,2342900,489587600
2015-09-29,211,213,203,203,3174800,657551900
2015-09-28,212,217,208,214,2065600,441028400
2015-09-25,208,210,202,210,2703000,556867000
2015-09-24,213,215,205,205,2620500,545981800
2015-09-18,211,218,211,216,3467800,745104100
2015-09-17,210,215,208,213,4343700,921318800
2015-09-16,213,214,206,210,3170500,661415600
2015-09-15,216,217,209,210,4427700,938299500
2015-09-14,219,221,214,217,4186500,910705900
2015-09-11,223,224,217,219,5527600,1214880600
2015-09-10,216,228,213,226,5547700,1222307500
2015-09-09,225,226,217,220,5216800,1145809700
2015-09-08,228,230,214,216,3502800,770176700
2015-09-07,225,230,221,225,3931700,884852000
2015-09-04,236,240,226,229,4271900,987475300
2015-09-03,249,251,235,237,4949800,1199657900
2015-09-02,238,250,237,245,6042300,1478143500
2015-09-01,251,253,246,247,7671100,1914641900
2015-08-31,245,252,242,252,6487400,1605426600
2015-08-28,245,250,242,246,6544300,1608376300
2015-08-27,235,241,234,238,6547200,1556773400
2015-08-26,225,232,220,231,5268700,1195126900
2015-08-25,212,231,201,216,10199700,2225587800
2015-08-24,229,237,218,219,7797100,1775572700
2015-08-21,236,243,235,236,7282300,1735652100
2015-08-20,245,253,243,246,5264100,1304719900
2015-08-19,259,260,245,246,8814200,2215754100
2015-08-18,258,267,256,261,10267000,2696514200
2015-08-17,256,260,251,259,4818500,1231131700
2015-08-14,257,260,251,256,6033900,1540158900
2015-08-13,252,259,251,258,10850300,2767078600
2015-08-12,248,255,246,251,7594300,1908336600
2015-08-11,250,253,244,249,7248900,1801678800
2015-08-10,246,255,241,251,11880400,2966775000
2015-08-07,232,249,229,247,17297600,4165843200
2015-08-06,230,238,227,234,16948000,3935301300
2015-08-05,201,230,200,222,11421900,2501288100
2015-08-04,200,202,198,200,1061600,211881800
2015-08-03,202,202,199,200,579800,116147800
2015-07-31,201,204,200,202,1410200,284988000
2015-07-30,199,202,199,201,1204800,241396600
2015-07-29,204,204,199,199,1414000,283344200
2015-07-28,197,205,196,203,2275000,456576800
2015-07-27,202,203,199,200,1275300,255528500
2015-07-24,205,206,203,203,819500,167389900
2015-07-23,205,207,202,204,1376700,281240100
2015-07-22,206,209,204,207,1297300,268805900
2015-07-21,205,208,205,207,695800,143770700
2015-07-17,206,206,203,203,750500,153273200
2015-07-16,208,209,204,205,1303700,268369000
2015-07-15,208,212,208,209,1072300,224535600
2015-07-14,206,210,206,206,2007400,416862600
2015-07-13,200,206,199,205,2365500,480145200
2015-07-10,200,203,199,200,1413400,283639900
2015-07-09,195,199,180,198,3720300,710162400
2015-07-08,210,211,202,202,1495300,306188000
2015-07-07,210,213,209,211,594400,125348700
2015-07-06,208,210,207,209,1147700,239632400
2015-07-03,212,213,210,211,1033500,218286000
2015-07-02,211,214,211,212,1327700,281841400
2015-07-01,210,213,209,210,1438500,303094900
2015-06-30,206,214,206,211,1712600,358904500
2015-06-29,205,209,205,207,2130500,440685100
2015-06-26,218,218,214,216,1117400,240818100
2015-06-25,218,219,216,217,755100,163973900
2015-06-24,219,220,216,217,1425800,311200300
2015-06-23,219,220,217,219,920100,200712000
2015-06-22,215,220,215,219,1467800,319672200
2015-06-19,220,221,215,216,1941700,422507400
2015-06-18,224,224,218,219,1885600,416333800
2015-06-17,226,227,223,224,1220600,274447800
2015-06-16,228,228,225,226,811300,183617800
2015-06-15,229,230,226,228,1053900,240009900
2015-06-12,228,233,228,232,1503500,345686300
2015-06-11,227,231,227,229,1435000,328176300
2015-06-10,227,229,227,227,692600,157779300
2015-06-09,232,235,227,228,2669600,618099000
2015-06-08,231,233,230,233,1480100,342498400
2015-06-05,230,232,230,230,780900,179919700
2015-06-04,231,232,230,231,924600,213503700
2015-06-03,231,232,230,230,1301300,300935500
2015-06-02,231,232,229,232,2090200,481918900
2015-06-01,222,231,221,231,3230400,734456600
2015-05-29,223,225,223,223,1649000,368854800
2015-05-28,225,226,223,225,1584600,355641000
2015-05-27,226,227,223,226,1390100,312237100
2015-05-26,226,228,225,226,911400,206244200
2015-05-25,229,229,226,227,1103500,251047100
2015-05-22,227,230,227,227,2151000,490777600
2015-05-21,229,231,227,227,1900100,434168500
2015-05-20,231,232,229,230,1135200,261312800
2015-05-19,235,235,230,231,1470000,340546000
2015-05-18,230,235,224,235,4591500,1052254600
2015-05-15,238,239,233,237,1959800,460739300
2015-05-14,236,237,233,236,1649900,388472600
2015-05-13,235,239,234,236,1593700,377051400
2015-05-12,236,237,233,235,1647200,387657600
2015-05-11,238,238,235,236,1095800,259562500
2015-05-08,236,238,235,236,1155800,273042800
2015-05-07,236,238,235,235,988500,233121500
2015-05-01,241,242,238,238,1784900,427595200
2015-04-30,241,245,241,243,1491400,361337900
2015-04-28,249,250,244,245,2206800,542802500
2015-04-27,252,254,246,249,2481500,620079300
2015-04-24,242,252,240,251,5698000,1404949800
2015-04-23,242,242,239,240,1442400,346313600
2015-04-22,244,245,239,242,2493000,602577000
2015-04-21,243,244,240,243,1263900,305284800
2015-04-20,242,247,241,243,1549700,377594000
2015-04-17,254,254,245,246,2487200,618603900
2015-04-16,253,255,249,254,3472600,876633800
2015-04-15,242,253,242,253,7467800,1861621600
2015-04-14,230,241,230,240,3230100,759043300
2015-04-13,234,234,230,231,1221300,282719500
2015-04-10,234,234,231,234,1128100,262455600
2015-04-09,238,238,234,234,1785500,420418900
2015-04-08,237,241,236,238,1739600,414734700
2015-04-07,238,238,235,237,944500,223372500
2015-04-06,239,240,236,237,1045400,248700600
2015-04-03,237,240,236,240,922500,219403200
2015-04-02,239,241,237,238,1379600,329039400
2015-04-01,242,242,238,239,1306900,313045900
2015-03-31,238,244,237,242,2304900,556921600
2015-03-30,240,240,235,236,1296500,306982300
2015-03-27,242,243,238,239,1163300,279784300
2015-03-26,242,244,241,242,1221800,296001600
2015-03-25,243,245,241,244,2635600,640649200
2015-03-24,239,242,237,242,1835700,439525400
2015-03-23,240,241,238,240,1096600,262183300
2015-03-20,241,242,238,240,962000,230650400
2015-03-19,246,246,240,241,2125700,513330600
2015-03-18,245,249,244,245,2101600,517178000
2015-03-17,245,245,241,244,1635000,397158500
2015-03-16,248,249,243,245,1854000,454618400
2015-03-13,252,252,248,248,2166200,542015900
2015-03-12,254,255,250,251,1887400,475551100
2015-03-11,247,255,247,254,2674400,675063600
2015-03-10,253,254,249,250,1995400,499972200
2015-03-09,252,254,251,253,1115400,281994800
2015-03-06,255,256,252,253,1079500,273104200
2015-03-05,253,257,252,254,1910900,485691200
2015-03-04,255,256,251,252,2425200,613455000
2015-03-03,261,264,257,258,2314900,601346500
2015-03-02,265,266,261,261,1716900,451038300
2015-02-27,271,272,266,267,2688400,722783500
2015-02-26,271,273,269,271,2387300,646483700
2015-02-25,267,275,265,271,5802700,1572934300
2015-02-24,265,270,263,267,2503200,668567700
2015-02-23,270,270,264,266,3580100,957614400
2015-02-20,259,266,258,266,4841900,1275020800
2015-02-19,260,261,257,260,1558900,403342300
