1821-T,東証1部,三住建設,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,144,149,144,146,8465000,1237374100
2015-10-01,146,147,143,146,5468500,792753300
2015-09-30,144,145,141,144,7047400,1008999000
2015-09-29,146,147,141,141,15862700,2283155300
2015-09-28,148,150,146,148,11485100,1704391400
2015-09-25,145,149,145,148,16116800,2362047700
2015-09-24,146,147,144,144,16029500,2340615100
2015-09-18,150,152,148,149,23735500,3559609400
2015-09-17,146,148,144,147,17015500,2486465600
2015-09-16,147,148,144,146,14296600,2081543600
2015-09-15,151,152,145,146,30984400,4602002900
2015-09-14,150,153,149,151,25501400,3856582600
2015-09-11,150,152,148,148,22842300,3410542400
2015-09-10,146,153,144,151,36812900,5449576000
2015-09-09,147,149,145,149,19449700,2864041100
2015-09-08,147,150,141,142,37868400,5528190000
2015-09-07,148,151,144,147,27035600,3988650900
2015-09-04,153,155,148,150,51832400,7879445200
2015-09-03,157,159,152,153,30374600,4705659400
2015-09-02,149,158,148,153,25611600,3925324400
2015-09-01,160,161,153,154,34755400,5466488800
2015-08-31,158,162,157,160,26735100,4262780700
2015-08-28,159,161,157,159,29656500,4722518700
2015-08-27,155,159,154,156,29886900,4680013900
2015-08-26,152,154,148,153,40380800,6101208700
2015-08-25,142,158,139,146,42851200,6374340300
2015-08-24,159,162,148,149,45572600,7049870300
2015-08-21,167,169,164,165,28270000,4708496400
2015-08-20,169,173,168,172,16317800,2791026000
2015-08-19,174,175,171,171,14478400,2498884100
2015-08-18,177,178,175,175,23913600,4211589700
2015-08-17,174,177,172,177,27286000,4767249200
2015-08-14,174,175,171,173,20074500,3469392300
2015-08-13,171,174,170,173,26886900,4615527800
2015-08-12,170,173,168,171,28255600,4815650100
2015-08-11,171,173,169,171,36828100,6302125400
2015-08-10,166,170,164,169,35005300,5889364600
2015-08-07,166,167,162,164,15912400,2616459800
2015-08-06,164,167,161,164,29896000,4907224200
2015-08-05,156,165,156,161,30012300,4836354800
2015-08-04,155,156,154,155,3065000,473987000
2015-08-03,155,156,154,155,4063400,629231000
2015-07-31,156,157,155,156,3222500,501861700
2015-07-30,157,158,155,155,6424100,1003539400
2015-07-29,154,156,152,155,10681900,1649861500
2015-07-28,150,154,148,153,9220300,1394919000
2015-07-27,153,154,151,153,7106500,1081223300
2015-07-24,154,155,153,154,6633300,1023538100
2015-07-23,154,155,154,155,3319100,512005200
2015-07-22,154,157,154,155,10132200,1570642800
2015-07-21,157,158,155,156,8331600,1302660900
2015-07-17,155,158,154,157,8993100,1403436100
2015-07-16,157,158,155,156,10175500,1591662500
2015-07-15,159,161,157,157,15205400,2413624700
2015-07-14,154,161,153,157,38628500,6091479000
2015-07-13,149,152,148,150,9353000,1406187700
2015-07-10,148,150,146,148,14959000,2213213300
2015-07-09,143,149,136,148,47609600,6807138900
2015-07-08,159,159,150,151,27443900,4227762600
2015-07-07,159,160,158,159,6749100,1073936900
2015-07-06,161,162,158,158,19375700,3090652300
2015-07-03,163,165,162,164,15690300,2569322500
2015-07-02,163,164,162,163,9106300,1484170200
2015-07-01,160,163,160,163,6169800,997806200
2015-06-30,160,162,160,160,9449300,1518605500
2015-06-29,163,164,160,161,22055300,3581599400
2015-06-26,168,169,166,168,10225300,1713922800
2015-06-25,167,169,166,167,9906700,1657451000
2015-06-24,167,167,166,167,4114700,686164200
2015-06-23,167,167,165,167,4789800,795496100
2015-06-22,165,169,165,166,11760400,1962972700
2015-06-19,165,166,164,165,6272800,1035872800
2015-06-18,165,166,164,164,6136100,1008698100
2015-06-17,165,166,165,165,5978100,989123700
2015-06-16,165,166,164,165,10205700,1683977800
2015-06-15,166,167,165,166,5370800,891380600
2015-06-12,168,169,166,167,8867300,1483000700
2015-06-11,166,168,165,168,8497800,1417362700
2015-06-10,166,167,164,166,12589300,2083342300
2015-06-09,168,170,165,166,16302100,2728035800
2015-06-08,169,170,168,169,5569400,940692800
2015-06-05,169,170,167,169,13637700,2300609500
2015-06-04,173,173,170,170,11380100,1949535100
2015-06-03,169,173,169,172,29074000,4982788000
2015-06-02,170,170,168,170,9409700,1593644800
2015-06-01,167,170,167,170,22664300,3823448900
2015-05-29,166,167,165,167,14298800,2372981400
2015-05-28,168,168,166,167,9396700,1569710200
2015-05-27,168,169,166,167,9605700,1609049900
2015-05-26,168,171,168,169,16204000,2743293500
2015-05-25,170,170,167,169,9933200,1673488400
2015-05-22,165,169,164,169,28101400,4711336700
2015-05-21,165,166,163,165,9069500,1492003400
2015-05-20,165,166,164,165,7570100,1248612800
2015-05-19,164,165,163,165,6881900,1129302900
2015-05-18,164,165,161,164,18270800,2983153500
2015-05-15,163,164,162,163,7015300,1144213600
2015-05-14,164,165,162,162,36853600,6020981100
2015-05-13,167,172,166,171,16130800,2733603400
2015-05-12,166,167,165,166,5432700,901307300
2015-05-11,167,168,166,166,7900100,1317406300
2015-05-08,164,167,163,166,14869300,2458090500
2015-05-07,164,166,163,163,12204600,2003193300
2015-05-01,167,168,164,166,13406700,2216110000
2015-04-30,170,170,167,167,11387900,1918927300
2015-04-28,172,173,170,170,8348400,1426551800
2015-04-27,174,175,171,173,26189500,4531378200
2015-04-24,168,174,167,174,49265600,8437010500
2015-04-23,165,168,165,167,11619300,1934448500
2015-04-22,165,167,164,165,10812000,1790018900
2015-04-21,164,165,163,165,8333100,1368030800
2015-04-20,165,166,164,164,6847800,1126806200
2015-04-17,167,168,165,165,10362200,1724326600
2015-04-16,168,168,166,168,6868000,1146677200
2015-04-15,165,169,165,167,30803400,5151314900
2015-04-14,164,167,163,166,14591400,2408142200
2015-04-13,164,165,163,163,4709200,773299400
2015-04-10,164,165,163,164,4784300,784987700
2015-04-09,165,166,164,165,4498000,740217600
2015-04-08,164,167,163,165,11019300,1816003100
2015-04-07,163,165,162,164,10115000,1652786000
2015-04-06,164,165,163,163,6344100,1040177100
2015-04-03,165,167,164,164,4851900,800599500
2015-04-02,164,167,164,165,10839300,1788436100
2015-04-01,166,167,164,164,6891500,1136283900
2015-03-31,167,169,166,166,7791800,1305264000
2015-03-30,165,167,162,166,13232600,2173185700
2015-03-27,168,168,165,166,8062300,1342470300
2015-03-26,168,169,167,168,9337400,1567777900
2015-03-25,168,174,168,169,35612200,6069656100
2015-03-24,166,168,166,168,11566600,1932107000
2015-03-23,167,167,165,167,5352800,890619700
2015-03-20,166,167,165,167,3926700,652612700
2015-03-19,167,167,165,166,8310600,1381565700
2015-03-18,168,170,167,168,9114300,1532701500
2015-03-17,168,169,166,168,6427900,1076280600
2015-03-16,168,168,165,168,11911000,1986221700
2015-03-13,171,172,168,168,10463200,1774850600
2015-03-12,168,171,168,169,9726600,1648908000
2015-03-11,165,169,165,167,9651500,1618974200
2015-03-10,170,170,166,167,13395700,2249363000
