1833-T,東証1部,奥村組,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,630,638,625,632,218000,137431000
2015-10-01,644,644,626,633,341000,216082000
2015-09-30,625,642,621,636,416000,263321000
2015-09-29,630,634,619,621,427000,267118000
2015-09-28,619,639,613,637,327000,206543000
2015-09-25,600,621,597,621,429000,261753000
2015-09-24,601,614,598,600,439000,264860000
2015-09-18,619,626,614,619,412000,255124000
2015-09-17,616,633,609,633,490000,305436000
2015-09-16,622,624,604,610,399000,242799000
2015-09-15,629,635,615,616,349000,217841000
2015-09-14,637,643,628,636,410000,260776000
2015-09-11,627,643,627,637,714000,452163000
2015-09-10,606,635,605,633,367000,228557000
2015-09-09,617,627,612,626,473000,293342000
2015-09-08,615,622,597,597,507000,307458000
2015-09-07,606,621,602,612,303000,185268000
2015-09-04,632,632,607,615,518000,320476000
2015-09-03,643,658,625,628,564000,360041000
2015-09-02,628,656,626,639,622000,400535000
2015-09-01,657,665,644,644,608000,397876000
2015-08-31,660,667,649,664,643000,423681000
2015-08-28,658,670,649,664,791000,523011000
2015-08-27,617,632,611,623,595000,370759000
2015-08-26,606,616,597,607,782000,473827000
2015-08-25,594,619,584,590,1308000,783996000
2015-08-24,640,648,613,614,850000,537126000
2015-08-21,663,671,657,657,587000,388942000
2015-08-20,685,693,676,678,497000,339930000
2015-08-19,696,696,687,688,706000,488367000
2015-08-18,709,718,701,705,941000,665698000
2015-08-17,688,706,684,706,603000,421559000
2015-08-14,680,688,678,684,619000,423115000
2015-08-13,671,686,671,680,516000,350994000
2015-08-12,673,687,669,671,948000,640734000
2015-08-11,699,699,674,677,1141000,780058000
2015-08-10,681,701,678,700,871000,601735000
2015-08-07,660,687,660,687,1022000,692379000
2015-08-06,648,679,635,657,1378000,910477000
2015-08-05,622,653,620,651,1002000,642536000
2015-08-04,615,621,609,620,271000,166868000
2015-08-03,610,614,604,613,188000,114548000
2015-07-31,610,618,607,615,282000,172868000
2015-07-30,606,617,601,604,353000,215010000
2015-07-29,605,607,597,604,315000,190232000
2015-07-28,590,606,587,604,413000,247815000
2015-07-27,600,602,589,592,276000,164200000
2015-07-24,610,612,606,608,226000,137553000
2015-07-23,613,613,606,611,216000,131746000
2015-07-22,618,618,608,611,315000,192804000
2015-07-21,625,626,617,621,356000,221229000
2015-07-17,638,638,617,620,804000,501730000
2015-07-16,640,640,632,637,487000,309852000
2015-07-15,636,644,636,638,508000,325181000
2015-07-14,633,640,631,636,497000,316021000
2015-07-13,619,620,614,618,390000,241024000
2015-07-10,612,627,610,612,550000,339161000
2015-07-09,610,610,587,606,502000,301107000
2015-07-08,622,627,616,617,549000,340608000
2015-07-07,622,630,622,627,302000,189248000
2015-07-06,625,630,616,617,296000,183815000
2015-07-03,636,642,629,633,598000,379551000
2015-07-02,637,647,631,636,672000,430306000
2015-07-01,627,635,622,634,445000,281008000
2015-06-30,617,626,613,625,608000,376960000
2015-06-29,629,630,620,626,731000,458279000
