1868-T,東証1部,三井ホーム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,604,620,601,620,41000,24980000
2015-10-01,596,605,596,603,52000,31256000
2015-09-30,616,620,595,598,49000,29869000
2015-09-29,604,614,594,610,111000,67345000
2015-09-28,607,616,598,605,50000,30430000
2015-09-25,602,623,594,623,66000,40044000
2015-09-24,597,600,592,592,36000,21443000
2015-09-18,615,615,599,600,65000,39301000
2015-09-17,620,623,613,615,66000,40840000
2015-09-16,632,632,612,627,86000,53603000
2015-09-15,630,634,620,630,54000,34010000
2015-09-14,623,635,617,626,87000,54419000
2015-09-11,622,631,620,625,101000,63084000
2015-09-10,606,618,597,614,58000,35452000
2015-09-09,605,615,605,613,71000,43329000
2015-09-08,600,603,599,601,44000,26420000
2015-09-07,600,606,600,601,151000,91079000
2015-09-04,607,607,590,600,186000,111699000
2015-09-03,602,605,598,601,26000,15607000
2015-09-02,600,606,599,602,43000,25863000
2015-09-01,618,618,604,604,47000,28759000
2015-08-31,620,620,607,619,75000,46185000
2015-08-28,597,607,594,604,40000,23977000
2015-08-27,590,590,580,585,23000,13482000
2015-08-26,577,584,570,584,69000,39860000
2015-08-25,574,587,567,577,152000,87562000
2015-08-24,588,591,568,584,72000,42110000
2015-08-21,588,600,588,595,106000,62961000
2015-08-20,597,602,597,598,23000,13778000
2015-08-19,606,606,602,602,6000,3623000
2015-08-18,600,610,597,607,36000,21717000
2015-08-17,603,603,598,600,26000,15606000
2015-08-14,600,603,595,598,21000,12580000
2015-08-13,594,602,591,596,79000,46950000
2015-08-12,601,606,581,594,55000,32726000
2015-08-11,583,622,583,611,175000,105812000
2015-08-10,582,594,582,593,36000,21177000
2015-08-07,585,585,575,582,32000,18561000
2015-08-06,581,587,580,586,36000,21017000
2015-08-05,581,582,579,581,20000,11613000
2015-08-04,573,583,573,582,38000,22031000
2015-08-03,585,585,575,581,69000,39997000
2015-07-31,583,586,580,586,27000,15732000
2015-07-30,580,585,578,583,29000,16854000
2015-07-29,578,587,578,581,20000,11636000
2015-07-28,579,581,579,580,34000,19720000
2015-07-27,577,581,576,580,50000,28953000
2015-07-24,568,582,568,581,86000,49679000
2015-07-23,574,574,566,574,36000,20585000
2015-07-22,565,571,564,569,21000,11924000
2015-07-21,573,575,567,575,28000,16034000
2015-07-17,573,575,572,573,34000,19505000
2015-07-16,569,573,569,572,17000,9701000
2015-07-15,573,573,561,570,31000,17564000
2015-07-14,565,573,559,573,51000,28986000
2015-07-13,550,562,550,552,26000,14404000
2015-07-10,546,556,545,551,124000,68177000
2015-07-09,550,559,544,550,111000,61053000
2015-07-08,576,576,553,553,58000,32693000
2015-07-07,573,577,568,576,48000,27519000
2015-07-06,580,580,570,570,29000,16684000
2015-07-03,571,581,571,581,45000,25828000
2015-07-02,569,584,563,567,96000,55235000
2015-07-01,565,575,561,568,42000,23828000
2015-06-30,562,578,562,566,72000,40999000
2015-06-29,568,572,563,568,63000,35781000
2015-06-26,563,575,561,573,74000,42085000
2015-06-25,564,573,562,571,75000,42634000
2015-06-24,567,567,557,564,68000,38189000
2015-06-23,562,567,558,567,66000,37135000
2015-06-22,560,568,555,562,50000,28148000
2015-06-19,543,569,541,569,127000,70587000
2015-06-18,543,546,537,543,50000,27111000
2015-06-17,549,549,540,542,17000,9254000
2015-06-16,554,554,545,548,29000,15945000
2015-06-15,553,553,546,548,28000,15359000
2015-06-12,552,553,545,552,79000,43560000
2015-06-11,542,554,540,546,53000,28951000
2015-06-10,545,552,542,542,67000,36645000
2015-06-09,554,554,547,548,49000,26929000
2015-06-08,552,557,547,552,117000,64791000
2015-06-05,561,561,546,549,97000,53776000
2015-06-04,554,563,551,561,111000,61993000
2015-06-03,553,555,547,555,23000,12724000
2015-06-02,553,555,550,554,40000,22104000
2015-06-01,553,555,550,553,32000,17676000
2015-05-29,553,556,547,553,44000,24319000
2015-05-28,552,554,549,554,23000,12710000
2015-05-27,551,553,548,552,31000,17094000
2015-05-26,550,556,550,554,61000,33763000
2015-05-25,551,555,548,555,58000,31982000
2015-05-22,544,551,543,549,90000,49360000
2015-05-21,541,545,540,545,76000,41323000
2015-05-20,542,544,532,544,69000,37375000
2015-05-19,535,545,534,542,108000,58360000
2015-05-18,539,543,533,539,98000,52771000
2015-05-15,519,535,519,529,137000,71814000
2015-05-14,519,520,517,519,56000,29081000
2015-05-13,518,520,516,519,35000,18143000
2015-05-12,516,521,515,518,56000,29009000
2015-05-11,515,522,515,516,75000,38888000
2015-05-08,512,519,512,515,117000,60328000
2015-05-07,521,522,499,522,85000,43769000
2015-05-01,520,526,516,517,38000,19791000
2015-04-30,523,523,520,521,30000,15638000
2015-04-28,527,532,525,527,19000,10016000
2015-04-27,533,533,525,526,41000,21697000
2015-04-24,524,525,520,525,53000,27731000
2015-04-23,523,525,521,523,26000,13609000
2015-04-22,519,524,519,523,27000,14101000
2015-04-21,517,524,516,519,44000,22803000
2015-04-20,519,520,516,517,33000,17078000
2015-04-17,521,521,517,517,34000,17647000
2015-04-16,516,521,516,518,30000,15554000
2015-04-15,516,520,516,516,40000,20677000
2015-04-14,513,521,513,521,43000,22269000
2015-04-13,515,519,515,517,65000,33606000
2015-04-10,516,520,515,518,89000,46033000
2015-04-09,520,520,516,517,17000,8795000
2015-04-08,518,523,517,521,48000,24930000
2015-04-07,518,518,513,518,27000,13929000
2015-04-06,512,517,512,515,21000,10810000
2015-04-03,521,521,517,518,27000,14001000
2015-04-02,516,521,513,519,47000,24352000
2015-04-01,513,514,508,510,42000,21418000
2015-03-31,524,527,515,516,48000,24885000
2015-03-30,525,531,521,522,40000,20947000
2015-03-27,533,538,524,527,50000,26412000
2015-03-26,532,548,531,539,138000,74375000
2015-03-25,548,552,548,552,88000,48398000
2015-03-24,548,550,544,548,121000,66209000
2015-03-23,540,547,540,545,44000,23924000
2015-03-20,536,544,535,542,49000,26430000
2015-03-19,536,544,534,539,79000,42606000
2015-03-18,540,541,535,541,42000,22655000
2015-03-17,532,541,532,539,47000,25195000
2015-03-16,529,531,527,531,52000,27545000
2015-03-13,530,530,526,526,114000,60352000
2015-03-12,522,525,522,525,31000,16258000
2015-03-11,525,529,520,522,38000,19866000
2015-03-10,529,530,525,526,38000,20047000
2015-03-09,527,530,522,525,31000,16324000
2015-03-06,522,528,521,527,33000,17328000
2015-03-05,520,522,520,521,14000,7296000
2015-03-04,523,523,520,521,29000,15129000
2015-03-03,520,523,519,523,59000,30708000
2015-03-02,517,520,510,520,30000,15498000
2015-02-27,516,517,515,517,25000,12902000
2015-02-26,517,518,515,517,49000,25331000
2015-02-25,516,517,514,517,27000,13925000
2015-02-24,514,515,510,514,27000,13853000
2015-02-23,518,522,511,514,29000,15001000
2015-02-20,522,524,518,519,45000,23443000
2015-02-19,520,523,518,522,57000,29673000
2015-02-18,527,527,515,524,84000,43883000
2015-02-17,505,522,505,519,124000,64024000
2015-02-16,507,509,506,508,25000,12693000
2015-02-13,502,506,502,506,49000,24695000
2015-02-12,498,505,498,502,39000,19621000
2015-02-10,502,502,498,498,11000,5500000
2015-02-09,498,502,498,502,59000,29527000
2015-02-06,493,497,493,497,45000,22295000
2015-02-05,490,492,483,488,32000,15581000
2015-02-04,486,493,486,492,23000,11259000
2015-02-03,492,492,484,486,58000,28297000
2015-02-02,492,494,479,492,78000,37832000
2015-01-30,494,495,491,495,23000,11343000
2015-01-29,497,497,490,490,35000,17242000
2015-01-28,493,501,493,498,44000,21876000
2015-01-27,501,501,497,499,20000,9985000
2015-01-26,499,502,496,501,60000,29970000
2015-01-23,498,498,495,498,20000,9941000
2015-01-22,497,498,491,496,19000,9420000
2015-01-21,499,500,497,497,23000,11458000
2015-01-20,499,500,496,500,22000,10981000
2015-01-19,494,500,494,497,32000,15903000
2015-01-16,493,495,492,493,21000,10352000
2015-01-15,490,495,490,495,12000,5911000
2015-01-14,494,497,491,493,26000,12866000
2015-01-13,492,492,490,492,32000,15718000
2015-01-09,494,496,494,494,18000,8899000
2015-01-08,495,498,495,495,25000,12420000
2015-01-07,492,496,492,494,21000,10370000
2015-01-06,500,500,491,492,45000,22217000
2015-01-05,499,502,499,501,28000,14014000
2014-12-30,502,502,499,499,38000,19021000
2014-12-29,500,501,497,498,52000,25997000
2014-12-26,497,500,497,499,51000,25406000
2014-12-25,497,497,493,497,55000,27301000
2014-12-24,495,495,493,495,35000,17304000
2014-12-22,492,495,492,493,25000,12317000
2014-12-19,492,496,491,494,47000,23199000
2014-12-18,489,495,486,492,57000,28054000
2014-12-17,478,488,478,485,23000,11138000
2014-12-16,485,485,476,478,59000,28339000
2014-12-15,486,488,485,485,19000,9248000
2014-12-12,489,494,486,486,106000,51902000
2014-12-11,485,489,484,487,42000,20413000
2014-12-10,489,489,482,485,65000,31673000
2014-12-09,488,489,485,488,59000,28790000
2014-12-08,487,489,487,489,49000,23904000
2014-12-05,486,489,480,487,68000,32957000
2014-12-04,483,488,483,488,47000,22809000
2014-12-03,483,486,480,486,49000,23694000
2014-12-02,482,482,480,481,29000,13950000
2014-12-01,479,482,478,480,45000,21591000
2014-11-28,479,479,476,478,24000,11470000
2014-11-27,478,482,478,479,19000,9099000
2014-11-26,480,481,479,479,56000,26890000
2014-11-25,483,485,483,483,32000,15467000
2014-11-21,483,484,481,483,26000,12551000
2014-11-20,489,489,485,485,29000,14134000
2014-11-19,487,490,487,487,25000,12200000
2014-11-18,491,491,485,490,42000,20464000
2014-11-17,490,491,487,488,33000,16143000
2014-11-14,495,495,492,493,46000,22715000
2014-11-13,490,493,489,493,14000,6871000
2014-11-12,495,495,491,494,21000,10358000
2014-11-11,490,495,490,495,19000,9377000
2014-11-10,489,495,484,492,40000,19596000
2014-11-07,484,491,484,489,33000,16106000
2014-11-06,488,495,484,488,43000,21090000
2014-11-05,491,492,487,488,42000,20604000
2014-11-04,493,494,482,488,66000,32299000
2014-10-31,475,492,475,487,81000,39266000
2014-10-30,482,483,472,474,31000,14780000
2014-10-29,476,483,473,482,25000,12009000
2014-10-28,478,480,476,476,14000,6680000
2014-10-27,481,481,478,478,20000,9598000
2014-10-24,478,479,475,477,17000,8116000
2014-10-23,476,477,474,474,9000,4275000
2014-10-22,471,478,471,477,21000,9959000
2014-10-21,469,474,464,470,31000,14507000
2014-10-20,475,476,473,476,15000,7126000
2014-10-17,466,469,459,459,28000,12976000
2014-10-16,467,474,465,465,34000,15925000
2014-10-15,471,473,467,473,30000,14134000
2014-10-14,477,481,470,471,40000,18978000
2014-10-10,483,483,478,478,22000,10564000
2014-10-09,488,488,484,484,9000,4360000
2014-10-08,486,490,483,485,17000,8247000
2014-10-07,488,493,486,490,32000,15689000
2014-10-06,486,489,483,486,16000,7785000
2014-10-03,483,484,480,481,19000,9137000
2014-10-02,491,491,485,485,39000,19020000
2014-10-01,490,499,490,495,60000,29800000
2014-09-30,490,493,487,491,29000,14212000
2014-09-29,495,496,492,494,33000,16314000
2014-09-26,497,497,495,497,37000,18363000
2014-09-25,501,505,501,505,67000,33698000
