1881-T,東証1部,NIPPO,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2048,2085,2029,2058,426000,876038000
2015-10-01,2061,2087,2030,2069,243000,501422000
2015-09-30,2002,2051,2002,2035,324000,657003000
2015-09-29,2010,2045,1980,1984,396000,793210000
2015-09-28,2020,2072,1998,2052,304000,622315000
2015-09-25,2019,2045,1980,2039,400000,810012000
2015-09-24,2027,2042,2001,2001,279000,562797000
2015-09-18,2074,2081,2020,2077,282000,582654000
2015-09-17,2041,2082,2035,2075,206000,425617000
2015-09-16,2017,2041,1997,2035,274000,554772000
2015-09-15,2035,2046,2008,2012,280000,566106000
2015-09-14,2035,2042,2006,2032,435000,882800000
2015-09-11,2051,2070,2026,2035,401000,819330000
2015-09-10,2024,2095,2013,2085,328000,673147000
2015-09-09,2035,2048,2000,2048,478000,967958000
2015-09-08,2014,2042,1966,1970,441000,881523000
2015-09-07,2007,2035,1967,1985,454000,905778000
2015-09-04,2062,2069,2004,2035,524000,1064809000
2015-09-03,2070,2127,2027,2034,473000,978694000
2015-09-02,2038,2145,2030,2080,868000,1824101000
2015-09-01,2044,2054,2006,2006,158000,320341000
2015-08-31,2027,2067,2020,2065,220000,450353000
2015-08-28,2029,2064,2014,2049,245000,500818000
2015-08-27,1982,2016,1969,1982,285000,567677000
2015-08-26,1910,1964,1910,1954,480000,931458000
2015-08-25,1912,1977,1862,1878,762000,1465129000
2015-08-24,2078,2083,1980,1992,720000,1451682000
2015-08-21,2054,2078,2044,2064,490000,1010056000
2015-08-20,2060,2087,2060,2070,182000,376866000
2015-08-19,2052,2113,2050,2084,375000,779965000
2015-08-18,2062,2103,2062,2070,383000,795350000
2015-08-17,2074,2084,2064,2069,336000,695568000
2015-08-14,2070,2092,2055,2077,193000,400297000
2015-08-13,2063,2079,2054,2068,225000,465260000
2015-08-12,2045,2075,2031,2063,580000,1192098000
2015-08-11,2070,2070,1998,2037,573000,1162226000
2015-08-10,2054,2089,2046,2070,413000,853995000
2015-08-07,2085,2091,2060,2072,419000,867621000
2015-08-06,2050,2087,2044,2069,504000,1042101000
2015-08-05,2000,2051,1981,2018,1235000,2486909000
2015-08-04,2002,2023,1970,2009,620000,1238338000
2015-08-03,2130,2130,1956,2001,1379000,2782421000
2015-07-31,2150,2188,2145,2184,345000,748409000
2015-07-30,2131,2150,2107,2127,217000,461224000
2015-07-29,2145,2148,2119,2129,225000,479482000
2015-07-28,2126,2153,2111,2147,140000,299321000
2015-07-27,2139,2141,2116,2126,123000,261818000
2015-07-24,2127,2150,2127,2139,132000,282160000
2015-07-23,2130,2138,2119,2135,130000,277043000
2015-07-22,2129,2137,2117,2130,160000,340723000
2015-07-21,2159,2159,2122,2128,244000,520471000
2015-07-17,2137,2138,2099,2109,130000,274532000
2015-07-16,2110,2129,2106,2119,186000,393758000
2015-07-15,2076,2115,2076,2106,136000,285847000
2015-07-14,2085,2109,2078,2095,137000,286521000
2015-07-13,2050,2072,2033,2062,176000,361420000
2015-07-10,2023,2046,2012,2030,225000,455820000
2015-07-09,2000,2027,1944,2025,523000,1040530000
2015-07-08,2100,2102,2040,2045,250000,515612000
2015-07-07,2081,2119,2081,2100,249000,524351000
2015-07-06,2086,2107,2070,2097,390000,816230000
2015-07-03,2117,2117,2087,2103,284000,595545000
2015-07-02,2151,2169,2109,2129,268000,572903000
2015-07-01,2072,2122,2072,2113,307000,644607000
2015-06-30,2089,2109,2072,2098,267000,557812000
2015-06-29,2053,2109,2053,2090,173000,361705000
2015-06-26,2138,2138,2105,2131,170000,360522000
2015-06-25,2134,2136,2114,2118,283000,601231000
2015-06-24,2193,2224,2124,2137,861000,1852763000
2015-06-23,2237,2252,2194,2205,437000,972131000
2015-06-22,2186,2213,2186,2203,225000,495686000
2015-06-19,2180,2196,2162,2183,341000,742557000
2015-06-18,2204,2218,2166,2176,446000,975412000
2015-06-17,2205,2254,2205,2226,400000,891622000
2015-06-16,2190,2207,2184,2200,387000,850433000
2015-06-15,2171,2191,2151,2184,319000,695622000
2015-06-12,2135,2197,2135,2170,832000,1799465000
2015-06-11,2103,2149,2081,2126,645000,1366556000
2015-06-10,2046,2065,2025,2053,389000,798167000
2015-06-09,2082,2110,2043,2047,402000,828629000
2015-06-08,2095,2126,2091,2097,390000,821892000
2015-06-05,2105,2114,2091,2095,341000,715690000
2015-06-04,2120,2159,2114,2140,251000,536269000
2015-06-03,2103,2133,2101,2120,281000,595108000
2015-06-02,2160,2182,2144,2150,321000,693456000
2015-06-01,2137,2180,2137,2176,307000,664244000
2015-05-29,2117,2165,2117,2165,426000,915832000
2015-05-28,2148,2157,2113,2117,439000,936762000
2015-05-27,2118,2137,2092,2125,443000,936719000
2015-05-26,2123,2148,2115,2123,210000,447172000
2015-05-25,2108,2146,2107,2142,296000,631155000
2015-05-22,2104,2143,2104,2113,407000,862788000
2015-05-21,2164,2176,2105,2124,757000,1625297000
2015-05-20,2186,2208,2150,2164,474000,1033505000
2015-05-19,2200,2208,2184,2186,357000,783713000
2015-05-18,2157,2199,2157,2192,342000,746014000
2015-05-15,2160,2179,2141,2157,339000,731974000
2015-05-14,2137,2180,2137,2161,315000,681310000
2015-05-13,2130,2183,2130,2165,551000,1190578000
2015-05-12,2019,2150,1990,2150,1688000,3537419000
2015-05-11,2000,2020,1958,1982,556000,1104995000
2015-05-08,1984,2000,1979,1990,294000,585236000
2015-05-07,1978,2010,1973,1977,477000,946620000
2015-05-01,1981,1989,1972,1981,256000,507002000
2015-04-30,1990,2020,1981,2003,546000,1095245000
2015-04-28,1993,1998,1970,1993,446000,886695000
2015-04-27,1997,1999,1983,1994,140000,278718000
2015-04-24,1975,2005,1962,1997,283000,562491000
2015-04-23,1971,1983,1959,1975,125000,246736000
2015-04-22,1972,1986,1965,1971,316000,623528000
2015-04-21,1978,1999,1973,1975,173000,342505000
2015-04-20,1963,1995,1953,1986,275000,544742000
2015-04-17,2010,2021,1992,1994,336000,672630000
2015-04-16,1942,2005,1939,2001,588000,1163147000
2015-04-15,1939,1968,1939,1962,413000,808027000
2015-04-14,1895,1972,1890,1968,719000,1384735000
2015-04-13,1907,1919,1894,1919,253000,483748000
2015-04-10,1890,1919,1881,1911,427000,813507000
2015-04-09,1906,1914,1895,1903,309000,587866000
2015-04-08,1923,1938,1915,1920,213000,409524000
2015-04-07,1911,1929,1911,1926,221000,424942000
2015-04-06,1912,1924,1908,1912,169000,323500000
2015-04-03,1938,1944,1925,1936,117000,226332000
2015-04-02,1935,1959,1920,1938,282000,546232000
2015-04-01,1985,1985,1919,1935,744000,1443184000
2015-03-31,2001,2026,1966,1986,874000,1748052000
2015-03-30,1910,1975,1907,1961,790000,1542855000
2015-03-27,1916,2020,1916,1944,1291000,2543929000
2015-03-26,1877,1914,1875,1891,216000,408273000
2015-03-25,1889,1923,1885,1916,589000,1124918000
2015-03-24,1848,1898,1848,1894,521000,978874000
2015-03-23,1874,1889,1856,1865,336000,628645000
2015-03-20,1886,1915,1865,1874,813000,1531300000
2015-03-19,1875,1880,1850,1867,561000,1046441000
2015-03-18,1838,1881,1838,1861,657000,1221286000
2015-03-17,1828,1857,1807,1856,965000,1774850000
2015-03-16,1880,1881,1820,1826,799000,1471632000
2015-03-13,1925,1925,1873,1881,800000,1518251000
2015-03-12,1860,1909,1857,1893,699000,1323734000
2015-03-11,1827,1880,1815,1871,793000,1473139000
2015-03-10,1831,1843,1812,1829,658000,1204390000
2015-03-09,1811,1840,1801,1828,787000,1435093000
2015-03-06,1790,1830,1790,1815,904000,1641881000
2015-03-05,1820,1835,1792,1802,502000,908653000
2015-03-04,1794,1835,1789,1829,894000,1626266000
2015-03-03,1773,1790,1765,1777,515000,917857000
2015-03-02,1808,1808,1764,1770,558000,990163000
2015-02-27,1786,1822,1774,1790,920000,1656079000
2015-02-26,1751,1775,1749,1774,509000,898766000
2015-02-25,1753,1773,1745,1771,515000,909432000
2015-02-24,1744,1750,1724,1744,490000,851491000
2015-02-23,1772,1772,1736,1746,283000,495386000
2015-02-20,1727,1765,1708,1762,420000,734518000
2015-02-19,1745,1745,1722,1727,424000,733889000
2015-02-18,1773,1778,1720,1732,623000,1085828000
2015-02-17,1754,1755,1738,1748,887000,1549612000
2015-02-16,1688,1740,1683,1734,1213000,2084096000
2015-02-13,1627,1673,1622,1662,1237000,2047532000
2015-02-12,1642,1645,1600,1614,1363000,2195884000
2015-02-10,1628,1642,1603,1610,909000,1472313000
2015-02-09,1610,1635,1598,1613,1368000,2216729000
2015-02-06,1659,1663,1596,1601,1469000,2371056000
2015-02-05,1752,1752,1628,1640,1651000,2768405000
2015-02-04,1848,1851,1796,1799,400000,727363000
2015-02-03,1860,1866,1813,1818,303000,554806000
2015-02-02,1860,1860,1830,1839,181000,333314000
2015-01-30,1850,1859,1815,1845,665000,1222324000
2015-01-29,1836,1863,1824,1828,474000,872269000
2015-01-28,1927,1967,1856,1865,1026000,1944330000
2015-01-27,1918,1953,1918,1951,218000,423634000
2015-01-26,1890,1927,1890,1918,245000,469518000
2015-01-23,1911,1925,1905,1920,325000,622705000
2015-01-22,1910,1913,1875,1911,311000,590225000
2015-01-21,1868,1911,1859,1905,475000,897806000
2015-01-20,1865,1867,1848,1854,302000,560541000
2015-01-19,1881,1893,1829,1833,1644000,3061030000
2015-01-16,1850,1867,1831,1862,1921000,3561106000
2015-01-15,1850,1888,1850,1864,246000,459097000
2015-01-14,1851,1858,1841,1847,233000,430934000
2015-01-13,1861,1867,1833,1864,331000,613658000
2015-01-09,1896,1915,1879,1902,429000,813164000
2015-01-08,1884,1901,1881,1896,225000,425643000
2015-01-07,1881,1914,1881,1884,257000,486851000
2015-01-06,1920,1922,1893,1900,348000,663420000
2015-01-05,1974,1974,1947,1953,219000,428779000
2014-12-30,1998,1998,1974,1976,145000,287608000
2014-12-29,1981,2006,1980,1989,277000,551553000
2014-12-26,1958,1997,1958,1994,174000,345605000
2014-12-25,1970,1980,1969,1976,194000,383072000
2014-12-24,1955,1960,1943,1960,331000,646551000
2014-12-22,1950,1955,1926,1945,314000,609365000
2014-12-19,1988,1989,1957,1966,289000,568137000
2014-12-18,1955,1974,1946,1961,298000,584008000
2014-12-17,1906,1934,1904,1917,612000,1177335000
2014-12-16,1952,1978,1935,1936,504000,983173000
2014-12-15,2000,2027,1996,2002,537000,1078333000
2014-12-12,1976,2045,1957,2027,958000,1930469000
2014-12-11,1908,1948,1908,1941,360000,694475000
2014-12-10,1939,1957,1926,1952,702000,1365016000
2014-12-09,1950,1980,1932,1979,642000,1263344000
2014-12-08,1907,1957,1907,1956,527000,1022404000
2014-12-05,1900,1920,1890,1915,571000,1089364000
2014-12-04,1885,1925,1884,1925,704000,1342328000
2014-12-03,1885,1885,1853,1858,418000,780564000
2014-12-02,1831,1863,1820,1860,432000,797781000
2014-12-01,1888,1889,1828,1836,712000,1316483000
2014-11-28,1856,1885,1853,1881,343000,643704000
2014-11-27,1848,1873,1844,1867,791000,1471414000
2014-11-26,1821,1844,1813,1834,490000,897321000
2014-11-25,1842,1843,1820,1821,337000,615381000
2014-11-21,1840,1846,1817,1826,551000,1007377000
2014-11-20,1847,1870,1816,1836,747000,1372399000
2014-11-19,1810,1849,1804,1829,1002000,1831118000
2014-11-18,1786,1806,1754,1798,1716000,3058290000
2014-11-17,1825,1825,1769,1785,1008000,1799841000
2014-11-14,1880,1888,1836,1851,657000,1216936000
2014-11-13,1901,1911,1872,1879,627000,1183001000
2014-11-12,1916,1929,1884,1898,667000,1267345000
2014-11-11,1921,1931,1904,1923,394000,755711000
