1883-T,東証1部,前田道,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2132,2170,2126,2145,231000,494977000
2015-10-01,2115,2175,2094,2152,262000,561555000
2015-09-30,2009,2104,2009,2092,210000,436199000
2015-09-29,2011,2037,2000,2009,215000,432869000
2015-09-28,2039,2078,1989,2053,144000,294949000
2015-09-25,2003,2036,1972,2036,291000,583483000
2015-09-24,2011,2030,1995,2003,252000,505960000
2015-09-18,2092,2134,2050,2106,399000,839471000
2015-09-17,2045,2113,2016,2092,238000,493838000
2015-09-16,2005,2014,1990,2007,136000,272348000
2015-09-15,2002,2009,1982,1984,164000,326749000
2015-09-14,2020,2042,1989,2002,175000,351568000
2015-09-11,2017,2067,2017,2021,237000,479910000
2015-09-10,1952,2071,1952,2061,234000,472764000
2015-09-09,2020,2031,1985,2017,128000,256524000
2015-09-08,1995,2010,1942,1947,106000,208510000
2015-09-07,2000,2050,1988,2009,157000,316269000
2015-09-04,2077,2077,2020,2030,167000,341209000
2015-09-03,2100,2131,2050,2055,168000,350945000
2015-09-02,2106,2155,2025,2089,216000,455165000
2015-09-01,2148,2179,2106,2108,231000,494039000
2015-08-31,2129,2177,2095,2168,179000,383761000
2015-08-28,2103,2143,2080,2134,203000,430421000
2015-08-27,2058,2079,2026,2043,277000,568674000
2015-08-26,1938,2016,1905,2005,407000,803605000
2015-08-25,1865,1980,1845,1882,474000,907105000
2015-08-24,2043,2086,1966,2003,329000,664420000
2015-08-21,2091,2116,2091,2093,168000,352984000
2015-08-20,2172,2186,2139,2141,161000,346791000
2015-08-19,2182,2194,2160,2172,150000,326480000
2015-08-18,2235,2252,2212,2220,167000,373022000
2015-08-17,2234,2246,2195,2221,139000,308028000
2015-08-14,2229,2243,2213,2234,177000,394964000
2015-08-13,2199,2237,2199,2229,217000,483018000
2015-08-12,2192,2217,2175,2199,154000,338279000
2015-08-11,2192,2232,2151,2196,354000,776059000
2015-08-10,2225,2234,2153,2191,681000,1486861000
2015-08-07,2358,2366,2223,2279,654000,1483972000
2015-08-06,2315,2437,2315,2406,323000,769093000
2015-08-05,2264,2322,2264,2313,121000,277957000
2015-08-04,2303,2303,2231,2264,192000,432924000
2015-08-03,2274,2286,2257,2279,151000,343539000
2015-07-31,2253,2279,2209,2279,119000,269116000
2015-07-30,2261,2270,2217,2234,131000,292983000
2015-07-29,2236,2272,2213,2261,224000,503253000
2015-07-28,2184,2231,2184,2219,185000,408445000
