1898-T,東証1部,世紀東,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,545,557,543,555,224700,124113500
2015-10-01,537,554,537,549,390700,213525600
2015-09-30,528,532,518,528,187800,98844600
2015-09-29,537,539,516,518,222200,117178000
2015-09-28,541,555,537,546,196600,107001000
2015-09-25,540,541,528,541,144600,77457100
2015-09-24,525,537,524,524,188900,99846800
2015-09-18,538,547,529,534,146800,78845400
2015-09-17,546,551,540,545,204700,112080300
2015-09-16,535,544,529,540,199500,107672900
2015-09-15,536,537,527,528,132500,70507600
2015-09-14,540,541,528,531,127700,68218000
2015-09-11,541,548,537,538,223200,120824700
2015-09-10,519,546,519,544,265400,141842900
2015-09-09,522,533,520,529,288200,151631500
2015-09-08,513,528,507,507,174400,90165400
2015-09-07,516,535,512,516,260200,134785200
2015-09-04,537,541,520,526,303300,161174000
2015-09-03,542,551,537,537,131500,71583500
2015-09-02,525,553,522,538,205000,110319900
2015-09-01,556,560,539,539,358500,197361000
2015-08-31,541,560,532,556,376300,207417900
2015-08-28,540,544,533,536,265600,143179200
2015-08-27,511,532,509,522,431200,224833000
2015-08-26,490,496,487,494,188700,92830700
2015-08-25,485,509,466,480,394500,192588100
2015-08-24,518,530,500,500,671900,345651700
2015-08-21,544,552,536,537,293500,159039000
2015-08-20,559,563,554,556,164400,91737500
2015-08-19,567,568,559,563,212600,119661900
2015-08-18,565,579,564,570,578000,330961800
2015-08-17,555,563,553,563,197400,110320500
2015-08-14,556,556,550,553,101100,55887500
2015-08-13,554,561,554,557,168900,94251300
2015-08-12,553,559,549,557,175700,97407500
2015-08-11,562,563,550,558,301700,168443800
2015-08-10,540,558,537,556,385000,211541900
2015-08-07,539,544,535,542,163500,88245100
2015-08-06,560,563,538,540,668200,367530100
2015-08-05,541,552,533,552,229600,125527300
2015-08-04,539,545,533,538,317100,170473300
2015-08-03,550,555,547,549,125100,68786000
2015-07-31,554,554,547,552,93400,51410100
2015-07-30,545,555,541,555,157900,86593600
2015-07-29,543,546,539,540,72900,39432100
2015-07-28,543,545,537,542,90900,49183200
2015-07-27,558,558,542,545,112500,61488500
2015-07-24,551,560,550,552,178200,98969700
2015-07-23,551,551,546,550,68500,37570600
2015-07-22,544,552,542,549,109400,59880600
2015-07-21,549,551,546,546,64500,35353300
