1914-T,東証1部,日基礎,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,549,550,536,540,341400,184806800
2015-10-01,579,579,545,548,456700,253218400
2015-09-30,580,588,561,575,403700,232285700
2015-09-29,571,592,565,580,521100,302044700
2015-09-28,566,593,558,580,736200,425451900
2015-09-25,547,575,546,559,407200,227919000
2015-09-24,558,564,535,539,474200,259489200
2015-09-18,531,567,521,556,1010500,556606400
2015-09-17,504,539,495,534,860600,452279000
2015-09-16,492,504,483,499,474300,235590700
2015-09-15,500,509,473,479,485700,239299000
2015-09-14,478,501,466,490,491400,239233100
2015-09-11,488,488,459,476,391200,186114300
2015-09-10,429,500,425,481,534400,251334500
2015-09-09,431,437,422,437,144400,62267800
2015-09-08,438,438,411,413,166300,70345100
2015-09-07,460,464,434,441,217300,97530000
2015-09-04,467,490,444,467,450400,207331300
2015-09-03,485,505,458,465,451200,219647200
2015-09-02,455,488,453,479,249200,118343600
2015-09-01,479,484,461,461,203400,96570100
2015-08-31,478,483,465,479,283900,135365400
2015-08-28,467,475,466,469,199100,93656100
2015-08-27,453,459,441,454,184300,83203700
2015-08-26,427,449,422,441,169900,73747200
2015-08-25,443,454,414,425,271600,118294800
2015-08-24,474,485,447,454,292900,136104900
2015-08-21,467,486,457,484,257400,122676500
2015-08-20,479,492,472,475,269800,130325000
2015-08-19,476,483,475,480,221300,106081700
2015-08-18,475,481,471,478,292500,139750800
2015-08-17,475,477,468,475,298000,140707400
2015-08-14,464,478,459,478,460500,217245400
2015-08-13,431,500,431,465,1688000,804365100
2015-08-12,436,436,432,433,45800,19893300
2015-08-11,437,439,435,436,55000,24023300
2015-08-10,424,435,424,435,47300,20401500
2015-08-07,428,431,425,427,47100,20127700
2015-08-06,424,433,423,431,61200,26244400
2015-08-05,416,423,414,422,29900,12563400
2015-08-04,423,423,415,418,30100,12582500
2015-08-03,426,426,420,424,43900,18587000
2015-07-31,428,428,420,428,33100,14083500
