1946-T,東証1部,トーエネク,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,882,886,872,874,105000,92222000
2015-10-01,878,894,863,885,148000,130267000
2015-09-30,876,881,848,874,105000,91103000
2015-09-29,880,881,841,855,144000,123865000
2015-09-28,880,887,865,876,44000,38668000
2015-09-25,853,904,853,870,100000,87316000
2015-09-24,858,889,840,861,128000,111317000
2015-09-18,878,890,846,865,104000,90459000
2015-09-17,837,886,837,880,144000,125668000
2015-09-16,835,859,821,851,79000,66741000
2015-09-15,856,882,840,843,94000,80974000
2015-09-14,871,879,856,871,52000,45243000
2015-09-11,875,877,865,875,85000,74260000
2015-09-10,881,882,855,876,252000,219426000
2015-09-09,845,880,843,875,212000,183759000
2015-09-08,845,848,821,822,88000,73344000
2015-09-07,840,861,830,843,106000,89744000
2015-09-04,905,905,857,867,178000,154804000
2015-09-03,904,916,897,899,118000,106992000
2015-09-02,874,916,869,892,171000,153651000
2015-09-01,905,905,877,885,294000,261759000
2015-08-31,850,920,844,920,323000,288996000
2015-08-28,840,840,823,836,142000,118045000
2015-08-27,812,817,802,809,124000,100276000
2015-08-26,790,802,783,794,189000,150009000
2015-08-25,771,804,747,785,271000,210556000
2015-08-24,802,821,773,773,189000,151752000
2015-08-21,823,833,819,824,149000,122900000
2015-08-20,851,858,844,846,174000,148103000
2015-08-19,860,862,847,857,183000,156269000
2015-08-18,834,859,832,857,158000,133650000
2015-08-17,822,839,816,837,158000,130710000
2015-08-14,809,815,802,807,145000,117374000
2015-08-13,792,808,788,794,207000,165148000
2015-08-12,840,849,795,804,182000,147788000
2015-08-11,868,868,847,848,159000,135895000
2015-08-10,847,872,842,861,179000,153855000
2015-08-07,825,852,821,847,194000,163149000
2015-08-06,820,830,818,823,158000,130327000
2015-08-05,810,816,804,815,111000,89889000
2015-08-04,805,818,800,815,153000,124021000
2015-08-03,791,808,784,803,148000,117586000
2015-07-31,782,837,776,803,245000,196342000
2015-07-30,798,799,771,776,72000,56601000
2015-07-29,796,799,791,796,112000,89140000
2015-07-28,766,794,765,788,225000,175327000
2015-07-27,791,795,769,769,194000,151495000
2015-07-24,789,799,788,797,81000,64316000
2015-07-23,778,796,778,795,189000,149346000
2015-07-22,783,783,772,775,119000,92481000
2015-07-21,786,794,772,788,150000,117979000
2015-07-17,783,790,776,780,157000,122934000
2015-07-16,781,783,773,779,108000,84047000
2015-07-15,777,796,772,780,157000,122833000
2015-07-14,762,778,762,777,92000,71164000
2015-07-13,757,772,745,762,105000,80026000
2015-07-10,740,764,732,747,164000,122378000
2015-07-09,730,739,714,731,164000,119746000
2015-07-08,760,761,744,758,206000,155192000
2015-07-07,742,773,742,762,176000,134295000
2015-07-06,755,755,738,738,121000,90219000
2015-07-03,769,771,738,754,91000,69010000
2015-07-02,789,789,763,770,146000,113027000
2015-07-01,764,787,759,780,113000,88108000
2015-06-30,754,763,734,761,177000,132908000
2015-06-29,772,777,754,754,134000,102888000
2015-06-26,768,787,767,787,96000,74161000
2015-06-25,783,792,767,777,143000,112060000
2015-06-24,800,800,778,783,79000,62280000
2015-06-23,750,801,750,801,103000,79271000
2015-06-22,745,750,736,748,64000,47712000
2015-06-19,737,743,731,740,66000,48744000
2015-06-18,747,747,724,724,65000,47981000
2015-06-17,726,740,725,738,94000,68740000
2015-06-16,711,727,709,722,133000,95556000
2015-06-15,690,714,690,709,64000,44995000
2015-06-12,700,704,694,698,107000,74828000
2015-06-11,684,700,684,700,69000,48011000
2015-06-10,686,692,671,673,60000,40991000
2015-06-09,682,696,682,694,93000,64107000
2015-06-08,684,684,674,682,43000,29266000
2015-06-05,679,684,672,680,51000,34568000
2015-06-04,670,680,669,679,56000,37797000
2015-06-03,655,668,655,665,42000,27825000
2015-06-02,660,661,653,655,38000,24973000
2015-06-01,652,671,651,662,76000,50032000
2015-05-29,655,659,637,659,104000,67851000
2015-05-28,659,659,652,658,51000,33557000
2015-05-27,620,659,618,657,169000,108241000
2015-05-26,623,623,615,618,14000,8653000
2015-05-25,623,625,615,617,39000,24172000
2015-05-22,621,625,616,623,20000,12409000
2015-05-21,623,625,621,621,25000,15589000
2015-05-20,618,625,613,622,52000,32239000
2015-05-19,609,618,607,618,36000,22056000
2015-05-18,601,613,601,611,35000,21272000
2015-05-15,605,607,602,606,8000,4838000
2015-05-14,605,605,599,600,25000,15024000
2015-05-13,600,605,598,605,22000,13240000
2015-05-12,605,605,598,602,22000,13260000
2015-05-11,608,613,602,608,48000,29207000
2015-05-08,601,602,598,602,23000,13793000
