1963-T,東証1部,日揮,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1566.5,1594.5,1552.0,1594.0,1705000,2692208500
2015-10-01,1589.5,1608.5,1564.0,1590.5,1812000,2881490000
2015-09-30,1562.0,1587.5,1541.0,1583.5,2551000,4008742500
2015-09-29,1609.5,1609.5,1560.0,1564.0,2596000,4100910500
2015-09-28,1630.0,1652.5,1625.5,1628.5,1451000,2368589500
2015-09-25,1620.0,1643.5,1618.0,1642.5,2872000,4683966500
2015-09-24,1656.5,1667.5,1621.5,1621.5,3395000,5543420000
2015-09-18,1720.0,1733.0,1680.0,1696.5,3503000,5938652000
2015-09-17,1768.0,1796.0,1734.5,1748.0,2236000,3926123500
2015-09-16,1716.5,1756.0,1704.0,1743.0,1934000,3367435500
2015-09-15,1717.0,1729.5,1696.0,1696.0,2042000,3487104500
2015-09-14,1746.5,1750.0,1693.5,1713.0,2185000,3744408000
2015-09-11,1796.0,1809.0,1744.5,1750.5,3735000,6643803000
2015-09-10,1740.0,1782.0,1740.0,1775.0,2910000,5116318500
2015-09-09,1785.0,1804.5,1759.0,1800.0,2808000,5003707000
2015-09-08,1717.0,1801.5,1709.5,1739.0,3145000,5547656500
2015-09-07,1673.0,1733.0,1668.0,1706.0,1681000,2865573500
2015-09-04,1710.0,1735.0,1675.5,1684.5,2326000,3946047000
2015-09-03,1731.0,1763.5,1722.0,1723.0,1480000,2570905500
2015-09-02,1715.0,1748.5,1700.5,1720.0,1947000,3358920500
2015-09-01,1802.0,1815.5,1745.0,1745.0,3487000,6201145500
2015-08-31,1825.0,1826.0,1771.5,1773.0,3714000,6636906500
2015-08-28,1794.0,1858.0,1790.0,1833.0,3010000,5523919500
2015-08-27,1762.0,1778.5,1726.5,1726.5,3193000,5561178500
2015-08-26,1710.5,1768.0,1694.0,1747.5,3487000,6017076500
2015-08-25,1735.0,1822.5,1710.5,1722.5,3197000,5630087500
2015-08-24,1843.0,1864.5,1793.5,1798.5,2729000,4987362000
2015-08-21,1913.5,1920.0,1886.5,1887.5,2780000,5279684000
2015-08-20,1975.0,1978.5,1925.5,1927.5,3378000,6544386500
2015-08-19,2000.0,2023.5,1995.0,1997.5,2141000,4291637000
2015-08-18,2016.5,2035.5,1993.0,2026.5,2921000,5894025500
2015-08-17,2098.5,2104.5,2047.0,2054.0,1687000,3476705500
2015-08-14,2126.0,2132.5,2080.5,2099.5,2541000,5342309000
2015-08-13,2070.0,2112.5,2049.0,2097.5,3901000,8167604500
2015-08-12,2085.0,2109.5,2027.0,2033.0,3385000,6943327000
2015-08-11,2039.0,2079.0,2026.5,2062.0,3973000,8183259000
2015-08-10,2010.0,2010.0,1985.5,1999.5,1963000,3924918000
2015-08-07,2031.5,2040.5,2003.5,2019.0,1832000,3703967000
2015-08-06,2020.0,2054.5,2012.0,2024.0,2538000,5164416500
2015-08-05,2000.0,2031.0,1975.0,2010.0,3901000,7817784000
2015-08-04,2061.0,2079.5,2025.0,2051.0,2304000,4716033500
2015-08-03,2111.0,2118.5,2060.5,2077.5,1907000,3964554000
2015-07-31,2106.5,2122.0,2092.0,2119.0,1815000,3838111500
2015-07-30,2057.5,2119.5,2056.0,2109.0,2001000,4201388000
2015-07-29,2090.0,2096.0,2055.5,2060.5,1556000,3215591000
2015-07-28,2075.0,2110.0,2059.0,2092.0,1760000,3678807500
2015-07-27,2100.0,2119.0,2086.0,2102.0,1858000,3905086500
2015-07-24,2138.0,2138.0,2105.0,2113.0,2795000,5914651000
2015-07-23,2187.5,2187.5,2153.0,2165.0,1840000,3989360000
2015-07-22,2208.5,2210.0,2180.0,2195.0,2340000,5139409000
2015-07-21,2248.0,2249.5,2213.0,2224.0,2139000,4762465000
2015-07-17,2236.0,2264.5,2228.0,2235.0,1587000,3554109000
2015-07-16,2257.5,2257.5,2216.0,2242.0,2488000,5570487500
2015-07-15,2249.5,2284.0,2233.0,2260.0,1806000,4078877000
2015-07-14,2244.5,2269.5,2233.0,2257.0,1519000,3423561500
2015-07-13,2263.5,2263.5,2221.0,2225.0,2738000,6110211500
2015-07-10,2262.0,2297.0,2240.0,2278.0,1556000,3530779000
2015-07-09,2268.5,2275.0,2194.5,2272.0,2894000,6475739000
2015-07-08,2327.5,2344.0,2305.5,2305.5,2364000,5474547000
2015-07-07,2340.0,2344.0,2324.5,2327.5,1021000,2382706500
