1967-T,東証1部,ヤマト,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,417,423,410,422,10900,4550900
2015-10-01,423,423,409,417,15300,6339600
2015-09-30,416,420,411,419,5900,2460800
2015-09-29,420,424,411,413,11400,4743300
2015-09-28,432,436,426,428,15600,6715700
2015-09-25,420,426,411,424,15100,6334500
2015-09-24,413,425,413,420,29800,12477200
2015-09-18,435,435,417,429,26000,11105300
2015-09-17,416,438,415,433,17100,7340100
2015-09-16,430,430,414,424,20600,8668800
2015-09-15,418,425,406,423,18200,7644500
2015-09-14,432,432,415,417,8700,3659700
2015-09-11,432,435,413,424,43600,18739000
2015-09-10,428,438,413,432,22800,9757800
2015-09-09,431,443,412,428,27900,11841100
2015-09-08,414,414,394,402,16900,6842200
2015-09-07,408,413,380,410,11900,4728500
2015-09-04,417,422,390,408,30700,12576500
2015-09-03,420,438,420,425,13900,5953500
2015-09-02,427,438,403,422,26500,11227300
2015-09-01,432,450,426,427,48500,21319400
2015-08-31,425,440,410,440,61000,25900000
2015-08-28,413,429,410,416,40000,16769000
2015-08-27,409,417,405,405,10000,4096000
2015-08-26,382,408,382,407,31000,12384000
2015-08-25,369,401,363,375,58000,22320000
2015-08-24,396,425,396,401,48000,19660000
2015-08-21,421,425,419,420,46000,19383000
2015-08-20,448,448,435,437,31000,13709000
2015-08-19,443,452,429,449,39000,17175000
2015-08-18,448,451,448,451,35000,15720000
2015-08-17,446,450,446,449,17000,7611000
2015-08-14,448,448,440,448,10000,4454000
2015-08-13,443,445,426,445,66000,29021000
2015-08-12,434,444,433,442,61000,26716000
2015-08-11,430,437,425,434,38000,16428000
2015-08-10,427,427,417,426,15000,6355000
2015-08-07,420,430,420,429,37000,15777000
2015-08-06,415,425,415,420,39000,16434000
2015-08-05,412,420,412,420,16000,6653000
2015-08-04,414,422,401,420,69000,28773000
2015-08-03,402,411,402,410,32000,13079000
2015-07-31,395,411,390,408,77000,31106000
2015-07-30,381,387,381,387,12000,4610000
2015-07-29,386,386,382,382,14000,5371000
2015-07-28,387,387,386,387,16000,6189000
2015-07-27,387,388,386,386,11000,4255000
2015-07-24,390,390,386,386,9000,3480000
2015-07-23,391,393,388,390,14000,5465000
2015-07-22,395,395,391,391,9000,3528000
2015-07-21,392,395,392,395,6000,2366000
2015-07-17,392,392,391,392,5000,1959000
2015-07-16,398,398,396,396,14000,5551000
2015-07-15,393,393,389,391,33000,12925000
2015-07-14,392,393,390,393,16000,6269000
2015-07-13,390,391,387,388,36000,13947000
2015-07-10,382,389,382,383,18000,6905000
2015-07-09,385,387,380,382,27000,10377000
2015-07-08,402,402,392,393,18000,7136000
2015-07-07,402,404,402,402,14000,5632000
2015-07-06,408,408,401,402,14000,5654000
2015-07-03,409,410,406,408,11000,4488000
2015-07-02,414,417,412,414,14000,5800000
2015-07-01,415,415,407,412,21000,8659000
2015-06-30,415,415,409,415,29000,12015000
2015-06-29,405,409,404,409,57000,23127000
2015-06-26,417,418,410,416,29000,12025000
2015-06-25,411,420,411,417,41000,17045000
2015-06-24,406,413,406,410,42000,17204000
2015-06-23,405,406,403,406,35000,14161000
2015-06-22,408,408,400,405,35000,14155000
2015-06-19,403,407,402,405,25000,10099000
2015-06-18,404,404,403,403,18000,7257000
2015-06-17,401,405,401,402,18000,7246000
2015-06-16,401,404,401,402,20000,8036000
2015-06-15,404,405,402,404,10000,4035000
2015-06-12,401,405,401,404,44000,17678000
2015-06-11,403,403,402,402,14000,5633000
2015-06-10,404,406,402,402,34000,13728000
2015-06-09,408,409,406,406,14000,5697000
2015-06-08,412,416,409,411,12000,4934000
2015-06-05,408,412,408,411,16000,6560000
2015-06-04,412,415,411,413,14000,5774000
2015-06-03,409,414,408,412,14000,5751000
2015-06-02,417,417,415,415,6000,2494000
2015-06-01,412,418,412,417,14000,5802000
2015-05-29,415,417,415,417,10000,4161000
2015-05-28,415,416,411,415,33000,13659000
2015-05-27,416,416,413,414,7000,2895000
2015-05-26,413,417,413,415,10000,4150000
2015-05-25,411,417,411,413,16000,6605000
2015-05-22,415,416,402,415,38000,15539000
2015-05-21,417,418,411,411,33000,13643000
2015-05-20,412,417,412,417,15000,6224000
2015-05-19,411,418,411,412,14000,5792000
2015-05-18,406,408,405,408,18000,7312000
2015-05-15,402,409,402,407,20000,8128000
2015-05-14,418,418,391,401,35000,14185000
2015-05-13,413,417,412,413,20000,8288000
2015-05-12,415,415,412,413,18000,7452000
2015-05-11,424,425,415,415,21000,8820000
2015-05-08,424,424,421,423,28000,11838000
2015-05-07,429,430,420,420,31000,13197000
2015-05-01,426,427,421,421,29000,12280000
2015-04-30,418,430,418,424,132000,55875000
2015-04-28,454,455,453,454,37000,16793000
2015-04-27,455,455,451,452,12000,5439000
2015-04-24,455,455,451,451,14000,6338000
2015-04-23,454,456,452,453,16000,7263000
2015-04-22,452,455,452,453,21000,9518000
2015-04-21,458,458,452,456,18000,8200000
2015-04-20,452,453,441,451,112000,50267000
2015-04-17,434,440,434,436,19000,8308000
2015-04-16,439,439,436,436,7000,3061000
2015-04-15,432,434,432,434,6000,2594000
2015-04-14,432,432,432,432,6000,2592000
2015-04-13,430,433,430,431,8000,3450000
2015-04-10,435,435,429,430,23000,9939000
2015-04-09,427,430,427,427,6000,2565000
2015-04-08,433,433,427,427,7000,3017000
2015-04-07,429,434,422,430,20000,8574000
2015-04-06,427,429,425,428,12000,5126000
2015-04-03,430,430,427,427,7000,2997000
2015-04-02,429,432,425,430,18000,7735000
2015-04-01,430,430,425,425,11000,4699000
2015-03-31,425,431,425,430,14000,6001000
2015-03-30,428,429,419,420,36000,15309000
2015-03-27,430,444,430,433,17000,7385000
2015-03-26,440,445,435,437,23000,10136000
2015-03-25,442,442,441,441,9000,3976000
2015-03-24,439,450,438,442,12000,5302000
2015-03-23,440,444,437,439,64000,28180000
2015-03-20,450,450,444,448,26000,11601000
2015-03-19,445,449,445,447,12000,5360000
2015-03-18,435,450,435,450,45000,19871000
2015-03-17,449,449,442,442,55000,24449000
2015-03-16,438,445,438,445,26000,11457000
2015-03-13,438,446,438,442,65000,28653000
2015-03-12,442,444,441,441,25000,11061000
2015-03-11,438,440,427,437,35000,15281000
2015-03-10,437,441,436,438,25000,10943000
2015-03-09,446,446,430,436,21000,9197000
2015-03-06,443,444,426,439,37000,16084000
2015-03-05,448,448,442,443,11000,4883000
2015-03-04,445,451,445,446,15000,6709000
2015-03-03,454,454,443,445,14000,6250000
2015-03-02,454,454,447,451,27000,12221000
2015-02-27,455,455,450,452,22000,9953000
2015-02-26,447,456,446,450,50000,22491000
2015-02-25,448,449,447,447,11000,4928000
2015-02-24,448,448,443,444,13000,5787000
2015-02-23,441,448,441,442,15000,6651000
2015-02-20,445,445,432,441,24000,10567000
2015-02-19,434,444,434,444,32000,14073000
2015-02-18,433,442,433,438,30000,13085000
2015-02-17,441,443,438,439,18000,7921000
2015-02-16,438,445,438,442,33000,14578000
2015-02-13,435,440,435,437,21000,9159000
2015-02-12,437,438,431,435,28000,12201000
2015-02-10,437,437,433,436,23000,10006000
2015-02-09,434,436,433,433,20000,8676000
2015-02-06,438,438,420,432,35000,14971000
2015-02-05,426,437,426,433,31000,13326000
2015-02-04,424,434,424,429,28000,12028000
2015-02-03,423,432,412,432,66000,27893000
2015-02-02,420,423,416,416,53000,22201000
2015-01-30,435,442,425,426,69000,29817000
2015-01-29,427,447,423,440,53000,23218000
2015-01-28,419,429,419,429,40000,16923000
2015-01-27,421,425,420,424,19000,8030000
2015-01-26,417,420,416,420,16000,6699000
2015-01-23,420,420,415,415,10000,4158000
2015-01-22,414,417,413,414,11000,4555000
2015-01-21,416,416,414,414,10000,4155000
2015-01-20,419,420,417,419,11000,4607000
2015-01-19,417,417,413,414,9000,3733000
2015-01-16,417,418,415,417,19000,7909000
2015-01-15,418,422,418,422,6000,2522000
2015-01-14,421,422,420,421,6000,2525000
2015-01-13,421,423,421,421,20000,8429000
2015-01-09,425,425,421,421,25000,10587000
2015-01-08,426,434,426,426,18000,7715000
2015-01-07,430,431,426,426,18000,7717000
2015-01-06,434,436,430,431,27000,11663000
2015-01-05,433,433,428,432,22000,9498000
2014-12-30,422,425,421,425,10000,4230000
2014-12-29,429,429,425,429,24000,10268000
2014-12-26,422,426,422,425,18000,7635000
2014-12-25,422,423,419,419,17000,7159000
2014-12-24,417,424,417,422,13000,5487000
2014-12-22,426,426,419,422,23000,9699000
2014-12-19,410,419,406,419,33000,13608000
2014-12-18,417,420,410,410,20000,8307000
2014-12-17,413,418,410,413,15000,6206000
2014-12-16,423,428,417,417,28000,11782000
2014-12-15,424,435,420,423,54000,23129000
2014-12-12,416,421,416,419,43000,17941000
2014-12-11,421,422,419,419,20000,8408000
2014-12-10,424,432,420,424,34000,14446000
2014-12-09,432,432,423,424,26000,11091000
2014-12-08,430,438,428,430,100000,43177000
2014-12-05,409,417,409,413,80000,33000000
2014-12-04,410,410,407,409,15000,6136000
2014-12-03,409,412,409,412,11000,4516000
2014-12-02,411,411,409,411,12000,4923000
2014-12-01,411,413,410,411,22000,9043000
2014-11-28,415,415,402,412,22000,9043000
2014-11-27,402,414,402,412,75000,30649000
2014-11-26,404,404,380,396,40000,15691000
2014-11-25,400,406,400,404,9000,3640000
2014-11-21,396,399,392,399,14000,5549000
2014-11-20,405,407,390,396,27000,10831000
2014-11-19,402,404,398,398,21000,8416000
2014-11-18,395,404,390,402,20000,7967000
2014-11-17,396,396,381,389,24000,9316000
2014-11-14,408,408,396,400,47000,18923000
2014-11-13,399,404,395,400,25000,10003000
2014-11-12,408,417,390,393,48000,19382000
2014-11-11,404,407,404,407,27000,10933000
2014-11-10,404,404,402,404,13000,5242000
2014-11-07,402,402,398,399,18000,7212000
2014-11-06,397,404,393,394,20000,7966000
2014-11-05,388,396,387,394,51000,20005000
2014-11-04,408,408,385,385,66000,26155000
2014-10-31,403,409,399,408,58000,23554000
2014-10-30,408,408,404,404,30000,12190000
2014-10-29,408,409,400,406,53000,21515000
2014-10-28,395,408,394,400,44000,17552000
2014-10-27,392,393,388,391,36000,14075000
2014-10-24,386,390,383,384,22000,8483000
2014-10-23,378,384,377,383,46000,17527000
2014-10-22,372,380,371,377,66000,24673000
2014-10-21,372,374,371,372,59000,21966000
2014-10-20,375,394,366,375,335000,126053000
2014-10-17,350,350,343,343,12000,4132000
2014-10-16,350,350,341,346,12000,4138000
2014-10-15,369,369,352,352,20000,7196000
2014-10-14,359,359,354,356,8000,2846000
2014-10-10,368,368,359,359,16000,5830000
2014-10-09,375,375,368,368,9000,3339000
2014-10-08,372,372,369,369,9000,3339000
2014-10-07,376,376,374,374,18000,6757000
2014-10-06,378,378,375,376,12000,4513000
2014-10-03,367,370,365,370,14000,5152000
2014-10-02,373,373,369,369,10000,3701000
2014-10-01,374,375,373,375,23000,8599000
2014-09-30,373,373,371,373,16000,5964000
2014-09-29,374,380,370,372,22000,8222000
2014-09-26,367,371,367,368,27000,9950000
2014-09-25,370,371,369,371,21000,7775000
