1968-T,東証1部,太平電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1238,1238,1205,1216,40000,48601000
2015-10-01,1229,1258,1215,1228,114000,140428000
2015-09-30,1209,1239,1187,1229,116000,141262000
2015-09-29,1219,1228,1166,1194,125000,149458000
2015-09-28,1244,1244,1194,1219,168000,203629000
2015-09-25,1243,1258,1222,1245,150000,186144000
2015-09-24,1211,1254,1185,1244,99000,122599000
2015-09-18,1241,1274,1230,1241,214000,266810000
2015-09-17,1215,1244,1197,1241,112000,137176000
2015-09-16,1194,1232,1175,1215,228000,275513000
2015-09-15,1200,1217,1169,1179,143000,170079000
2015-09-14,1200,1227,1178,1188,306000,366336000
2015-09-11,1180,1227,1175,1189,197000,234950000
2015-09-10,1085,1198,1065,1187,399000,461760000
2015-09-09,1072,1108,1072,1104,303000,329972000
2015-09-08,1078,1126,1066,1076,202000,221062000
2015-09-07,1080,1117,1075,1083,183000,199255000
2015-09-04,1126,1163,1050,1086,252000,276500000
2015-09-03,1159,1176,1125,1131,263000,300386000
2015-09-02,1165,1195,1132,1153,328000,379221000
2015-09-01,1279,1279,1183,1195,324000,393477000
2015-08-31,1250,1284,1230,1284,144000,182257000
2015-08-28,1265,1292,1215,1244,351000,437351000
2015-08-27,1320,1320,1244,1263,281000,360263000
2015-08-26,1308,1349,1275,1312,221000,288250000
2015-08-25,1313,1319,1201,1263,167000,213774000
2015-08-24,1358,1387,1313,1313,86000,116429000
2015-08-21,1410,1412,1376,1388,137000,190312000
2015-08-20,1435,1473,1429,1440,161000,234084000
2015-08-19,1406,1449,1406,1431,88000,125700000
2015-08-18,1426,1440,1398,1436,209000,297762000
2015-08-17,1330,1417,1328,1410,168000,231008000
2015-08-14,1332,1332,1316,1328,41000,54404000
2015-08-13,1325,1333,1301,1331,79000,104626000
2015-08-12,1343,1343,1312,1333,97000,128725000
2015-08-11,1330,1358,1327,1343,120000,160982000
2015-08-10,1300,1339,1265,1328,240000,314434000
2015-08-07,1230,1251,1213,1236,60000,73702000
2015-08-06,1237,1239,1225,1236,44000,54191000
2015-08-05,1250,1250,1212,1237,62000,76664000
2015-08-04,1274,1275,1196,1230,108000,133040000
2015-08-03,1253,1274,1244,1274,101000,127046000
2015-07-31,1324,1325,1279,1283,108000,140022000
2015-07-30,1315,1345,1295,1297,166000,219005000
2015-07-29,1302,1311,1277,1285,96000,123552000
2015-07-28,1303,1314,1294,1302,184000,239470000
2015-07-27,1289,1313,1289,1303,124000,161468000
2015-07-24,1270,1299,1254,1289,277000,351816000
2015-07-23,1272,1287,1272,1286,83000,106112000
2015-07-22,1290,1294,1266,1272,62000,79124000
2015-07-21,1300,1320,1287,1313,90000,117300000
2015-07-17,1290,1295,1267,1275,59000,75625000
2015-07-16,1239,1293,1228,1288,283000,358054000
2015-07-15,1226,1248,1204,1215,186000,226878000
2015-07-14,1265,1273,1245,1256,90000,113404000
2015-07-13,1224,1260,1224,1246,76000,94636000
2015-07-10,1202,1232,1190,1224,152000,184780000
2015-07-09,1140,1208,1129,1197,240000,279258000
2015-07-08,1205,1210,1161,1178,182000,214783000
2015-07-07,1219,1230,1204,1205,148000,179997000
2015-07-06,1233,1238,1214,1229,140000,171998000
2015-07-03,1228,1249,1227,1233,122000,150507000
2015-07-02,1233,1263,1233,1254,123000,153592000
2015-07-01,1220,1239,1209,1235,115000,141179000
2015-06-30,1201,1210,1197,1209,138000,166066000
2015-06-29,1188,1213,1188,1201,161000,192989000
2015-06-26,1190,1220,1185,1218,178000,214252000
2015-06-25,1160,1206,1160,1202,220000,261484000
2015-06-24,1193,1204,1136,1164,206000,239531000
2015-06-23,1180,1221,1176,1203,112000,134493000
2015-06-22,1151,1162,1144,1158,81000,93469000
2015-06-19,1151,1175,1149,1164,147000,171153000
2015-06-18,1118,1139,1118,1124,109000,123203000
2015-06-17,1117,1126,1100,1118,252000,281193000
2015-06-16,1128,1131,1112,1118,69000,77219000
2015-06-15,1135,1139,1118,1128,36000,40573000
2015-06-12,1137,1150,1126,1129,175000,198729000
2015-06-11,1123,1134,1111,1118,137000,153578000
2015-06-10,1115,1136,1096,1121,212000,236093000
2015-06-09,1139,1139,1103,1103,131000,146535000
2015-06-08,1130,1166,1130,1140,69000,79040000
