2002-T,東証1部,日清粉G,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1706,1753,1706,1736,1128900,1953804800
2015-10-01,1741,1759,1694,1720,1191300,2050186500
2015-09-30,1708,1738,1680,1733,1846600,3170165700
2015-09-29,1679,1712,1647,1659,1529100,2553540100
2015-09-28,1704,1723,1684,1707,1540800,2625917300
2015-09-25,1621,1713,1621,1710,2202600,3699710200
2015-09-24,1582,1657,1576,1615,1200200,1952962700
2015-09-18,1631,1647,1603,1604,1044600,1689813600
2015-09-17,1621,1640,1602,1633,852900,1385048400
2015-09-16,1640,1644,1597,1618,1179700,1901737200
2015-09-15,1595,1665,1588,1628,1718600,2800932600
2015-09-14,1570,1575,1546,1555,1152000,1796571000
2015-09-11,1522,1556,1521,1545,2279700,3483910200
2015-09-10,1543,1553,1510,1531,801000,1225920300
2015-09-09,1543,1596,1522,1592,1159700,1815854300
2015-09-08,1571,1571,1490,1497,1023800,1552530100
2015-09-07,1559,1572,1540,1550,774500,1203467700
2015-09-04,1608,1608,1556,1569,1014300,1599120000
2015-09-03,1602,1634,1592,1594,642700,1033713900
2015-09-02,1564,1624,1559,1592,1217400,1943849600
2015-09-01,1656,1665,1598,1598,985800,1604097400
2015-08-31,1663,1680,1644,1658,1383500,2294616600
2015-08-28,1678,1700,1630,1675,2517100,4183683800
2015-08-27,1597,1657,1587,1641,1217500,1987480500
2015-08-26,1562,1595,1545,1567,1747300,2736008400
2015-08-25,1568,1638,1550,1554,1822000,2891263900
2015-08-24,1635,1677,1602,1608,1325700,2160819800
2015-08-21,1685,1700,1654,1669,1056100,1772457900
2015-08-20,1739,1756,1720,1723,867900,1507355200
2015-08-19,1778,1784,1741,1744,955700,1680645000
2015-08-18,1811,1812,1782,1785,662500,1187830800
2015-08-17,1805,1822,1796,1814,552900,1000895000
2015-08-14,1787,1815,1772,1788,751900,1348174300
2015-08-13,1770,1805,1745,1797,1110700,1976321000
2015-08-12,1779,1800,1751,1755,1091600,1925390400
2015-08-11,1850,1860,1785,1800,1150000,2081015400
2015-08-10,1793,1843,1783,1830,946400,1727505100
2015-08-07,1832,1845,1801,1814,991700,1799238100
2015-08-06,1861,1880,1824,1829,1054200,1947883300
2015-08-05,1809,1853,1805,1839,1253200,2300421800
2015-08-04,1781,1809,1774,1805,797600,1435500200
2015-08-03,1765,1800,1758,1799,1245900,2223051600
2015-07-31,1791,1791,1737,1778,2532600,4465716800
2015-07-30,1783,1810,1754,1796,1391200,2477915900
2015-07-29,1752,1783,1751,1763,915000,1616926800
2015-07-28,1700,1754,1695,1750,829500,1438131400
2015-07-27,1759,1761,1716,1725,1121400,1952459400
2015-07-24,1764,1772,1745,1765,797800,1405441300
2015-07-23,1750,1777,1748,1771,1010500,1782669800
2015-07-22,1731,1741,1719,1734,713500,1235952700
2015-07-21,1741,1754,1731,1750,676700,1180506500
2015-07-17,1719,1732,1713,1729,547200,944702200
2015-07-16,1718,1735,1705,1727,636600,1097577000
2015-07-15,1705,1713,1693,1707,803300,1367126900
2015-07-14,1707,1727,1690,1699,908100,1546935200
2015-07-13,1648,1693,1639,1692,976600,1636108700
2015-07-10,1620,1651,1605,1624,1516800,2468451400
2015-07-09,1596,1626,1578,1625,1254000,2013865800
2015-07-08,1663,1664,1630,1630,1092600,1796932400
2015-07-07,1651,1670,1645,1663,758700,1258351400
2015-07-06,1642,1660,1618,1621,1326800,2164613500
2015-07-03,1658,1687,1657,1664,932000,1554383700
2015-07-02,1661,1664,1646,1656,804300,1331162800
2015-07-01,1642,1651,1635,1647,610200,1003092300
2015-06-30,1626,1661,1622,1628,1568300,2571286400
2015-06-29,1597,1630,1596,1608,1042300,1680216400
2015-06-26,1641,1655,1630,1640,709100,1164253100
2015-06-25,1653,1663,1641,1641,626300,1032218000
2015-06-24,1685,1685,1648,1653,1185200,1965538500
2015-06-23,1650,1673,1646,1672,867200,1442367500
2015-06-22,1635,1649,1633,1643,886500,1454743500
2015-06-19,1637,1649,1626,1632,828500,1354888600
2015-06-18,1651,1660,1626,1629,1040400,1701898300
2015-06-17,1650,1687,1649,1668,1212200,2023122300
2015-06-16,1620,1647,1620,1638,766600,1255937400
2015-06-15,1612,1630,1611,1626,998300,1619066600
2015-06-12,1669,1670,1626,1632,1713200,2840508700
2015-06-11,1604,1658,1599,1654,1036200,1701426700
2015-06-10,1640,1646,1579,1585,1678800,2683923400
2015-06-09,1593,1608,1589,1592,711900,1137074700
2015-06-08,1606,1619,1600,1608,752500,1209406700
2015-06-05,1610,1624,1601,1613,1061800,1711473500
2015-06-04,1638,1644,1619,1622,1015600,1655367900
2015-06-03,1635,1665,1624,1637,2327300,3826056900
2015-06-02,1561,1565,1547,1559,818700,1274219500
2015-06-01,1543,1564,1541,1561,755500,1174908200
2015-05-29,1538,1573,1536,1552,1031500,1607428000
2015-05-28,1552,1556,1541,1552,905000,1401555100
2015-05-27,1556,1565,1547,1552,752200,1169514400
2015-05-26,1580,1584,1569,1572,827100,1302298400
2015-05-25,1562,1580,1552,1579,752900,1182418600
2015-05-22,1532,1565,1531,1562,1317600,2050853800
2015-05-21,1539,1549,1520,1532,1416400,2176200500
2015-05-20,1521,1550,1511,1537,2701700,4140101000
2015-05-19,1425,1480,1422,1465,1916700,2798557300
2015-05-18,1385,1414,1385,1408,824600,1159607600
2015-05-15,1376,1405,1372,1388,1320000,1834851900
2015-05-14,1396,1405,1365,1366,775700,1069586300
2015-05-13,1398,1406,1380,1400,688300,961542200
2015-05-12,1389,1398,1387,1393,607300,845342900
2015-05-11,1404,1409,1390,1393,624500,872146500
2015-05-08,1373,1392,1367,1386,958900,1322705200
2015-05-07,1390,1414,1377,1381,903000,1250685500
2015-05-01,1398,1403,1389,1392,800400,1115999900
2015-04-30,1422,1435,1401,1404,977100,1377988200
2015-04-28,1460,1465,1446,1449,711200,1032718200
2015-04-27,1470,1470,1448,1451,537700,783215300
2015-04-24,1457,1464,1450,1458,501900,731680200
2015-04-23,1468,1473,1457,1463,612400,895892900
2015-04-22,1466,1477,1455,1466,644000,942868700
2015-04-21,1434,1466,1415,1466,876000,1271184000
2015-04-20,1418,1436,1407,1428,661300,941535000
2015-04-17,1438,1446,1422,1425,689700,986395400
2015-04-16,1469,1475,1451,1452,809700,1179425100
2015-04-15,1483,1484,1468,1469,677300,997465700
2015-04-14,1478,1493,1473,1487,802300,1190456400
2015-04-13,1539,1539,1488,1493,786400,1181941900
2015-04-10,1538,1548,1518,1529,2148300,3291432400
2015-04-09,1480,1542,1479,1517,1572500,2383908600
2015-04-08,1463,1472,1452,1471,748900,1096670900
2015-04-07,1464,1474,1449,1460,834500,1218845400
2015-04-06,1442,1475,1441,1467,827400,1212529000
2015-04-03,1431,1451,1431,1451,683700,988730900
2015-04-02,1413,1451,1408,1431,1204800,1727959200
2015-04-01,1439,1454,1399,1402,1948100,2763909600
2015-03-31,1470,1477,1414,1414,974900,1397610500
2015-03-30,1441,1462,1437,1455,674700,981283200
2015-03-27,1427,1467,1417,1433,1343400,1932625700
2015-03-26,1440,1447,1430,1445,935800,1349043200
2015-03-25,1438,1450,1429,1442,602100,867061800
2015-03-24,1440,1455,1431,1435,767300,1103507700
2015-03-23,1435,1442,1422,1440,820700,1176768500
2015-03-20,1453,1454,1414,1432,1271800,1817802200
2015-03-19,1458,1475,1447,1456,859500,1251810500
