2112-T,東証1部,塩水糖,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,234,236,232,235,34900,8187100
2015-10-01,234,236,230,233,51700,12066700
2015-09-30,229,232,229,231,40200,9247600
2015-09-29,232,232,227,227,36200,8282100
2015-09-28,232,234,231,234,21200,4932500
2015-09-25,229,235,228,232,42700,9847500
2015-09-24,230,231,226,227,59800,13689000
2015-09-18,231,232,229,232,43200,9974200
2015-09-17,231,234,231,234,38900,9040700
2015-09-16,231,231,230,231,18300,4216400
2015-09-15,231,233,230,231,42600,9846000
2015-09-14,230,234,230,230,42300,9768900
2015-09-11,231,233,229,230,100000,23078600
2015-09-10,230,231,228,231,70100,16115000
2015-09-09,230,232,227,232,92500,21287000
2015-09-08,237,237,225,226,316500,72639500
2015-09-07,228,262,227,241,1511800,368929100
2015-09-04,234,234,227,228,78200,18011400
2015-09-03,235,235,232,234,32400,7564000
2015-09-02,230,236,227,232,53000,12287100
2015-09-01,243,243,231,232,91100,21509200
2015-08-31,243,245,240,243,40900,9904300
2015-08-28,241,244,239,240,47200,11369400
2015-08-27,238,242,235,237,70700,16849200
2015-08-26,227,235,227,232,101900,23523400
2015-08-25,230,240,222,225,162300,37256900
2015-08-24,250,252,235,237,170100,41674700
2015-08-21,257,257,252,253,132100,33639500
2015-08-20,259,261,259,259,28600,7418800
2015-08-19,264,264,259,260,77700,20243800
2015-08-18,263,265,262,263,50800,13373900
2015-08-17,264,264,262,264,32300,8502900
2015-08-14,261,266,261,265,126800,33500200
2015-08-13,260,261,258,260,72200,18717000
2015-08-12,263,264,260,260,64600,16949000
2015-08-11,262,266,262,263,90200,23786300
2015-08-10,264,265,261,263,92700,24403300
2015-08-07,260,261,258,260,57100,14831100
2015-08-06,259,261,259,259,34900,9067900
2015-08-05,257,259,257,259,27400,7061400
2015-08-04,259,259,257,258,53400,13789000
2015-08-03,259,260,258,258,45900,11853600
2015-07-31,260,260,259,260,36800,9557500
2015-07-30,259,262,259,260,59700,15522200
2015-07-29,261,261,259,259,45100,11715900
2015-07-28,260,262,259,259,68400,17808400
2015-07-27,260,268,260,260,132500,34919800
2015-07-24,262,263,261,261,26100,6838500
2015-07-23,263,263,261,263,41400,10859000
2015-07-22,262,264,261,262,55600,14597400
2015-07-21,263,264,262,264,70000,18425800
2015-07-17,263,263,261,262,31800,8320300
2015-07-16,261,263,260,263,50100,13097500
2015-07-15,262,262,260,260,49500,12907500
2015-07-14,260,262,258,262,74700,19423900
2015-07-13,255,259,254,258,61200,15707800
2015-07-10,254,259,254,256,87200,22313900
2015-07-09,256,256,249,254,212100,53658100
2015-07-08,266,266,257,259,265300,69061900
2015-07-07,262,266,261,266,124100,32614000
2015-07-06,263,266,260,261,94800,24856100
2015-07-03,271,271,263,264,119200,31736600
2015-07-02,275,278,269,271,342100,93482500
2015-07-01,261,280,261,268,317100,85653000
2015-06-30,260,264,260,263,149900,39240000
2015-06-29,263,266,260,263,262800,69058500
2015-06-26,269,307,269,272,2561100,733739900
2015-06-25,260,264,260,262,97400,25486100
2015-06-24,261,262,260,261,43900,11457800
2015-06-23,262,262,260,261,36800,9609800
2015-06-22,258,260,258,260,35200,9115100
2015-06-19,260,260,259,259,30800,7991100
2015-06-18,260,260,258,258,41400,10719300
2015-06-17,260,263,260,260,55300,14407200
2015-06-16,261,262,260,260,18700,4877800
2015-06-15,262,262,260,261,26100,6817900
2015-06-12,265,266,262,262,78000,20593300
2015-06-11,264,265,264,264,18900,4992200
2015-06-10,263,266,263,264,44400,11740300
2015-06-09,265,266,262,262,62600,16523800
2015-06-08,265,268,263,266,69200,18405300
2015-06-05,263,265,262,263,41100,10819100
2015-06-04,264,265,263,264,76400,20186600
2015-06-03,262,264,262,263,45300,11930200
2015-06-02,261,263,261,262,58500,15351800
2015-06-01,262,264,261,261,61700,16196500
2015-05-29,260,263,260,262,25700,6737200
2015-05-28,261,262,260,260,30600,7978600
2015-05-27,262,263,259,260,63100,16439400
2015-05-26,263,263,260,260,30500,7963000
2015-05-25,261,263,260,261,45600,11891400
2015-05-22,263,263,259,259,84300,21924200
2015-05-21,265,265,260,261,119400,31245800
2015-05-20,262,264,259,264,108500,28379400
2015-05-19,261,262,261,262,29700,7764300
2015-05-18,261,261,260,261,19200,5000700
2015-05-15,261,261,258,260,84500,21918100
2015-05-14,260,261,259,260,55400,14404200
2015-05-13,262,263,260,261,45300,11831800
2015-05-12,262,263,259,262,101100,26372100
2015-05-11,264,264,261,261,145300,38188900
2015-05-08,266,269,265,267,46500,12418100
2015-05-07,266,268,265,265,33400,8887800
2015-05-01,266,268,265,266,67100,17835000
2015-04-30,266,270,265,267,62300,16644000
2015-04-28,266,267,266,267,35400,9434800
2015-04-27,266,267,265,266,33900,9010200
2015-04-24,266,267,266,266,21100,5617700
2015-04-23,268,269,266,266,45800,12226200
2015-04-22,266,267,264,267,60500,16057500
2015-04-21,266,267,263,264,89400,23708900
2015-04-20,268,268,263,266,136600,36421900
2015-04-17,272,272,271,271,26100,7084200
2015-04-16,273,273,271,272,22400,6094600
2015-04-15,275,275,272,273,30100,8205300
2015-04-14,273,275,272,275,55900,15279000
2015-04-13,275,275,272,272,38500,10533000
2015-04-10,275,277,273,277,113100,31097200
2015-04-09,272,273,271,272,30100,8184500
2015-04-08,270,272,269,271,23900,6470500
2015-04-07,270,270,269,270,55900,15073200
2015-04-06,271,271,269,269,20500,5540400
2015-04-03,270,272,268,271,38000,10262900
2015-04-02,268,270,267,269,51100,13720100
2015-04-01,268,270,268,269,57100,15318800
2015-03-31,271,273,269,269,62400,16869100
2015-03-30,269,274,269,270,75300,20344200
2015-03-27,275,279,271,272,152200,41723600
2015-03-26,282,284,281,283,262900,74183300
2015-03-25,283,284,282,282,110800,31347800
2015-03-24,283,284,280,281,89500,25208800
2015-03-23,283,284,280,283,108400,30558300
2015-03-20,282,284,280,283,71300,20091000
2015-03-19,285,285,281,281,58300,16483500
2015-03-18,286,287,282,284,88100,25012800
2015-03-17,285,287,284,285,85100,24297600
2015-03-16,281,286,280,285,107800,30569300
2015-03-13,283,283,282,282,63700,18009300
2015-03-12,280,282,279,281,60900,17102500
2015-03-11,280,281,279,280,53000,14828100
2015-03-10,282,283,280,281,58500,16453500
2015-03-09,282,283,281,282,37900,10680400
2015-03-06,283,283,280,281,67100,18901300
2015-03-05,280,281,280,281,18800,5272500
2015-03-04,278,281,276,280,51600,14350400
2015-03-03,279,281,278,278,37800,10558600
2015-03-02,280,282,279,279,40000,11213200
2015-02-27,280,282,279,279,91800,25678500
2015-02-26,284,285,277,280,199500,56161900
2015-02-25,287,288,285,286,182900,52405900
2015-02-24,276,288,275,284,410800,116604800
2015-02-23,275,276,274,274,44700,12295000
2015-02-20,275,275,273,274,68000,18626300
2015-02-19,272,275,272,274,73400,20096200
2015-02-18,273,275,272,272,74100,20274500
2015-02-17,271,273,270,273,34200,9299900
2015-02-16,272,274,271,272,62500,17045000
2015-02-13,273,274,269,270,50800,13765100
2015-02-12,273,275,270,271,97000,26355900
2015-02-10,272,275,270,270,52000,14172400
2015-02-09,270,275,268,272,112100,30442900
2015-02-06,267,268,266,267,34800,9289900
2015-02-05,267,267,266,266,17200,4584100
2015-02-04,265,268,264,267,31000,8242200
2015-02-03,268,269,263,264,79100,20986800
2015-02-02,268,271,266,269,88000,23706400
2015-01-30,267,269,265,269,51600,13839200
2015-01-29,266,269,265,267,100700,26929000
2015-01-28,266,269,265,267,78600,21028500
2015-01-27,266,269,265,268,70600,18890200
2015-01-26,263,266,261,266,92300,24280000
2015-01-23,263,265,261,264,52900,13913800
2015-01-22,265,265,261,263,38800,10194400
2015-01-21,268,268,261,263,80900,21372400
2015-01-20,261,270,261,266,179500,47764700
2015-01-19,261,263,260,262,43700,11413700
2015-01-16,261,262,260,261,65700,17133800
2015-01-15,262,264,261,263,61000,16013000
2015-01-14,261,263,261,262,62500,16366000
2015-01-13,264,264,262,262,59600,15678400
2015-01-09,266,268,265,266,117500,31312300
2015-01-08,265,268,264,266,79600,21170300
2015-01-07,266,268,263,264,80300,21261200
2015-01-06,263,272,263,266,238600,63866900
2015-01-05,263,300,261,264,1058300,290421100
2014-12-30,265,265,263,263,44000,11611400
2014-12-29,259,266,259,263,136400,35822900
2014-12-26,254,258,252,258,114900,29301300
2014-12-25,257,257,254,257,133700,34154500
2014-12-24,260,261,257,258,175900,45431000
2014-12-22,259,260,258,259,83800,21700200
2014-12-19,261,261,257,259,132200,34249600
2014-12-18,257,262,257,259,127700,33132700
2014-12-17,257,258,255,256,102800,26375700
2014-12-16,264,264,258,258,157500,41092500
2014-12-15,266,268,264,264,91600,24348000
2014-12-12,266,268,266,266,123800,33009600
2014-12-11,266,268,266,266,110900,29560800
2014-12-10,268,269,266,266,133200,35611600
2014-12-09,269,270,268,268,67400,18135600
2014-12-08,270,271,269,270,74300,20040600
2014-12-05,270,271,269,269,89300,24095100
2014-12-04,272,272,269,271,120100,32515000
2014-12-03,274,274,270,271,146500,39790400
2014-12-02,278,278,272,272,229700,62892800
2014-12-01,279,280,278,278,55800,15553400
2014-11-28,280,283,278,279,62900,17612800
2014-11-27,278,281,277,279,95700,26768500
2014-11-26,276,280,275,278,110900,30851300
2014-11-25,278,280,274,275,179700,49747400
2014-11-21,280,280,277,278,60700,16898300
2014-11-20,281,284,279,279,71600,20146100
2014-11-19,280,283,280,281,48600,13673800
2014-11-18,278,282,278,282,58100,16308100
2014-11-17,281,282,278,278,67400,18844000
2014-11-14,283,283,277,280,104300,29143400
2014-11-13,280,283,279,282,59400,16680000
2014-11-12,285,285,279,281,46000,12979700
2014-11-11,283,284,281,284,34000,9618600
2014-11-10,281,284,278,283,72600,20439900
2014-11-07,283,283,275,281,84800,23645300
2014-11-06,285,288,280,280,145100,41337400
2014-11-05,277,283,277,283,83100,23303600
2014-11-04,281,283,279,281,160900,45238500
2014-10-31,276,280,273,280,134200,37231000
2014-10-30,274,275,270,273,308400,84132800
2014-10-29,276,277,269,272,108900,29770800
2014-10-28,275,278,271,274,94100,25765000
2014-10-27,274,274,270,273,83900,22793000
2014-10-24,275,275,270,275,68400,18672500
2014-10-23,266,275,264,269,130700,35263700
2014-10-22,269,271,265,268,122500,32802200
2014-10-21,274,274,266,267,115600,31047300
2014-10-20,267,272,267,272,134800,36299200
2014-10-17,272,272,264,264,125300,33506600
2014-10-16,269,272,267,267,114200,30728800
2014-10-15,269,275,269,274,61600,16750900
2014-10-14,274,275,267,267,169600,46008400
2014-10-10,278,284,274,277,187200,51948200
2014-10-09,295,296,282,282,161300,46473700
2014-10-08,290,298,285,294,200200,58440800
2014-10-07,306,306,291,297,237400,70997700
2014-10-06,301,311,300,308,244500,74979500
2014-10-03,293,305,293,303,204300,60887400
2014-10-02,297,303,292,294,329200,97497600
2014-10-01,326,330,296,305,748300,235846500
2014-09-30,326,338,309,330,1349300,433132600
2014-09-29,338,339,315,325,1123100,366651400
2014-09-26,296,315,292,315,878800,271526600
2014-09-25,285,304,285,298,521700,153273700
