2128-T,東証1部,ノバレーゼ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,862,862,855,859,8600,7389600
2015-10-01,860,864,854,862,12500,10741000
2015-09-30,860,863,850,854,11300,9696700
2015-09-29,869,869,851,853,13000,11187200
2015-09-28,879,881,866,875,15800,13818000
2015-09-25,854,864,852,864,10900,9361500
2015-09-24,854,865,854,854,13200,11309900
2015-09-18,860,868,860,862,5500,4745800
2015-09-17,869,880,859,872,7700,6700900
2015-09-16,881,881,863,865,12000,10467800
2015-09-15,863,880,860,867,13500,11749300
2015-09-14,850,869,850,854,13900,11913600
2015-09-11,859,864,859,859,13800,11868700
2015-09-10,854,854,847,850,5800,4931900
2015-09-09,845,864,836,864,19600,16648000
2015-09-08,855,868,820,823,29700,24816100
2015-09-07,847,869,845,857,20200,17328400
2015-09-04,874,874,842,845,28600,24308200
2015-09-03,885,885,872,872,5100,4478600
2015-09-02,870,886,870,875,8600,7532500
2015-09-01,906,908,880,881,17000,15156300
2015-08-31,905,909,902,906,13900,12590800
2015-08-28,899,909,895,908,12700,11484200
2015-08-27,891,895,862,886,12700,11282100
2015-08-26,851,888,846,888,17500,15185000
2015-08-25,830,890,811,846,49900,41743900
2015-08-24,876,884,861,861,35000,30515200
2015-08-21,909,909,894,895,24400,21986100
2015-08-20,919,922,914,915,9700,8905300
2015-08-19,923,935,923,925,14900,13836300
2015-08-18,924,936,921,931,27200,25311000
2015-08-17,920,920,914,920,12700,11658500
2015-08-14,910,919,910,912,9300,8492400
2015-08-13,911,921,908,918,11400,10427100
2015-08-12,928,928,910,920,14600,13370600
2015-08-11,930,931,917,926,21200,19635700
2015-08-10,918,929,917,929,31800,29416500
2015-08-07,911,924,911,918,14800,13595800
2015-08-06,917,923,910,917,18100,16629600
2015-08-05,910,918,901,917,16300,14879500
2015-08-04,917,919,910,915,7800,7134200
2015-08-03,915,918,909,917,15200,13902100
2015-07-31,909,916,904,914,19900,18141400
2015-07-30,899,920,897,914,54300,49465600
2015-07-29,890,890,875,888,10100,8914400
2015-07-28,885,895,872,888,24900,21929200
2015-07-27,893,899,893,893,8700,7795400
2015-07-24,893,894,890,893,11100,9904000
2015-07-23,894,894,891,893,8200,7319900
2015-07-22,896,897,890,894,9400,8397900
2015-07-21,901,902,895,897,10600,9526500
2015-07-17,901,902,893,898,9700,8719200
2015-07-16,896,901,893,901,19400,17417100
2015-07-15,884,898,884,895,15200,13575300
2015-07-14,880,885,878,884,15200,13402000
2015-07-13,880,880,873,876,33600,29499900
2015-07-10,881,882,871,875,14100,12359200
2015-07-09,878,878,855,874,40700,35233500
2015-07-08,901,904,885,885,21800,19508700
2015-07-07,892,905,892,902,13800,12424400
2015-07-06,898,898,892,893,17800,15921500
2015-07-03,904,904,898,898,12700,11433900
2015-07-02,909,909,900,900,18500,16698400
2015-07-01,898,905,896,902,12900,11611500
2015-06-30,900,903,891,897,32800,29409800
2015-06-29,900,903,890,903,49000,43938800
2015-06-26,905,912,902,911,79300,71840100
2015-06-25,925,928,920,920,123900,114532600
2015-06-24,926,928,925,927,38700,35865800
2015-06-23,926,928,924,926,36100,33424900
2015-06-22,920,926,920,926,23900,22054600
2015-06-19,916,928,915,919,24000,22077300
2015-06-18,923,925,912,916,31500,28963600
2015-06-17,927,931,924,924,18200,16864000
2015-06-16,925,931,925,926,22100,20477500
2015-06-15,928,933,926,927,36100,33512300
2015-06-12,927,933,922,925,48700,45149400
2015-06-11,924,929,922,925,19800,18309900
2015-06-10,922,929,917,923,20200,18684500
2015-06-09,922,923,919,919,16800,15466200
2015-06-08,930,930,921,921,20700,19120000
2015-06-05,927,933,922,922,28400,26269300
2015-06-04,909,940,909,929,61400,56927600
2015-06-03,900,913,900,906,32500,29416300
2015-06-02,913,914,908,910,15300,13942300
2015-06-01,909,914,909,909,26500,24149000
2015-05-29,916,922,911,913,21000,19225400
2015-05-28,924,925,916,916,21700,19976800
2015-05-27,913,924,911,920,15600,14310600
2015-05-26,913,919,913,913,11700,10703100
2015-05-25,924,924,914,914,25500,23423000
2015-05-22,920,925,913,917,33200,30501800
2015-05-21,908,916,908,912,18000,16414800
2015-05-20,899,908,899,906,12900,11672100
2015-05-19,900,904,896,899,23500,21144500
2015-05-18,898,903,893,901,18500,16603400
2015-05-15,890,898,890,893,15800,14109900
2015-05-14,892,894,885,887,12900,11468600
2015-05-13,894,895,888,892,7900,7044600
2015-05-12,891,892,883,888,13400,11892100
2015-05-11,899,899,881,890,21700,19299500
2015-05-08,877,892,877,885,20200,17826200
2015-05-07,876,885,873,876,25500,22377800
2015-05-01,890,895,873,881,36300,31918000
2015-04-30,903,913,881,890,77500,69281000
2015-04-28,909,917,905,917,22400,20400100
2015-04-27,915,917,905,913,25000,22813200
2015-04-24,927,929,912,922,20600,18952800
2015-04-23,936,939,920,926,23900,22223900
2015-04-22,940,944,929,936,22600,21210700
2015-04-21,930,938,930,937,8100,7570500
2015-04-20,936,944,924,929,24300,22694000
2015-04-17,925,938,921,936,26100,24275000
2015-04-16,924,924,918,924,16100,14845500
2015-04-15,920,923,917,921,17100,15730200
2015-04-14,920,923,919,920,15500,14260200
2015-04-13,917,921,917,921,12600,11582500
2015-04-10,921,924,915,917,21600,19879200
2015-04-09,918,920,911,917,19300,17675900
2015-04-08,920,921,915,915,16700,15330600
2015-04-07,914,922,913,915,17900,16427600
2015-04-06,912,917,911,913,9800,8949500
2015-04-03,905,911,905,911,16300,14807700
2015-04-02,906,909,902,905,13500,12220000
2015-04-01,893,909,893,904,19500,17591000
2015-03-31,895,905,891,897,11500,10342600
2015-03-30,899,899,886,893,18400,16395400
2015-03-27,901,914,900,900,16000,14441600
2015-03-26,918,918,904,910,16700,15213400
2015-03-25,920,924,916,918,17100,15737500
2015-03-24,918,923,915,921,17300,15911200
2015-03-23,910,920,910,918,19300,17697600
2015-03-20,899,909,888,905,22800,20583200
2015-03-19,900,903,895,897,16100,14478200
2015-03-18,890,899,888,895,20600,18432100
2015-03-17,881,899,879,886,21500,19126500
2015-03-16,880,891,874,879,28300,24928500
2015-03-13,872,875,869,874,29700,25914400
2015-03-12,866,872,866,868,17000,14782900
2015-03-11,864,871,864,869,11400,9887100
2015-03-10,867,872,865,871,14400,12510800
2015-03-09,866,867,861,866,14600,12621400
2015-03-06,866,866,862,866,15300,13227500
2015-03-05,865,867,863,865,13700,11862100
2015-03-04,865,868,862,866,9600,8308900
2015-03-03,861,869,860,863,10700,9234400
2015-03-02,857,870,857,860,17500,15111400
2015-02-27,865,865,852,855,20400,17483000
2015-02-26,863,865,860,865,23100,19909800
2015-02-25,870,870,862,865,12800,11069900
2015-02-24,862,866,861,865,22100,19103700
2015-02-23,873,874,862,864,20100,17428200
2015-02-20,865,867,860,867,12800,11065900
2015-02-19,853,865,851,864,18300,15725600
2015-02-18,855,859,845,853,32000,27253700
2015-02-17,847,851,842,850,16700,14146100
2015-02-16,840,846,839,843,24100,20307500
2015-02-13,837,837,830,836,16400,13688600
2015-02-12,845,845,826,830,48500,40355000
2015-02-10,843,845,830,832,33900,28355500
2015-02-09,835,850,835,842,20100,16891000
2015-02-06,836,838,834,834,11000,9188200
2015-02-05,830,837,821,836,23900,19895300
2015-02-04,828,837,827,830,19600,16314900
2015-02-03,840,840,824,826,22200,18412900
2015-02-02,846,846,820,836,58500,48477100
2015-01-30,836,844,832,834,63300,53113600
2015-01-29,843,843,817,827,38800,32228400
2015-01-28,824,838,821,838,38500,32000200
2015-01-27,840,841,811,824,164500,135547500
2015-01-26,875,878,871,878,11800,10331800
2015-01-23,878,878,871,876,6800,5948800
2015-01-22,869,871,861,868,16700,14456100
2015-01-21,872,879,867,871,7900,6901700
2015-01-20,872,872,862,872,11200,9726500
2015-01-19,859,867,857,857,18800,16173700
2015-01-16,871,871,860,866,22800,19731300
2015-01-15,859,871,858,871,14700,12704700
2015-01-14,858,867,856,859,16900,14529400
2015-01-13,863,872,861,871,27900,24134600
2015-01-09,879,890,878,883,15900,14030100
2015-01-08,883,886,881,885,12300,10864400
2015-01-07,885,887,881,883,16300,14414900
2015-01-06,899,899,887,887,26400,23549100
2015-01-05,890,903,890,897,22600,20284200
2014-12-30,906,910,901,902,12100,10963700
2014-12-29,915,915,899,906,29400,26668100
2014-12-26,900,921,891,917,87900,79599100
2014-12-25,921,931,918,918,87700,80862800
2014-12-24,929,934,917,931,59300,55013000
2014-12-22,906,918,906,914,32900,29973300
2014-12-19,907,912,896,904,36900,33373200
2014-12-18,895,895,884,888,27500,24511000
2014-12-17,891,900,877,877,54400,48270600
2014-12-16,912,913,894,899,54400,49387600
2014-12-15,916,928,912,912,36600,33621800
2014-12-12,909,916,908,914,54700,49857900
2014-12-11,900,908,894,908,29800,26896300
2014-12-10,893,904,891,901,38700,34677500
2014-12-09,898,913,896,897,46100,41655100
2014-12-08,896,902,895,901,35400,31829600
2014-12-05,895,899,891,895,33300,29834300
2014-12-04,887,893,887,892,20200,17986400
2014-12-03,892,894,888,890,42000,37440300
2014-12-02,891,893,890,893,12100,10791300
2014-12-01,893,896,889,890,33200,29627800
2014-11-28,892,896,889,889,26600,23721200
2014-11-27,888,890,887,889,11400,10126400
2014-11-26,886,889,886,887,19100,16942100
2014-11-25,882,887,882,886,11200,9902600
2014-11-21,886,887,880,882,12800,11304400
2014-11-20,881,886,881,884,13000,11475400
2014-11-19,879,887,879,882,15900,14038600
2014-11-18,875,880,875,877,22100,19371000
2014-11-17,890,890,874,876,34200,30104100
2014-11-14,891,891,874,889,36300,32076800
2014-11-13,889,891,884,890,19500,17305000
2014-11-12,894,895,886,886,36300,32304600
2014-11-11,885,892,884,890,22400,19866500
2014-11-10,880,895,880,889,32200,28568700
2014-11-07,870,885,868,879,37500,32880200
2014-11-06,877,886,871,873,30100,26421400
2014-11-05,867,877,867,873,46000,40056500
2014-11-04,876,881,864,870,66700,58157900
2014-10-31,869,870,856,869,48100,41499900
2014-10-30,884,889,853,863,139700,120808100
2014-10-29,887,892,883,892,26200,23278700
2014-10-28,877,888,873,881,31400,27653200
2014-10-27,865,875,865,870,14600,12699800
2014-10-24,866,868,855,860,33700,28995300
2014-10-23,862,866,853,860,18700,16074200
2014-10-22,864,864,850,857,31600,27099800
2014-10-21,868,868,844,850,26200,22343700
2014-10-20,861,866,853,864,18900,16260200
2014-10-17,847,857,831,831,18400,15491200
2014-10-16,860,860,842,847,40600,34480100
2014-10-15,863,874,857,864,20500,17682300
2014-10-14,860,869,850,856,37100,31893700
2014-10-10,881,883,870,873,28700,25146700
2014-10-09,900,900,884,885,18000,16031100
2014-10-08,881,903,881,896,21200,18947000
2014-10-07,918,919,901,905,37200,33889500
2014-10-06,897,920,896,915,33400,30458600
2014-10-03,890,896,885,887,27900,24815900
2014-10-02,892,893,877,880,44900,39717100
2014-10-01,915,918,909,909,13100,11973400
2014-09-30,917,924,897,904,32800,29743500
2014-09-29,919,934,915,918,28500,26290400
2014-09-26,892,919,892,910,45200,41074600
2014-09-25,874,899,873,895,59900,53181900
