2201-T,東証1部,森永菓,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,589,617,584,603,2431000,1458553000
2015-10-01,584,592,567,589,3062000,1776003000
2015-09-30,560,589,558,587,3446000,1995394000
2015-09-29,555,574,551,565,3723000,2104212000
2015-09-28,546,561,538,560,2731000,1509728000
2015-09-25,530,555,527,553,2757000,1491166000
2015-09-24,511,531,511,522,1507000,790731000
2015-09-18,518,534,511,521,1857000,972060000
2015-09-17,512,527,508,525,3703000,1916974000
2015-09-16,533,537,504,513,2623000,1347945000
2015-09-15,536,542,530,530,1385000,741250000
2015-09-14,544,552,528,528,1901000,1021950000
2015-09-11,520,559,520,549,2504000,1352765000
2015-09-10,543,546,524,534,2599000,1391337000
2015-09-09,561,563,541,560,3274000,1813831000
2015-09-08,600,605,534,539,4517000,2513796000
2015-09-07,605,615,595,601,1638000,987793000
2015-09-04,639,639,605,613,1781000,1095098000
2015-09-03,642,658,628,631,2069000,1333722000
2015-09-02,603,646,603,632,2705000,1705518000
2015-09-01,640,643,618,622,2383000,1500800000
2015-08-31,643,647,632,647,2290000,1467009000
2015-08-28,661,661,636,648,1946000,1256957000
2015-08-27,641,660,630,643,2867000,1851700000
2015-08-26,625,635,612,623,2098000,1303549000
2015-08-25,601,653,591,617,3370000,2106634000
2015-08-24,651,667,630,631,2544000,1644801000
2015-08-21,666,685,662,665,2871000,1920428000
2015-08-20,698,715,684,686,2427000,1685213000
2015-08-19,731,731,701,705,3252000,2310587000
2015-08-18,725,742,720,734,2812000,2061148000
2015-08-17,700,723,699,723,1714000,1227839000
2015-08-14,717,728,700,704,3310000,2345737000
2015-08-13,681,716,677,714,4131000,2899399000
2015-08-12,693,693,669,675,2325000,1578605000
2015-08-11,707,708,672,682,3728000,2562597000
2015-08-10,675,707,671,704,4229000,2939597000
2015-08-07,646,689,636,683,11293000,7481119000
2015-08-06,615,655,612,655,7093000,4551814000
2015-08-05,550,559,541,555,1190000,656147000
2015-08-04,552,557,546,549,841000,463627000
2015-08-03,538,552,537,549,991000,541416000
2015-07-31,545,546,537,541,1082000,584924000
2015-07-30,564,564,543,545,1528000,842120000
2015-07-29,550,562,545,559,866000,481133000
2015-07-28,541,556,536,553,774000,424027000
2015-07-27,559,560,539,541,1048000,572834000
2015-07-24,566,568,556,559,923000,518180000
2015-07-23,554,570,553,569,934000,528142000
2015-07-22,565,566,552,554,1026000,570931000
2015-07-21,568,568,561,566,784000,442808000
2015-07-17,560,574,560,565,1663000,941271000
2015-07-16,536,560,536,558,2001000,1104680000
2015-07-15,543,543,531,539,1019000,546780000
2015-07-14,544,547,537,541,1296000,700969000
2015-07-13,520,539,512,536,1622000,861714000
2015-07-10,512,524,508,511,1058000,544593000
2015-07-09,507,516,492,513,1985000,1007627000
2015-07-08,536,545,520,521,1709000,909387000
2015-07-07,523,538,523,536,1047000,558210000
2015-07-06,515,525,511,514,908000,469007000
2015-07-03,538,538,521,525,1224000,647667000
2015-07-02,541,545,530,533,1560000,835996000
2015-07-01,526,540,524,535,1438000,767249000
2015-06-30,507,527,507,524,1514000,789996000
2015-06-29,503,521,503,510,1296000,663807000
2015-06-26,516,524,515,523,1119000,582869000
2015-06-25,519,519,511,513,1253000,645189000
2015-06-24,504,525,501,524,2799000,1445452000
2015-06-23,503,504,495,499,1289000,643295000
2015-06-22,502,508,496,499,1018000,510142000
2015-06-19,503,516,497,500,2440000,1233626000
2015-06-18,495,505,492,498,1913000,954626000
2015-06-17,479,508,478,497,3106000,1541841000
2015-06-16,476,485,470,480,1486000,710895000
2015-06-15,468,481,467,480,1342000,636465000
2015-06-12,480,486,472,476,2345000,1121672000
2015-06-11,460,475,459,474,1476000,693848000
2015-06-10,455,461,455,456,473000,216378000
2015-06-09,461,462,456,456,800000,366276000
2015-06-08,466,466,462,464,437000,202566000
2015-06-05,464,470,464,468,729000,341134000
2015-06-04,468,470,466,467,651000,304699000
2015-06-03,467,470,464,466,753000,350761000
2015-06-02,471,472,467,472,856000,402585000
2015-06-01,470,474,467,472,867000,408558000
2015-05-29,467,473,466,472,1285000,604559000
2015-05-28,477,478,467,471,1176000,554394000
2015-05-27,463,477,458,475,2026000,954580000
2015-05-26,462,464,458,463,1030000,474833000
2015-05-25,466,467,461,464,943000,437234000
2015-05-22,472,474,465,472,1346000,632159000
2015-05-21,474,487,471,477,4052000,1936253000
2015-05-20,455,477,455,474,5755000,2697228000
2015-05-19,438,450,435,450,4638000,2061242000
2015-05-18,422,443,417,438,7092000,3064188000
2015-05-15,397,400,395,398,928000,368663000
2015-05-14,396,398,390,391,833000,327273000
2015-05-13,398,401,394,399,834000,331584000
2015-05-12,403,404,399,400,779000,312522000
2015-05-11,403,405,400,402,553000,222652000
2015-05-08,399,405,399,401,1609000,646566000
2015-05-07,383,406,383,399,2115000,842770000
2015-05-01,400,401,388,391,1866000,731311000
2015-04-30,405,407,400,403,969000,390531000
2015-04-28,419,419,407,409,1346000,552543000
2015-04-27,413,415,411,413,403000,166237000
2015-04-24,408,415,406,413,896000,368566000
2015-04-23,417,422,408,410,1540000,632962000
2015-04-22,427,428,415,418,1460000,611734000
2015-04-21,416,427,415,425,1503000,632715000
2015-04-20,405,422,400,414,1437000,591921000
2015-04-17,412,415,407,412,1583000,649932000
2015-04-16,427,427,411,418,1994000,830950000
2015-04-15,437,440,423,427,1825000,785656000
2015-04-14,435,439,432,436,1238000,539562000
2015-04-13,452,454,437,440,1497000,662378000
2015-04-10,457,458,449,452,1296000,586803000
2015-04-09,455,464,454,457,1532000,702511000
2015-04-08,458,458,450,453,1337000,607504000
2015-04-07,460,460,448,454,2275000,1034247000
2015-04-06,442,464,438,460,4055000,1855896000
2015-04-03,417,446,416,444,4441000,1932943000
2015-04-02,411,420,411,416,1832000,761424000
2015-04-01,420,420,408,413,1627000,674252000
2015-03-31,430,432,420,422,1667000,708850000
2015-03-30,410,429,410,427,1813000,765566000
2015-03-27,412,423,408,415,1797000,748650000
2015-03-26,433,433,421,426,1505000,641940000
2015-03-25,426,434,424,432,1865000,801262000
2015-03-24,415,426,413,426,1841000,773904000
2015-03-23,423,424,411,417,1723000,717534000
2015-03-20,426,431,418,423,2175000,920880000
2015-03-19,414,429,413,424,3184000,1339419000
2015-03-18,407,414,402,411,1543000,629207000
2015-03-17,412,415,403,404,2536000,1036627000
2015-03-16,400,412,392,407,4119000,1661884000
2015-03-13,387,387,381,382,1256000,482592000
2015-03-12,385,390,383,384,1420000,548636000
2015-03-11,379,385,377,382,623000,237931000
2015-03-10,386,386,380,381,528000,202076000
2015-03-09,381,387,378,386,725000,278702000
2015-03-06,378,388,377,383,1167000,447010000
2015-03-05,368,379,368,379,840000,315605000
2015-03-04,367,370,363,368,675000,247707000
2015-03-03,366,372,363,371,983000,362820000
2015-03-02,374,374,366,366,1115000,412552000
2015-02-27,379,386,373,374,1391000,528367000
2015-02-26,374,380,372,379,1181000,444198000
2015-02-25,365,375,362,375,1609000,596747000
2015-02-24,368,370,365,367,718000,263734000
2015-02-23,368,370,365,368,606000,222735000
2015-02-20,371,372,363,367,1086000,398285000
2015-02-19,360,371,358,370,1717000,629620000
2015-02-18,363,363,356,360,1216000,437843000
2015-02-17,349,362,346,360,1782000,634887000
2015-02-16,360,360,349,350,895000,317139000
2015-02-13,355,356,351,353,871000,308257000
2015-02-12,350,358,350,354,884000,313336000
2015-02-10,339,350,339,349,1750000,605144000
2015-02-09,330,340,326,335,1578000,527336000
2015-02-06,345,346,331,331,1179000,396291000
2015-02-05,346,349,341,341,698000,240799000
2015-02-04,352,356,344,345,1350000,470520000
2015-02-03,365,365,347,348,1450000,512838000
2015-02-02,364,368,354,362,1268000,459855000
2015-01-30,365,370,363,367,1365000,501381000
2015-01-29,347,365,347,358,2194000,784501000
2015-01-28,346,351,345,346,907000,315138000
2015-01-27,338,350,338,350,1338000,462328000
2015-01-26,333,339,332,337,657000,220216000
2015-01-23,347,347,336,338,1135000,386346000
2015-01-22,345,345,335,345,1223000,417751000
2015-01-21,346,346,342,345,832000,286004000
2015-01-20,347,348,341,345,1090000,375459000
2015-01-19,335,345,331,344,1438000,487270000
2015-01-16,328,332,326,331,847000,278372000
2015-01-15,324,333,324,333,2057000,676756000
2015-01-14,322,325,318,322,1042000,334807000
2015-01-13,314,322,312,322,893000,283311000
2015-01-09,315,317,312,316,833000,262291000
2015-01-08,307,315,307,313,678000,211795000
2015-01-07,300,309,300,306,542000,165654000
2015-01-06,307,308,302,302,1057000,321594000
2015-01-05,316,318,310,311,688000,215481000
2014-12-30,310,316,309,316,707000,221234000
2014-12-29,315,315,309,311,567000,176311000
2014-12-26,315,316,310,312,469000,146296000
2014-12-25,317,317,313,315,644000,202395000
2014-12-24,314,318,313,316,1365000,430648000
2014-12-22,310,315,307,312,1270000,393926000
2014-12-19,304,310,303,310,1360000,418031000
2014-12-18,298,302,297,302,920000,275844000
2014-12-17,297,299,288,290,1089000,319564000
2014-12-16,293,304,292,298,1839000,552369000
2014-12-15,297,299,294,294,832000,246871000
2014-12-12,302,303,291,297,2274000,678911000
2014-12-11,284,308,283,304,3165000,944795000
2014-12-10,292,292,284,286,1169000,335433000
2014-12-09,281,295,280,292,1669000,481453000
2014-12-08,282,284,281,281,753000,212574000
2014-12-05,274,280,273,280,573000,158565000
2014-12-04,274,277,272,274,506000,138528000
2014-12-03,282,282,274,274,725000,200988000
2014-12-02,276,282,275,282,667000,186296000
2014-12-01,272,277,272,277,533000,146699000
2014-11-28,273,275,270,273,606000,164909000
2014-11-27,271,276,271,274,327000,89633000
2014-11-26,273,277,271,273,556000,152120000
2014-11-25,281,282,275,275,781000,216156000
2014-11-21,281,282,276,281,944000,263067000
2014-11-20,270,282,270,282,1648000,456682000
2014-11-19,270,274,270,270,682000,185353000
2014-11-18,264,270,264,270,531000,142277000
2014-11-17,270,271,264,265,659000,175682000
2014-11-14,273,273,267,270,1112000,300865000
2014-11-13,269,272,265,271,1372000,368789000
2014-11-12,266,270,264,268,2194000,586567000
2014-11-11,262,265,261,263,2082000,547089000
2014-11-10,260,262,257,261,1212000,314800000
2014-11-07,254,260,254,260,1638000,420443000
2014-11-06,245,261,243,257,3982000,1011626000
2014-11-05,234,238,233,235,536000,126036000
2014-11-04,239,240,233,233,879000,208069000
2014-10-31,234,240,231,239,715000,169362000
2014-10-30,229,235,228,232,1052000,244037000
2014-10-29,229,232,227,230,479000,110010000
2014-10-28,226,229,226,228,180000,41019000
2014-10-27,225,228,224,228,338000,76656000
2014-10-24,226,226,224,226,262000,59068000
2014-10-23,224,227,223,224,342000,76883000
2014-10-22,224,227,224,226,295000,66391000
2014-10-21,226,227,222,222,191000,42803000
2014-10-20,222,226,222,226,224000,50423000
2014-10-17,223,223,218,219,449000,98940000
2014-10-16,226,230,220,221,634000,141970000
2014-10-15,227,230,226,228,427000,97124000
2014-10-14,225,228,225,226,411000,92818000
2014-10-10,230,232,228,229,424000,97535000
2014-10-09,237,238,232,233,455000,106815000
2014-10-08,237,239,234,239,697000,165193000
