2207-T,東証1部,名糖産,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1317,1323,1307,1317,8500,11171900
2015-10-01,1315,1320,1305,1319,11100,14581800
2015-09-30,1314,1318,1303,1311,8500,11143000
2015-09-29,1310,1314,1294,1303,22600,29511200
2015-09-28,1309,1321,1305,1314,41900,54983600
2015-09-25,1325,1351,1325,1329,71800,95381500
2015-09-24,1350,1350,1332,1332,28800,38693100
2015-09-18,1327,1356,1323,1350,19500,26166900
2015-09-17,1315,1330,1315,1327,8800,11638800
2015-09-16,1317,1319,1310,1313,7000,9195000
2015-09-15,1310,1324,1309,1312,10800,14182800
2015-09-14,1330,1330,1311,1311,8000,10554600
2015-09-11,1306,1324,1306,1318,20000,26172600
2015-09-10,1325,1327,1311,1323,7600,10020200
2015-09-09,1317,1337,1306,1337,12700,16782600
2015-09-08,1319,1324,1300,1304,8600,11260500
2015-09-07,1300,1343,1295,1319,15000,19670400
2015-09-04,1330,1330,1300,1312,10200,13394200
2015-09-03,1330,1339,1303,1319,8400,11133900
2015-09-02,1311,1335,1305,1316,14400,18989400
2015-09-01,1375,1375,1340,1340,12600,17071000
2015-08-31,1374,1374,1351,1373,9600,13126600
2015-08-28,1398,1398,1363,1372,10300,14176100
2015-08-27,1349,1361,1330,1346,16200,21838700
2015-08-26,1321,1325,1295,1318,12300,16079900
2015-08-25,1282,1330,1253,1291,28300,36401300
2015-08-24,1300,1346,1290,1290,27500,35984800
2015-08-21,1335,1342,1301,1317,29700,39306400
2015-08-20,1405,1410,1360,1362,18900,26127100
2015-08-19,1443,1443,1391,1404,19100,27044000
2015-08-18,1420,1457,1419,1443,29800,42745000
2015-08-17,1400,1421,1400,1413,14400,20301800
2015-08-14,1385,1392,1378,1386,5500,7614500
2015-08-13,1387,1403,1372,1382,13700,18908100
2015-08-12,1394,1399,1384,1388,10000,13902600
2015-08-11,1400,1413,1394,1395,19900,27889600
2015-08-10,1374,1419,1374,1419,29200,40831800
2015-08-07,1368,1375,1366,1373,9300,12750800
2015-08-06,1366,1377,1366,1368,14900,20451900
2015-08-05,1366,1376,1366,1372,10000,13717400
2015-08-04,1370,1371,1365,1369,5200,7114100
2015-08-03,1368,1376,1364,1369,8900,12175800
2015-07-31,1376,1377,1368,1374,10200,14006500
2015-07-30,1367,1376,1367,1376,13600,18677900
2015-07-29,1373,1373,1363,1367,9200,12579400
2015-07-28,1361,1369,1340,1363,8800,11958300
2015-07-27,1377,1377,1333,1361,19300,26389000
2015-07-24,1373,1377,1370,1374,13300,18273700
2015-07-23,1365,1373,1365,1373,8100,11096100
2015-07-22,1377,1377,1361,1365,11600,15895400
2015-07-21,1371,1380,1361,1374,24600,33768500
2015-07-17,1345,1356,1333,1356,12700,17122600
2015-07-16,1333,1341,1324,1335,24100,32181800
2015-07-15,1330,1332,1318,1321,13100,17370100
2015-07-14,1335,1335,1315,1325,8900,11790300
2015-07-13,1328,1328,1314,1323,7700,10160100
2015-07-10,1308,1327,1305,1310,20800,27353000
2015-07-09,1298,1315,1294,1312,21500,28021400
2015-07-08,1342,1343,1306,1320,24200,32197700
2015-07-07,1312,1347,1310,1338,16200,21580600
2015-07-06,1307,1319,1306,1310,13600,17794500
2015-07-03,1321,1321,1305,1306,9300,12183300
2015-07-02,1298,1349,1297,1325,25800,33983700
2015-07-01,1291,1297,1287,1294,6500,8399000
2015-06-30,1281,1290,1279,1290,11100,14253000
2015-06-29,1288,1300,1282,1282,15000,19327600
2015-06-26,1295,1295,1289,1290,10700,13805900
2015-06-25,1290,1298,1289,1289,11300,14609000
2015-06-24,1293,1295,1282,1285,13500,17400900
2015-06-23,1282,1295,1282,1293,8800,11349400
2015-06-22,1285,1300,1272,1282,8400,10784000
2015-06-19,1286,1299,1280,1287,6900,8893300
2015-06-18,1268,1282,1268,1270,8900,11335100
2015-06-17,1263,1279,1263,1271,6300,8012900
2015-06-16,1269,1276,1269,1270,7800,9917700
2015-06-15,1265,1269,1256,1269,9100,11494600
2015-06-12,1270,1277,1259,1262,42200,53531300
2015-06-11,1277,1283,1250,1268,20500,26058000
2015-06-10,1277,1291,1276,1276,6300,8052600
2015-06-09,1279,1300,1274,1276,20200,25914400
2015-06-08,1275,1278,1272,1275,7000,8923700
2015-06-05,1271,1279,1270,1271,18200,23173700
2015-06-04,1280,1280,1271,1271,12700,16188800
2015-06-03,1275,1284,1273,1273,9500,12121300
2015-06-02,1287,1287,1270,1278,12700,16250200
2015-06-01,1286,1295,1283,1287,8800,11337500
2015-05-29,1273,1288,1273,1281,9300,11908400
2015-05-28,1271,1288,1269,1272,9700,12380600
2015-05-27,1280,1285,1278,1282,9200,11785600
2015-05-26,1271,1285,1270,1275,13800,17636900
2015-05-25,1275,1280,1268,1270,10800,13737200
2015-05-22,1266,1280,1260,1275,6000,7633500
2015-05-21,1280,1280,1255,1266,8700,11050600
2015-05-20,1263,1277,1258,1275,15700,19921400
2015-05-19,1248,1263,1247,1263,13400,16813200
2015-05-18,1241,1250,1240,1250,8700,10838300
2015-05-15,1230,1240,1222,1239,10300,12718800
2015-05-14,1209,1213,1209,1211,5600,6781500
2015-05-13,1217,1217,1204,1208,11500,13898600
2015-05-12,1232,1232,1211,1217,6900,8427800
2015-05-11,1226,1237,1224,1225,12300,15137500
2015-05-08,1214,1230,1214,1222,11600,14177500
2015-05-07,1213,1219,1207,1207,7000,8480400
2015-05-01,1210,1213,1204,1213,18700,22613900
2015-04-30,1209,1210,1204,1210,18100,21875400
2015-04-28,1201,1209,1201,1208,11700,14126200
2015-04-27,1204,1205,1191,1198,21000,25106300
2015-04-24,1201,1206,1201,1201,4900,5894800
2015-04-23,1204,1206,1200,1201,5600,6737200
2015-04-22,1206,1206,1201,1204,3800,4570100
2015-04-21,1201,1207,1200,1205,6300,7575500
2015-04-20,1199,1204,1199,1203,5300,6367800
2015-04-17,1200,1205,1195,1199,13200,15839700
2015-04-16,1209,1209,1199,1205,7000,8420400
2015-04-15,1207,1208,1196,1208,5200,6264900
2015-04-14,1206,1206,1200,1206,4100,4934100
2015-04-13,1205,1209,1195,1200,8200,9850300
2015-04-10,1204,1209,1199,1204,9400,11325000
2015-04-09,1205,1205,1192,1198,5100,6117000
2015-04-08,1197,1205,1195,1205,7700,9241500
2015-04-07,1190,1202,1190,1197,6200,7421400
2015-04-06,1200,1200,1190,1195,3800,4541900
2015-04-03,1198,1198,1189,1196,8200,9785100
2015-04-02,1190,1202,1190,1192,11700,13973900
2015-04-01,1183,1188,1177,1184,14700,17396900
2015-03-31,1191,1191,1181,1183,7500,8883300
2015-03-30,1187,1190,1179,1184,5400,6403200
2015-03-27,1180,1190,1171,1177,8700,10261000
2015-03-26,1208,1208,1193,1196,12000,14430800
