2281-T,東証1部,プリマハム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,320,327,318,326,1264000,409572000
2015-10-01,321,322,316,320,997000,318746000
2015-09-30,309,322,309,319,1173000,372856000
2015-09-29,316,317,305,307,1635000,507781000
2015-09-28,319,322,317,320,1255000,400538000
2015-09-25,316,322,315,321,3972000,1260679000
2015-09-24,317,322,316,316,1740000,553473000
2015-09-18,324,325,320,320,1075000,346480000
2015-09-17,322,328,319,326,1026000,332561000
2015-09-16,321,321,316,318,1032000,328561000
2015-09-15,325,325,316,319,1432000,458640000
2015-09-14,327,328,318,318,828000,267468000
2015-09-11,316,326,316,322,1005000,321848000
2015-09-10,321,322,314,320,1681000,534789000
2015-09-09,322,327,315,327,1251000,401050000
2015-09-08,320,320,314,315,981000,310089000
2015-09-07,317,321,316,319,796000,253405000
2015-09-04,332,333,320,322,1280000,414366000
2015-09-03,338,340,331,331,861000,287855000
2015-09-02,331,343,327,335,966000,323500000
2015-09-01,345,345,337,337,1284000,436729000
2015-08-31,352,353,343,345,1251000,432212000
2015-08-28,354,355,346,350,1559000,545827000
2015-08-27,343,352,342,344,1167000,404507000
2015-08-26,339,343,335,335,1101000,371451000
2015-08-25,322,354,317,331,1749000,581779000
2015-08-24,350,354,340,341,1489000,515339000
2015-08-21,366,366,358,360,1545000,558857000
2015-08-20,377,381,370,371,744000,278675000
2015-08-19,382,382,375,377,1074000,405182000
2015-08-18,389,390,382,385,694000,267696000
2015-08-17,382,389,377,388,1181000,453593000
2015-08-14,371,381,369,376,913000,344091000
2015-08-13,370,375,366,372,1124000,416137000
2015-08-12,387,387,370,372,1646000,618377000
2015-08-11,391,392,382,385,973000,375116000
2015-08-10,383,390,381,388,978000,377912000
2015-08-07,388,388,381,383,1395000,535188000
2015-08-06,392,397,388,389,887000,347312000
2015-08-05,388,397,384,394,1752000,683933000
2015-08-04,395,405,379,396,3074000,1207071000
2015-08-03,407,420,387,392,3403000,1367605000
2015-07-31,420,428,406,407,2804000,1163872000
2015-07-30,409,420,409,420,2499000,1037777000
2015-07-29,405,409,401,404,1245000,503598000
2015-07-28,393,403,390,401,898000,356435000
2015-07-27,404,410,396,400,1123000,452335000
2015-07-24,405,411,402,404,2092000,848175000
2015-07-23,390,403,387,401,1759000,699142000
2015-07-22,391,392,385,386,1100000,426743000
2015-07-21,398,399,392,393,792000,312434000
2015-07-17,393,398,392,394,1473000,582216000
2015-07-16,392,402,389,393,2608000,1027552000
2015-07-15,376,390,373,389,2351000,897612000
2015-07-14,370,377,370,373,1162000,433830000
2015-07-13,364,369,361,367,801000,293564000
2015-07-10,358,364,356,359,996000,358329000
2015-07-09,351,362,345,361,1416000,501781000
2015-07-08,371,372,359,362,1487000,541871000
2015-07-07,366,374,365,372,778000,288401000
2015-07-06,369,371,363,364,985000,360923000
2015-07-03,370,373,367,371,1232000,455384000
2015-07-02,382,384,367,370,2152000,806877000
2015-07-01,377,382,375,376,1712000,648129000
2015-06-30,372,377,371,375,1019000,381237000
2015-06-29,374,377,369,373,1235000,460319000
2015-06-26,377,387,377,382,1322000,505894000
2015-06-25,379,382,376,379,1007000,381683000
2015-06-24,378,382,375,376,1531000,578645000
2015-06-23,381,384,370,383,2141000,810171000
2015-06-22,380,386,379,384,2740000,1048287000
2015-06-19,358,375,357,371,3988000,1463903000
2015-06-18,357,359,353,358,1533000,546472000
2015-06-17,358,359,356,357,1132000,404403000
2015-06-16,358,360,352,356,2757000,984312000
2015-06-15,359,359,354,357,1046000,372935000
2015-06-12,358,360,356,358,2335000,836283000
2015-06-11,358,359,352,356,1912000,679424000
2015-06-10,353,358,351,357,3797000,1350578000
2015-06-09,349,353,343,351,14261000,4975963000
2015-06-08,345,346,341,342,1617000,554702000
2015-06-05,344,348,344,344,2501000,864575000
2015-06-04,345,347,344,345,1323000,456788000
2015-06-03,346,347,341,343,2941000,1010993000
2015-06-02,346,355,344,349,8598000,2988624000
2015-06-01,345,346,338,343,9309000,3179279000
2015-05-29,342,348,341,346,3161000,1092395000
2015-05-28,353,353,343,346,3998000,1390181000
2015-05-27,355,356,352,352,2066000,731291000
2015-05-26,352,360,351,356,4656000,1654365000
2015-05-25,355,362,354,354,6979000,2492643000
2015-05-22,376,382,376,378,354000,134067000
2015-05-21,385,385,373,377,942000,356476000
2015-05-20,386,388,381,385,571000,219224000
2015-05-19,384,390,382,386,591000,228228000
2015-05-18,386,390,382,385,744000,286822000
2015-05-15,388,395,383,384,595000,230272000
2015-05-14,393,393,385,387,844000,327192000
2015-05-13,396,397,387,393,1496000,587313000
2015-05-12,377,412,376,402,3548000,1399217000
2015-05-11,362,386,357,376,2398000,884856000
2015-05-08,351,365,348,363,1059000,378244000
2015-05-07,359,365,348,350,978000,345607000
2015-05-01,346,358,346,358,1047000,368104000
2015-04-30,353,353,341,342,654000,225106000
2015-04-28,357,358,352,353,527000,186719000
2015-04-27,351,359,350,356,642000,228160000
2015-04-24,347,351,346,347,421000,146843000
2015-04-23,352,353,346,348,519000,180763000
2015-04-22,355,356,351,352,577000,203757000
2015-04-21,350,353,347,351,779000,272877000
2015-04-20,337,351,337,344,949000,327792000
2015-04-17,339,342,337,337,543000,184199000
2015-04-16,346,347,338,341,799000,272435000
2015-04-15,356,358,348,348,486000,170978000
2015-04-14,358,361,355,358,334000,119707000
2015-04-13,360,361,354,360,542000,193890000
2015-04-10,359,363,355,360,974000,349381000
2015-04-09,354,366,354,359,1105000,399320000
2015-04-08,359,365,354,355,1085000,388700000
2015-04-07,355,372,352,358,1824000,658496000
2015-04-06,351,354,346,351,599000,210109000
2015-04-03,339,354,339,352,1499000,522151000
2015-04-02,333,339,333,336,761000,255701000
2015-04-01,336,336,326,330,915000,303787000
2015-03-31,332,339,330,335,1066000,357088000
2015-03-30,322,330,322,325,752000,244952000
2015-03-27,330,334,323,326,918000,300572000
2015-03-26,336,343,332,334,742000,248797000
2015-03-25,344,347,338,340,590000,201792000
2015-03-24,344,344,336,339,850000,288323000
2015-03-23,338,345,338,343,696000,237689000
2015-03-20,328,335,326,335,1366000,453995000
2015-03-19,324,327,319,326,1502000,486789000
2015-03-18,320,326,317,323,1301000,417821000
2015-03-17,327,327,307,318,2921000,924835000
2015-03-16,324,327,321,322,685000,221808000
2015-03-13,323,328,321,325,1505000,488576000
2015-03-12,322,322,318,320,677000,216538000
2015-03-11,312,322,312,320,1151000,365825000
2015-03-10,316,323,313,318,1480000,470641000
2015-03-09,311,316,309,314,1201000,377120000
2015-03-06,308,313,308,312,1060000,329896000
2015-03-05,302,309,301,307,1253000,382429000
2015-03-04,298,305,297,304,1534000,461834000
2015-03-03,296,299,295,298,1184000,351559000
2015-03-02,285,298,284,294,2453000,717717000
2015-02-27,281,290,281,286,895000,256083000
2015-02-26,278,283,278,281,385000,108183000
2015-02-25,279,281,278,279,595000,166417000
2015-02-24,282,282,277,278,836000,232753000
2015-02-23,278,282,276,281,895000,249363000
2015-02-20,280,280,275,278,572000,158394000
2015-02-19,281,282,277,279,614000,171837000
2015-02-18,280,285,279,282,882000,249001000
2015-02-17,270,278,269,276,732000,200910000
2015-02-16,275,276,270,270,681000,185084000
2015-02-13,270,274,269,271,1047000,284594000
2015-02-12,269,271,267,268,610000,163894000
2015-02-10,271,272,266,268,503000,134932000
2015-02-09,271,273,270,271,491000,133247000
2015-02-06,277,277,268,268,908000,245699000
2015-02-05,281,281,274,275,859000,236868000
2015-02-04,282,283,277,278,745000,208521000
