2301-T,東証1部,学情,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1064,1084,1053,1079,36900,39415400
2015-10-01,1079,1079,1055,1069,36700,39096600
2015-09-30,1085,1089,1060,1060,40200,43017500
2015-09-29,1085,1111,1076,1083,89600,97672300
2015-09-28,1064,1104,1061,1083,80700,87462200
2015-09-25,1041,1064,1040,1064,73800,77261300
2015-09-24,1062,1062,1041,1045,65300,68600300
2015-09-18,1085,1085,1055,1062,29700,31604000
2015-09-17,1050,1074,1038,1074,39800,42110800
2015-09-16,1073,1073,1035,1050,36500,38158100
2015-09-15,1053,1078,1042,1065,58200,61937400
2015-09-14,1060,1077,1043,1054,42200,44669800
2015-09-11,1005,1070,1005,1060,99000,102976900
2015-09-10,1007,1007,974,999,138600,137510300
2015-09-09,1001,1022,992,1018,154100,155208200
2015-09-08,1080,1084,966,1000,587600,589857600
2015-09-07,1021,1075,1017,1064,77100,80872000
2015-09-04,1066,1067,1024,1045,50000,52332700
2015-09-03,1127,1143,1055,1066,111600,121045700
2015-09-02,1122,1137,1101,1115,39600,44248000
2015-09-01,1196,1196,1127,1137,98500,113293900
2015-08-31,1157,1208,1151,1207,79200,93606700
2015-08-28,1174,1180,1133,1145,54600,62643400
2015-08-27,1115,1160,1109,1132,62500,70965000
2015-08-26,1069,1120,1036,1105,82600,88507300
2015-08-25,1050,1145,1033,1071,111300,119086700
2015-08-24,1159,1165,1092,1099,111000,124930700
2015-08-21,1180,1217,1168,1185,95100,113762900
2015-08-20,1182,1220,1172,1201,75800,90927200
2015-08-19,1190,1211,1182,1197,97500,116680000
2015-08-18,1209,1221,1194,1202,47400,57170000
2015-08-17,1209,1209,1199,1206,10200,12292200
2015-08-14,1186,1203,1178,1201,32700,39065600
2015-08-13,1200,1203,1100,1190,71200,83708900
2015-08-12,1215,1223,1180,1199,88600,106537500
2015-08-11,1240,1240,1204,1214,63200,76999000
2015-08-10,1224,1237,1221,1233,23300,28680900
2015-08-07,1230,1236,1211,1224,52300,64081200
2015-08-06,1267,1267,1233,1236,39800,49675100
2015-08-05,1259,1269,1244,1265,40500,51094900
2015-08-04,1255,1257,1244,1257,31300,39142500
2015-08-03,1230,1266,1230,1255,61000,76172900
2015-07-31,1224,1227,1217,1226,30800,37666000
2015-07-30,1240,1240,1210,1224,62500,76552500
2015-07-29,1233,1257,1228,1238,76000,94032100
2015-07-28,1210,1220,1192,1217,67800,81797600
2015-07-27,1260,1260,1198,1216,121000,148391600
2015-07-24,1249,1273,1230,1261,96100,120243100
2015-07-23,1280,1281,1241,1254,100200,125790700
2015-07-22,1302,1304,1264,1278,47900,61503000
2015-07-21,1300,1322,1280,1315,112800,147306800
2015-07-17,1298,1304,1278,1296,65900,84892800
2015-07-16,1303,1303,1286,1298,84700,109576200
2015-07-15,1284,1305,1271,1292,64500,83102900
2015-07-14,1271,1286,1245,1269,68500,86528000
2015-07-13,1250,1277,1243,1257,54300,68636600
2015-07-10,1253,1257,1230,1243,96400,119476400
2015-07-09,1207,1236,1156,1234,95200,114476600
2015-07-08,1280,1291,1221,1236,116000,144860200
2015-07-07,1285,1292,1272,1273,38000,48643600
2015-07-06,1270,1304,1257,1279,87800,112509700
2015-07-03,1303,1305,1271,1272,76200,97827600
2015-07-02,1330,1335,1300,1303,108900,143609800
2015-07-01,1310,1340,1282,1326,144300,189874900
2015-06-30,1231,1315,1225,1305,434700,548421700
2015-06-29,1259,1289,1254,1258,133600,169824000
2015-06-26,1321,1327,1270,1297,145500,188917700
2015-06-25,1316,1349,1316,1319,98300,130591200
2015-06-24,1314,1344,1292,1328,268300,353628700
2015-06-23,1361,1363,1336,1340,149600,200743800
2015-06-22,1379,1382,1344,1357,119600,162095200
2015-06-19,1450,1450,1377,1382,216300,302958300
2015-06-18,1442,1460,1433,1451,76300,110489300
2015-06-17,1448,1470,1430,1449,181700,263970500
2015-06-16,1467,1474,1397,1418,229400,327869000
2015-06-15,1439,1467,1439,1467,226700,330022900
2015-06-12,1383,1430,1380,1419,249000,350671600
2015-06-11,1340,1376,1319,1365,150500,204163200
2015-06-10,1314,1344,1295,1314,187800,247073800
2015-06-09,1355,1360,1249,1292,358700,472488500
2015-06-08,1382,1404,1367,1393,104400,144819300
2015-06-05,1358,1399,1341,1391,145500,199138000
2015-06-04,1345,1392,1339,1378,155300,212521900
2015-06-03,1259,1337,1255,1337,141700,184577700
2015-06-02,1226,1265,1213,1259,73900,91997800
2015-06-01,1229,1249,1205,1241,96900,118995300
2015-05-29,1248,1248,1223,1241,41700,51691800
2015-05-28,1249,1269,1242,1248,56400,70539800
2015-05-27,1231,1252,1195,1248,96500,118691600
2015-05-26,1237,1242,1225,1238,67500,83287300
2015-05-25,1240,1260,1231,1254,71500,88859500
2015-05-22,1245,1261,1245,1256,45700,57314500
2015-05-21,1264,1264,1240,1250,71400,89179500
2015-05-20,1289,1290,1258,1267,34700,44042800
2015-05-19,1275,1289,1260,1281,51600,65353700
2015-05-18,1289,1299,1266,1280,26300,33626400
2015-05-15,1264,1284,1251,1276,43400,55191300
2015-05-14,1278,1283,1259,1268,64100,81384500
2015-05-13,1265,1295,1245,1290,63400,80662100
2015-05-12,1306,1307,1265,1272,61700,79003200
2015-05-11,1316,1328,1299,1316,42500,55797500
2015-05-08,1326,1337,1297,1297,63700,83596000
2015-05-07,1346,1372,1324,1334,74300,99786900
2015-05-01,1321,1350,1300,1348,85000,112699300
2015-04-30,1310,1344,1302,1333,63200,83932200
2015-04-28,1344,1348,1300,1315,92400,121603300
2015-04-27,1339,1360,1280,1324,122100,162263200
2015-04-24,1361,1381,1321,1367,135000,183021200
2015-04-23,1369,1397,1346,1364,82600,113425600
2015-04-22,1321,1379,1314,1373,126900,172500500
2015-04-21,1322,1339,1307,1327,101000,133198400
2015-04-20,1320,1349,1301,1325,186700,247403600
2015-04-17,1354,1375,1330,1355,92500,124564200
2015-04-16,1351,1365,1349,1361,82200,111620700
2015-04-15,1359,1386,1352,1359,82600,112768800
2015-04-14,1374,1396,1333,1365,198900,270943300
2015-04-13,1318,1386,1318,1376,227500,310084000
2015-04-10,1300,1318,1276,1303,126400,164289400
2015-04-09,1285,1319,1272,1295,149300,193475900
2015-04-08,1269,1283,1252,1277,119700,152008600
2015-04-07,1265,1275,1250,1258,96700,121796000
2015-04-06,1230,1270,1221,1257,138700,173732200
2015-04-03,1261,1275,1209,1215,144800,177934100
2015-04-02,1270,1285,1250,1253,92100,116425600
2015-04-01,1234,1284,1234,1260,198400,249498900
2015-03-31,1220,1258,1210,1245,201900,249595700
2015-03-30,1200,1232,1180,1214,136300,163776800
2015-03-27,1212,1256,1180,1186,245400,299094500
2015-03-26,1229,1230,1208,1212,144900,176622300
2015-03-25,1162,1226,1130,1218,399900,475375700
2015-03-24,1110,1191,1082,1175,762800,875169100
2015-03-23,1020,1064,1011,1064,175300,181167600
2015-03-20,1029,1041,1000,1009,149700,152613000
2015-03-19,1018,1029,1014,1025,37900,38795000
2015-03-18,1008,1015,1008,1013,51200,51807000
2015-03-17,1022,1022,1008,1012,66300,67045500
2015-03-16,1027,1032,1005,1011,103500,105223500
2015-03-13,1030,1036,1027,1028,182300,187832400
2015-03-12,1059,1074,1031,1032,177200,185586000
2015-03-11,1024,1077,1023,1056,256200,271072900
2015-03-10,978,1029,973,1021,260900,260502700
2015-03-09,995,1008,995,998,40200,40176900
2015-03-06,1010,1016,1002,1006,34400,34637500
2015-03-05,1027,1033,1011,1013,44000,44909200
2015-03-04,1060,1065,1019,1033,41800,43304600
2015-03-03,1059,1083,1059,1066,55000,58783900
2015-03-02,1049,1058,1049,1056,53000,55846700
2015-02-27,1037,1045,1035,1042,38500,39997700
2015-02-26,1012,1040,1012,1035,49700,51204200
2015-02-25,1010,1015,1009,1014,20600,20864800
2015-02-24,1003,1012,1000,1010,54300,54660800
2015-02-23,1004,1005,995,999,27500,27498100
2015-02-20,995,1006,990,1004,55200,55073600
2015-02-19,998,999,985,993,54300,53898900
2015-02-18,1007,1010,996,998,50000,50139600
2015-02-17,1000,1010,998,1001,38400,38505200
2015-02-16,1003,1010,998,1000,31500,31564800
2015-02-13,1011,1011,996,1003,37300,37384800
2015-02-12,1009,1018,997,1002,50900,51247600
2015-02-10,1000,1007,999,1003,27200,27234200
2015-02-09,1015,1015,998,1005,26900,27030000
2015-02-06,1000,1010,999,1002,27200,27296400
2015-02-05,999,1001,993,993,13400,13351800
2015-02-04,994,1006,993,996,15600,15567600
2015-02-03,1000,1011,995,995,47700,47716000
2015-02-02,1020,1024,1002,1004,47200,47858300
2015-01-30,1030,1040,1029,1035,27600,28527800
2015-01-29,1030,1037,1017,1032,25200,25912400
2015-01-28,1030,1037,1013,1033,32400,33287400
2015-01-27,1039,1039,1028,1033,14200,14648800
2015-01-26,1020,1038,1016,1027,32000,32865100
2015-01-23,1002,1024,1002,1013,25400,25748200
2015-01-22,1021,1021,995,997,62500,62779400
2015-01-21,1031,1043,1020,1027,59300,61095300
2015-01-20,1038,1052,1032,1036,18800,19550700
2015-01-19,1044,1044,1031,1035,15700,16249100
2015-01-16,1060,1060,1032,1044,46900,48927400
2015-01-15,1051,1063,1042,1062,41300,43634500
2015-01-14,1050,1065,1042,1044,34800,36647300
2015-01-13,1040,1057,1030,1045,48400,50524900
2015-01-09,1040,1054,1034,1039,33500,34828300
2015-01-08,1043,1052,1035,1043,24100,25157600
2015-01-07,1030,1050,1019,1031,48500,49969100
2015-01-06,1060,1062,1039,1042,42500,44684600
2015-01-05,1065,1068,1058,1060,20100,21377200
2014-12-30,1050,1063,1041,1058,33600,35243500
2014-12-29,1065,1073,1045,1057,38800,41053000
2014-12-26,1039,1062,1037,1054,51700,54468600
2014-12-25,1028,1039,1024,1036,42400,43735700
2014-12-24,1030,1032,1016,1020,56100,57396800
2014-12-22,1047,1048,1013,1015,102300,105298300
2014-12-19,1074,1074,1044,1055,49500,52274400
2014-12-18,1055,1061,1042,1044,47400,49779100
2014-12-17,1041,1061,1035,1043,43700,45803200
2014-12-16,1091,1101,1056,1057,69500,74779300
2014-12-15,1111,1133,1101,1115,80700,90227900
2014-12-12,1120,1146,1105,1136,88000,99224100
2014-12-11,1091,1136,1091,1124,94000,104113000
2014-12-10,1053,1127,1035,1127,223100,244680100
2014-12-09,1220,1220,1046,1078,439600,498155300
2014-12-08,1151,1179,1141,1179,49900,57628600
2014-12-05,1149,1158,1140,1149,44100,50742500
2014-12-04,1199,1199,1143,1146,60500,70140200
2014-12-03,1210,1213,1181,1189,60400,72514200
2014-12-02,1194,1208,1188,1205,58300,70002900
2014-12-01,1182,1195,1171,1191,55400,65681600
2014-11-28,1169,1188,1168,1182,60000,70647600
2014-11-27,1156,1168,1152,1164,44600,51751500
2014-11-26,1160,1163,1142,1156,63900,73759400
2014-11-25,1150,1155,1134,1149,67500,77190700
2014-11-21,1113,1134,1099,1134,52700,59004000
2014-11-20,1129,1129,1095,1113,38800,43058000
2014-11-19,1110,1118,1110,1113,29100,32400500
2014-11-18,1096,1118,1091,1106,66500,73437400
2014-11-17,1097,1097,1060,1081,38500,41509200
2014-11-14,1085,1085,1070,1084,29400,31732300
2014-11-13,1065,1084,1059,1071,21600,23098300
2014-11-12,1099,1100,1056,1059,47100,50671200
2014-11-11,1038,1089,1034,1084,70100,75253800
2014-11-10,1055,1057,1031,1041,27600,28811800
2014-11-07,1040,1057,1039,1053,27100,28459200
2014-11-06,1060,1071,1026,1046,59200,62334100
2014-11-05,1070,1070,1051,1061,39800,42250200
2014-11-04,1075,1075,1051,1061,56000,59594600
2014-10-31,1019,1054,1010,1045,61800,63808800
2014-10-30,1016,1018,1001,1012,24800,25061300
2014-10-29,1003,1019,993,1016,28800,29053800
2014-10-28,1010,1018,994,999,93700,94380400
2014-10-27,1040,1041,1015,1022,59400,61034800
2014-10-24,1058,1058,1036,1040,24700,25791100
2014-10-23,1041,1050,1032,1045,32600,33951700
2014-10-22,1038,1051,1030,1050,41800,43643900
2014-10-21,1034,1035,1006,1020,46800,47732400
2014-10-20,1012,1033,1000,1018,78300,79849600
2014-10-17,1000,1018,980,982,57400,57037000
2014-10-16,1029,1029,980,987,81900,81851300
2014-10-15,998,1039,984,1035,122400,123974400
2014-10-14,980,990,963,983,79400,77660500
2014-10-10,996,1011,992,1009,95100,95224700
2014-10-09,1080,1089,1023,1026,88800,92696100
2014-10-08,1054,1100,1045,1075,81100,86326300
2014-10-07,1088,1096,1068,1071,93100,100536200
2014-10-06,1137,1139,1098,1106,86200,95663300
2014-10-03,1077,1153,1077,1132,94100,104989000
2014-10-02,1065,1108,1055,1097,120700,130845600
2014-10-01,1110,1126,1086,1091,99000,109037100
2014-09-30,1127,1145,1111,1112,68400,76804600
2014-09-29,1150,1154,1075,1131,159200,178609000
2014-09-26,1120,1148,1115,1145,123400,140044500
2014-09-25,1134,1134,1113,1128,88600,99249900
