2371-T,東証1部,カカクコム,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1860,1901,1858,1894,1129900,2131126300
2015-10-01,1942,1956,1871,1890,2357000,4481117800
2015-09-30,1906,1951,1896,1934,1286800,2482933700
2015-09-29,1887,1906,1845,1852,1445100,2701731900
2015-09-28,1895,1949,1872,1936,1599500,3073742600
2015-09-25,1843,1898,1837,1896,1775900,3321608300
2015-09-24,1830,1874,1823,1843,1226600,2269527500
2015-09-18,1818,1856,1763,1854,2061700,3774875900
2015-09-17,1774,1785,1737,1778,1679900,2966295400
2015-09-16,1809,1818,1757,1768,1727500,3063054600
2015-09-15,1825,1825,1765,1777,1203800,2152593400
2015-09-14,1826,1884,1817,1827,1362300,2509047700
2015-09-11,1754,1830,1752,1814,1398100,2507919800
2015-09-10,1754,1788,1723,1787,2502900,4394238900
2015-09-09,1831,1839,1787,1825,1814000,3285439200
2015-09-08,1798,1815,1762,1791,1315500,2349410900
2015-09-07,1779,1804,1752,1786,1105200,1966665200
2015-09-04,1900,1903,1783,1811,1380500,2514066400
2015-09-03,1870,1900,1852,1882,1516100,2848500000
2015-09-02,1807,1877,1782,1840,1698500,3131249800
2015-09-01,1904,1904,1841,1844,1448400,2703523700
2015-08-31,1956,1981,1910,1928,1947300,3769305000
2015-08-28,1975,1978,1906,1934,1333100,2574573900
2015-08-27,1958,1999,1905,1919,1880000,3661348100
2015-08-26,1825,1945,1797,1930,2297300,4322296100
2015-08-25,1775,1972,1740,1825,3060800,5686196800
2015-08-24,1948,1971,1847,1850,2399700,4588857300
2015-08-21,2066,2122,2007,2017,2352600,4826323400
2015-08-20,2121,2170,2105,2139,1173700,2518321500
2015-08-19,2165,2176,2127,2142,1564900,3366006500
2015-08-18,2130,2177,2122,2168,2091800,4503978800
2015-08-17,2037,2126,2029,2116,3299100,6895931100
2015-08-14,1950,2012,1949,2007,1589400,3158632900
2015-08-13,1940,1958,1917,1944,2000400,3869619700
2015-08-12,1980,1986,1941,1957,1282800,2512091900
2015-08-11,2029,2029,2002,2010,822100,1655902000
2015-08-10,1999,2040,1983,2022,1175700,2380151600
2015-08-07,2032,2040,1987,2002,1558800,3130257200
2015-08-06,1999,2049,1995,2049,2282000,4645182600
2015-08-05,2029,2044,1968,1975,2643300,5269668900
2015-08-04,1987,2029,1973,2029,2046500,4117152200
2015-08-03,1974,1997,1955,1990,1056600,2095306600
2015-07-31,1918,1973,1913,1973,1085200,2118835100
2015-07-30,1936,1939,1884,1903,1728900,3296663300
2015-07-29,1959,1966,1927,1936,1334500,2588774600
2015-07-28,1905,1954,1898,1946,2038300,3927122500
2015-07-27,1969,1969,1908,1919,1958500,3791637700
2015-07-24,1983,1997,1953,1974,2040200,4026142400
2015-07-23,1951,1995,1951,1972,2185400,4322275300
2015-07-22,1950,1953,1919,1923,1116000,2154215300
2015-07-21,1941,1973,1941,1965,1427700,2797346800
2015-07-17,1915,1934,1898,1934,1587500,3051045800
2015-07-16,1920,1933,1912,1917,2183800,4192987300
2015-07-15,1883,1946,1874,1928,4154800,7953543600
2015-07-14,1860,1863,1823,1851,2173700,4011480000
2015-07-13,1810,1850,1803,1845,2532900,4652288700
2015-07-10,1800,1814,1753,1776,2154700,3842639200
2015-07-09,1710,1796,1694,1791,2349900,4092411800
2015-07-08,1785,1839,1750,1756,2919600,5237345700
2015-07-07,1754,1776,1741,1774,1496000,2635982800
2015-07-06,1732,1770,1715,1722,1629900,2826123700
2015-07-03,1751,1778,1732,1772,1055100,1851504700
2015-07-02,1788,1804,1750,1755,1757300,3093827600
2015-07-01,1775,1779,1746,1773,1634500,2880043900
2015-06-30,1750,1784,1750,1772,1203200,2127192900
2015-06-29,1755,1786,1743,1763,1595300,2816860200
2015-06-26,1809,1834,1805,1811,1315400,2390612500
2015-06-25,1819,1823,1801,1802,1917100,3467403500
2015-06-24,1831,1839,1817,1825,1890500,3456467500
2015-06-23,1832,1833,1815,1823,1652500,3011654700
2015-06-22,1820,1843,1814,1834,1586700,2901045100
2015-06-19,1844,1844,1810,1813,1658400,3018716100
2015-06-18,1837,1856,1831,1834,885300,1631091700
2015-06-17,1822,1853,1822,1845,1739700,3205673700
2015-06-16,1836,1843,1813,1819,1315200,2398896300
2015-06-15,1894,1894,1842,1846,1364400,2536391500
2015-06-12,1869,1892,1866,1890,1966100,3693717500
2015-06-11,1853,1862,1818,1858,1612000,2969030900
2015-06-10,1848,1866,1832,1852,1449600,2686053900
2015-06-09,1887,1887,1840,1842,1887400,3504791600
2015-06-08,1955,1958,1891,1894,2036800,3880795000
2015-06-05,2000,2006,1955,1960,1321400,2601568600
2015-06-04,1970,2027,1964,2015,2700500,5415748100
2015-06-03,1960,1974,1947,1948,1044300,2048048400
2015-06-02,1942,1967,1927,1950,1150800,2240454800
2015-06-01,1930,1955,1906,1953,1474000,2859603800
2015-05-29,1895,1936,1895,1935,1781000,3425611500
2015-05-28,1892,1910,1890,1899,1559400,2957429100
2015-05-27,1900,1932,1884,1885,1530600,2913722200
2015-05-26,1898,1912,1896,1905,704500,1342041200
2015-05-25,1914,1925,1891,1909,1205900,2302626600
2015-05-22,1939,1939,1896,1909,1735600,3310962200
2015-05-21,1930,1936,1891,1923,1953900,3740402500
2015-05-20,1950,1988,1927,1932,2316600,4517905500
2015-05-19,1945,1973,1937,1944,1822600,3551746000
2015-05-18,1974,2007,1951,1971,1620300,3199788200
2015-05-15,1930,1975,1902,1974,2433500,4726463200
2015-05-14,1851,1903,1842,1887,4801300,8976255200
2015-05-13,1925,1998,1903,1998,1483300,2913889900
2015-05-12,2015,2015,1926,1945,1933500,3774109300
2015-05-11,1989,2030,1984,2030,2478300,4990748800
2015-05-08,1895,1985,1895,1977,1896200,3716346800
2015-05-07,1855,1906,1854,1906,1798700,3390930500
2015-05-01,1835,1854,1821,1853,1020000,1878105000
2015-04-30,1910,1913,1846,1859,1427700,2663626200
2015-04-28,1940,1953,1921,1926,669100,1292343900
2015-04-27,1925,1944,1919,1925,564400,1089651100
2015-04-24,1926,1926,1901,1918,880400,1686659300
2015-04-23,1964,1972,1924,1925,837900,1623294300
2015-04-22,1941,1982,1933,1945,1380300,2692850900
2015-04-21,1947,1954,1924,1935,1052000,2034285400
2015-04-20,1985,1985,1906,1923,2346100,4544463300
2015-04-17,2010,2023,1979,1984,1658100,3309671400
2015-04-16,2027,2029,1978,1998,1593800,3177680900
2015-04-15,1970,2036,1968,2027,2066500,4141349200
2015-04-14,1996,1998,1955,1958,1512800,2987355500
2015-04-13,1991,2004,1963,1990,1413900,2801445800
