2399-T,東証1部,綜合HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,448,475,448,455,98800,45624600
2015-10-01,450,458,440,454,78400,35233000
2015-09-30,450,452,421,446,182100,80264500
2015-09-29,482,482,434,444,650900,304631200
2015-09-28,401,408,401,402,31300,12612900
2015-09-25,394,397,390,397,14900,5872200
2015-09-24,398,400,394,394,16200,6432600
2015-09-18,409,409,398,398,15300,6133000
2015-09-17,411,414,405,409,11900,4869100
2015-09-16,412,412,402,406,11000,4477200
2015-09-15,411,416,400,405,26600,10878400
2015-09-14,430,430,410,414,26900,11324400
2015-09-11,413,428,410,423,33000,13763900
2015-09-10,404,407,390,406,21200,8474500
2015-09-09,393,408,393,406,16900,6784200
2015-09-08,398,398,379,392,13700,5371700
2015-09-07,400,400,372,395,41200,16111500
2015-09-04,422,422,404,406,26000,10742600
2015-09-03,429,429,421,421,22400,9534000
2015-09-02,421,429,420,424,20000,8487500
2015-09-01,433,435,425,425,23000,9919600
2015-08-31,443,443,430,439,28200,12360700
2015-08-28,434,440,434,439,15600,6829600
2015-08-27,432,437,425,426,16000,6897400
2015-08-26,419,423,411,421,22500,9403400
2015-08-25,401,425,396,403,52000,21181800
2015-08-24,430,440,424,425,81500,35024400
2015-08-21,453,453,440,442,54700,24438700
2015-08-20,464,465,454,455,30500,13968200
2015-08-19,467,471,464,465,13100,6114600
2015-08-18,467,478,467,468,11000,5196400
2015-08-17,466,470,464,467,13300,6222800
2015-08-14,469,469,463,466,8000,3721500
2015-08-13,475,476,455,467,54700,25556600
2015-08-12,480,483,475,475,13500,6441100
2015-08-11,485,486,478,480,17800,8587600
2015-08-10,479,482,479,482,5400,2596900
2015-08-07,485,485,480,481,14700,7077400
2015-08-06,484,485,483,485,11600,5618400
2015-08-05,478,484,477,484,5000,2404900
2015-08-04,485,485,474,481,11400,5461300
2015-08-03,481,484,477,481,12600,6059000
2015-07-31,478,483,474,483,12200,5843900
2015-07-30,480,483,478,479,20300,9748700
2015-07-29,481,486,481,481,22200,10713300
2015-07-28,487,489,486,488,23600,11513400
2015-07-27,495,495,488,489,21500,10559200
2015-07-24,496,496,492,493,17000,8399600
2015-07-23,494,500,493,496,16500,8190200
2015-07-22,495,495,490,493,14000,6902300
2015-07-21,494,495,489,494,23800,11729600
2015-07-17,495,495,491,494,23000,11353600
2015-07-16,486,492,486,490,14700,7202700
2015-07-15,490,493,486,486,22200,10840800
2015-07-14,488,492,484,490,14600,7135600
2015-07-13,476,481,475,479,8800,4204800
2015-07-10,474,482,474,475,16600,7918300
2015-07-09,476,480,467,475,53500,25333800
2015-07-08,488,491,484,487,44900,21848000
2015-07-07,484,489,484,488,18700,9098200
2015-07-06,489,495,484,484,28100,13690400
2015-07-03,494,494,489,491,17800,8753900
2015-07-02,493,496,491,495,19500,9627500
2015-07-01,490,493,486,491,32700,16004100
2015-06-30,486,491,486,491,26600,13004400
2015-06-29,488,495,485,488,38400,18784200
2015-06-26,499,500,496,498,28000,13953300
2015-06-25,499,501,497,499,18200,9090100
2015-06-24,502,503,496,499,35300,17618400
2015-06-23,500,502,497,500,34300,17121600
2015-06-22,485,499,485,499,35400,17513200
2015-06-19,483,494,483,488,29700,14496200
2015-06-18,494,496,452,488,88500,43098800
2015-06-17,499,502,498,499,14100,7045100
2015-06-16,504,504,499,501,15200,7617000
2015-06-15,498,505,498,502,27900,13978700
2015-06-12,500,502,498,499,45300,22647700
2015-06-11,500,502,496,500,14800,7397200
2015-06-10,500,504,497,498,19500,9774800
2015-06-09,500,505,496,499,44000,21970900
2015-06-08,501,505,500,500,53000,26609400
2015-06-05,523,524,495,507,156000,79711400
2015-06-04,525,530,516,524,111200,58475300
2015-06-03,510,523,510,523,107700,55589700
2015-06-02,505,508,500,508,78200,39534200
2015-06-01,498,501,495,500,47400,23606100
2015-05-29,497,497,494,496,29200,14484500
2015-05-28,493,496,490,493,17500,8631400
2015-05-27,492,493,491,493,24700,12155500
2015-05-26,497,497,492,493,34100,16872800
2015-05-25,498,499,495,497,33400,16605500
2015-05-22,496,497,491,495,70300,34774100
2015-05-21,491,494,491,491,37500,18456200
2015-05-20,494,495,491,494,30700,15138000
2015-05-19,490,493,488,492,25300,12400800
2015-05-18,485,490,485,488,50300,24516000
2015-05-15,482,487,482,483,14200,6872800
2015-05-14,483,485,482,482,20900,10092100
2015-05-13,486,487,483,485,18500,8979800
2015-05-12,483,485,483,484,10400,5033600
2015-05-11,484,485,483,483,20600,9970400
2015-05-08,479,483,479,482,17400,8381800
2015-05-07,481,485,479,480,21000,10103700
2015-05-01,486,488,475,483,34800,16795600
2015-04-30,490,492,486,490,29200,14245700
2015-04-28,492,497,490,490,93700,46177200
2015-04-27,489,492,489,490,9300,4560900
2015-04-24,490,492,488,489,34800,17058200
2015-04-23,492,493,488,488,20300,9949400
2015-04-22,484,494,484,492,73300,35936200
2015-04-21,481,486,481,484,16200,7846100
2015-04-20,480,484,479,482,15900,7660700
2015-04-17,483,486,479,481,35000,16866300
2015-04-16,485,485,481,485,19300,9315800
2015-04-15,485,485,481,485,20000,9682000
2015-04-14,480,482,476,481,37700,18054600
2015-04-13,485,487,479,480,43800,21090200
2015-04-10,485,487,484,485,32700,15858100
2015-04-09,487,490,485,485,40400,19696800
2015-04-08,482,489,482,487,59400,28864300
2015-04-07,480,482,477,482,22100,10611000
2015-04-06,477,480,473,480,28400,13548800
2015-04-03,482,483,479,481,26800,12895900
2015-04-02,479,483,475,481,42700,20444500
2015-04-01,482,483,477,479,32200,15436000
2015-03-31,484,484,480,481,25100,12093000
2015-03-30,485,486,478,482,31600,15239500
2015-03-27,505,512,477,483,211500,104709400
2015-03-26,481,483,479,479,28900,13881000
2015-03-25,484,486,482,484,36000,17399400
2015-03-24,481,484,481,484,32300,15592600
2015-03-23,478,482,477,481,24900,11932000
2015-03-20,477,478,474,476,46700,22222400
2015-03-19,477,479,476,478,21600,10316800
2015-03-18,475,479,474,478,26700,12701200
2015-03-17,480,480,475,477,39400,18783000
2015-03-16,476,479,476,477,50300,24009200
2015-03-13,478,480,475,478,52600,25113600
2015-03-12,479,480,472,474,76100,36201200
2015-03-11,469,478,466,475,76600,36060600
2015-03-10,478,478,472,472,109600,52123200
