2418-T,東証1部,ツカダGHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,740,743,727,736,28700,21060300
2015-10-01,737,750,737,742,17500,12986900
2015-09-30,736,743,730,734,14800,10897800
2015-09-29,740,747,727,729,13400,9840800
2015-09-28,756,760,741,753,23500,17729800
2015-09-25,739,756,739,756,25400,19027900
2015-09-24,750,750,735,741,22600,16751100
2015-09-18,763,763,748,751,10800,8126500
2015-09-17,748,764,748,764,22200,16833500
2015-09-16,753,762,746,754,6500,4914800
2015-09-15,746,761,742,748,17300,12988800
2015-09-14,745,760,745,746,10100,7578900
2015-09-11,740,752,738,742,38200,28303200
2015-09-10,750,750,734,740,15400,11425400
2015-09-09,737,760,737,760,19700,14811500
2015-09-08,721,729,718,718,21800,15711200
2015-09-07,722,733,722,726,15400,11172200
2015-09-04,753,753,728,731,17100,12605800
2015-09-03,755,757,740,745,24600,18489200
2015-09-02,727,744,721,726,32200,23478200
2015-09-01,773,773,731,735,16800,12571700
2015-08-31,767,775,765,775,26400,20360300
2015-08-28,771,772,759,767,9600,7360000
2015-08-27,764,772,752,758,32800,25073500
2015-08-26,725,755,720,755,85400,63079600
2015-08-25,700,744,700,719,84200,60874300
2015-08-24,738,753,728,730,49400,36353900
2015-08-21,752,766,741,744,24900,18692500
2015-08-20,787,792,765,766,14500,11257000
2015-08-19,803,810,792,792,6800,5425600
2015-08-18,810,812,800,811,11700,9449000
2015-08-17,802,808,800,808,7000,5637500
2015-08-14,802,803,797,802,5400,4326900
2015-08-13,791,809,791,800,11600,9289300
2015-08-12,821,823,800,802,19500,15832200
2015-08-11,833,833,815,828,20800,17128200
2015-08-10,811,834,805,834,40000,32857300
2015-08-07,805,815,782,812,33300,26778000
2015-08-06,801,808,795,805,18900,15173700
2015-08-05,795,806,792,802,21200,16951800
2015-08-04,792,795,787,795,8900,7051800
2015-08-03,781,791,781,789,11000,8661300
2015-07-31,778,783,774,783,18100,14103000
2015-07-30,771,777,771,776,8000,6197200
2015-07-29,767,773,766,770,17100,13151600
2015-07-28,763,770,761,767,23300,17842800
2015-07-27,769,773,763,769,24100,18524800
2015-07-24,765,770,764,767,23600,18079500
2015-07-23,765,769,762,765,9000,6879500
2015-07-22,767,771,762,765,20600,15771400
2015-07-21,773,773,766,768,5100,3919000
2015-07-17,773,774,767,767,3100,2389700
2015-07-16,767,777,759,774,20500,15752000
2015-07-15,748,770,748,767,24000,18312400
2015-07-14,749,749,736,747,30600,22743000
2015-07-13,739,744,734,739,10900,8046100
2015-07-10,738,746,730,733,18400,13524200
2015-07-09,733,745,715,738,44400,32390600
2015-07-08,760,760,748,748,31900,23993400
2015-07-07,756,765,752,764,16700,12730100
2015-07-06,753,758,750,750,19000,14316900
2015-07-03,761,765,760,761,14900,11351100
2015-07-02,768,769,760,761,28400,21718600
2015-07-01,768,774,760,765,34700,26594800
2015-06-30,770,775,752,764,42000,31998200
2015-06-29,790,791,771,771,48800,37955200
2015-06-26,810,810,788,798,96400,77322700
2015-06-25,816,826,813,813,251500,205694900
2015-06-24,826,839,826,830,57600,47778300
2015-06-23,820,824,813,823,55600,45640200
2015-06-22,811,820,811,820,47900,39141900
2015-06-19,806,810,798,810,34400,27752200
2015-06-18,799,808,798,800,24900,19947600
2015-06-17,806,809,798,801,29900,24030000
2015-06-16,798,812,798,807,32700,26384500
2015-06-15,800,805,796,803,26300,21047800
2015-06-12,798,805,797,801,62300,49802000
2015-06-11,799,801,799,800,13200,10552400
2015-06-10,801,803,798,799,37600,30073600
2015-06-09,805,806,801,801,17800,14307000
2015-06-08,803,808,803,806,14500,11674200
2015-06-05,805,805,800,802,16100,12923900
2015-06-04,807,810,803,805,15900,12820000
2015-06-03,801,807,800,804,18400,14785300
2015-06-02,800,802,798,799,16500,13190300
2015-06-01,800,808,799,802,21600,17317000
2015-05-29,816,816,797,800,45200,36433400
2015-05-28,820,822,816,818,24400,20002500
2015-05-27,816,819,808,816,15900,12945500
2015-05-26,815,817,813,813,9800,7988800
2015-05-25,816,819,811,815,13300,10849500
2015-05-22,818,818,809,812,12400,10079700
2015-05-21,820,820,813,815,24600,20079600
2015-05-20,815,820,805,819,22900,18648300
2015-05-19,794,822,794,808,83300,67636200
2015-05-18,790,808,790,801,51100,40765700
2015-05-15,779,794,779,785,25100,19729000
2015-05-14,779,783,776,779,22000,17139300
2015-05-13,783,785,778,781,39500,30863000
2015-05-12,800,800,755,783,46300,36167500
2015-05-11,796,810,796,800,62200,49994700
2015-05-08,800,804,796,801,22600,18105000
2015-05-07,805,805,800,800,26800,21507000
2015-05-01,811,811,800,805,32700,26334900
2015-04-30,818,818,801,815,32900,26711600
2015-04-28,816,819,814,815,24100,19667800
2015-04-27,817,818,814,815,15100,12318000
2015-04-24,818,818,812,812,10600,8627800
2015-04-23,813,817,810,812,16100,13077600
2015-04-22,815,817,808,810,15700,12755700
2015-04-21,810,812,807,809,20900,16916200
2015-04-20,806,815,801,812,26700,21579000
2015-04-17,806,812,805,809,19400,15692400
2015-04-16,800,807,798,806,16600,13334300
2015-04-15,803,803,796,800,19600,15681100
2015-04-14,798,805,793,804,18500,14775400
2015-04-13,801,801,795,798,15000,11981000
2015-04-10,800,801,792,795,16300,13000300
2015-04-09,811,811,791,795,22900,18278400
2015-04-08,801,810,801,805,18600,15016900
2015-04-07,806,812,801,801,17400,14024200
2015-04-06,798,811,798,805,22000,17753300
