2450-T,東証1部,一休,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2658,2675,2582,2631,199300,525017400
2015-10-01,2621,2660,2574,2625,286000,752175300
2015-09-30,2555,2630,2538,2597,309500,805146500
2015-09-29,2535,2568,2461,2494,393200,988917200
2015-09-28,2459,2555,2427,2555,334200,840873800
2015-09-25,2342,2427,2322,2423,344800,825351400
2015-09-24,2255,2319,2238,2242,104800,238256200
2015-09-18,2310,2335,2284,2302,86100,198759700
2015-09-17,2274,2350,2237,2343,153600,354320400
2015-09-16,2284,2299,2215,2237,113800,255321200
2015-09-15,2286,2324,2248,2254,126100,286978500
2015-09-14,2293,2341,2283,2297,103800,239323900
2015-09-11,2250,2353,2241,2306,207300,476382900
2015-09-10,2269,2316,2240,2290,158200,361070800
2015-09-09,2280,2332,2254,2332,218300,502477500
2015-09-08,2243,2269,2150,2170,200800,439613400
2015-09-07,2189,2278,2155,2223,225600,500335000
2015-09-04,2340,2340,2188,2239,277200,621487700
2015-09-03,2329,2366,2267,2310,320600,738861000
2015-09-02,2252,2409,2250,2338,351600,826658500
2015-09-01,2335,2371,2286,2306,669300,1555257500
2015-08-31,2127,2480,2114,2385,1255200,2886847200
2015-08-28,2184,2198,2092,2124,487000,1039225000
2015-08-27,2200,2276,2103,2111,419000,913649800
2015-08-26,2121,2173,2072,2158,314900,672199000
2015-08-25,1950,2214,1897,2022,508300,1035577300
2015-08-24,2211,2263,2069,2070,436500,941317400
2015-08-21,2400,2410,2310,2313,373300,879354300
2015-08-20,2497,2534,2472,2478,132100,330217600
2015-08-19,2561,2576,2491,2518,200200,505686600
2015-08-18,2613,2613,2574,2591,184400,478086600
2015-08-17,2561,2626,2561,2620,151300,394933900
2015-08-14,2655,2659,2551,2557,418700,1086049900
2015-08-13,2600,2668,2588,2650,204600,539359300
2015-08-12,2640,2685,2586,2621,300600,791604700
2015-08-11,2720,2737,2658,2690,181900,491155100
2015-08-10,2657,2710,2647,2702,158800,427048200
2015-08-07,2640,2663,2614,2657,178300,469733200
2015-08-06,2707,2728,2657,2660,228400,613484000
2015-08-05,2677,2740,2664,2693,321600,867698800
2015-08-04,2600,2708,2592,2674,268300,714635100
2015-08-03,2617,2643,2600,2640,224200,586748500
2015-07-31,2718,2718,2570,2600,475200,1242274100
2015-07-30,2688,2728,2632,2718,255600,689162200
2015-07-29,2653,2690,2613,2665,154700,410059900
2015-07-28,2600,2678,2561,2643,265100,694441700
2015-07-27,2710,2726,2642,2653,211600,565718900
