2462-T,東証1部,ジェイコムHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,929,948,926,943,16300,15266400
2015-10-01,956,959,940,940,10100,9587900
2015-09-30,942,955,930,947,11200,10585100
2015-09-29,959,959,915,923,21600,20265500
2015-09-28,966,991,957,969,17700,17228800
2015-09-25,897,950,897,947,13700,12628800
2015-09-24,910,923,900,901,11200,10173100
2015-09-18,940,943,910,910,12400,11460000
2015-09-17,946,946,923,935,11700,10887500
2015-09-16,965,971,942,946,16800,16140400
2015-09-15,919,960,914,935,53200,49736500
2015-09-14,923,927,912,912,8600,7916100
2015-09-11,920,920,898,910,16700,15287800
2015-09-10,905,913,888,905,14000,12605200
2015-09-09,900,913,885,905,23000,20796800
2015-09-08,899,904,867,870,17600,15562900
2015-09-07,893,917,883,899,16800,15067900
2015-09-04,925,930,893,904,28000,25414200
2015-09-03,930,946,915,915,23200,21582100
2015-09-02,924,945,891,914,62200,57118100
2015-09-01,1022,1024,934,954,58600,57258000
2015-08-31,998,1019,968,1010,46500,46768300
2015-08-28,991,999,961,991,36900,36252800
2015-08-27,993,1025,950,975,57800,57440500
2015-08-26,910,957,910,948,39600,36936300
2015-08-25,900,984,833,903,67900,61596900
2015-08-24,961,995,947,948,51700,49934900
2015-08-21,1042,1051,955,1006,44100,44661300
2015-08-20,1100,1105,1069,1077,19900,21737500
2015-08-19,1110,1116,1099,1099,22000,24257800
2015-08-18,1115,1116,1099,1104,11200,12398600
2015-08-17,1100,1123,1086,1110,18300,20167200
2015-08-14,1125,1127,1101,1103,13700,15241300
2015-08-13,1080,1133,1077,1129,51500,57222600
2015-08-12,1076,1105,1076,1090,38100,41751100
2015-08-11,1071,1090,1065,1075,19000,20462600
2015-08-10,1063,1090,1026,1070,46100,49221100
2015-08-07,1106,1117,1076,1080,35600,38652100
2015-08-06,1134,1134,1100,1115,40500,45279600
2015-08-05,1104,1138,1103,1134,57800,65124300
2015-08-04,1107,1110,1092,1099,46500,51090000
2015-08-03,1099,1110,1050,1105,55700,60968800
2015-07-31,1100,1113,1075,1091,62000,68000400
2015-07-30,1040,1093,1038,1077,71600,76509300
2015-07-29,1031,1054,1001,1039,46600,48345100
2015-07-28,981,1039,981,1020,57600,58594000
2015-07-27,1016,1016,978,996,82500,81994100
2015-07-24,1020,1040,1008,1023,57000,58460500
2015-07-23,1024,1025,1016,1021,21800,22264800
2015-07-22,1007,1025,1002,1022,75200,76399600
2015-07-21,1008,1013,1000,1010,34500,34785400
2015-07-17,1000,1002,990,1000,19000,18997700
2015-07-16,1000,1010,998,1006,84900,85153900
2015-07-15,991,1004,991,1001,95900,95812500
2015-07-14,995,995,980,987,28400,28085300
2015-07-13,1010,1010,984,995,111900,111663400
2015-07-10,980,986,961,986,70800,69125300
2015-07-09,943,945,918,942,37300,34875200
2015-07-08,966,966,950,953,18200,17439900
2015-07-07,949,970,949,966,36800,35443000
2015-07-06,933,951,925,944,18800,17687400
2015-07-03,922,944,922,933,25900,24160000
2015-07-02,940,943,932,934,9900,9288000
2015-07-01,925,940,923,934,18600,17269000
2015-06-30,911,926,911,924,12200,11223800
2015-06-29,910,930,910,924,26100,23957500
2015-06-26,950,950,941,941,10700,10108400
2015-06-25,948,953,947,950,7600,7217000
2015-06-24,947,953,945,952,35800,33990900
2015-06-23,950,951,947,949,15300,14517800
2015-06-22,945,955,944,950,20300,19301100
2015-06-19,940,945,937,945,16000,15072400
2015-06-18,944,948,940,940,10300,9724700
2015-06-17,945,949,942,946,16100,15212400
2015-06-16,948,951,941,945,13600,12872200
2015-06-15,946,950,942,948,27200,25682500
2015-06-12,942,950,937,947,29600,27903700
2015-06-11,935,943,935,940,12800,12034800
2015-06-10,936,937,932,936,12200,11410600
2015-06-09,942,947,937,940,15700,14780900
2015-06-08,940,951,940,949,9700,9192900
2015-06-05,947,955,941,946,24900,23579100
2015-06-04,953,964,946,956,28300,27073200
2015-06-03,938,951,938,947,21100,19970200
2015-06-02,945,952,941,947,28800,27245000
2015-06-01,951,958,916,932,115200,108172900
2015-05-29,965,965,953,953,44800,42809200
2015-05-28,971,975,950,965,78800,75968600
2015-05-27,975,998,970,981,206200,202243200
2015-05-26,1015,1020,994,994,284100,285875600
2015-05-25,1010,1029,1006,1021,165300,168117300
2015-05-22,994,1005,987,1005,102100,101670800
2015-05-21,991,993,980,988,67200,66393500
2015-05-20,993,994,985,987,34400,33990000
2015-05-19,984,990,981,989,58000,57231700
2015-05-18,984,984,976,979,29500,28891000
2015-05-15,975,987,975,976,23000,22486900
2015-05-14,985,988,974,975,30700,30205100
2015-05-13,980,987,976,983,18100,17764900
2015-05-12,980,985,970,982,35900,35129000
2015-05-11,978,979,969,974,39400,38403300
2015-05-08,970,979,970,972,34000,33103500
2015-05-07,985,986,970,975,43000,42039800
2015-05-01,995,997,989,990,31300,31051500
2015-04-30,999,999,987,990,49100,48676300
2015-04-28,985,996,983,994,32800,32482700
2015-04-27,994,996,983,987,33900,33596000
2015-04-24,990,995,988,994,30700,30456300
2015-04-23,989,1000,986,994,53500,53252400
2015-04-22,984,989,979,989,39300,38752200
2015-04-21,951,989,951,973,69100,67198100
2015-04-20,959,961,951,951,42400,40506600
2015-04-17,950,974,950,965,74400,71652900
2015-04-16,930,950,930,945,41400,38988300
2015-04-15,945,950,935,942,51000,48102900
2015-04-14,945,945,905,943,70400,65646100
2015-04-13,923,943,921,943,61600,57410100
2015-04-10,918,920,910,920,33200,30434800
2015-04-09,912,919,905,916,33000,30080900
2015-04-08,914,915,904,912,37900,34466500
2015-04-07,923,923,877,913,107200,96555400
2015-04-06,921,923,906,906,56600,51761400
2015-04-03,910,922,901,917,75300,68586000
2015-04-02,880,921,880,911,135300,122596900
2015-04-01,885,885,877,882,38900,34273800
2015-03-31,875,890,872,875,45300,39795500
2015-03-30,849,864,849,861,27300,23464800
2015-03-27,852,859,840,844,33200,28240500
2015-03-26,862,862,851,854,13700,11730800
2015-03-25,841,862,841,856,30400,25945300
2015-03-24,848,853,847,851,33700,28647000
2015-03-23,848,850,843,848,42700,36208500
2015-03-20,837,841,836,841,19400,16269100
2015-03-19,834,835,829,834,12100,10077600
2015-03-18,827,832,826,832,13200,10944000
2015-03-17,830,830,824,826,10800,8931100
2015-03-16,820,826,817,824,10400,8555900
2015-03-13,824,824,812,816,26400,21613800
2015-03-12,810,822,809,812,22200,18075400
2015-03-11,815,820,805,811,59500,48304900
2015-03-10,823,825,818,822,22800,18738200
2015-03-09,830,830,820,823,17000,14007300
2015-03-06,832,834,828,828,19100,15863300
2015-03-05,835,835,827,830,8800,7304400
2015-03-04,835,835,825,835,25500,21230100
2015-03-03,833,833,826,828,13400,11135500
2015-03-02,832,833,828,832,37900,31517700
2015-02-27,831,833,824,830,23100,19140600
2015-02-26,826,833,823,831,32300,26750200
2015-02-25,820,825,818,824,43400,35670300
2015-02-24,815,817,813,816,14600,11909600
2015-02-23,815,819,814,816,27100,22127700
2015-02-20,810,820,807,814,34100,27793900
2015-02-19,799,809,799,807,27900,22424300
2015-02-18,797,800,792,797,14900,11880900
2015-02-17,787,797,787,796,13000,10305700
2015-02-16,792,797,792,796,11100,8817300
2015-02-13,793,794,791,792,9700,7690100
2015-02-12,793,793,787,791,20300,16050400
2015-02-10,788,792,788,791,5900,4664100
2015-02-09,790,791,787,788,10200,8048900
2015-02-06,790,790,787,789,7800,6150300
2015-02-05,791,791,786,789,2500,1972700
2015-02-04,790,790,783,788,8500,6685200
2015-02-03,786,790,784,784,12600,9904800
2015-02-02,782,790,782,788,13700,10752500
2015-01-30,788,792,786,789,11100,8755200
2015-01-29,790,791,782,783,32300,25377600
2015-01-28,793,793,782,788,38500,30295600
2015-01-27,792,793,789,792,19100,15120600
2015-01-26,790,792,787,791,8100,6399200
2015-01-23,786,791,786,791,8400,6629200
2015-01-22,791,791,786,791,4600,3628800
2015-01-21,793,793,785,788,19300,15193100
2015-01-20,790,791,787,791,9500,7494100
2015-01-19,790,791,787,790,4500,3552900
2015-01-16,789,790,780,786,22300,17542600
2015-01-15,783,788,774,788,15100,11832400
2015-01-14,789,789,783,786,9800,7708100
2015-01-13,788,789,780,786,19800,15536200
2015-01-09,789,789,777,788,19900,15581700
2015-01-08,790,790,785,789,7800,6144200
2015-01-07,780,789,780,787,7000,5498800
2015-01-06,787,795,783,786,13300,10474300
2015-01-05,790,799,788,794,11200,8868900
2014-12-30,795,795,787,792,8600,6813100
2014-12-29,786,792,784,790,12100,9538600
2014-12-26,777,788,771,785,14400,11294300
2014-12-25,774,788,770,780,44800,34830100
2014-12-24,787,792,781,789,25200,19887500
2014-12-22,791,793,787,789,11300,8919200
2014-12-19,790,795,785,793,22000,17387200
2014-12-18,783,789,779,788,25100,19733300
2014-12-17,783,785,765,782,34100,26605500
2014-12-16,784,785,780,783,33600,26302000
2014-12-15,783,785,775,783,23000,17996100
2014-12-12,775,782,770,778,55800,43352500
2014-12-11,772,773,770,773,41100,31736500
2014-12-10,772,775,771,774,29700,22944900
2014-12-09,773,775,772,773,17300,13383200
2014-12-08,771,776,771,775,27800,21502600
2014-12-05,768,772,768,770,24200,18617600
2014-12-04,771,772,768,771,14100,10854100
2014-12-03,773,773,768,771,13500,10399600
2014-12-02,767,774,767,772,17700,13634800
2014-12-01,778,778,769,770,29200,22595400
2014-11-28,764,772,764,767,20800,15969200
2014-11-27,769,773,765,767,31800,24421400
2014-11-26,780,782,748,773,183900,140722100
2014-11-25,798,812,797,809,87000,70212000
2014-11-21,790,798,790,797,88500,70325000
2014-11-20,791,795,790,793,33900,26872000
2014-11-19,793,793,790,792,16300,12904200
2014-11-18,785,793,785,793,10600,8385400
2014-11-17,790,793,788,789,23700,18734300
2014-11-14,790,792,785,790,15800,12467900
2014-11-13,788,790,788,790,5800,4577700
2014-11-12,793,795,788,788,23000,18220800
2014-11-11,790,792,789,792,21200,16750500
2014-11-10,787,790,786,790,15000,11824600
2014-11-07,779,788,779,785,16700,13095200
2014-11-06,787,787,780,783,21000,16487800
2014-11-05,787,787,783,787,15800,12410100
2014-11-04,781,787,781,783,36700,28753900
2014-10-31,774,776,772,776,24600,19031500
2014-10-30,775,775,766,766,13200,10180300
2014-10-29,764,770,761,769,20200,15467400
2014-10-28,768,772,767,772,9000,6925000
2014-10-27,770,770,766,769,5500,4228000
2014-10-24,764,770,764,764,9300,7128200
2014-10-23,765,765,755,762,4900,3728200
2014-10-22,760,767,758,766,7600,5792300
2014-10-21,765,765,750,760,10500,7963600
2014-10-20,760,768,758,765,10200,7769400
2014-10-17,759,762,749,752,13400,10075700
2014-10-16,750,761,750,759,19600,14827800
2014-10-15,764,767,755,763,6000,4577100
2014-10-14,760,767,750,764,17700,13468600
2014-10-10,761,773,760,770,14700,11253500
2014-10-09,776,778,773,776,13000,10072500
2014-10-08,780,783,775,778,28300,22018200
2014-10-07,776,790,775,783,35000,27387800
2014-10-06,770,775,768,775,16400,12658700
2014-10-03,765,767,755,764,19000,14509600
2014-10-02,772,774,770,770,14800,11421200
2014-10-01,774,779,773,775,19300,14968300
2014-09-30,779,779,775,776,9700,7534200
2014-09-29,778,780,776,780,14400,11217200
2014-09-26,774,779,774,776,9500,7376900
2014-09-25,776,779,775,777,14300,11111200
