2531-T,東証1部,宝HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,721,728,713,721,550700,396491000
2015-10-01,719,730,708,721,657400,473759900
2015-09-30,722,724,707,717,994800,712241200
2015-09-29,712,716,701,703,973500,686684800
2015-09-28,743,744,718,722,543600,394845900
2015-09-25,710,736,708,735,1321900,962968900
2015-09-24,708,718,702,702,690900,489313000
2015-09-18,738,738,720,721,1080700,781910700
2015-09-17,742,755,735,741,785900,583305500
2015-09-16,757,763,730,738,810200,599121200
2015-09-15,742,763,737,754,801300,604969200
2015-09-14,755,760,737,738,612600,455782700
2015-09-11,745,759,741,750,2206200,1647445100
2015-09-10,746,750,730,747,793200,588596100
2015-09-09,747,770,742,769,1545300,1168986200
2015-09-08,751,751,723,725,703500,514171600
2015-09-07,738,755,724,741,755400,558369800
2015-09-04,759,760,728,738,776900,576188400
2015-09-03,771,780,757,760,833100,638244900
2015-09-02,760,784,751,756,1280900,981633500
2015-09-01,805,807,771,771,1087200,856303800
2015-08-31,825,835,810,817,543400,445179000
2015-08-28,814,829,803,825,743900,609586700
2015-08-27,799,811,788,802,962300,770172300
2015-08-26,787,803,769,788,1328500,1043756400
2015-08-25,812,839,790,793,1188400,968227300
2015-08-24,866,884,840,843,888500,761224800
2015-08-21,895,898,874,876,569400,503048600
2015-08-20,914,919,901,902,284600,258460000
2015-08-19,935,935,917,919,386400,356791700
2015-08-18,942,942,932,935,234100,219162300
2015-08-17,929,943,929,941,292200,274401900
2015-08-14,950,950,925,928,583400,547008000
2015-08-13,945,954,931,947,578900,546634000
2015-08-12,953,962,936,936,471400,445053500
2015-08-11,960,969,942,955,622400,593096300
2015-08-10,962,965,951,961,692000,663867700
2015-08-07,985,987,966,970,504600,489976900
2015-08-06,999,999,978,981,554100,546253100
2015-08-05,984,1002,975,993,454000,449943900
2015-08-04,994,996,977,985,512800,505294800
2015-08-03,1021,1022,996,999,434200,436072400
2015-07-31,1000,1027,993,1021,1007500,1019205200
2015-07-30,999,1008,968,1002,768600,760390300
2015-07-29,992,1007,976,1005,605400,601171700
2015-07-28,976,999,964,996,855900,839379900
2015-07-27,985,992,974,986,451900,445282600
2015-07-24,1015,1016,995,997,702200,706483600
2015-07-23,1006,1019,1004,1016,809300,820629900
2015-07-22,998,1008,996,1001,593800,595632200
2015-07-21,990,1009,981,1008,718800,716779600
2015-07-17,986,998,984,994,545000,540179500
2015-07-16,994,996,978,992,709300,702209400
2015-07-15,999,1004,977,985,601100,593405200
2015-07-14,1003,1013,991,998,697400,697332700
2015-07-13,990,1005,990,1001,545100,544621600
2015-07-10,961,997,960,986,1195700,1169821000
2015-07-09,942,958,922,958,836500,787456100
2015-07-08,972,974,960,960,726300,702284600
2015-07-07,955,971,954,970,460500,444360500
2015-07-06,951,956,939,943,612000,579102100
2015-07-03,954,971,954,969,361900,349128800
2015-07-02,968,968,950,953,361300,345788000
2015-07-01,958,961,950,953,410200,391066400
2015-06-30,965,966,948,958,477600,456762500
2015-06-29,973,973,950,950,559300,536191500
2015-06-26,1000,1000,987,988,297300,294515500
2015-06-25,1005,1005,988,995,400400,398382600
2015-06-24,995,1012,992,1007,994600,999973100
2015-06-23,968,992,967,992,640500,630245200
2015-06-22,967,977,963,968,370500,358413000
2015-06-19,976,984,965,968,954000,926718500
2015-06-18,970,988,970,971,931000,910382800
2015-06-17,975,986,972,980,471100,461187000
2015-06-16,984,990,980,983,540500,532415600
2015-06-15,978,992,974,988,491000,483087200
2015-06-12,1000,1000,983,992,1708000,1702285800
2015-06-11,959,990,954,990,847300,831007400
2015-06-10,953,969,949,959,750500,719078100
2015-06-09,956,966,949,949,399900,382484000
2015-06-08,976,978,962,971,407900,395684500
2015-06-05,948,970,944,966,852600,817365600
2015-06-04,945,954,940,952,615000,582944500
2015-06-03,946,953,939,944,552100,520890700
2015-06-02,956,962,948,956,808200,772428000
2015-06-01,940,961,935,958,731500,694412300
2015-05-29,930,951,928,942,832100,781936400
2015-05-28,959,959,940,943,428800,404908500
2015-05-27,950,958,943,955,612100,581787700
2015-05-26,949,960,942,957,504500,481482000
2015-05-25,957,959,940,947,422900,400140400
