2580-T,東証1部,コカ･コーラEJ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1919,1946,1909,1920,288300,554945500
2015-10-01,1936,1949,1903,1939,258000,498190400
2015-09-30,1910,1949,1906,1929,403000,778198400
2015-09-29,1878,1899,1862,1869,390100,732042300
2015-09-28,1877,1914,1866,1899,331200,628989800
2015-09-25,1854,1881,1852,1875,399000,745483900
2015-09-24,1842,1896,1840,1845,603100,1131426400
2015-09-18,1900,1908,1864,1864,401200,752478800
2015-09-17,1914,1940,1902,1922,290900,559167800
2015-09-16,1920,1929,1883,1890,309400,587190000
2015-09-15,1892,1927,1885,1892,333500,634122100
2015-09-14,1915,1930,1888,1888,346600,660583000
2015-09-11,1876,1914,1867,1900,532800,1007778100
2015-09-10,1959,1971,1902,1916,728000,1403562200
2015-09-09,2005,2032,1952,2009,624600,1237928600
2015-09-08,2026,2044,1953,1954,385400,764818200
2015-09-07,2022,2047,2010,2031,393600,797590000
2015-09-04,2101,2110,2010,2030,474100,967608000
2015-09-03,2100,2126,2092,2100,452000,950121300
2015-09-02,2054,2128,2043,2073,541300,1129299900
2015-09-01,2181,2183,2086,2086,308000,651614300
2015-08-31,2153,2212,2142,2194,460400,1005728000
2015-08-28,2110,2159,2096,2153,288300,614273700
2015-08-27,2050,2128,2050,2101,402300,844373400
2015-08-26,2043,2056,2007,2019,563600,1141274300
2015-08-25,2000,2115,1988,2040,462600,948648600
2015-08-24,2180,2225,2123,2123,737800,1604724900
2015-08-21,2209,2215,2188,2200,455400,1002767100
2015-08-20,2241,2269,2225,2236,394600,883610600
2015-08-19,2220,2276,2220,2249,423000,951546400
2015-08-18,2210,2239,2204,2232,372900,829277700
2015-08-17,2200,2225,2188,2208,351400,773583800
2015-08-14,2205,2232,2192,2202,341500,753873400
2015-08-13,2221,2243,2199,2210,438500,969684600
2015-08-12,2250,2269,2236,2250,447500,1008404200
2015-08-11,2280,2291,2239,2271,447900,1015777500
2015-08-10,2242,2280,2199,2279,1016500,2293382100
2015-08-07,2296,2318,2196,2204,1466300,3270171500
2015-08-06,2403,2413,2332,2342,561500,1326129800
2015-08-05,2381,2401,2340,2393,440500,1048945000
2015-08-04,2350,2389,2337,2381,736200,1746770300
2015-08-03,2298,2350,2293,2333,733500,1704671600
2015-07-31,2227,2296,2225,2283,555700,1263255200
2015-07-30,2212,2253,2162,2223,1321500,2930196400
2015-07-29,2200,2208,2163,2194,520100,1139773200
2015-07-28,2155,2245,2140,2236,481300,1064333000
2015-07-27,2220,2223,2165,2185,449600,982531000
2015-07-24,2200,2228,2167,2223,801000,1760943300
2015-07-23,2209,2247,2190,2205,1002700,2215563300
2015-07-22,2187,2230,2183,2216,527900,1168518900
2015-07-21,2177,2191,2169,2187,257100,560331500
2015-07-17,2170,2176,2145,2163,353100,761594200
2015-07-16,2173,2175,2156,2172,296000,641788600
2015-07-15,2147,2172,2141,2171,479900,1033122900
2015-07-14,2164,2190,2139,2160,557000,1203849700
2015-07-13,2065,2122,2065,2114,367700,773120800
2015-07-10,2042,2120,2036,2064,507700,1055211800
2015-07-09,2004,2032,1948,2022,511700,1018976500
2015-07-08,2169,2176,2029,2030,1175300,2441701300
2015-07-07,2195,2195,2137,2159,659000,1421056900
2015-07-06,2180,2183,2164,2175,537900,1169214800
2015-07-03,2220,2248,2208,2213,217200,483780600
2015-07-02,2236,2238,2211,2222,216900,481969000
2015-07-01,2270,2270,2212,2218,378100,841074700
2015-06-30,2254,2298,2245,2265,405300,918073200
2015-06-29,2203,2234,2192,2219,447600,991299000
2015-06-26,2287,2309,2265,2281,331300,755521400
2015-06-25,2310,2332,2295,2303,343900,793628100
2015-06-24,2334,2373,2319,2325,276000,646133200
2015-06-23,2311,2335,2303,2332,278600,646125000
2015-06-22,2290,2319,2290,2307,281500,649347500
2015-06-19,2251,2288,2238,2286,716000,1626076600
2015-06-18,2250,2263,2219,2224,466700,1046982500
2015-06-17,2250,2268,2231,2244,430400,966798300
2015-06-16,2245,2270,2238,2247,396400,892115000
2015-06-15,2235,2281,2232,2260,416900,939385300
2015-06-12,2250,2263,2229,2234,537100,1206195000
2015-06-11,2250,2271,2246,2266,308500,697241900
2015-06-10,2231,2259,2204,2236,642400,1427162300
2015-06-09,2277,2277,2224,2240,582700,1310313200
2015-06-08,2345,2353,2280,2286,395400,910236900
2015-06-05,2369,2369,2329,2343,506300,1188787600
2015-06-04,2320,2379,2315,2375,499600,1176007600
2015-06-03,2346,2352,2315,2329,184400,429516500
2015-06-02,2280,2369,2280,2347,500100,1173206800
2015-06-01,2301,2301,2277,2286,249000,569488100
2015-05-29,2344,2348,2299,2301,600900,1387354100
2015-05-28,2318,2348,2302,2344,364900,848571700
2015-05-27,2295,2305,2272,2301,247600,568390300
2015-05-26,2315,2328,2309,2311,174700,404467900
2015-05-25,2305,2339,2305,2315,234000,542255400
2015-05-22,2324,2327,2293,2303,262900,605795600
2015-05-21,2330,2330,2288,2300,269600,621135600
2015-05-20,2279,2309,2279,2300,403700,927820500
2015-05-19,2237,2264,2228,2259,380800,857835100
2015-05-18,2207,2231,2207,2225,237900,528329400
2015-05-15,2192,2222,2191,2207,258600,570345300
2015-05-14,2191,2210,2185,2185,404100,884811300
2015-05-13,2255,2279,2184,2201,397000,881928200
2015-05-12,2255,2255,2218,2238,311800,697642900
2015-05-11,2259,2272,2215,2224,290500,649801100
2015-05-08,2204,2245,2202,2228,359600,801256700
2015-05-07,2214,2245,2197,2204,495200,1094995100
2015-05-01,2245,2266,2224,2231,420500,941300800
2015-04-30,2330,2338,2224,2242,438800,993908800
2015-04-28,2372,2383,2337,2344,254900,600713700
2015-04-27,2368,2394,2361,2366,154800,367334400
2015-04-24,2381,2390,2363,2368,150900,358107600
2015-04-23,2400,2430,2375,2381,248600,596521900
2015-04-22,2400,2416,2363,2395,403200,961220400
2015-04-21,2398,2418,2375,2400,441200,1057582300
