2590-T,東証1部,ダイドドリ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,5090,5100,5060,5090,45000,228768000
2015-10-01,5090,5130,5060,5090,44600,226896000
2015-09-30,5060,5100,5050,5090,54400,276610000
2015-09-29,5130,5130,5040,5050,48100,244123000
2015-09-28,5100,5180,5100,5160,35600,183309000
2015-09-25,5130,5190,5040,5170,53200,274061000
2015-09-24,5060,5190,5060,5090,34000,174095000
2015-09-18,5170,5170,5070,5080,26700,136540000
2015-09-17,5200,5240,5170,5220,25700,134087000
2015-09-16,5220,5220,5150,5200,17700,91702000
2015-09-15,5170,5250,5140,5190,22400,116446000
2015-09-14,5080,5200,5070,5130,28900,148263000
2015-09-11,5080,5150,5070,5080,41300,210192000
2015-09-10,5110,5170,5090,5140,30300,155456000
2015-09-09,5160,5220,5130,5210,31200,161320000
2015-09-08,5200,5280,5110,5130,19300,99486000
2015-09-07,5130,5330,5100,5280,48200,252273000
2015-09-04,5270,5270,5120,5160,42200,219187000
2015-09-03,5250,5360,5250,5270,35300,187272000
2015-09-02,5190,5340,5160,5260,46600,245399000
2015-09-01,5400,5400,5260,5270,63600,339388000
2015-08-31,5230,5410,5190,5410,95500,510102000
2015-08-28,5100,5190,5080,5190,40000,205657000
2015-08-27,5050,5080,4930,5010,43000,215696000
2015-08-26,4870,5050,4810,4835,82300,402694500
2015-08-25,4800,4990,4740,4800,51300,248854000
2015-08-24,5060,5080,4945,4945,61800,309080000
2015-08-21,5220,5230,5100,5110,53800,277039000
2015-08-20,5320,5350,5260,5270,33800,179275000
2015-08-19,5330,5340,5310,5330,21300,113481000
2015-08-18,5360,5370,5310,5340,40100,214081000
2015-08-17,5340,5370,5300,5360,39300,210145000
2015-08-14,5270,5340,5260,5320,38500,204136000
2015-08-13,5290,5310,5230,5280,35400,186621000
2015-08-12,5280,5350,5280,5290,51300,272856000
2015-08-11,5360,5360,5280,5340,51900,276395000
2015-08-10,5320,5360,5300,5360,92500,493900000
2015-08-07,5320,5330,5270,5290,36000,190584000
2015-08-06,5320,5350,5280,5320,66600,354294000
2015-08-05,5300,5320,5260,5310,70400,373559000
2015-08-04,5250,5300,5240,5300,94800,500829000
2015-08-03,5190,5230,5190,5220,36500,190052000
2015-07-31,5170,5190,5140,5180,35500,183529000
2015-07-30,5140,5210,5140,5200,53700,277988000
2015-07-29,5140,5170,5100,5140,61700,316663000
2015-07-28,5110,5190,5080,5170,72600,373139000
2015-07-27,5190,5210,5150,5180,48100,249101000
2015-07-24,5190,5200,5180,5180,34800,180615000
2015-07-23,5180,5180,5140,5170,43700,225656000
2015-07-22,5190,5200,5160,5160,52900,274048000
2015-07-21,5180,5210,5170,5200,51200,265974000
2015-07-17,5200,5210,5170,5190,54000,280127000
2015-07-16,5220,5230,5170,5200,78500,408042000
2015-07-15,5170,5260,5160,5250,182700,950689000
2015-07-14,5280,5310,5210,5210,231100,1215463000
2015-07-13,5230,5290,5220,5280,111800,587761000
2015-07-10,5250,5250,5160,5190,105300,548752000
2015-07-09,5290,5300,5200,5260,104900,550856000
2015-07-08,5330,5330,5300,5300,88400,470032000
2015-07-07,5320,5340,5300,5300,41200,218868000
2015-07-06,5320,5340,5300,5300,53200,282823000
2015-07-03,5350,5370,5320,5320,45600,243487000
2015-07-02,5380,5380,5340,5350,46500,249320000
2015-07-01,5320,5360,5300,5340,46800,249814000
2015-06-30,5310,5350,5300,5320,41700,221990000
2015-06-29,5320,5360,5280,5300,70000,372727000
2015-06-26,5300,5380,5300,5330,43300,230994000
2015-06-25,5370,5370,5300,5300,40600,216166000
2015-06-24,5360,5390,5320,5370,33800,181152000
2015-06-23,5300,5330,5260,5320,25000,132396000
2015-06-22,5270,5290,5230,5260,30300,159402000
2015-06-19,5270,5290,5250,5250,26600,140216000
2015-06-18,5300,5310,5260,5260,15800,83390000
2015-06-17,5280,5350,5270,5300,30400,161455000
2015-06-16,5320,5320,5230,5280,55000,290232000
2015-06-15,5350,5360,5310,5320,46100,245718000
2015-06-12,5410,5430,5330,5360,68600,369579000
2015-06-11,5410,5480,5400,5440,26500,144290000
2015-06-10,5450,5460,5380,5410,32400,175354000
2015-06-09,5430,5450,5410,5410,36700,199231000
2015-06-08,5450,5480,5420,5470,17400,94833000
2015-06-05,5410,5450,5410,5420,29900,162282000
2015-06-04,5450,5480,5420,5440,23700,128908000
2015-06-03,5520,5530,5440,5450,32900,180265000
2015-06-02,5500,5550,5480,5520,41600,229783000
2015-06-01,5400,5500,5400,5500,36600,200255000
2015-05-29,5470,5490,5440,5480,46000,251689000
2015-05-28,5480,5490,5420,5470,50300,274462000
2015-05-27,5410,5490,5370,5480,75100,408195000
2015-05-26,5310,5530,5310,5410,189400,1022088000
2015-05-25,5130,5150,5080,5110,21400,109594000
2015-05-22,5170,5170,5120,5130,27100,139378000
2015-05-21,5140,5190,5140,5150,33300,171830000
2015-05-20,5090,5130,5060,5130,32000,163308000
2015-05-19,5090,5090,5060,5080,29600,150302000
2015-05-18,5040,5090,5040,5080,26400,133712000
2015-05-15,5010,5030,4985,5010,19900,99713000
2015-05-14,5000,5020,4955,4980,30000,149468000
2015-05-13,5010,5020,4985,4995,12500,62487500
2015-05-12,5030,5030,4980,5010,23200,116159500
2015-05-11,5050,5050,4995,4995,26100,130798500
2015-05-08,5020,5030,4985,5010,17900,89704000
2015-05-07,4950,5020,4950,5000,33700,168084500
2015-05-01,4955,4980,4935,4955,21300,105567500
2015-04-30,5050,5060,4940,4950,58700,292240000
2015-04-28,4990,5050,4980,5050,23700,118971500
2015-04-27,4995,5010,4975,4985,18100,90339000
2015-04-24,5000,5020,4970,4975,29300,146213500
2015-04-23,5010,5060,4995,5000,35000,175786500
2015-04-22,5080,5100,4985,4985,48200,241906500
2015-04-21,5060,5080,5020,5070,18400,92945000
2015-04-20,5100,5100,5050,5060,21900,111021000
