2607-T,東証1部,不二製油,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1531,1607,1530,1587,742500,1175266900
2015-10-01,1532,1565,1532,1540,326300,504601900
2015-09-30,1520,1559,1495,1550,502600,771291100
2015-09-29,1535,1551,1500,1510,333500,505349200
2015-09-28,1558,1577,1543,1554,279400,434274700
2015-09-25,1557,1596,1545,1596,519100,819857600
2015-09-24,1537,1743,1527,1536,1264300,2032057300
2015-09-18,1564,1585,1531,1537,425100,658577800
2015-09-17,1536,1563,1529,1545,317400,490172600
2015-09-16,1551,1552,1502,1522,417800,633511700
2015-09-15,1530,1560,1520,1541,274100,422873000
2015-09-14,1564,1575,1528,1532,278000,429280300
2015-09-11,1512,1551,1512,1536,365000,558731200
2015-09-10,1530,1548,1510,1536,462500,707299400
2015-09-09,1559,1579,1517,1578,571600,889920200
2015-09-08,1509,1531,1491,1499,413500,623026800
2015-09-07,1501,1518,1471,1498,588400,875337000
2015-09-04,1578,1579,1503,1516,336500,514052400
2015-09-03,1563,1611,1559,1575,443800,702828100
2015-09-02,1600,1604,1553,1558,996600,1572234700
2015-09-01,1660,1679,1622,1622,560800,920339800
2015-08-31,1690,1690,1653,1680,625300,1043566800
2015-08-28,1712,1737,1674,1701,547300,929618600
2015-08-27,1689,1707,1658,1676,851000,1432559600
2015-08-26,1623,1637,1560,1614,1186900,1890932700
2015-08-25,1632,1728,1621,1623,990000,1658441400
2015-08-24,1738,1740,1654,1661,905400,1528052500
2015-08-21,1767,1794,1762,1778,652000,1157822700
2015-08-20,1800,1815,1785,1791,522600,941078600
2015-08-19,1800,1835,1800,1809,447300,812847300
2015-08-18,1800,1824,1781,1818,477400,861011900
2015-08-17,1807,1823,1795,1822,397000,719782800
2015-08-14,1828,1841,1781,1804,580300,1051790100
2015-08-13,1811,1821,1767,1810,1024200,1837769300
2015-08-12,1865,1870,1816,1821,716700,1317747000
2015-08-11,1865,1866,1833,1844,1091900,2011835300
2015-08-10,1940,1940,1853,1867,2296300,4328644700
2015-08-07,2089,2165,2081,2155,407500,867996600
2015-08-06,2127,2198,2087,2139,429900,925541700
2015-08-05,2150,2159,2079,2131,538700,1144775300
