2674-T,東証1部,ハードオフ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1546,1567,1544,1550,9100,14124500
2015-10-01,1593,1598,1513,1567,34700,53859200
2015-09-30,1545,1591,1545,1566,28100,44155200
2015-09-29,1542,1561,1513,1519,24700,37872700
2015-09-28,1514,1588,1460,1562,39300,60749000
2015-09-25,1475,1515,1435,1514,67500,100246800
2015-09-24,1359,1478,1347,1478,46700,66488500
2015-09-18,1395,1416,1378,1389,15400,21516000
2015-09-17,1395,1408,1381,1399,10000,13946600
2015-09-16,1412,1412,1381,1402,16000,22340700
2015-09-15,1395,1405,1375,1402,7500,10472200
2015-09-14,1409,1435,1387,1388,8800,12397400
2015-09-11,1373,1404,1373,1394,28100,38863400
2015-09-10,1409,1409,1366,1395,12700,17711500
2015-09-09,1349,1414,1337,1411,41500,57608200
2015-09-08,1346,1347,1302,1305,16000,21108900
2015-09-07,1324,1345,1308,1340,17200,22871700
2015-09-04,1371,1371,1321,1354,36600,49568200
2015-09-03,1420,1420,1380,1385,21500,30130700
2015-09-02,1373,1418,1370,1392,27600,38613100
2015-09-01,1438,1464,1393,1395,49100,70155500
2015-08-31,1450,1453,1432,1449,17400,25130800
2015-08-28,1475,1475,1429,1453,30700,44460000
2015-08-27,1490,1490,1429,1442,32800,47632500
2015-08-26,1390,1448,1368,1422,70400,98469000
2015-08-25,1350,1500,1320,1381,89200,124576200
2015-08-24,1427,1511,1401,1420,70500,101984100
2015-08-21,1550,1558,1523,1527,30300,46669000
2015-08-20,1585,1599,1570,1574,20100,31816700
2015-08-19,1618,1618,1582,1585,20600,32766500
2015-08-18,1670,1673,1590,1618,57100,92723600
2015-08-17,1605,1675,1605,1670,23900,39448700
2015-08-14,1603,1650,1603,1618,18100,29333000
2015-08-13,1617,1637,1590,1612,22600,36314400
2015-08-12,1655,1655,1583,1620,36200,58459400
2015-08-11,1697,1697,1619,1664,35800,59203900
2015-08-10,1614,1698,1614,1662,54000,89424300
2015-08-07,1594,1608,1565,1606,35900,57146400
2015-08-06,1526,1614,1526,1594,76700,121855100
2015-08-05,1521,1540,1498,1519,22800,34536200
2015-08-04,1523,1550,1510,1520,31100,47538800
2015-08-03,1540,1543,1492,1512,84600,128184100
2015-07-31,1451,1575,1451,1542,140300,214746200
2015-07-30,1437,1473,1432,1468,30500,44207300
2015-07-29,1477,1481,1435,1450,56300,81765100
2015-07-28,1452,1500,1439,1496,37100,54954700
2015-07-27,1457,1487,1442,1461,36800,54079900
2015-07-24,1471,1486,1457,1472,35200,51586600
2015-07-23,1435,1490,1435,1488,48200,71288800
2015-07-22,1440,1454,1421,1435,30200,43372300
2015-07-21,1462,1479,1444,1449,47300,68861300
2015-07-17,1480,1490,1450,1462,37900,55389400
2015-07-16,1466,1488,1453,1476,39700,58317700
2015-07-15,1479,1479,1455,1473,19300,28369600
2015-07-14,1500,1500,1440,1473,51400,75342000
2015-07-13,1435,1499,1427,1473,66000,97042800
2015-07-10,1370,1416,1370,1397,48300,67463000
2015-07-09,1350,1399,1314,1395,68000,92339100
2015-07-08,1530,1530,1421,1431,74300,108489900
2015-07-07,1475,1547,1472,1534,67400,102546400
2015-07-06,1420,1474,1420,1453,35300,51269300
2015-07-03,1465,1465,1428,1434,36500,52714000
2015-07-02,1467,1486,1457,1460,40200,59286300
2015-07-01,1400,1459,1393,1437,38100,54184400
2015-06-30,1368,1399,1368,1391,43500,60112300
2015-06-29,1383,1425,1370,1398,46000,64252300
2015-06-26,1380,1450,1378,1434,61800,88115400
2015-06-25,1394,1400,1372,1377,20100,27911200
2015-06-24,1361,1411,1330,1405,64700,89614200
2015-06-23,1369,1369,1337,1361,45300,61335700
2015-06-22,1328,1371,1321,1369,59400,80217800
2015-06-19,1300,1330,1300,1323,46600,61406100
2015-06-18,1276,1299,1271,1288,33400,43010100
2015-06-17,1270,1287,1252,1274,21000,26791800
2015-06-16,1288,1288,1273,1282,12800,16399800
2015-06-15,1268,1289,1262,1280,21900,27992100
2015-06-12,1249,1284,1245,1260,34800,43660900
2015-06-11,1234,1288,1234,1261,42500,53600900
2015-06-10,1245,1259,1231,1231,26300,32664300
2015-06-09,1258,1265,1230,1244,32600,40761100
2015-06-08,1265,1273,1256,1256,19200,24258500
2015-06-05,1249,1272,1248,1263,29800,37598100
2015-06-04,1246,1259,1241,1244,14600,18230400
2015-06-03,1251,1257,1242,1243,23400,29246000
2015-06-02,1260,1269,1250,1258,24200,30471300
2015-06-01,1265,1280,1264,1269,39000,49603000
2015-05-29,1265,1276,1261,1268,24200,30721700
2015-05-28,1280,1280,1269,1274,24100,30705800
2015-05-27,1275,1279,1261,1271,31100,39491400
2015-05-26,1295,1295,1262,1275,38300,48842700
2015-05-25,1310,1318,1281,1299,41100,53564200
2015-05-22,1303,1350,1251,1304,107300,140617200
2015-05-21,1297,1314,1293,1309,32000,41869500
2015-05-20,1306,1308,1282,1293,24900,32383100
2015-05-19,1283,1313,1280,1305,67000,87054700
2015-05-18,1260,1283,1260,1270,39800,50541400
2015-05-15,1236,1265,1227,1260,61900,77771600
2015-05-14,1257,1257,1226,1236,33700,41742500
2015-05-13,1235,1260,1235,1257,55000,68797200
2015-05-12,1219,1237,1219,1231,20000,24563900
2015-05-11,1233,1237,1221,1232,17500,21552200
2015-05-08,1196,1229,1189,1209,29400,35441400
2015-05-07,1194,1196,1183,1195,18700,22254600
2015-05-01,1191,1213,1187,1194,25700,30792100
2015-04-30,1197,1199,1187,1191,19900,23762100
2015-04-28,1195,1215,1191,1195,19000,22868900
2015-04-27,1200,1200,1180,1187,18100,21531000
2015-04-24,1205,1211,1195,1202,13400,16116900
2015-04-23,1221,1231,1213,1213,10800,13184300
2015-04-22,1224,1238,1204,1221,18900,23086300
2015-04-21,1209,1226,1190,1224,33100,39934300
2015-04-20,1220,1228,1212,1214,17300,21085200
2015-04-17,1265,1265,1230,1233,17200,21363400
2015-04-16,1244,1268,1242,1267,45000,56578700
2015-04-15,1237,1260,1231,1260,61800,77358900
2015-04-14,1191,1250,1191,1237,66500,81937300
2015-04-13,1221,1223,1179,1191,40600,48463600
2015-04-10,1244,1244,1215,1219,35300,43357200
2015-04-09,1249,1262,1234,1244,48200,60113000
2015-04-08,1238,1240,1226,1233,19800,24387500
2015-04-07,1261,1261,1205,1233,45300,55899900
2015-04-06,1230,1261,1230,1261,90400,113272700
2015-04-03,1188,1230,1188,1226,73600,89143400
2015-04-02,1140,1185,1139,1183,84000,97613700
2015-04-01,1119,1144,1109,1128,56200,63489200
2015-03-31,1142,1156,1130,1137,30900,35410100
2015-03-30,1151,1163,1120,1137,60200,68909700
2015-03-27,1160,1183,1148,1162,74500,86730400
2015-03-26,1202,1215,1200,1202,55700,67192400
2015-03-25,1232,1236,1216,1225,65800,80492100
2015-03-24,1245,1245,1225,1240,42700,52712600
2015-03-23,1260,1266,1250,1257,39900,50215300
2015-03-20,1260,1261,1250,1257,32000,40209500
2015-03-19,1251,1265,1247,1260,46900,58947800
2015-03-18,1252,1257,1223,1249,47800,59246500
2015-03-17,1254,1262,1233,1242,42100,52413900
2015-03-16,1255,1260,1247,1254,37200,46673500
2015-03-13,1250,1254,1231,1243,92500,115341900
2015-03-12,1198,1220,1187,1218,62600,75577400
2015-03-11,1179,1215,1178,1187,102000,121979700
2015-03-10,1188,1195,1173,1178,46600,55272300
2015-03-09,1169,1185,1169,1184,32200,37988000
2015-03-06,1155,1173,1151,1171,31400,36563600
2015-03-05,1146,1160,1146,1157,24300,28066700
2015-03-04,1155,1159,1145,1155,26900,31040600
2015-03-03,1150,1163,1145,1155,30000,34631400
2015-03-02,1140,1150,1129,1141,40600,46252900
2015-02-27,1133,1145,1123,1131,92500,104741500
2015-02-26,1155,1166,1141,1157,57400,66272300
2015-02-25,1167,1179,1150,1160,50300,58545700
2015-02-24,1149,1184,1149,1183,115600,135348500
2015-02-23,1147,1147,1135,1145,57400,65498500
2015-02-20,1146,1148,1135,1145,32200,36858500
2015-02-19,1139,1150,1138,1146,59300,67924600
2015-02-18,1130,1149,1122,1134,159000,180225300
2015-02-17,1090,1109,1085,1098,38100,41849600
2015-02-16,1133,1135,1091,1108,56800,63424900
2015-02-13,1132,1135,1120,1133,61300,69252200
2015-02-12,1120,1138,1109,1118,74400,83691900
2015-02-10,1094,1117,1085,1110,47700,52734400
