2681-T,東証1部,ゲオHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1864,1900,1862,1884,172100,323870700
2015-10-01,1929,1929,1867,1875,269700,508868200
2015-09-30,1865,1918,1865,1909,282600,537560000
2015-09-29,1879,1899,1857,1865,311700,584368200
2015-09-28,1893,1906,1856,1894,415900,783609700
2015-09-25,1935,1980,1900,1914,580800,1117662500
2015-09-24,1924,1973,1912,1926,366200,711918000
2015-09-18,1920,1958,1901,1934,252900,489624200
2015-09-17,1935,1944,1891,1934,309700,593483100
2015-09-16,1951,1960,1881,1923,532200,1020987000
2015-09-15,1892,1989,1886,1948,652600,1269160100
2015-09-14,1780,1916,1778,1873,753700,1412167200
2015-09-11,1707,1772,1691,1760,395400,682329700
2015-09-10,1711,1787,1706,1778,242800,426100700
2015-09-09,1739,1743,1701,1743,190300,329033200
2015-09-08,1739,1747,1675,1685,217400,369371900
2015-09-07,1680,1748,1664,1728,272500,467597800
2015-09-04,1743,1743,1657,1687,268000,453873900
2015-09-03,1732,1770,1720,1727,195400,340630000
2015-09-02,1673,1744,1652,1701,530800,901776800
2015-09-01,1835,1839,1725,1734,330100,584291700
2015-08-31,1844,1849,1803,1841,224400,411412100
2015-08-28,1845,1876,1811,1844,237300,436039600
2015-08-27,1769,1831,1751,1788,260000,466279200
2015-08-26,1733,1750,1701,1714,296700,511074200
2015-08-25,1644,1800,1585,1696,572000,969081000
2015-08-24,1885,1904,1762,1764,366700,669251500
2015-08-21,1850,1967,1848,1920,521200,1005227900
2015-08-20,1911,1919,1880,1881,145700,276073700
2015-08-19,1941,1950,1919,1920,148800,287159500
2015-08-18,1950,1952,1918,1941,125400,242780300
2015-08-17,1910,1955,1900,1953,157300,304781500
2015-08-14,1909,1918,1883,1901,145700,277038800
2015-08-13,1911,1927,1852,1909,237000,446774500
2015-08-12,1945,1949,1871,1911,425100,808788300
2015-08-11,1965,2034,1947,1975,574100,1137135700
2015-08-10,1847,1955,1786,1955,798800,1525028500
2015-08-07,1781,1787,1756,1776,174200,308340500
2015-08-06,1798,1816,1775,1780,154400,276137100
2015-08-05,1800,1800,1755,1770,126600,225011500
2015-08-04,1782,1802,1750,1788,221300,394089100
2015-08-03,1700,1787,1699,1783,215800,379926000
2015-07-31,1720,1727,1692,1707,121200,207498400
2015-07-30,1730,1748,1713,1715,128300,221288600
2015-07-29,1700,1719,1692,1716,108700,185763000
2015-07-28,1660,1705,1652,1689,138500,233338100
2015-07-27,1703,1704,1663,1668,145300,244768100
2015-07-24,1697,1730,1689,1701,163500,278797200
2015-07-23,1679,1694,1674,1679,95500,160669900
2015-07-22,1660,1675,1648,1668,98700,164528400
2015-07-21,1637,1674,1632,1670,136000,225473000
2015-07-17,1649,1657,1632,1635,101700,166478700
2015-07-16,1640,1653,1630,1647,142400,233900800
2015-07-15,1617,1645,1612,1640,174200,284466900
2015-07-14,1600,1624,1589,1617,200500,322138400
2015-07-13,1574,1590,1549,1574,73000,114730600
