2760-T,東証1部,東エレデバ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1564,1564,1540,1559,9700,15061100
2015-10-01,1567,1567,1542,1554,18100,28123800
2015-09-30,1561,1566,1533,1556,15400,23954900
2015-09-29,1566,1570,1526,1533,26800,41419300
2015-09-28,1569,1596,1561,1574,20300,32030800
2015-09-25,1591,1615,1589,1605,23700,37927900
2015-09-24,1596,1603,1576,1596,18800,29941700
2015-09-18,1586,1602,1571,1601,21800,34598500
2015-09-17,1588,1597,1587,1591,7800,12404200
2015-09-16,1592,1599,1579,1588,14300,22688600
2015-09-15,1589,1600,1581,1592,8800,13988900
2015-09-14,1585,1600,1580,1589,16000,25474600
2015-09-11,1580,1593,1578,1585,15000,23754100
2015-09-10,1555,1596,1555,1586,9100,14377000
2015-09-09,1592,1596,1580,1592,11100,17641700
2015-09-08,1566,1590,1549,1551,14800,23151300
2015-09-07,1545,1587,1538,1583,24700,38462500
2015-09-04,1575,1580,1557,1567,24100,37751200
2015-09-03,1567,1584,1563,1567,14500,22739300
2015-09-02,1532,1572,1530,1551,27300,42319400
2015-09-01,1619,1623,1570,1578,34200,54470200
2015-08-31,1647,1647,1615,1623,15700,25498900
2015-08-28,1605,1634,1605,1626,17100,27767400
2015-08-27,1618,1620,1597,1598,16600,26714800
2015-08-26,1570,1600,1546,1592,32400,50998700
2015-08-25,1500,1596,1488,1534,68100,103894800
2015-08-24,1615,1629,1566,1567,58500,93713600
2015-08-21,1686,1686,1658,1662,37500,62492800
2015-08-20,1692,1701,1690,1690,18700,31651800
2015-08-19,1704,1708,1697,1700,18100,30793000
2015-08-18,1703,1707,1694,1706,22400,38087200
2015-08-17,1710,1710,1695,1702,9800,16672000
2015-08-14,1704,1704,1692,1697,21200,35968000
2015-08-13,1698,1705,1692,1701,18400,31255800
2015-08-12,1708,1708,1690,1698,34300,58210000
2015-08-11,1708,1721,1694,1709,36600,62435100
2015-08-10,1695,1708,1691,1706,24900,42282000
2015-08-07,1699,1713,1694,1700,20800,35397500
2015-08-06,1704,1710,1693,1700,16600,28267100
2015-08-05,1697,1704,1681,1703,20800,35239300
2015-08-04,1699,1700,1688,1696,15400,26091200
2015-08-03,1698,1709,1688,1699,14000,23767900
2015-07-31,1698,1706,1687,1706,26600,45205300
2015-07-30,1681,1698,1681,1686,24500,41372400
2015-07-29,1690,1703,1676,1685,38900,65572300
2015-07-28,1740,1745,1690,1710,120800,208124500
2015-07-27,1670,1670,1654,1660,25600,42483500
2015-07-24,1654,1666,1654,1660,13200,21900600
2015-07-23,1688,1688,1651,1666,35300,58774000
2015-07-22,1687,1687,1671,1676,19200,32215700
2015-07-21,1695,1695,1683,1687,16600,28012300
2015-07-17,1706,1706,1686,1689,13600,23036900
2015-07-16,1697,1699,1687,1699,16300,27600200
2015-07-15,1685,1694,1680,1684,14400,24276900
2015-07-14,1678,1684,1670,1681,11000,18460000
