2764-T,東証1部,ひらまつ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,626,633,625,628,38900,24407800
2015-10-01,633,640,627,629,64100,40490000
2015-09-30,626,646,624,631,79100,49937200
2015-09-29,626,638,620,621,120100,75218500
2015-09-28,635,644,626,639,89900,57242800
2015-09-25,628,644,627,644,133400,84769700
2015-09-24,624,634,620,624,102500,64132500
2015-09-18,632,634,624,629,88500,55717200
2015-09-17,642,643,631,634,82700,52594600
2015-09-16,650,654,631,638,74700,47752900
2015-09-15,649,660,642,644,77500,50324000
2015-09-14,657,657,638,642,87800,56675900
2015-09-11,630,656,630,647,105800,67663400
2015-09-10,630,641,630,637,47400,30088600
2015-09-09,641,645,625,644,74400,47546200
2015-09-08,631,640,616,616,87500,54630700
2015-09-07,629,642,618,628,95800,60299500
2015-09-04,658,658,632,638,143400,91919300
2015-09-03,659,669,653,656,114900,75894000
2015-09-02,650,665,641,643,185100,120183300
2015-09-01,681,682,665,666,156900,105811200
2015-08-31,681,691,670,681,125800,85576300
2015-08-28,679,683,666,675,148100,99920500
2015-08-27,688,689,659,660,198100,132664000
2015-08-26,634,652,620,648,294500,187161000
2015-08-25,621,679,608,614,416000,264897800
2015-08-24,680,705,651,654,392500,264416100
2015-08-21,701,723,695,706,355400,250362600
2015-08-20,762,768,731,735,307100,228752700
2015-08-19,780,780,760,764,188600,144537700
2015-08-18,775,787,770,783,178000,138616800
2015-08-17,786,786,758,765,398900,307091500
2015-08-14,811,819,805,816,132800,107846100
2015-08-13,792,809,792,802,85700,68657100
2015-08-12,811,815,798,806,108900,87862100
2015-08-11,816,819,808,812,87400,71171600
2015-08-10,814,814,803,810,63400,51256200
2015-08-07,799,821,791,812,138700,112218800
2015-08-06,795,805,792,792,94500,75618300
2015-08-05,778,797,774,792,95500,75273800
2015-08-04,772,780,772,780,89500,69404400
2015-08-03,777,787,774,779,106700,83166500
2015-07-31,797,800,787,789,79900,63206100
2015-07-30,804,813,790,796,87600,70170000
2015-07-29,797,806,789,805,62900,50184500
2015-07-28,778,793,771,789,100100,78365700
2015-07-27,800,802,777,787,164300,129763200
2015-07-24,803,806,801,804,88100,70739700
2015-07-23,811,812,803,808,62800,50659500
2015-07-22,812,817,805,808,102400,82867200
2015-07-21,830,830,812,815,96600,78948700
2015-07-17,841,843,820,823,103200,85469300
2015-07-16,805,836,805,836,200100,165500300
2015-07-15,816,817,788,804,212000,170151100
2015-07-14,834,834,808,816,145000,118906600
2015-07-13,811,828,802,810,135400,109880100
2015-07-10,840,847,804,811,209400,172038900
2015-07-09,804,850,765,839,473300,381933300
2015-07-08,906,907,834,849,429000,372056600
2015-07-07,852,923,852,907,430600,385736500
2015-07-06,850,864,840,847,208300,177191000
2015-07-03,846,850,823,850,162600,136579300
2015-07-02,874,878,835,840,265300,226648000
2015-07-01,828,857,828,848,187300,158349500
2015-06-30,818,839,805,825,241300,198692900
2015-06-29,800,841,800,818,328400,268077000
2015-06-26,850,851,817,824,338800,280559000
2015-06-25,858,868,833,850,322500,273395300
2015-06-24,860,886,856,867,241500,209589200
2015-06-23,900,910,853,865,497200,432118600
2015-06-22,904,948,881,892,497500,453823400
2015-06-19,860,905,860,904,379100,334855000
2015-06-18,867,870,822,845,337900,286536200
2015-06-17,855,894,854,872,314400,274951200
2015-06-16,870,891,838,852,425600,367417200
2015-06-15,827,875,827,869,425400,363796400
2015-06-12,816,845,800,827,469600,385277900
2015-06-11,810,817,793,807,675400,544087100
2015-06-10,771,794,763,779,239500,186423300
2015-06-09,805,808,761,763,475000,372392000
2015-06-08,762,804,762,790,572600,448741200
2015-06-05,739,747,731,739,125200,92594800
2015-06-04,706,739,706,739,344000,249216400
2015-06-03,700,702,691,702,84100,58758400
2015-06-02,700,702,688,698,148400,103485900
2015-06-01,695,700,687,696,150900,105080700
2015-05-29,688,694,682,694,97800,67425800
2015-05-28,691,695,686,688,76500,52854700
2015-05-27,683,691,681,688,113600,77875300
2015-05-26,694,695,680,687,79600,54757400
2015-05-25,695,697,670,694,168400,115886700
2015-05-22,694,700,691,693,135600,94308800
2015-05-21,700,701,682,689,188200,130195200
2015-05-20,693,704,693,704,318800,222412500
2015-05-19,675,692,675,686,326900,223146100
2015-05-18,660,675,656,675,627700,418028300
2015-05-15,635,640,635,639,28100,17929500
2015-05-14,634,638,633,635,39200,24912400
2015-05-13,638,639,635,637,18400,11720000
2015-05-12,640,640,635,638,37100,23672200
2015-05-11,640,644,635,641,30400,19466100
2015-05-08,635,640,633,638,24400,15552800
2015-05-07,632,638,632,632,28000,17729500
2015-05-01,630,638,630,633,44000,27834600
2015-04-30,636,639,631,633,50500,32049000
2015-04-28,637,638,631,636,36800,23349700
2015-04-27,632,642,630,636,54200,34337800
2015-04-24,640,645,634,637,39500,25191200
2015-04-23,638,642,637,638,23800,15209100
2015-04-22,635,640,635,636,29600,18863900
2015-04-21,638,644,630,638,102700,65206600
2015-04-20,640,648,639,641,67400,43212300
2015-04-17,644,648,643,644,29100,18767800
2015-04-16,648,649,644,647,39000,25229500
2015-04-15,650,651,646,648,49800,32289500
2015-04-14,645,650,643,650,38100,24683300
2015-04-13,643,647,643,644,44700,28811400
2015-04-10,646,650,644,647,47100,30457800
2015-04-09,646,650,640,646,51700,33388200
2015-04-08,646,652,646,646,63900,41469300
2015-04-07,649,649,645,646,47700,30849200
2015-04-06,649,650,645,646,31400,20317700
2015-04-03,646,650,643,649,86000,55630200
2015-04-02,640,653,635,647,116400,75038000
2015-04-01,635,641,635,637,48100,30667800
2015-03-31,633,642,632,635,71900,45675700
