2772-T,東証1部,ゲンキー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,5730,5800,5610,5610,43800,248955000
2015-10-01,5780,5940,5770,5830,33300,194951000
2015-09-30,5740,5850,5730,5780,18300,106042000
2015-09-29,5730,5780,5560,5630,31200,176280000
2015-09-28,5570,5850,5570,5840,28100,161764000
2015-09-25,5530,5700,5510,5660,22700,127231000
2015-09-24,5600,5780,5530,5560,22300,125576000
2015-09-18,5760,5800,5630,5680,26000,148850000
2015-09-17,5660,5860,5570,5830,26700,153886000
2015-09-16,5840,5840,5520,5560,42400,239797000
2015-09-15,5840,5940,5780,5790,19100,111455000
2015-09-14,5930,6080,5840,5840,19200,113609000
2015-09-11,5780,6050,5740,5990,33800,199441000
2015-09-10,5850,6040,5780,5860,24800,145570000
2015-09-09,6090,6090,5860,6020,28000,167900000
2015-09-08,6250,6280,5800,5800,43100,256813000
2015-09-07,6080,6380,5880,6250,51800,318838000
2015-09-04,6260,6400,6130,6170,46900,291856000
2015-09-03,6650,6760,6230,6340,53200,343720000
2015-09-02,5980,6790,5910,6590,116100,755141000
2015-09-01,6530,6530,6110,6150,52700,329972000
2015-08-31,6600,6600,6360,6540,50300,325824000
2015-08-28,6910,6930,6540,6650,61400,411489000
2015-08-27,7280,7290,6600,6740,62900,437668000
2015-08-26,13000,13880,13000,13780,39400,528516000
2015-08-25,12020,13740,11680,12710,71700,917032000
2015-08-24,13200,13800,12600,12600,48100,629368000
2015-08-21,13820,14200,13770,13800,39100,542532000
2015-08-20,14500,14730,14350,14420,27200,394150000
2015-08-19,15200,15280,14610,14690,33800,499743000
2015-08-18,15980,16210,15310,15390,44700,703507000
2015-08-17,15060,15760,15000,15680,40000,621934000
2015-08-14,14520,15360,14520,15060,30100,451339000
2015-08-13,14600,14770,14270,14640,24900,361936000
2015-08-12,14400,14840,14240,14490,27300,395673000
2015-08-11,14990,15240,14500,14600,30100,443181000
2015-08-10,14450,15180,14420,14800,43600,644878000
2015-08-07,14300,15280,14000,14760,124000,1809998000
2015-08-06,16100,16370,14510,14510,197200,2976036000
2015-08-05,17390,17990,16010,16100,193000,3300763000
2015-08-04,16390,17600,16100,17470,162700,2768633000
2015-08-03,15400,16550,15010,16490,148000,2332587000
2015-07-31,15050,15640,14920,15400,107300,1646593000
2015-07-30,14150,14880,13850,14760,112600,1631086000
2015-07-29,13650,14350,13310,14280,97300,1352788000
2015-07-28,11960,13880,11950,13710,117200,1549309000
2015-07-27,13280,13450,12550,12630,49300,639685000
2015-07-24,12930,13380,12800,13280,67400,886889000
2015-07-23,12700,12970,12300,12890,48200,616410000
2015-07-22,11930,12770,11500,12590,84200,1040533000
2015-07-21,11690,11870,10820,11870,96100,1099973000
2015-07-17,11400,11540,11100,11410,39700,451467000
2015-07-16,10840,11480,10810,11450,51100,572198000
2015-07-15,10370,10950,10270,10890,54600,583964000
2015-07-14,10400,10400,10200,10230,15700,161736000
2015-07-13,10000,10210,9920,10170,13100,132419000
2015-07-10,10010,10140,9750,9840,18800,187237000
2015-07-09,9700,10120,9310,10060,32500,318053000
2015-07-08,10250,10250,9900,9900,16100,161054000
2015-07-07,10100,10280,10100,10250,5700,58199000
2015-07-06,10210,10390,10020,10120,13100,133466000
2015-07-03,10450,10460,10170,10200,12800,131541000
2015-07-02,10590,10650,10250,10410,23600,248093000
2015-07-01,9910,10500,9870,10480,38600,395959000
2015-06-30,9750,9910,9750,9840,10100,99221000
2015-06-29,9750,9900,9650,9730,18500,180894000
2015-06-26,9890,10060,9890,9900,16600,165061000
2015-06-25,9980,10020,9890,9900,13000,129218000
2015-06-24,10010,10050,9960,10000,15600,155978000
2015-06-23,9900,9940,9860,9920,17100,169026000
2015-06-22,9970,10050,9850,9930,20300,201661000
2015-06-19,10170,10220,10110,10110,8900,90433000
2015-06-18,10210,10240,10150,10160,7600,77350000
2015-06-17,10250,10300,10210,10220,15200,155847000
2015-06-16,10330,10390,10250,10360,31000,320283000
2015-06-15,10330,10360,10270,10350,9700,100076000
