2791-T,東証1部,大黒天,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4055,4115,4045,4115,1400,5706000
2015-10-01,4100,4195,4060,4070,8700,35802000
2015-09-30,4085,4145,4070,4100,4900,20101500
2015-09-29,4010,4080,4005,4050,8200,33080500
2015-09-28,4000,4100,3940,4040,8400,33729500
2015-09-25,3905,4005,3905,3990,12300,48421000
2015-09-24,3945,3970,3905,3905,10800,42502000
2015-09-18,4110,4110,3995,3995,10700,43079000
2015-09-17,3960,4075,3960,4040,8700,34987000
2015-09-16,4010,4035,3935,3955,5500,21893500
2015-09-15,3995,4075,3980,3985,9700,39051000
2015-09-14,3995,4055,3980,3995,5000,20006500
2015-09-11,3910,4030,3910,3995,15300,60288000
2015-09-10,4005,4015,3905,3955,13900,55023000
2015-09-09,3970,4125,3955,4125,10800,43595000
2015-09-08,3935,3940,3840,3850,7100,27564000
2015-09-07,3920,3955,3875,3935,10400,40788500
2015-09-04,4100,4100,3965,3975,16700,66888000
2015-09-03,4165,4260,4060,4060,16500,68336000
2015-09-02,4080,4260,4080,4145,13000,54205500
2015-09-01,4370,4390,4150,4170,17700,75466000
2015-08-31,4400,4450,4350,4440,10500,46217000
2015-08-28,4750,4750,4430,4455,16900,76483000
2015-08-27,4500,4590,4420,4470,17000,76704500
2015-08-26,4210,4305,4175,4250,29600,125965000
2015-08-25,3875,4305,3810,4140,43100,177827500
2015-08-24,4350,4450,4140,4210,26800,115216500
2015-08-21,4485,4515,4450,4480,22500,100906500
2015-08-20,4800,4835,4620,4625,21200,99888000
2015-08-19,4830,4890,4730,4805,24100,115858500
2015-08-18,4870,4900,4840,4860,9300,45321500
2015-08-17,4905,4920,4860,4880,8400,41032500
2015-08-14,4900,4905,4860,4885,17200,84147000
2015-08-13,4840,4950,4800,4830,24700,119925500
2015-08-12,4845,4990,4845,4885,9900,48452500
2015-08-11,4920,4965,4840,4890,16900,82714000
2015-08-10,4925,5000,4925,4950,11900,59037500
2015-08-07,4945,4970,4905,4925,12400,61168000
2015-08-06,4950,5040,4950,4985,25300,126556500
2015-08-05,4885,4950,4885,4935,15800,77824000
2015-08-04,4930,4930,4870,4900,10300,50584500
2015-08-03,4800,4900,4760,4865,15500,75329500
2015-07-31,4785,4800,4730,4790,12400,59114000
2015-07-30,4810,4875,4740,4745,10400,49873000
2015-07-29,4720,4880,4720,4825,8400,40314500
2015-07-28,4700,4745,4675,4715,8500,40022500
2015-07-27,4755,4830,4700,4740,9400,44826500
2015-07-24,4945,4945,4765,4785,15900,77132500
2015-07-23,4935,4950,4855,4950,8300,40871000
2015-07-22,4895,4920,4865,4890,6300,30829500
2015-07-21,4955,4960,4925,4930,5400,26671000
2015-07-17,4945,4960,4925,4935,12400,61322000
2015-07-16,4915,4965,4865,4915,18400,90679500
2015-07-15,4690,4920,4670,4915,33200,159911000
2015-07-14,4700,4800,4665,4790,9100,43114000
2015-07-13,4600,4695,4550,4645,11100,51328000
2015-07-10,4600,4695,4585,4590,8500,39213000
2015-07-09,4610,4665,4470,4615,18300,83932000
2015-07-08,4755,4770,4680,4680,16800,79409000
2015-07-07,4700,4730,4700,4710,2300,10833500
2015-07-06,4660,4780,4650,4700,13000,61371500
2015-07-03,4710,4725,4625,4660,15100,70356500
2015-07-02,4775,4775,4710,4765,7800,36972000
2015-07-01,4795,4795,4710,4710,8500,40229500
2015-06-30,4680,4790,4680,4720,8200,38901500
2015-06-29,4675,4800,4605,4690,11000,51910000
2015-06-26,4785,4835,4785,4815,4700,22622000
2015-06-25,4870,4870,4780,4800,10000,48252500
2015-06-24,4795,4845,4730,4825,12200,58733000
2015-06-23,4760,4810,4725,4805,8300,39680000
2015-06-22,4755,4790,4715,4770,3500,16669000
2015-06-19,4765,4770,4715,4740,8500,40339500
2015-06-18,4780,4790,4750,4765,5600,26718000
2015-06-17,4700,4820,4700,4775,10200,48739000
2015-06-16,4770,4775,4690,4720,9100,43038000
2015-06-15,4730,4810,4700,4785,14300,68037000
2015-06-12,4730,4780,4720,4725,18200,86182000
2015-06-11,4680,4860,4680,4800,20000,95932500
2015-06-10,4600,4670,4590,4620,13100,60540000
2015-06-09,4705,4705,4605,4610,10900,50693000
2015-06-08,4730,4735,4705,4705,9700,45787500
2015-06-05,4705,4755,4705,4735,8800,41628000
2015-06-04,4745,4760,4695,4715,14500,68448000
2015-06-03,4695,4795,4695,4745,12900,61070000
2015-06-02,4700,4740,4695,4700,13800,65004500
2015-06-01,4710,4740,4685,4710,11600,54605500
2015-05-29,4760,4800,4650,4760,16600,78898500
2015-05-28,4870,4870,4760,4770,22100,106055500
2015-05-27,4905,4905,4855,4880,35500,173505000
2015-05-26,4970,5000,4970,4985,26900,134141000
2015-05-25,4960,4980,4950,4960,14300,71008000
2015-05-22,4965,4965,4940,4945,13700,67850500
2015-05-21,4960,4995,4935,4965,13600,67471500
2015-05-20,5000,5020,4940,4960,22500,111988000
2015-05-19,4995,5060,4950,4985,27500,137434000
2015-05-18,4830,4980,4830,4975,16700,82058000
2015-05-15,4775,4830,4770,4815,16700,80204500
2015-05-14,4800,4830,4755,4775,16100,77193000
2015-05-13,4825,4825,4800,4810,14900,71691000
2015-05-12,4885,4885,4830,4840,20600,99875000
2015-05-11,4865,4955,4865,4885,16100,78781500
2015-05-08,4825,4890,4805,4850,18600,89850500
2015-05-07,4995,4995,4850,4850,33300,164079000
2015-05-01,5000,5040,4990,4995,14200,71146000
2015-04-30,5100,5100,5020,5040,26800,135786000
2015-04-28,5150,5180,5070,5120,9000,46059000
2015-04-27,5200,5220,5150,5150,5800,30098000
2015-04-24,5190,5190,5080,5140,12600,64582000
2015-04-23,5220,5240,5200,5200,6800,35460000
2015-04-22,5200,5270,5180,5200,16700,87307000
2015-04-21,5100,5190,5070,5190,12500,64326000
2015-04-20,5050,5100,5020,5070,11100,56279000
2015-04-17,5050,5120,5020,5060,9600,48733000
2015-04-16,5120,5140,4975,5100,26400,133858000
2015-04-15,5370,5370,5140,5180,13500,70602000
2015-04-14,5410,5410,5310,5380,11200,60007000
2015-04-13,5430,5430,5350,5430,15300,82521000
2015-04-10,5340,5460,5040,5430,32600,174732000
2015-04-09,5280,5450,5280,5340,24300,130187000
2015-04-08,5110,5250,5060,5250,14600,75714000
2015-04-07,5180,5340,5020,5040,31100,161360000
2015-04-06,5030,5180,5030,5140,10900,55559000
2015-04-03,5060,5090,5000,5020,11200,56583000
2015-04-02,4950,5070,4910,5040,15300,76525000
2015-04-01,4935,4975,4860,4960,8900,43706500
2015-03-31,4980,4980,4925,4930,5800,28715000
2015-03-30,4945,4985,4900,4910,7100,35045500
2015-03-27,4855,5000,4855,4875,10200,50152000
