2802-T,東証1部,味の素,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2488.5,2573.0,2488.5,2545.0,1445000,3673936000
2015-10-01,2538.0,2558.0,2480.0,2536.0,2336000,5901981500
2015-09-30,2481.0,2524.0,2449.0,2515.0,2507000,6262928000
2015-09-29,2472.0,2499.0,2412.5,2419.5,1925000,4706066000
2015-09-28,2534.5,2562.5,2500.0,2512.0,1725000,4352867000
2015-09-25,2437.5,2567.0,2437.5,2561.5,2922000,7395107000
2015-09-24,2415.0,2478.0,2414.0,2425.0,1727000,4219169000
2015-09-18,2471.0,2485.0,2424.5,2424.5,1570000,3835240000
2015-09-17,2473.0,2498.5,2443.5,2491.5,1575000,3901745000
2015-09-16,2475.0,2482.0,2415.0,2440.0,1525000,3720333500
2015-09-15,2474.5,2502.0,2439.5,2462.0,1408000,3483299500
2015-09-14,2474.0,2495.5,2431.0,2432.5,1729000,4247723000
2015-09-11,2437.5,2488.0,2430.5,2456.0,3296000,8063103000
2015-09-10,2478.0,2480.5,2412.0,2454.5,2319000,5674500500
2015-09-09,2485.5,2550.5,2422.0,2550.5,3062000,7654456000
2015-09-08,2548.0,2557.0,2404.0,2404.0,2352000,5749004500
2015-09-07,2522.5,2549.0,2492.0,2534.0,1749000,4415521000
2015-09-04,2634.0,2651.0,2518.0,2543.0,2479000,6368396000
2015-09-03,2610.0,2676.5,2592.0,2597.0,2065000,5435279500
2015-09-02,2525.0,2621.0,2520.0,2562.0,2500000,6446720000
2015-09-01,2656.0,2695.5,2550.5,2550.5,2924000,7664557500
2015-08-31,2647.5,2691.5,2623.0,2671.5,3047000,8113682500
2015-08-28,2653.0,2661.0,2597.5,2642.0,2262000,5952259500
2015-08-27,2527.5,2598.0,2522.5,2571.0,3240000,8316075000
2015-08-26,2444.5,2501.5,2430.0,2468.5,2924000,7224621500
2015-08-25,2475.0,2570.0,2444.5,2445.5,4558000,11402318000
2015-08-24,2584.0,2643.0,2519.5,2523.5,4100000,10549746500
2015-08-21,2640.0,2660.0,2616.0,2621.5,2431000,6403469000
2015-08-20,2734.5,2802.0,2686.0,2688.0,2221000,6083123000
