2809-T,東証1部,キユーピー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2424,2468,2407,2421,369000,896000500
2015-10-01,2400,2449,2376,2445,529400,1285531600
2015-09-30,2373,2383,2326,2373,500000,1182410500
2015-09-29,2380,2380,2301,2316,562100,1309635700
2015-09-28,2401,2441,2386,2420,594200,1435309900
2015-09-25,2300,2390,2300,2390,400200,944299500
2015-09-24,2281,2355,2278,2311,522800,1215951100
2015-09-18,2357,2379,2308,2308,478100,1115967000
2015-09-17,2300,2371,2291,2366,852000,1996621400
2015-09-16,2391,2400,2246,2269,1051800,2400419100
2015-09-15,2387,2428,2354,2380,554400,1324613000
2015-09-14,2373,2383,2325,2349,725400,1703780200
2015-09-11,2345,2396,2341,2359,725600,1711958000
2015-09-10,2358,2401,2333,2375,474700,1125408300
2015-09-09,2393,2428,2323,2426,633400,1510130100
2015-09-08,2424,2431,2302,2314,598900,1401181600
2015-09-07,2439,2467,2406,2424,450500,1096715200
2015-09-04,2565,2565,2446,2466,504500,1256231500
2015-09-03,2501,2592,2482,2545,784900,2008450100
2015-09-02,2442,2536,2433,2475,740400,1841825000
2015-09-01,2642,2643,2490,2492,906100,2307413300
2015-08-31,2640,2677,2626,2676,850100,2256788800
2015-08-28,2622,2644,2550,2637,974600,2535608300
2015-08-27,2520,2641,2510,2590,819000,2123250100
2015-08-26,2420,2461,2393,2451,725500,1763078600
2015-08-25,2353,2487,2307,2387,1018700,2453284900
2015-08-24,2511,2576,2461,2462,750400,1879413900
2015-08-21,2612,2656,2602,2602,513400,1344227900
2015-08-20,2750,2780,2678,2689,661900,1795700500
2015-08-19,2831,2831,2761,2774,497700,1387525200
2015-08-18,2884,2885,2836,2858,410300,1172675900
2015-08-17,2870,2887,2851,2880,565500,1622942700
2015-08-14,2818,2870,2792,2862,687000,1959865900
2015-08-13,2731,2831,2727,2827,649000,1815133100
2015-08-12,2785,2814,2738,2756,467900,1294625100
2015-08-11,2864,2864,2776,2793,680800,1908587700
2015-08-10,2830,2875,2814,2875,449600,1286234000
2015-08-07,2767,2838,2761,2833,835100,2348114500
2015-08-06,2849,2849,2758,2763,936900,2612832900
2015-08-05,2876,2895,2831,2832,654500,1870764800
2015-08-04,2884,2890,2854,2874,643600,1849340900
2015-08-03,2826,2877,2810,2877,833200,2372303100
2015-07-31,2780,2808,2741,2805,731300,2035352600
2015-07-30,2855,2869,2776,2780,720300,2022111800
2015-07-29,2838,2860,2792,2842,643500,1820514900
