2815-T,東証1部,アリアケ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4905,4975,4855,4925,75200,370253500
2015-10-01,4780,4960,4745,4930,284300,1395628500
2015-09-30,4550,4690,4550,4675,85700,398804500
2015-09-29,4580,4650,4480,4500,85200,386217000
2015-09-28,4635,4675,4575,4645,45500,210986000
2015-09-25,4505,4680,4485,4645,155600,720567500
2015-09-24,4425,4585,4400,4505,140000,634244500
2015-09-18,4355,4580,4355,4475,157800,709139500
2015-09-17,4400,4435,4230,4340,321200,1388579500
2015-09-16,4675,4680,4345,4405,267600,1181756000
2015-09-15,4735,4735,4610,4675,66700,311812000
2015-09-14,4675,4750,4605,4665,106300,499266000
2015-09-11,4525,4660,4525,4605,149100,684036500
2015-09-10,4580,4625,4515,4580,118200,538649500
2015-09-09,4605,4695,4555,4680,175800,812907000
2015-09-08,4615,4615,4455,4480,140400,632984000
2015-09-07,4565,4625,4535,4615,51800,237627000
2015-09-04,4725,4730,4535,4630,134200,617059500
2015-09-03,4745,4835,4685,4705,75100,357516000
2015-09-02,4685,4820,4665,4725,110400,524229500
2015-09-01,5010,5030,4775,4790,116200,564050000
2015-08-31,4910,5070,4900,5060,92600,462736000
2015-08-28,5050,5050,4855,4955,135000,665075500
2015-08-27,4865,5060,4860,4910,102900,509207500
2015-08-26,4615,4740,4610,4705,123100,576333500
2015-08-25,4605,4945,4520,4615,169700,800271500
2015-08-24,4855,5080,4815,4815,132700,651949000
2015-08-21,5080,5150,5020,5080,103300,526385000
2015-08-20,5340,5410,5160,5180,122200,643180000
2015-08-19,5220,5260,5160,5190,80200,416105000
2015-08-18,5360,5380,5220,5250,117000,616224000
2015-08-17,5310,5370,5300,5370,64600,345500000
2015-08-14,5350,5380,5290,5310,96700,514508000
2015-08-13,5410,5460,5240,5370,137000,730511000
2015-08-12,5460,5490,5370,5420,58700,318785000
2015-08-11,5550,5550,5410,5490,85800,470499000
2015-08-10,5430,5580,5290,5550,186400,1022916000
2015-08-07,5510,5530,5050,5150,261200,1376505000
2015-08-06,5400,5590,5400,5510,106700,589621000
2015-08-05,5440,5490,5380,5390,96700,524532000
2015-08-04,5490,5590,5450,5460,101000,557775000
2015-08-03,5400,5480,5380,5480,54400,296007000
2015-07-31,5410,5410,5340,5370,42000,225602000
2015-07-30,5500,5540,5350,5370,69600,377434000
2015-07-29,5420,5490,5360,5480,48600,264422000
2015-07-28,5240,5420,5200,5400,56700,302890000
2015-07-27,5370,5420,5280,5300,71300,380221000
2015-07-24,5440,5500,5380,5450,60100,327144000
2015-07-23,5200,5520,5180,5470,161900,876817000
2015-07-22,5240,5240,5150,5180,82700,429149000
2015-07-21,5360,5360,5230,5270,149800,790343000
2015-07-17,5370,5430,5340,5380,88600,476312000
2015-07-16,5380,5430,5340,5430,81100,437314000
2015-07-15,5360,5360,5240,5360,86400,457578000
2015-07-14,5380,5400,5300,5350,84600,453173000
2015-07-13,5170,5340,5130,5280,147400,773172000
2015-07-10,5010,5120,4990,5110,197900,1004227000
2015-07-09,4845,5140,4840,5110,174300,870664500
2015-07-08,4990,5120,4965,4980,191300,957818500
2015-07-07,4980,5020,4895,4985,122600,606665000
2015-07-06,4920,5060,4880,5020,112100,560996500
2015-07-03,5050,5050,4920,5000,92800,462816500
2015-07-02,5090,5120,5010,5040,92900,469602000
2015-07-01,5050,5120,4980,5090,111100,561973000
2015-06-30,4995,5150,4970,5010,178700,898435500
2015-06-29,4765,4960,4750,4855,126200,610837500
2015-06-26,4880,4980,4870,4975,98800,487349500
2015-06-25,4930,4980,4820,4825,93300,455083000
2015-06-24,4800,4980,4790,4900,200400,982108500
2015-06-23,4785,4785,4680,4770,88500,418900000
2015-06-22,4755,4775,4670,4745,91100,430035000
2015-06-19,4580,4775,4520,4745,208900,976373000
2015-06-18,4490,4610,4455,4585,204900,930301000
2015-06-17,4520,4585,4485,4560,130600,589703500
2015-06-16,4510,4535,4410,4490,212300,950378000
2015-06-15,4530,4555,4510,4555,112300,509338000
2015-06-12,4680,4680,4550,4575,174300,802044500
2015-06-11,4475,4640,4450,4640,101600,464608500
2015-06-10,4435,4515,4410,4445,61900,276164000
2015-06-09,4505,4530,4450,4450,67000,299833500
2015-06-08,4590,4615,4520,4535,65900,299268500
2015-06-05,4525,4615,4525,4595,44400,203126000
2015-06-04,4625,4630,4580,4595,66000,303763500
2015-06-03,4565,4670,4535,4660,100100,463997000
2015-06-02,4530,4615,4485,4595,100700,460347000
2015-06-01,4580,4620,4495,4535,74800,339953000
2015-05-29,4545,4585,4510,4540,82600,375781000
2015-05-28,4650,4665,4520,4545,171300,780894500
2015-05-27,4645,4735,4625,4690,99100,464890500
2015-05-26,4690,4720,4600,4670,129000,600430500
2015-05-25,4670,4815,4670,4700,197200,932336000
2015-05-22,4600,4770,4595,4645,248500,1159550500
2015-05-21,4600,4620,4500,4545,154100,700917500
2015-05-20,4650,4720,4565,4590,188700,873899500
2015-05-19,4475,4665,4470,4650,369700,1705811000
2015-05-18,4400,4510,4325,4450,483200,2139542000
2015-05-15,4125,4280,4045,4130,562500,2340331500
2015-05-14,3785,3935,3685,3860,356700,1357932000
2015-05-13,3805,3820,3725,3750,217200,816298000
2015-05-12,3835,3870,3825,3850,121400,467684500
2015-05-11,3850,3895,3805,3850,177500,682703000
2015-05-08,3865,3915,3825,3855,228200,881323000
2015-05-07,3910,3965,3830,3915,91000,356661000
2015-05-01,3980,4020,3910,4000,110300,439132500
2015-04-30,4070,4080,3970,3980,122000,488997000
2015-04-28,4145,4175,4080,4140,75700,312801000
2015-04-27,4150,4160,4080,4120,47800,196976000
2015-04-24,4090,4170,4030,4145,78600,323039000
2015-04-23,4230,4230,4100,4110,65100,269553500
2015-04-22,4235,4300,4155,4175,158600,667307000
2015-04-21,4055,4225,4055,4210,159500,664628500
2015-04-20,3970,4130,3890,3990,279100,1119289500
2015-04-17,4080,4140,4015,4015,162300,659871500
2015-04-16,4145,4170,4010,4140,354400,1441911000
2015-04-15,4215,4330,4160,4190,176400,746224500
2015-04-14,4250,4385,4205,4255,269800,1148592500
2015-04-13,4525,4555,4300,4345,214300,940137500
2015-04-10,4675,4720,4540,4590,151000,696891000
2015-04-09,4500,4690,4480,4640,299200,1381804500
2015-04-08,4400,4500,4395,4485,169000,754700500
2015-04-07,4320,4475,4320,4350,198000,869784500
2015-04-06,4215,4310,4180,4285,84500,361117000
2015-04-03,4170,4280,4160,4230,111600,471832500
2015-04-02,4100,4200,4070,4160,114800,477393500
2015-04-01,4080,4110,4020,4075,107700,438229500
2015-03-31,4220,4250,4110,4125,165800,690750000
2015-03-30,4025,4210,3990,4185,227800,945442000
2015-03-27,3965,4115,3965,4035,178200,720665000
2015-03-26,4005,4050,3910,3955,181000,716122500
2015-03-25,3950,4090,3925,4070,276300,1112853500
2015-03-24,3825,3960,3815,3885,144500,562118000
2015-03-23,3800,3855,3715,3835,154300,583372000
2015-03-20,3825,3830,3740,3775,109700,414695500
2015-03-19,3735,3860,3700,3820,214700,811982500
2015-03-18,3760,3825,3695,3795,235000,882877000
2015-03-17,3530,3765,3495,3720,391400,1434732000
2015-03-16,3395,3450,3390,3415,95900,328249500
2015-03-13,3405,3405,3340,3345,128500,433056000
2015-03-12,3350,3360,3320,3350,111800,374112000
2015-03-11,3325,3370,3325,3340,77100,258121000
2015-03-10,3425,3430,3310,3345,96200,323490500
2015-03-09,3420,3465,3400,3425,80800,277608500
2015-03-06,3375,3410,3370,3385,91000,308817000
2015-03-05,3360,3385,3335,3355,109700,368757500
2015-03-04,3305,3360,3290,3330,107000,356402000
2015-03-03,3250,3320,3240,3305,117700,387410500
2015-03-02,3300,3310,3255,3255,80200,262795500
2015-02-27,3170,3285,3160,3270,155500,505888000
2015-02-26,3130,3160,3085,3155,130400,407941000
2015-02-25,3145,3165,3120,3135,84100,264035000
2015-02-24,3125,3140,3115,3120,55800,174363500
2015-02-23,3125,3145,3110,3140,60200,188413500
2015-02-20,3115,3130,3100,3120,116800,364133000
2015-02-19,3095,3130,3080,3115,135000,419398000
2015-02-18,3095,3115,3050,3065,97600,300851000
2015-02-17,3055,3090,3030,3055,199200,609063000
2015-02-16,3100,3130,3000,3015,171900,525464000
2015-02-13,3070,3115,3070,3090,138600,428695500
2015-02-12,3090,3120,3065,3085,157400,487103000
2015-02-10,3080,3115,3015,3040,132000,404320500
2015-02-09,3100,3160,3040,3110,121800,379168500
2015-02-06,3120,3150,3015,3030,92000,282089000
2015-02-05,3160,3180,3115,3115,49400,155380500
2015-02-04,3140,3200,3140,3170,55800,176818000
2015-02-03,3200,3230,3130,3145,70100,221117000
2015-02-02,3165,3230,3150,3195,101500,324142000
2015-01-30,3215,3260,3185,3210,115400,372272500
2015-01-29,3245,3250,3185,3205,65400,210201000
2015-01-28,3165,3250,3160,3245,70800,227522500
2015-01-27,3145,3195,3130,3195,45100,143077000
2015-01-26,3105,3150,3085,3145,29800,92987000
2015-01-23,3135,3140,3085,3115,42700,132854500
2015-01-22,3100,3100,3060,3100,38500,118720500
2015-01-21,3055,3135,3045,3110,81800,254101500
2015-01-20,3075,3075,2992,3030,172100,520153200
2015-01-19,3165,3165,3065,3075,76700,237209000
2015-01-16,3110,3150,3080,3135,74800,233068500
2015-01-15,3085,3170,3085,3165,71300,223763000
2015-01-14,3065,3125,3045,3075,66800,206430000
2015-01-13,3075,3075,3000,3045,81400,247026000
2015-01-09,3070,3115,3055,3110,111500,344436500
2015-01-08,3080,3100,3045,3070,95700,294325500
2015-01-07,3005,3065,3005,3050,90800,276166500
2015-01-06,3000,3030,2982,3005,102100,307561600
2015-01-05,2960,3095,2942,3030,139800,423517400
2014-12-30,2940,2965,2891,2941,54800,160697000
2014-12-29,2940,2941,2886,2924,34000,99232400
2014-12-26,2893,2925,2878,2917,48400,140709700
2014-12-25,2916,2916,2876,2892,27200,78696100
2014-12-24,2871,2909,2868,2907,61700,178761200
2014-12-22,2826,2869,2822,2861,42900,122263900
2014-12-19,2860,2879,2815,2842,49600,141440900
2014-12-18,2816,2854,2816,2833,37100,105286100
2014-12-17,2766,2830,2766,2779,57200,159508000
2014-12-16,2753,2798,2753,2784,41300,114904100
2014-12-15,2764,2840,2763,2813,40700,114510700
2014-12-12,2792,2822,2787,2799,51300,143645700
2014-12-11,2750,2804,2750,2797,36300,101103400
2014-12-10,2820,2855,2795,2810,65300,183585300
2014-12-09,2800,2865,2800,2863,99900,284455300
2014-12-08,2827,2832,2806,2829,80200,226016600
2014-12-05,2843,2847,2811,2836,173400,490573800
2014-12-04,2835,2850,2822,2846,98100,278660200
2014-12-03,2812,2839,2798,2821,66100,186336100
2014-12-02,2800,2820,2786,2818,60900,170986600
2014-12-01,2754,2810,2754,2809,59900,167573800
2014-11-28,2770,2788,2747,2753,37300,103004800
2014-11-27,2816,2816,2753,2771,57000,158486500
2014-11-26,2810,2835,2770,2816,122300,343392500
2014-11-25,2826,2845,2789,2800,86700,243284000
2014-11-21,2777,2825,2744,2816,189600,529503400
2014-11-20,2690,2791,2688,2771,181500,500372100
2014-11-19,2670,2684,2658,2667,77600,207723800
2014-11-18,2628,2672,2601,2661,92500,245583200
2014-11-17,2628,2631,2576,2628,97000,253319500
2014-11-14,2685,2695,2615,2641,118400,312674900
2014-11-13,2599,2674,2580,2673,225500,596536500
2014-11-12,2576,2600,2500,2536,154100,396419000
2014-11-11,2555,2588,2548,2582,45700,117558800
2014-11-10,2554,2555,2536,2555,34000,86633400
2014-11-07,2544,2554,2529,2552,36800,93661600
2014-11-06,2562,2569,2508,2527,65400,166284200
2014-11-05,2530,2568,2530,2562,83500,213111200
2014-11-04,2550,2571,2498,2527,141500,360065600
2014-10-31,2444,2510,2444,2495,104900,259991600
2014-10-30,2401,2431,2400,2414,47900,115941300
2014-10-29,2411,2419,2396,2410,30900,74515900
2014-10-28,2400,2412,2370,2385,27400,65579100
2014-10-27,2375,2396,2362,2388,58200,138473700
2014-10-24,2344,2372,2329,2363,93300,219480300
2014-10-23,2300,2369,2275,2325,130000,303398500
2014-10-22,2280,2340,2280,2322,76500,176536700
2014-10-21,2267,2278,2245,2262,91300,206355300
2014-10-20,2282,2298,2264,2274,59800,135989000
2014-10-17,2286,2301,2234,2236,70100,158587300
2014-10-16,2315,2327,2283,2286,64300,148113300
2014-10-15,2315,2365,2305,2365,69100,162327500
2014-10-14,2308,2343,2308,2326,63100,146778000
2014-10-10,2390,2397,2359,2364,65600,155786700
2014-10-09,2440,2465,2433,2435,41900,102359200
2014-10-08,2432,2460,2421,2449,34100,83358500
2014-10-07,2467,2488,2450,2454,40200,99282500
2014-10-06,2469,2488,2444,2469,52900,130935600
2014-10-03,2420,2460,2420,2444,62500,152866200
2014-10-02,2451,2471,2422,2427,54300,132777000
2014-10-01,2444,2498,2439,2490,84100,208817300
2014-09-30,2464,2470,2433,2458,58500,143504500
2014-09-29,2487,2487,2455,2462,33300,82100500
2014-09-26,2490,2490,2469,2473,47000,116495400
2014-09-25,2497,2525,2459,2525,81500,204404900
