2874-T,東証1部,ヨコレイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,928,937,923,928,124200,115404300
2015-10-01,944,949,923,929,177300,165651900
2015-09-30,926,947,926,941,166500,156648700
2015-09-29,928,930,915,917,286100,263422000
2015-09-28,920,940,920,935,198000,183897800
2015-09-25,946,953,936,944,445300,420040700
2015-09-24,938,963,930,944,261700,247496000
2015-09-18,948,953,932,941,200900,189585000
2015-09-17,938,951,931,951,188300,177264100
2015-09-16,949,950,934,940,169500,159240100
2015-09-15,943,956,941,943,120700,114126500
2015-09-14,935,948,935,938,100400,94464400
2015-09-11,930,948,930,937,178300,166668500
2015-09-10,936,944,923,941,172300,161499300
2015-09-09,941,950,931,950,186300,175368600
2015-09-08,950,954,920,921,159400,149042300
2015-09-07,945,959,941,953,137600,130611800
2015-09-04,975,975,951,963,155100,148983700
2015-09-03,983,992,969,972,154700,151276000
2015-09-02,963,990,954,983,182500,178755200
2015-09-01,996,998,975,975,173200,170659600
2015-08-31,995,1007,984,1004,140000,139791900
2015-08-28,999,1007,981,1002,123400,123049000
2015-08-27,980,1005,974,980,172000,170196900
2015-08-26,956,969,952,966,152200,146473000
2015-08-25,946,980,918,951,300100,285845200
2015-08-24,985,1006,975,975,314400,309731300
2015-08-21,999,1014,995,1004,214900,215887400
2015-08-20,1010,1042,1008,1020,479100,492436100
2015-08-19,1006,1010,994,998,127800,127856800
2015-08-18,1017,1019,1007,1013,79000,80117100
2015-08-17,1005,1024,1005,1015,79200,80423300
2015-08-14,1011,1015,999,1008,104200,105094100
2015-08-13,985,1018,985,1015,226700,227908500
2015-08-12,991,1020,977,985,231600,229871500
2015-08-11,1030,1030,998,1016,142600,144279700
2015-08-10,1010,1030,1010,1028,138300,141794800
2015-08-07,1015,1025,1015,1022,123800,126375100
2015-08-06,1012,1025,1012,1018,152700,155858000
2015-08-05,1007,1023,1004,1007,136800,138754000
2015-08-04,988,1010,988,1010,123100,123618100
2015-08-03,961,997,961,988,220900,216409000
2015-07-31,1009,1013,973,976,297200,293720200
2015-07-30,1009,1030,1002,1005,229800,232948500
2015-07-29,1000,1011,990,1000,101300,101154600
2015-07-28,971,1003,971,995,144500,143280500
2015-07-27,987,991,975,982,130200,127928300
2015-07-24,1010,1010,989,992,108200,107979300
2015-07-23,993,1020,992,1012,212400,214751900
2015-07-22,991,999,982,995,134400,133083700
2015-07-21,1008,1010,996,1000,110400,110428900
2015-07-17,1000,1007,992,1004,105000,105022600
2015-07-16,1002,1007,990,994,165700,165197800
2015-07-15,992,1015,979,1006,237600,238329000
2015-07-14,995,995,979,987,111900,110415000
2015-07-13,976,992,970,986,142400,140074400
2015-07-10,963,990,960,967,161500,157445300
2015-07-09,935,958,922,956,185400,173954900
2015-07-08,977,978,953,954,149400,143771800
2015-07-07,982,987,975,979,88700,86927900
2015-07-06,974,982,965,967,173000,168165300
2015-07-03,996,1007,981,983,234000,232931400
2015-07-02,989,990,977,989,128200,126522600
2015-07-01,963,983,952,981,133300,129491500
2015-06-30,943,958,942,955,199900,190377300
2015-06-29,939,953,936,947,173200,163798300
2015-06-26,988,988,941,948,282100,270865300
2015-06-25,992,998,987,989,258900,256803800
2015-06-24,994,999,991,996,294200,292748600
2015-06-23,959,986,958,982,392500,383276500
2015-06-22,946,960,946,953,193300,184241400
2015-06-19,929,963,923,961,548800,522614000
2015-06-18,905,920,904,914,380700,347399600
2015-06-17,900,905,896,903,210100,189432600
2015-06-16,888,904,886,893,179600,160926300
2015-06-15,880,889,878,884,188000,166249500
2015-06-12,870,880,868,875,305600,267128600
2015-06-11,851,862,851,857,85500,73343300
2015-06-10,848,854,845,848,72500,61565800
2015-06-09,858,860,848,848,73200,62496900
2015-06-08,858,866,857,859,62300,53658500
2015-06-05,864,864,855,856,58100,49870800
2015-06-04,861,864,857,860,36700,31626000
2015-06-03,860,862,855,858,65400,56113200
2015-06-02,859,865,859,861,71200,61373900
2015-06-01,854,864,854,859,71500,61456500
2015-05-29,855,859,853,855,61900,52987000
2015-05-28,849,856,847,847,103800,88382800
2015-05-27,854,857,849,854,48800,41620200
2015-05-26,853,859,853,854,55100,47145300
2015-05-25,848,857,847,856,64600,55092800
2015-05-22,851,852,843,850,78800,66823700
2015-05-21,843,851,840,850,133500,112974000
2015-05-20,848,852,838,841,343100,289195200
2015-05-19,861,872,853,859,97900,84433800
2015-05-18,856,872,856,870,66000,57289100
2015-05-15,846,866,846,856,78000,66926500
2015-05-14,860,861,851,851,96500,82781700
2015-05-13,860,865,842,861,108800,92782300
2015-05-12,874,874,861,867,86700,75289200
2015-05-11,858,875,856,870,188200,163197400
2015-05-08,844,863,844,851,203100,173319100
2015-05-07,838,853,838,842,91900,77649800
2015-05-01,847,850,840,844,74800,63138000
2015-04-30,851,853,837,850,98500,83504200
2015-04-28,851,860,850,855,92300,78909200
2015-04-27,846,855,846,850,35200,29933400
2015-04-24,852,855,848,850,46200,39321900
2015-04-23,860,860,848,853,165500,141650200
2015-04-22,829,861,821,853,382600,325348900
2015-04-21,824,829,821,826,80900,66691500
2015-04-20,819,829,815,827,86400,71172000
2015-04-17,816,823,816,817,73800,60447900
2015-04-16,816,818,813,818,71500,58341400
2015-04-15,821,821,815,815,79900,65225700
2015-04-14,818,822,818,821,49400,40480200
2015-04-13,821,822,816,818,72200,59100800
2015-04-10,823,827,820,820,114900,94457000
2015-04-09,829,829,822,824,67400,55585800
2015-04-08,830,835,823,833,58600,48611600
2015-04-07,829,829,820,826,57300,47238500
2015-04-06,830,832,822,822,55300,45666200
2015-04-03,832,836,820,836,72000,59652200
2015-04-02,823,834,823,831,81600,67600100
2015-04-01,838,838,815,822,123300,101371600
2015-03-31,845,845,833,835,46000,38541500
2015-03-30,832,839,827,834,67600,56198000
2015-03-27,829,846,828,832,82000,68428900
2015-03-26,845,850,842,849,68200,57696300
2015-03-25,851,856,841,848,57100,48445500
2015-03-24,857,858,851,854,54600,46636100
