2897-T,東証1部,日清食HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,5430,5490,5370,5450,227700,1234290000
2015-10-01,5490,5500,5360,5440,302400,1642731000
2015-09-30,5360,5500,5350,5490,421700,2295808000
2015-09-29,5340,5380,5290,5320,393300,2096864000
2015-09-28,5340,5430,5310,5390,279000,1501674000
2015-09-25,5270,5410,5240,5410,438700,2338736000
2015-09-24,5220,5320,5220,5230,259400,1364023000
2015-09-18,5330,5350,5240,5240,328400,1734059000
2015-09-17,5320,5390,5290,5370,278600,1488614000
2015-09-16,5270,5310,5210,5250,305700,1602380000
2015-09-15,5290,5350,5240,5260,207700,1099013000
2015-09-14,5240,5310,5200,5210,203200,1065628000
2015-09-11,5270,5290,5220,5240,451600,2375401000
2015-09-10,5300,5340,5220,5310,304600,1612021000
2015-09-09,5300,5410,5240,5410,256600,1368037000
2015-09-08,5250,5270,5110,5150,376600,1943901000
2015-09-07,5260,5280,5180,5220,272700,1423261000
2015-09-04,5430,5440,5260,5310,329200,1754348000
2015-09-03,5420,5500,5380,5400,193800,1052409000
2015-09-02,5410,5500,5350,5380,307900,1669139000
2015-09-01,5760,5770,5470,5470,348900,1947506000
2015-08-31,5740,5780,5680,5760,215700,1239244000
2015-08-28,5830,5830,5680,5740,341100,1958081000
2015-08-27,5590,5730,5550,5680,309000,1750327000
2015-08-26,5510,5570,5450,5490,414300,2278096000
2015-08-25,5490,5790,5400,5510,626800,3499179000
2015-08-24,5700,5800,5620,5620,526000,2994133000
2015-08-21,5940,6010,5850,5860,343700,2030854000
2015-08-20,6100,6180,6010,6020,221400,1342895000
2015-08-19,6230,6230,6100,6100,248500,1527626000
2015-08-18,6200,6290,6170,6260,378700,2364855000
2015-08-17,6160,6200,6130,6200,240000,1482409000
2015-08-14,6110,6190,6080,6130,296500,1821761000
2015-08-13,6060,6110,6020,6110,265600,1613559000
2015-08-12,6010,6090,6000,6060,388800,2353897000
2015-08-11,6080,6110,6010,6090,518600,3149293000
2015-08-10,5780,6080,5780,6080,893100,5326415000
2015-08-07,5750,5750,5640,5740,190800,1088291000
2015-08-06,5750,5750,5680,5720,251700,1442262000
2015-08-05,5700,5740,5670,5710,280900,1603041000
2015-08-04,5630,5690,5600,5690,219500,1242936000
2015-08-03,5600,5630,5570,5630,142900,801826000
2015-07-31,5520,5590,5470,5590,189300,1051943000
2015-07-30,5650,5650,5480,5510,272900,1514950000
2015-07-29,5570,5640,5520,5630,210300,1174858000
2015-07-28,5440,5610,5430,5590,292000,1620048000
2015-07-27,5550,5560,5470,5500,188400,1037995000
2015-07-24,5590,5590,5530,5560,148700,827073000
2015-07-23,5520,5590,5520,5590,274300,1526885000
2015-07-22,5520,5530,5490,5500,134800,742114000
2015-07-21,5530,5550,5520,5550,141000,780769000
2015-07-17,5480,5520,5460,5510,194200,1067923000
2015-07-16,5480,5490,5460,5480,158900,869772000
2015-07-15,5410,5480,5400,5480,268500,1466410000
2015-07-14,5460,5460,5360,5410,273200,1474522000
2015-07-13,5350,5420,5310,5410,170100,915851000
2015-07-10,5310,5380,5240,5290,350400,1859384000
2015-07-09,5240,5240,5110,5210,474200,2455721000
2015-07-08,5400,5420,5310,5310,288100,1545078000
2015-07-07,5430,5470,5410,5420,218700,1189754000
2015-07-06,5400,5430,5360,5400,259900,1401649000
2015-07-03,5470,5480,5450,5460,207700,1134710000
2015-07-02,5450,5460,5420,5450,238200,1295538000
2015-07-01,5430,5440,5390,5440,176400,956897000
2015-06-30,5310,5420,5310,5370,392200,2110644000
2015-06-29,5300,5370,5280,5310,213100,1133753000
2015-06-26,5450,5450,5410,5430,162700,883836000
2015-06-25,5410,5440,5370,5420,177700,962184000
2015-06-24,5460,5460,5410,5410,300600,1631834000
2015-06-23,5450,5450,5410,5450,339600,1845618000
2015-06-22,5420,5440,5360,5440,252200,1365060000
2015-06-19,5320,5450,5300,5400,459000,2474736000
2015-06-18,5260,5310,5240,5310,257200,1356994000
