2908-T,東証1部,フジッコ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2332,2385,2311,2381,43800,102998500
2015-10-01,2401,2417,2336,2353,65600,154916700
2015-09-30,2400,2433,2350,2424,69000,166191200
2015-09-29,2407,2407,2333,2341,90700,213651600
2015-09-28,2552,2560,2424,2457,99600,245012200
2015-09-25,2519,2627,2482,2612,60400,154335800
2015-09-24,2479,2614,2454,2508,52500,133370600
2015-09-18,2569,2586,2512,2529,45300,114995000
2015-09-17,2495,2540,2446,2536,29100,72925000
2015-09-16,2576,2576,2444,2453,27700,69048400
2015-09-15,2514,2594,2510,2548,41900,107402400
2015-09-14,2470,2517,2447,2497,34500,85523700
2015-09-11,2421,2504,2421,2488,48300,117947100
2015-09-10,2472,2501,2420,2460,35900,88538100
2015-09-09,2422,2552,2400,2546,71900,177300900
2015-09-08,2517,2544,2402,2405,38600,94146100
2015-09-07,2501,2538,2467,2501,31000,77603300
2015-09-04,2590,2590,2450,2502,54400,136099700
2015-09-03,2588,2648,2553,2558,33300,86335500
2015-09-02,2470,2590,2470,2528,42300,107375600
2015-09-01,2681,2681,2521,2522,80400,207646600
2015-08-31,2650,2729,2650,2729,43000,115342000
2015-08-28,2664,2772,2660,2695,56000,151583000
2015-08-27,2565,2669,2565,2614,51000,134280000
2015-08-26,2600,2657,2528,2559,43000,110824000
2015-08-25,2540,2604,2518,2550,109000,279275000
2015-08-24,2722,2897,2655,2666,72000,199164000
2015-08-21,2745,2766,2701,2722,37000,101319000
2015-08-20,2884,2889,2741,2745,34000,95616000
2015-08-19,2918,2918,2856,2863,9000,25871000
2015-08-18,2900,2918,2852,2871,26000,75002000
2015-08-17,2889,2938,2825,2862,27000,77698000
2015-08-14,2840,2941,2804,2889,39000,112632000
2015-08-13,2839,2845,2750,2840,54000,151533000
2015-08-12,2932,2981,2819,2843,51000,146582000
2015-08-11,3105,3125,2970,2977,134000,407979000
2015-08-10,2966,3300,2966,3160,161000,509453000
2015-08-07,2948,3040,2918,3005,182000,541484000
2015-08-06,2730,2906,2700,2897,71000,199695000
2015-08-05,2618,2771,2610,2730,73000,196739000
2015-08-04,2587,2628,2587,2618,25000,65188000
2015-08-03,2545,2637,2508,2637,32000,82451000
2015-07-31,2464,2599,2451,2595,66000,165922000
2015-07-30,2542,2562,2466,2466,51000,127402000
2015-07-29,2550,2570,2501,2542,28000,71019000
2015-07-28,2475,2613,2475,2540,42000,107131000
2015-07-27,2466,2505,2463,2493,40000,99718000
2015-07-24,2550,2565,2493,2495,26000,65818000
2015-07-23,2580,2600,2575,2579,53000,137226000
2015-07-22,2463,2580,2459,2575,80000,201671000
2015-07-21,2413,2480,2395,2463,38000,92343000
2015-07-17,2425,2450,2387,2387,28000,67882000
2015-07-16,2368,2425,2321,2409,56000,133867000
2015-07-15,2346,2347,2295,2331,42000,97375000
2015-07-14,2378,2378,2307,2313,24000,55833000
2015-07-13,2314,2343,2313,2329,12000,27894000
2015-07-10,2335,2376,2311,2315,44000,103090000
2015-07-09,2312,2351,2303,2335,69000,160453000
2015-07-08,2350,2375,2336,2339,56000,131724000
2015-07-07,2376,2376,2350,2368,43000,101791000
2015-07-06,2358,2381,2320,2326,46000,107749000
2015-07-03,2400,2417,2352,2359,53000,126388000
2015-07-02,2489,2489,2403,2405,37000,90357000
2015-07-01,2488,2500,2450,2462,37000,91378000
2015-06-30,2419,2477,2400,2477,95000,231866000
2015-06-29,2386,2428,2384,2388,40000,95893000
2015-06-26,2400,2477,2393,2436,43000,103932000
2015-06-25,2399,2407,2369,2388,38000,90923000
2015-06-24,2379,2392,2367,2380,85000,202224000
2015-06-23,2351,2377,2350,2375,65000,153939000
2015-06-22,2309,2382,2309,2368,53000,124693000
2015-06-19,2337,2370,2324,2337,85000,199559000
2015-06-18,2342,2345,2301,2337,78000,182268000
2015-06-17,2210,2311,2195,2296,61000,137767000
2015-06-16,2142,2244,2142,2216,48000,105168000
2015-06-15,2113,2147,2113,2142,34000,72562000
2015-06-12,2118,2124,2102,2113,74000,156681000
2015-06-11,2117,2117,2067,2086,31000,65026000
2015-06-10,2076,2085,2054,2075,24000,49830000
2015-06-09,2067,2120,2064,2076,68000,142317000
2015-06-08,2059,2068,2042,2053,28000,57641000
2015-06-05,2042,2059,2040,2051,36000,73785000
2015-06-04,2059,2059,2032,2040,30000,61450000
2015-06-03,2035,2051,2034,2047,34000,69398000
2015-06-02,2021,2048,2010,2046,35000,71024000
2015-06-01,2021,2021,2008,2014,12000,24173000
2015-05-29,2011,2034,2011,2033,37000,74929000
2015-05-28,2005,2024,2005,2012,17000,34299000
2015-05-27,2010,2020,2003,2012,22000,44280000
2015-05-26,2024,2025,2007,2010,25000,50401000
2015-05-25,2026,2040,2011,2023,29000,58628000
2015-05-22,2015,2024,2009,2023,28000,56520000
2015-05-21,2019,2024,2009,2023,33000,66602000
2015-05-20,2026,2026,1990,2019,23000,46353000
2015-05-19,1994,2022,1977,2014,51000,102301000
2015-05-18,1940,1998,1940,1994,34000,67242000
2015-05-15,1957,1957,1920,1940,23000,44702000
2015-05-14,1948,1953,1932,1937,22000,42815000
2015-05-13,1917,1953,1917,1950,17000,32995000
2015-05-12,1935,1940,1934,1940,13000,25179000
2015-05-11,1970,1971,1940,1943,30000,58651000
2015-05-08,1971,1975,1955,1975,20000,39392000
2015-05-07,2005,2014,1975,1975,28000,55744000
2015-05-01,2001,2009,1979,2009,17000,33940000
2015-04-30,2013,2019,1977,2018,30000,60206000
2015-04-28,2016,2027,2011,2020,30000,60538000
2015-04-27,2006,2020,2006,2017,22000,44339000
2015-04-24,2003,2010,2003,2007,19000,38154000
2015-04-23,2003,2010,1991,2005,30000,60168000
2015-04-22,1998,2016,1992,2004,28000,55957000
2015-04-21,2011,2015,2006,2010,17000,34181000
