3001-T,東証1部,片倉,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1275,1280,1256,1263,30600,38685300
2015-10-01,1285,1290,1252,1288,37300,47592500
2015-09-30,1286,1294,1256,1275,24700,31474900
2015-09-29,1277,1296,1258,1263,56600,71462400
2015-09-28,1275,1303,1260,1302,36300,46716000
2015-09-25,1244,1276,1226,1273,47500,59390600
2015-09-24,1250,1268,1249,1250,60000,75322100
2015-09-18,1288,1297,1271,1280,46200,59117300
2015-09-17,1328,1328,1288,1305,24900,32546200
2015-09-16,1301,1307,1292,1305,7100,9225300
2015-09-15,1293,1315,1291,1292,23300,30223900
2015-09-14,1339,1339,1291,1291,10800,14089300
2015-09-11,1318,1328,1298,1318,51600,67975000
2015-09-10,1290,1311,1271,1304,21300,27503700
2015-09-09,1287,1321,1267,1317,24300,31467000
2015-09-08,1258,1283,1246,1257,36100,45491400
2015-09-07,1236,1262,1225,1256,20800,25915200
2015-09-04,1275,1279,1230,1242,34100,42572500
2015-09-03,1267,1286,1260,1266,30000,37949600
2015-09-02,1244,1285,1239,1258,48900,61298500
2015-09-01,1328,1328,1270,1274,74100,95373800
2015-08-31,1304,1333,1288,1332,24100,31699400
2015-08-28,1297,1313,1287,1304,16300,21222800
2015-08-27,1271,1308,1260,1267,36100,46187300
2015-08-26,1251,1274,1218,1245,87300,107220200
2015-08-25,1248,1336,1247,1252,64100,81379300
2015-08-24,1350,1388,1304,1311,60900,81057600
2015-08-21,1400,1450,1386,1397,44300,62519600
2015-08-20,1450,1461,1426,1437,28400,40930800
2015-08-19,1500,1500,1459,1461,25300,37158500
2015-08-18,1468,1515,1468,1498,34800,51884300
2015-08-17,1440,1468,1440,1468,18800,27422900
2015-08-14,1430,1458,1429,1439,9700,13956700
2015-08-13,1426,1438,1403,1431,23300,33242600
2015-08-12,1445,1457,1430,1441,22900,33067200
2015-08-11,1423,1453,1423,1449,43800,63204800
2015-08-10,1371,1400,1360,1397,32400,44788100
2015-08-07,1423,1437,1415,1437,28500,40775600
2015-08-06,1413,1430,1410,1426,31100,44199700
2015-08-05,1431,1431,1418,1430,29200,41695700
2015-08-04,1431,1432,1416,1432,11600,16578000
2015-08-03,1416,1433,1411,1431,21000,29897600
2015-07-31,1408,1416,1400,1416,9400,13262200
2015-07-30,1404,1418,1392,1400,17500,24599100
2015-07-29,1421,1421,1383,1402,18000,25166900
2015-07-28,1413,1428,1408,1420,46000,65077200
2015-07-27,1410,1415,1403,1413,19600,27654500
2015-07-24,1413,1415,1399,1402,14800,20771100
2015-07-23,1413,1421,1403,1417,15200,21482400
2015-07-22,1385,1415,1369,1414,27500,38391700
2015-07-21,1419,1419,1386,1392,25300,35396000
2015-07-17,1400,1420,1399,1420,57200,80637000
2015-07-16,1373,1390,1371,1390,39500,54647500
2015-07-15,1348,1370,1348,1370,32400,44205100
2015-07-14,1347,1347,1341,1347,14400,19372300
2015-07-13,1329,1340,1323,1334,15300,20389800
2015-07-10,1300,1326,1300,1309,26400,34599800
2015-07-09,1280,1309,1277,1299,40200,52010300
2015-07-08,1328,1339,1304,1310,33700,44342300
2015-07-07,1326,1346,1326,1338,17400,23276600
2015-07-06,1305,1332,1305,1307,27600,36098600
2015-07-03,1327,1340,1320,1325,12600,16741700
2015-07-02,1327,1328,1317,1327,12900,17083500
2015-07-01,1329,1331,1300,1316,27000,35536400
2015-06-30,1316,1332,1310,1329,23900,31547800
2015-06-29,1336,1360,1310,1316,36800,48803200
2015-06-26,1358,1364,1326,1339,40500,54223500
2015-06-25,1359,1368,1351,1356,25300,34446100
2015-06-24,1370,1370,1356,1364,36100,49216000
2015-06-23,1337,1365,1320,1365,41800,56569700
2015-06-22,1314,1336,1309,1334,21900,29053800
2015-06-19,1310,1340,1306,1316,42300,55843300
2015-06-18,1314,1338,1300,1312,54700,71856200
