3002-T,東証1部,グンゼ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,357,359,352,356,673000,239593000
2015-10-01,361,362,357,359,488000,175455000
2015-09-30,355,362,353,361,812000,291136000
2015-09-29,366,368,350,350,1166000,414944000
2015-09-28,369,375,366,374,680000,252358000
2015-09-25,378,379,363,369,1572000,586451000
2015-09-24,365,371,363,364,723000,264794000
2015-09-18,371,373,364,369,638000,235870000
2015-09-17,370,372,367,371,370000,136830000
2015-09-16,377,377,364,368,440000,162286000
2015-09-15,377,379,373,375,436000,163897000
2015-09-14,379,384,375,378,530000,200614000
2015-09-11,368,381,368,378,620000,231796000
2015-09-10,368,374,362,373,527000,194896000
2015-09-09,364,375,363,374,507000,187287000
2015-09-08,365,367,354,357,440000,158036000
2015-09-07,367,372,362,366,905000,331587000
2015-09-04,363,372,358,370,1210000,441787000
2015-09-03,361,367,360,362,635000,230446000
2015-09-02,354,367,354,357,607000,218341000
2015-09-01,371,373,360,360,827000,303005000
2015-08-31,378,380,370,379,802000,302014000
2015-08-28,377,377,371,373,859000,321076000
2015-08-27,367,368,359,365,943000,343363000
2015-08-26,355,363,352,359,950000,340246000
2015-08-25,345,362,339,351,1322000,463515000
2015-08-24,369,371,360,362,1201000,439386000
2015-08-21,376,380,374,375,666000,250946000
2015-08-20,383,386,381,382,399000,152961000
2015-08-19,390,391,381,383,666000,256666000
2015-08-18,394,394,390,393,470000,184649000
2015-08-17,389,395,389,394,612000,240353000
2015-08-14,387,392,384,389,693000,268887000
2015-08-13,384,390,379,387,1161000,447886000
2015-08-12,385,389,383,384,923000,356207000
2015-08-11,380,390,378,385,1467000,563420000
2015-08-10,367,372,364,372,833000,307477000
2015-08-07,368,369,360,362,858000,311969000
2015-08-06,365,372,364,368,842000,309987000
2015-08-05,360,370,358,363,1213000,441929000
2015-08-04,357,366,353,366,1733000,627367000
2015-08-03,337,363,334,359,2948000,1036454000
2015-07-31,333,337,333,337,295000,98970000
2015-07-30,332,336,331,333,458000,152748000
2015-07-29,334,335,331,335,301000,100340000
2015-07-28,335,335,331,333,341000,113716000
2015-07-27,338,339,333,335,760000,255489000
2015-07-24,340,344,339,341,594000,202571000
2015-07-23,338,340,335,340,464000,156752000
2015-07-22,337,339,333,337,811000,272509000
2015-07-21,340,340,333,339,1020000,343783000
2015-07-17,339,351,336,342,2418000,830635000
2015-07-16,339,340,336,339,727000,246158000
2015-07-15,333,339,332,339,830000,279097000
2015-07-14,329,334,329,333,774000,256413000
2015-07-13,322,326,321,326,459000,148797000
2015-07-10,319,325,319,320,1216000,390752000
2015-07-09,312,316,306,316,1067000,332082000
2015-07-08,323,324,316,317,1246000,397921000
2015-07-07,325,327,322,323,852000,276264000
2015-07-06,325,327,321,322,1126000,364416000
2015-07-03,334,335,325,325,2028000,670879000
2015-07-02,337,339,336,339,609000,205576000
2015-07-01,337,338,334,334,371000,124323000
2015-06-30,333,337,332,335,567000,189518000
2015-06-29,337,339,333,333,698000,234563000
2015-06-26,344,344,339,342,430000,146974000
2015-06-25,341,344,338,342,631000,215697000
2015-06-24,345,349,343,346,981000,339802000
2015-06-23,340,344,340,344,721000,246883000
2015-06-22,332,341,331,339,973000,327956000
2015-06-19,331,332,329,332,693000,229226000
2015-06-18,333,333,328,329,500000,164975000
2015-06-17,331,334,330,332,564000,187297000
2015-06-16,330,332,329,330,422000,139359000
2015-06-15,330,331,328,330,742000,244652000
2015-06-12,328,331,328,330,973000,320134000
2015-06-11,328,330,326,327,647000,212437000
2015-06-10,329,332,326,327,724000,237918000
2015-06-09,332,332,329,329,699000,231010000
2015-06-08,339,339,332,332,551000,184641000
2015-06-05,334,339,333,337,398000,133762000
2015-06-04,338,338,335,336,323000,108673000
2015-06-03,335,338,333,338,424000,142458000
2015-06-02,333,335,332,335,563000,187626000
2015-06-01,331,335,330,333,442000,146930000
2015-05-29,332,336,331,333,644000,215131000
2015-05-28,332,332,330,332,391000,129520000
2015-05-27,328,332,326,331,538000,177076000
2015-05-26,326,329,326,328,585000,191252000
2015-05-25,330,330,326,327,388000,127148000
2015-05-22,326,329,326,328,662000,216793000
2015-05-21,331,331,324,327,665000,217785000
2015-05-20,330,332,329,331,688000,227501000
2015-05-19,332,335,329,330,620000,205269000
2015-05-18,331,334,330,332,506000,167738000
2015-05-15,333,336,329,331,388000,128712000
2015-05-14,339,340,329,331,694000,231442000
2015-05-13,338,349,325,340,2322000,790449000
2015-05-12,334,340,331,339,813000,272985000
2015-05-11,327,335,327,334,823000,273461000
2015-05-08,321,324,319,323,542000,174671000
2015-05-07,320,324,319,321,469000,150864000
2015-05-01,322,324,318,320,414000,132685000
2015-04-30,328,328,321,323,697000,225549000
2015-04-28,330,330,327,328,449000,147492000
2015-04-27,332,332,326,329,419000,137566000
2015-04-24,333,333,327,332,756000,249918000
2015-04-23,329,333,327,333,741000,245204000
2015-04-22,324,329,323,329,549000,179083000
2015-04-21,322,323,320,322,501000,161230000
2015-04-20,324,324,319,320,383000,123203000
2015-04-17,328,328,325,325,417000,136167000
2015-04-16,325,329,324,329,356000,116427000
2015-04-15,326,328,324,325,406000,132355000
2015-04-14,319,328,319,328,602000,195171000
2015-04-13,320,320,317,318,165000,52540000
2015-04-10,321,321,317,319,383000,122370000
2015-04-09,324,324,319,321,459000,147109000
2015-04-08,325,326,323,324,297000,96346000
2015-04-07,324,324,321,324,243000,78531000
2015-04-06,326,326,323,324,197000,63853000
2015-04-03,322,326,321,326,536000,173701000
2015-04-02,319,325,318,321,595000,191399000
2015-04-01,320,321,315,317,744000,236426000
2015-03-31,322,325,320,321,688000,221784000
2015-03-30,322,325,319,322,824000,265713000
2015-03-27,322,332,321,328,1177000,385160000
2015-03-26,340,342,335,337,686000,231703000
2015-03-25,340,342,338,340,393000,133612000
2015-03-24,339,342,339,340,447000,152139000
2015-03-23,337,340,337,339,361000,122320000
2015-03-20,336,338,334,335,431000,144846000
2015-03-19,336,337,333,335,492000,165111000
2015-03-18,328,337,326,337,929000,308614000
2015-03-17,329,329,327,328,387000,126916000
2015-03-16,327,329,327,328,249000,81638000
2015-03-13,329,329,326,327,516000,169349000
2015-03-12,328,329,326,327,424000,138862000
2015-03-11,326,328,325,327,335000,109383000
2015-03-10,325,328,325,326,320000,104342000
2015-03-09,327,327,325,327,157000,51209000
2015-03-06,327,327,325,327,227000,74016000
2015-03-05,325,327,324,327,377000,122850000
2015-03-04,325,327,324,325,330000,107448000
2015-03-03,327,329,324,326,465000,151835000
2015-03-02,328,329,326,327,292000,95449000
2015-02-27,330,330,324,326,512000,167362000
2015-02-26,325,329,324,327,645000,210713000
2015-02-25,322,325,321,324,441000,142452000
2015-02-24,321,323,320,320,426000,136897000
2015-02-23,325,325,320,321,502000,161706000
2015-02-20,322,324,315,323,897000,287006000
2015-02-19,317,323,317,321,790000,252672000
2015-02-18,315,320,315,319,599000,190611000
2015-02-17,312,315,311,314,363000,113696000
2015-02-16,309,314,309,312,505000,157389000
2015-02-13,311,312,309,310,763000,236738000
2015-02-12,307,309,307,308,519000,159810000
2015-02-10,307,307,304,306,250000,76355000
2015-02-09,305,306,304,306,313000,95535000
2015-02-06,300,306,299,305,809000,244831000
2015-02-05,306,306,295,297,1400000,419697000
2015-02-04,304,307,304,306,439000,134017000
2015-02-03,306,307,302,304,503000,152783000
2015-02-02,305,307,302,305,302000,92055000
2015-01-30,306,308,305,306,368000,112673000
2015-01-29,307,309,303,304,591000,180734000
2015-01-28,305,308,304,308,293000,89817000
2015-01-27,304,306,303,304,417000,126913000
2015-01-26,303,305,301,304,309000,93850000
2015-01-23,304,305,303,303,421000,127971000
2015-01-22,303,303,300,303,381000,114914000
2015-01-21,305,305,301,302,328000,99379000
2015-01-20,302,305,302,305,566000,171784000
2015-01-19,303,304,301,302,392000,118551000
2015-01-16,305,305,301,302,552000,167218000
2015-01-15,309,311,305,306,512000,157297000
2015-01-14,314,315,303,305,1239000,380066000
2015-01-13,313,318,312,316,508000,159949000
2015-01-09,318,319,314,315,474000,149897000
2015-01-08,312,320,311,318,1009000,319217000
2015-01-07,304,313,304,311,638000,197882000
2015-01-06,309,309,304,304,541000,165669000
2015-01-05,312,314,310,311,241000,75157000
2014-12-30,314,314,311,312,330000,103220000
2014-12-29,315,316,310,313,411000,128661000
2014-12-26,316,317,311,316,395000,124058000
2014-12-25,313,315,311,314,383000,119825000
2014-12-24,310,313,308,312,493000,153192000
2014-12-22,313,313,306,308,326000,100853000
2014-12-19,311,312,305,311,589000,181912000
2014-12-18,306,310,305,306,344000,105661000
2014-12-17,301,306,301,302,487000,147684000
2014-12-16,307,308,303,304,411000,125491000
2014-12-15,312,314,309,309,333000,103694000
2014-12-12,313,316,312,312,568000,178281000
2014-12-11,311,314,310,312,439000,136784000
2014-12-10,319,319,313,314,484000,152815000
2014-12-09,315,320,315,317,341000,108149000
2014-12-08,320,320,317,318,377000,120195000
2014-12-05,321,321,314,318,711000,225582000
2014-12-04,314,322,312,321,1764000,559461000
2014-12-03,310,312,309,310,281000,87143000
2014-12-02,308,312,306,311,677000,209588000
2014-12-01,309,309,305,307,504000,155139000
2014-11-28,306,310,305,310,644000,198524000
2014-11-27,303,306,303,303,361000,109744000
2014-11-26,301,306,301,304,434000,132132000
2014-11-25,307,307,302,304,453000,137671000
2014-11-21,307,308,303,307,390000,119286000
2014-11-20,302,306,300,305,683000,207472000
2014-11-19,300,302,298,300,515000,154736000
2014-11-18,296,300,296,300,366000,109060000
2014-11-17,297,299,295,295,393000,116476000
2014-11-14,301,301,295,299,866000,258166000
2014-11-13,305,307,295,297,1334000,399409000
2014-11-12,308,312,305,305,821000,252775000
2014-11-11,311,311,307,307,689000,212423000
2014-11-10,310,313,310,311,443000,137970000
2014-11-07,308,313,308,312,832000,259030000
2014-11-06,308,314,307,311,1043000,324574000
2014-11-05,305,310,300,309,713000,218544000
2014-11-04,310,313,306,307,871000,268803000
2014-10-31,305,310,304,309,862000,264224000
2014-10-30,298,303,298,301,563000,169554000
