3003-T,東証1部,ヒューリック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1128,1135,1114,1135,1222200,1378421300
2015-10-01,1091,1139,1084,1128,1733400,1938194400
2015-09-30,1073,1085,1060,1077,1338800,1439489800
2015-09-29,1071,1082,1042,1052,1620600,1715114200
2015-09-28,1085,1103,1068,1088,1433500,1563271000
2015-09-25,1024,1080,1024,1080,2061500,2188691800
2015-09-24,1008,1036,1002,1018,1385200,1417449600
2015-09-18,1044,1047,1011,1025,1667200,1711856700
2015-09-17,1028,1040,1023,1038,1214500,1253473200
2015-09-16,1048,1053,1019,1028,1056500,1090660000
2015-09-15,1050,1065,1039,1039,1195200,1252179100
2015-09-14,1045,1062,1033,1044,1247900,1309717700
2015-09-11,1030,1065,1027,1052,1948600,2034927000
2015-09-10,1013,1049,1011,1030,2000100,2056860400
2015-09-09,994,1025,973,1025,2281600,2295785100
2015-09-08,980,998,961,962,1229700,1197497600
2015-09-07,978,993,957,978,1544100,1507493300
2015-09-04,1039,1040,973,984,3059700,3044000100
2015-09-03,1063,1070,1036,1039,1796200,1879772800
2015-09-02,1048,1076,1042,1054,1494000,1582675300
2015-09-01,1103,1116,1068,1068,1225000,1327235800
2015-08-31,1115,1124,1093,1116,1273400,1415407900
2015-08-28,1134,1137,1115,1125,1312800,1474558600
2015-08-27,1111,1124,1099,1108,1860400,2067480700
2015-08-26,1065,1103,1053,1096,2072400,2235125800
2015-08-25,1006,1121,1003,1063,3270900,3465008400
2015-08-24,1088,1110,1057,1066,2857100,3082432300
2015-08-21,1162,1169,1131,1138,1773300,2033080400
2015-08-20,1186,1217,1180,1203,1239100,1492238000
2015-08-19,1199,1225,1196,1199,1030300,1247638900
2015-08-18,1193,1214,1189,1208,1092000,1317409500
2015-08-17,1200,1209,1169,1183,2300600,2712948300
2015-08-14,1200,1223,1170,1195,2090400,2512311000
2015-08-13,1216,1237,1205,1214,1641800,1993992900
2015-08-12,1224,1234,1204,1216,1224200,1489672300
2015-08-11,1243,1246,1217,1226,1618700,1991291900
2015-08-10,1203,1225,1196,1214,1075600,1302282200
2015-08-07,1215,1220,1193,1204,1169300,1406179600
2015-08-06,1245,1253,1208,1213,1796100,2208535200
2015-08-05,1209,1230,1198,1224,2534900,3095390000
2015-08-04,1200,1219,1195,1208,1659400,2003049000
2015-08-03,1226,1232,1178,1196,1675800,2000343800
