3046-T,東証1部,JIN,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,5550,5720,5490,5580,76100,426023000
2015-10-01,5600,5720,5550,5570,86200,485655000
2015-09-30,5410,5620,5390,5600,66300,368639000
2015-09-29,5500,5500,5340,5340,87900,474384000
2015-09-28,5410,5600,5370,5550,72600,401528000
2015-09-25,5350,5430,5320,5410,55000,295429000
2015-09-24,5190,5370,5190,5280,64200,340384000
2015-09-18,5360,5360,5210,5240,57600,303386000
2015-09-17,5200,5380,5180,5340,65500,347670000
2015-09-16,5270,5290,5110,5160,72700,376719000
2015-09-15,5190,5270,5160,5170,67600,352275000
2015-09-14,5240,5370,5200,5230,69300,363780000
2015-09-11,4990,5280,4970,5240,109600,564508000
2015-09-10,5120,5190,5000,5090,141500,720260000
2015-09-09,5200,5380,5150,5280,94100,495291000
2015-09-08,5100,5120,4995,5020,151600,764926500
2015-09-07,5170,5210,5100,5130,131700,676124000
2015-09-04,5440,5440,5160,5230,122000,640072000
2015-09-03,5500,5550,5370,5400,90300,491401000
2015-09-02,5260,5540,5260,5420,101700,551354000
2015-09-01,5600,5630,5420,5460,106000,585779000
2015-08-31,5640,5690,5580,5660,54500,307218000
2015-08-28,5660,5660,5530,5640,68500,383946000
2015-08-27,5600,5640,5450,5510,148000,820580000
2015-08-26,5290,5440,5230,5350,185100,982848000
2015-08-25,5280,5560,5060,5220,273500,1451351000
2015-08-24,5780,5840,5380,5480,303700,1709770000
2015-08-21,6020,6070,5920,5980,166700,999089000
2015-08-20,6140,6250,6050,6160,67300,416406000
2015-08-19,6210,6240,6160,6170,52700,326344000
2015-08-18,6350,6370,6260,6270,61200,385219000
2015-08-17,6300,6370,6300,6360,48400,306657000
2015-08-14,6100,6330,6090,6300,102000,638187000
2015-08-13,6110,6130,5990,6110,115900,703733000
2015-08-12,6210,6260,6140,6170,86200,533360000
2015-08-11,6240,6320,6200,6310,71000,444268000
2015-08-10,6180,6250,6110,6240,66000,409041000
2015-08-07,6120,6260,6060,6230,104600,644407000
2015-08-06,6400,6400,6190,6220,108600,680341000
2015-08-05,6460,6460,6220,6280,139400,879435000
2015-08-04,6300,6400,6220,6370,143700,912071000
2015-08-03,6100,6310,6060,6240,145200,902391000
2015-07-31,6000,6070,5910,6040,131800,793460000
2015-07-30,6000,6040,5910,5970,149600,895186000
2015-07-29,5980,5990,5850,5950,104800,621791000
2015-07-28,5780,5970,5750,5960,153700,905920000
2015-07-27,5780,5840,5750,5790,93100,539668000
2015-07-24,5780,5880,5730,5760,96700,559163000
2015-07-23,5530,5770,5530,5770,214600,1220442000
2015-07-22,5460,5550,5420,5510,105500,577898000
2015-07-21,5580,5590,5490,5500,106000,585739000
2015-07-17,5670,5670,5490,5570,152300,845627000
2015-07-16,5600,5690,5550,5650,86400,486360000
2015-07-15,5660,5680,5540,5600,101500,567026000
2015-07-14,5700,5700,5570,5660,132400,747830000
2015-07-13,5530,5820,5480,5540,289100,1624768000
2015-07-10,5450,5450,5270,5320,96900,517706000
2015-07-09,5220,5400,5110,5380,135400,711584000
2015-07-08,5510,5530,5350,5420,118000,639669000
2015-07-07,5600,5660,5490,5540,103600,577185000
2015-07-06,5470,5590,5440,5570,122100,676757000
2015-07-03,5500,5500,5310,5480,86000,464680000
2015-07-02,5610,5650,5450,5470,140100,774844000
2015-07-01,5330,5570,5260,5570,147000,803335000
2015-06-30,5240,5330,5240,5280,39100,206598000
2015-06-29,5150,5300,5150,5240,88800,466003000
2015-06-26,5380,5380,5260,5310,50700,268903000
2015-06-25,5280,5410,5280,5380,93500,501853000
2015-06-24,5250,5340,5180,5300,124300,655992000
2015-06-23,5400,5420,5210,5270,157800,833933000
2015-06-22,5420,5420,5330,5400,55800,300390000
2015-06-19,5340,5390,5270,5330,101700,543000000
2015-06-18,5400,5480,5290,5290,118500,636332000
2015-06-17,5380,5430,5340,5400,138400,746152000
2015-06-16,5260,5380,5230,5310,126700,673301000
2015-06-15,5200,5290,5200,5270,98900,518496000
2015-06-12,5170,5200,5120,5170,175600,908149000
2015-06-11,4930,5130,4930,5130,136500,692929500
2015-06-10,4945,5120,4920,4940,209200,1045285500
2015-06-09,4880,5020,4880,4940,217200,1076055500
2015-06-08,4815,4965,4740,4925,431900,2108172500
2015-06-05,4630,4685,4555,4605,136100,625872500
2015-06-04,4635,4655,4600,4650,63400,293624000
2015-06-03,4615,4655,4590,4635,83600,386280500
2015-06-02,4630,4680,4590,4610,117800,545162500
2015-06-01,4800,4800,4625,4645,134100,627170000
2015-05-29,4705,4895,4705,4815,168900,812969000
2015-05-28,4705,4735,4660,4695,59600,279510000
2015-05-27,4600,4715,4600,4695,101100,472147000
2015-05-26,4580,4625,4560,4600,68300,313702500
2015-05-25,4600,4615,4560,4590,70600,323629500
2015-05-22,4645,4645,4565,4590,51600,236826000
2015-05-21,4585,4635,4570,4620,51500,237346000
2015-05-20,4655,4655,4590,4620,43300,199933500
2015-05-19,4590,4660,4590,4620,59000,273360500
2015-05-18,4600,4625,4555,4605,58200,267428500
2015-05-15,4470,4590,4460,4585,77500,352711000
2015-05-14,4475,4505,4440,4470,103900,464454000
2015-05-13,4470,4570,4360,4545,112000,502574000
2015-05-12,4600,4670,4570,4580,143200,658303500
2015-05-11,4700,4710,4580,4615,149300,693116000
2015-05-08,4725,4790,4660,4715,321200,1517159500
2015-05-07,4585,4635,4480,4500,91700,416201000
2015-05-01,4605,4635,4535,4575,83400,381245500
2015-04-30,4655,4675,4600,4620,118300,547721500
2015-04-28,4640,4740,4590,4725,166800,780283000
2015-04-27,4695,4710,4525,4570,156400,719688500
2015-04-24,4595,4725,4500,4650,359800,1673820500
2015-04-23,4500,4570,4455,4540,145300,658594000
2015-04-22,4500,4665,4470,4505,205200,932071500
2015-04-21,4605,4650,4450,4500,226700,1026054000
2015-04-20,4850,4870,4575,4595,297500,1393427500
2015-04-17,4850,5040,4790,4860,500900,2461200500
2015-04-16,4805,4880,4660,4715,221700,1057276000
2015-04-15,4565,4710,4550,4685,192900,899673000
2015-04-14,4680,4735,4550,4565,159100,738942500
2015-04-13,4695,4710,4575,4610,86600,400689000
2015-04-10,4800,4805,4630,4660,163800,770888000
2015-04-09,4535,4750,4515,4725,234200,1093230000
2015-04-08,4405,4480,4400,4465,71000,315967500
2015-04-07,4470,4545,4385,4390,148700,659235500
2015-04-06,4410,4685,4375,4525,339400,1543477000
2015-04-03,4300,4545,4270,4285,329400,1446749000
2015-04-02,4145,4280,4130,4265,181800,770170500
2015-04-01,4180,4205,4080,4085,82800,341262500
2015-03-31,4225,4230,4020,4165,236000,978031000
2015-03-30,4205,4325,4205,4235,227600,970896000
2015-03-27,4020,4230,4020,4135,195900,812212000
2015-03-26,3905,4035,3900,4005,124200,495496000
2015-03-25,3910,3930,3845,3875,91000,352662500
2015-03-24,3905,3965,3895,3935,83500,327968500
2015-03-23,3930,4005,3915,3930,81100,319470000
2015-03-20,3960,4015,3925,3955,60900,240855000
2015-03-19,4045,4045,3950,3975,112100,446216500
2015-03-18,4070,4155,4045,4065,127500,521787500
2015-03-17,4130,4175,4060,4070,114900,472615500
2015-03-16,4120,4180,4105,4130,60900,251886000
2015-03-13,4110,4210,4070,4185,190900,793152000
2015-03-12,4095,4185,4090,4110,191300,790471000
2015-03-11,4140,4170,4040,4065,259300,1059595000
2015-03-10,4085,4200,4060,4200,346200,1439772000
2015-03-09,3900,4135,3790,4125,922500,3701387500
2015-03-06,3620,3920,3620,3885,744000,2816335000
2015-03-05,3355,3375,3320,3335,76100,254993500
2015-03-04,3430,3445,3345,3370,122600,413939000
2015-03-03,3535,3555,3445,3465,108900,380521000
2015-03-02,3590,3630,3580,3605,51400,185153000
2015-02-27,3625,3685,3595,3620,107000,389431000
2015-02-26,3540,3645,3530,3630,132400,477084000
2015-02-25,3535,3560,3455,3520,81500,286249000
2015-02-24,3500,3560,3490,3530,83500,294132500
2015-02-23,3445,3500,3415,3475,80600,278940000
2015-02-20,3450,3460,3370,3425,72800,248261500
2015-02-19,3490,3490,3410,3415,62500,214616500
2015-02-18,3390,3500,3385,3480,105100,362464000
2015-02-17,3365,3400,3325,3340,61200,205974000
2015-02-16,3395,3415,3360,3385,40000,135404500
2015-02-13,3425,3435,3355,3390,64900,220134000
2015-02-12,3415,3485,3375,3430,110800,380385500
2015-02-10,3355,3470,3290,3345,123900,417706500
2015-02-09,3265,3365,3225,3340,182700,605175500
2015-02-06,3315,3400,3265,3305,111900,371870500
2015-02-05,3315,3445,3255,3385,169900,568749000
2015-02-04,3365,3420,3285,3375,164100,549040500
2015-02-03,3440,3470,3365,3395,172000,585723000
2015-02-02,3545,3600,3425,3445,131000,459657500
2015-01-30,3600,3670,3575,3615,134600,487355000
2015-01-29,3540,3730,3540,3590,211100,767111500
2015-01-28,3495,3630,3495,3610,168000,602032500
2015-01-27,3545,3595,3475,3500,152500,535083000
2015-01-26,3555,3640,3535,3570,178700,641506500
2015-01-23,3495,3670,3425,3605,348000,1251242500
2015-01-22,3615,3615,3360,3420,215800,746024500
2015-01-21,3490,3595,3380,3580,351900,1240385000
2015-01-20,3300,3495,3245,3490,317400,1080969500
2015-01-19,3100,3310,3100,3305,342400,1100237500
2015-01-16,2945,3115,2933,3095,266700,811504500
2015-01-15,2991,3075,2862,2950,409200,1213311200
2015-01-14,2795,2836,2788,2791,70300,196812000
2015-01-13,2819,2819,2780,2788,132700,371110500
2015-01-09,2862,2890,2826,2850,106000,302207400
2015-01-08,2901,2960,2842,2846,192800,555532000
2015-01-07,2921,3200,2903,2911,515200,1547312500
2015-01-06,2929,2983,2920,2923,243600,716245600
2015-01-05,2952,3050,2944,3015,92600,278398700
2014-12-30,3000,3055,3000,3015,80700,244442000
2014-12-29,3015,3040,2936,3005,77200,230830400
2014-12-26,2905,3020,2893,2996,70500,209208600
2014-12-25,2915,2925,2890,2898,108600,315723800
2014-12-24,2977,2977,2922,2935,43600,128239200
2014-12-22,2932,2996,2925,2946,67000,197753100
2014-12-19,3005,3020,2906,2929,76400,225948600
2014-12-18,2905,3025,2902,2985,181500,535447100
2014-12-17,2821,2932,2805,2831,271300,778330200
2014-12-16,2945,2970,2862,2898,92100,267587700
2014-12-15,3005,3060,2976,3015,78900,237506400
2014-12-12,3030,3070,3000,3050,133300,404669000
2014-12-11,2958,3055,2930,3040,174800,522618200
2014-12-10,2793,2929,2790,2929,124800,358725800
2014-12-09,2833,2878,2826,2843,139300,396496400
2014-12-08,2898,3065,2870,2921,283600,840316900
2014-12-05,2820,2829,2768,2798,85700,239540200
2014-12-04,2830,2867,2808,2819,144000,408309400
2014-12-03,2735,2795,2711,2790,154400,422916200
2014-12-02,2740,2744,2713,2735,204400,557587000
2014-12-01,2708,2833,2708,2787,235500,656437900
2014-11-28,2637,2770,2611,2755,332900,909877900
2014-11-27,2587,2625,2561,2603,84500,218861700
2014-11-26,2565,2631,2554,2623,153700,399264900
2014-11-25,2565,2584,2523,2536,77800,198127600
2014-11-21,2435,2575,2425,2564,157200,397253100
2014-11-20,2478,2485,2428,2434,87900,216365100
2014-11-19,2485,2496,2445,2465,78200,193316000
2014-11-18,2435,2454,2401,2438,128700,312597300
2014-11-17,2597,2597,2421,2447,179000,441800900
2014-11-14,2590,2598,2520,2568,147100,375919400
2014-11-13,2439,2593,2439,2590,275900,702067400
2014-11-12,2378,2443,2364,2439,218100,527805400
2014-11-11,2398,2406,2337,2342,147600,348015000
2014-11-10,2407,2423,2384,2398,97800,235172000
2014-11-07,2378,2446,2366,2407,213600,514401300
2014-11-06,2432,2474,2302,2332,289500,692629400
2014-11-05,2433,2450,2381,2416,192700,466302800
2014-11-04,2547,2549,2381,2383,247300,601988600
2014-10-31,2369,2425,2333,2420,258800,619007700
2014-10-30,2389,2408,2290,2319,260400,606550400
2014-10-29,2335,2393,2295,2365,314500,740255400
2014-10-28,2235,2300,2215,2275,176500,400397700
2014-10-27,2244,2326,2235,2245,246900,561434700
2014-10-24,2279,2284,2223,2248,143400,322802800
