3079-T,東証1部,DVx,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1085,1094,1074,1087,5900,6406000
2015-10-01,1053,1106,1052,1085,18900,20505500
2015-09-30,1051,1059,1040,1053,13300,13961100
2015-09-29,1052,1055,1021,1038,23900,24800200
2015-09-28,1070,1080,1054,1054,10000,10669100
2015-09-25,1067,1088,1058,1070,13600,14501100
2015-09-24,1083,1085,1051,1062,20500,21935200
2015-09-18,1080,1093,1068,1083,17900,19332700
2015-09-17,1040,1078,1036,1071,18500,19477800
2015-09-16,1049,1059,1043,1052,7300,7679800
2015-09-15,1063,1071,1048,1058,7600,8059900
2015-09-14,1093,1093,1040,1064,17800,19061100
2015-09-11,1070,1088,1050,1066,35100,37449000
2015-09-10,1012,1030,1004,1018,28000,28493600
2015-09-09,1020,1053,1012,1033,37200,38138700
2015-09-08,1011,1027,999,999,31200,31357700
2015-09-07,1023,1044,1002,1015,23600,24012100
2015-09-04,1050,1075,1019,1023,46200,48173300
2015-09-03,1056,1079,1041,1042,24400,25698500
2015-09-02,1030,1085,1030,1054,30000,31735500
2015-09-01,1123,1124,1066,1071,33500,36882200
2015-08-31,1153,1158,1131,1141,25800,29505700
2015-08-28,1160,1176,1137,1153,27400,31599900
2015-08-27,1133,1172,1130,1135,25500,29091400
2015-08-26,1121,1136,1084,1116,38000,42366900
2015-08-25,1033,1129,1030,1061,125100,133817400
2015-08-24,1103,1165,1091,1093,79500,89395600
2015-08-21,1155,1183,1138,1144,45300,52445900
2015-08-20,1201,1226,1187,1190,30400,36569500
2015-08-19,1241,1250,1216,1219,19700,24179100
2015-08-18,1240,1269,1231,1241,18400,23036500
2015-08-17,1218,1245,1213,1243,21800,26705500
2015-08-14,1240,1248,1217,1225,31000,38081000
2015-08-13,1251,1265,1235,1240,24800,30897300
2015-08-12,1272,1278,1250,1266,26300,33080100
2015-08-11,1300,1310,1270,1278,27200,35021800
2015-08-10,1292,1319,1280,1294,30900,40015100
2015-08-07,1288,1297,1271,1289,17900,22985600
2015-08-06,1270,1310,1270,1290,33400,42966200
2015-08-05,1280,1290,1275,1282,22200,28454800
2015-08-04,1301,1309,1278,1279,58600,75504900
2015-08-03,1277,1350,1260,1315,145400,190373700
2015-07-31,1426,1439,1403,1427,24900,35410000
