3082-T,東証1部,きちり,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,686,689,680,685,14500,9916200
2015-10-01,677,688,674,682,10900,7397400
2015-09-30,674,682,671,673,10800,7302100
2015-09-29,679,680,664,668,22100,14804600
2015-09-28,685,694,675,683,17700,12123400
2015-09-25,666,675,657,675,14100,9411300
2015-09-24,680,681,651,666,25300,16942200
2015-09-18,693,699,680,681,25600,17570600
2015-09-17,680,691,680,690,11800,8102600
2015-09-16,687,690,676,681,13600,9303000
2015-09-15,696,699,687,687,6400,4433100
2015-09-14,698,700,689,690,4900,3402300
2015-09-11,699,700,689,689,21600,15055000
2015-09-10,692,693,679,693,11600,7991600
2015-09-09,682,692,680,692,17000,11689100
2015-09-08,674,680,661,664,18200,12223000
2015-09-07,670,678,656,672,25000,16725700
2015-09-04,704,704,680,683,21400,14753200
2015-09-03,693,703,691,697,15200,10603200
2015-09-02,685,698,676,690,19500,13466700
2015-09-01,705,707,691,691,20400,14303700
2015-08-31,700,705,695,705,21400,15013000
2015-08-28,692,698,688,695,23100,16034800
2015-08-27,679,690,679,683,23000,15732700
2015-08-26,659,670,647,670,31500,20708800
2015-08-25,610,668,589,626,67800,42446200
2015-08-24,688,689,659,659,55900,37732400
2015-08-21,705,707,698,699,31300,21968400
2015-08-20,710,715,707,708,12300,8746500
2015-08-19,716,717,710,710,11600,8269900
2015-08-18,713,718,709,716,19000,13561500
2015-08-17,707,713,707,709,22000,15622200
2015-08-14,702,704,696,701,21400,14979000
2015-08-13,699,709,698,699,21300,14910000
2015-08-12,706,708,698,699,36300,25509800
2015-08-11,713,714,702,706,35300,24950400
2015-08-10,724,732,705,710,75500,54078900
2015-08-07,718,724,715,720,20100,14457300
2015-08-06,721,725,712,723,30400,21858900
2015-08-05,720,720,714,719,19500,14002900
2015-08-04,714,720,712,717,19400,13899700
2015-08-03,718,721,710,718,33000,23641300
2015-07-31,712,716,712,713,9400,6705500
2015-07-30,714,714,708,712,15800,11223300
2015-07-29,715,717,707,709,11300,8027100
2015-07-28,709,714,706,711,15200,10781500
2015-07-27,710,716,709,709,10500,7469100
2015-07-24,715,715,708,712,10500,7475500
2015-07-23,712,716,708,712,14600,10375700
2015-07-22,712,717,712,712,9700,6918400
2015-07-21,717,717,712,714,13400,9575300
2015-07-17,715,717,710,712,12700,9054500
2015-07-16,716,717,712,715,6800,4855600
2015-07-15,715,715,709,714,11600,8264500
2015-07-14,711,713,708,712,7800,5543900
2015-07-13,702,709,697,706,12300,8652700
2015-07-10,698,703,694,695,17300,12066700
2015-07-09,690,696,673,693,56800,38933300
2015-07-08,727,728,701,703,36400,25897500
2015-07-07,723,733,720,727,26600,19292900
2015-07-06,717,725,715,715,27700,19910200
2015-07-03,713,722,712,720,19100,13733900
2015-07-02,720,721,700,714,26800,19167900
2015-07-01,708,717,706,713,22700,16169000
2015-06-30,704,710,701,709,18500,13059500
2015-06-29,700,710,698,701,35000,24622800
2015-06-26,707,712,706,707,20900,14796800
2015-06-25,718,719,714,716,16900,12098900
2015-06-24,715,716,709,716,23900,17046200
2015-06-23,713,718,707,715,33100,23562700
2015-06-22,711,716,708,713,19800,14087800
2015-06-19,718,720,700,707,100300,70935100
2015-06-18,760,760,717,721,87600,65017100
2015-06-17,734,754,734,747,71800,53546700
2015-06-16,744,765,732,738,131700,98120400
2015-06-15,715,736,714,729,69100,50010700
2015-06-12,705,711,703,708,40400,28563500
2015-06-11,705,709,701,705,54100,38192600
2015-06-10,697,701,696,697,19200,13408200
2015-06-09,695,695,690,690,24700,17102000
2015-06-08,697,698,695,696,21300,14836100
2015-06-05,699,700,697,699,18000,12571800
2015-06-04,702,702,699,699,14200,9943500
2015-06-03,700,702,700,701,7300,5115900
2015-06-02,703,703,699,700,14600,10228000
2015-06-01,703,703,700,701,12300,8630100
2015-05-29,700,704,700,702,8800,6174000
2015-05-28,703,706,700,702,16600,11648700
2015-05-27,704,707,702,703,9100,6408800
2015-05-26,708,708,703,704,17200,12146400
2015-05-25,703,708,703,706,18100,12754600
2015-05-22,703,703,700,701,10100,7082400
2015-05-21,703,704,699,699,13100,9183400
2015-05-20,700,707,700,702,15300,10735900
2015-05-19,703,708,700,700,22700,15922400
2015-05-18,709,710,700,702,13800,9703300
2015-05-15,706,712,700,708,12700,8973300
2015-05-14,709,713,700,705,20200,14233200
2015-05-13,700,710,697,708,24800,17446300
2015-05-12,703,706,699,699,35600,24954000
2015-05-11,700,713,700,708,52800,37227200
2015-05-08,731,739,728,737,14400,10579800
2015-05-07,728,734,728,731,14400,10524300
2015-05-01,734,734,720,728,28200,20489200
2015-04-30,727,736,725,728,18100,13192600
2015-04-28,732,737,726,726,60400,44013100
2015-04-27,734,734,721,728,14300,10406400
2015-04-24,725,730,722,725,17000,12319900
2015-04-23,737,737,722,727,10600,7732300
2015-04-22,732,736,729,730,8600,6291000
2015-04-21,735,741,717,736,28500,20820000
2015-04-20,740,740,729,732,12500,9161400
2015-04-17,749,749,741,743,15800,11776000
2015-04-16,732,745,724,745,27800,20438600
2015-04-15,739,739,729,734,17900,13112600
2015-04-14,728,739,725,734,23800,17398400
2015-04-13,731,746,715,721,49400,35992400
2015-04-10,748,749,735,740,25100,18551900
2015-04-09,748,752,745,748,18400,13754600
2015-04-08,755,758,742,749,43200,32391100
2015-04-07,760,761,737,755,85400,63910900
2015-04-06,749,758,740,755,74000,55377500
2015-04-03,713,738,700,736,96200,69567900
2015-04-02,704,710,703,710,29600,20940400
2015-04-01,700,704,700,704,20600,14457500
2015-03-31,705,705,700,700,36200,25428700
2015-03-30,701,706,701,703,42600,29965200
2015-03-27,698,703,698,700,18800,13173300
2015-03-26,700,703,695,698,41600,29049600
2015-03-25,710,720,700,702,85800,60568000
2015-03-24,703,705,700,703,43900,30850900
2015-03-23,701,702,700,700,14900,10446500
2015-03-20,700,703,700,703,13100,9193000
2015-03-19,705,705,699,701,17600,12350400
2015-03-18,701,704,701,704,24400,17140900
2015-03-17,702,703,699,701,14300,10024500
2015-03-16,702,703,699,701,21300,14938800
2015-03-13,697,702,694,701,25900,18096000
2015-03-12,686,691,686,691,17700,12196100
