3085-T,東証1部,ALサービス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4715,4905,4710,4740,37100,178658000
2015-10-01,4845,4845,4700,4710,20200,96133000
2015-09-30,4810,4850,4790,4835,11800,56887000
2015-09-29,4835,4895,4720,4790,15000,72011500
2015-09-28,4805,4960,4805,4905,15800,77508000
2015-09-25,4730,4845,4655,4795,22700,107767500
2015-09-24,4750,4975,4710,4730,13300,63533500
2015-09-18,4910,4965,4830,4835,10300,50316500
2015-09-17,4920,4935,4835,4910,11400,55880000
2015-09-16,4900,4985,4750,4810,28000,135443500
2015-09-15,4890,5020,4795,4875,43100,211116000
2015-09-14,4835,4840,4700,4750,40400,193180000
2015-09-11,4515,4730,4510,4625,25600,117629500
2015-09-10,4265,4445,4250,4445,18300,79821500
2015-09-09,4200,4390,4195,4325,79600,340352500
2015-09-08,4440,4460,4060,4100,100800,425695500
2015-09-07,4500,4635,4420,4500,48300,218310000
2015-09-04,4840,4840,4590,4645,46400,217172000
2015-09-03,5020,5080,4795,4835,31000,152733000
2015-09-02,4790,5070,4790,4910,28100,138016500
2015-09-01,5150,5160,4855,4935,29100,145121000
2015-08-31,5140,5270,5090,5160,24500,126420000
2015-08-28,5060,5170,5000,5140,20400,103835000
2015-08-27,4900,5050,4870,4915,23100,114343000
2015-08-26,4695,4830,4650,4745,28600,135183000
2015-08-25,4460,4930,4265,4605,39700,184914500
2015-08-24,5170,5290,4900,4950,31000,157789500
2015-08-21,5520,5540,5440,5470,12800,70410000
2015-08-20,5730,5790,5650,5660,7300,41581000
2015-08-19,5800,5840,5740,5750,9600,55460000
2015-08-18,5910,5910,5790,5790,6800,39593000
2015-08-17,5760,5930,5760,5880,8200,47989000
2015-08-14,5810,5880,5750,5770,9700,56301000
2015-08-13,5810,5860,5760,5810,8700,50394000
2015-08-12,5880,5970,5830,5860,14900,87749000
2015-08-11,5900,5940,5840,5940,10500,61972000
2015-08-10,5770,5900,5720,5880,10900,63648000
2015-08-07,5830,5850,5730,5750,15000,86502000
2015-08-06,5780,5890,5740,5790,35800,208040000
2015-08-05,5940,6040,5740,5770,46700,273171000
2015-08-04,5850,5920,5790,5880,18800,110276000
2015-08-03,5760,5900,5740,5830,34800,202808000
2015-07-31,5890,5900,5640,5760,48500,277249000
2015-07-30,5990,6000,5810,5900,62000,365031000
2015-07-29,6120,6130,5900,5960,26200,156516000
2015-07-28,6050,6160,6020,6090,22000,133976000
2015-07-27,6470,6530,6170,6220,28100,176996000
2015-07-24,6300,6710,6260,6570,36300,236182000
2015-07-23,6200,6400,6170,6340,25200,159489000
2015-07-22,6140,6200,6060,6100,11700,71701000
2015-07-21,6100,6230,6030,6170,17700,108487000
2015-07-17,5890,6160,5890,6000,42700,256658000
2015-07-16,5870,5910,5840,5880,14500,85153000
2015-07-15,5840,5880,5750,5850,13600,79331000
2015-07-14,5900,5920,5720,5840,18500,107619000
2015-07-13,5790,5900,5790,5840,11100,64768000
2015-07-10,5880,5940,5700,5850,22900,133782000
2015-07-09,5460,5940,5320,5880,41100,233534000
2015-07-08,5870,5950,5600,5660,40800,236558000
2015-07-07,5650,5950,5650,5820,37700,218682000
2015-07-06,5450,5590,5380,5590,25800,142288000
2015-07-03,5430,5450,5380,5400,11900,64472000
2015-07-02,5490,5550,5450,5520,22400,123257000
2015-07-01,5290,5400,5260,5390,23700,126593000
2015-06-30,5170,5260,5140,5230,18900,98070000
2015-06-29,5100,5280,5100,5270,20100,104904000
2015-06-26,5150,5320,5150,5290,28000,146401000
2015-06-25,5340,5350,5270,5300,20500,108794000
2015-06-24,5300,5340,5250,5340,20800,110141000
2015-06-23,5280,5330,5240,5310,11100,58688000
2015-06-22,5230,5330,5230,5310,12500,66057000
2015-06-19,5300,5300,5230,5230,12000,63132000
2015-06-18,5300,5320,5210,5210,13500,70897000
2015-06-17,5330,5540,5310,5310,26100,140891000
2015-06-16,5350,5370,5300,5320,9100,48496000
2015-06-15,5330,5370,5300,5340,7800,41569000
2015-06-12,5320,5340,5300,5320,21600,114869000
2015-06-11,5230,5320,5230,5320,5400,28579000
2015-06-10,5240,5300,5210,5240,13200,69394000
2015-06-09,5330,5330,5230,5240,10600,55908000
2015-06-08,5390,5390,5270,5310,12100,64418000
2015-06-05,5270,5340,5270,5290,10600,56183000
2015-06-04,5300,5320,5260,5280,24800,131397000
2015-06-03,5350,5370,5250,5310,22200,117651000
2015-06-02,5470,5550,5390,5440,19900,108322000
2015-06-01,5500,5540,5470,5520,8600,47400000
2015-05-29,5470,5530,5470,5490,11200,61505000
2015-05-28,5420,5490,5400,5490,8200,44616000
2015-05-27,5450,5480,5410,5470,14200,77334000
2015-05-26,5500,5530,5460,5480,6100,33471000
2015-05-25,5400,5490,5400,5470,6800,37114000
2015-05-22,5560,5560,5350,5450,16200,88368000
2015-05-21,5550,5620,5490,5620,12700,70721000
2015-05-20,5660,5680,5560,5600,12700,71195000
2015-05-19,5590,5700,5450,5520,38000,212110000
2015-05-18,5270,5600,5260,5500,42900,234581000
2015-05-15,5120,5240,5070,5230,21500,111126000
2015-05-14,5060,5060,4985,5020,8400,42226000
2015-05-13,4970,5060,4950,5050,11400,56982000
2015-05-12,4970,5000,4950,4985,9000,44707500
2015-05-11,4990,4995,4940,4975,7400,36797500
2015-05-08,4845,4940,4845,4920,11300,55431500
2015-05-07,4920,4945,4810,4830,37400,181528000
2015-05-01,5010,5100,4935,4985,33500,167437000
2015-04-30,5150,5150,4980,5100,31800,160938500
2015-04-28,5220,5240,5100,5150,17200,89028000
2015-04-27,5060,5150,5060,5100,10400,53139000
2015-04-24,5080,5090,5030,5050,15200,76823000
2015-04-23,5190,5190,5060,5120,16100,82688000
2015-04-22,5290,5290,5150,5190,13200,68645000
2015-04-21,5130,5280,5100,5200,18800,97446000
2015-04-20,5100,5110,4960,5080,21900,110837500
2015-04-17,5210,5210,5100,5180,20700,106862000
2015-04-16,5410,5470,5120,5220,31900,166909000
2015-04-15,5480,5500,5370,5390,22900,124487000
2015-04-14,5270,5430,5260,5370,16300,87169000
2015-04-13,5450,5450,5210,5250,20600,109501000
2015-04-10,5490,5510,5440,5460,11200,61298000
2015-04-09,5480,5560,5450,5490,20300,111596000
2015-04-08,5350,5590,5340,5570,32800,179510000
2015-04-07,5360,5390,5260,5350,32200,171980000
2015-04-06,5180,5480,5170,5460,25700,137149000
2015-04-03,5000,5180,5000,5180,18900,96609000
2015-04-02,5010,5040,4995,5000,11600,58135000
2015-04-01,5000,5100,4960,4995,19700,98840000
2015-03-31,4950,5090,4890,4995,19100,94790500
2015-03-30,4920,4920,4760,4830,10600,51445000
2015-03-27,4740,4970,4740,4855,14500,70948500
2015-03-26,4855,4905,4755,4805,15400,74157500
2015-03-25,5090,5090,4900,4925,21400,106162500
2015-03-24,5000,5120,4990,5090,21600,109584000
2015-03-23,5030,5030,4935,5010,23400,116854500
2015-03-20,4930,5140,4930,5030,27900,140547500
2015-03-19,4890,4945,4850,4925,16800,82179500
2015-03-18,4755,5030,4755,4955,58300,288692500
2015-03-17,4730,4795,4705,4745,32600,154648500
2015-03-16,4710,4820,4665,4800,45100,212879500
2015-03-13,4600,4820,4555,4780,45400,212949000
2015-03-12,4475,4600,4475,4600,22800,103440500
2015-03-11,4460,4490,4410,4470,12400,55292000
2015-03-10,4410,4470,4385,4470,20900,92573000
2015-03-09,4390,4440,4350,4420,21700,95640000
2015-03-06,4460,4475,4440,4470,7800,34749500
2015-03-05,4470,4480,4395,4455,10400,46169500
2015-03-04,4400,4420,4355,4405,14500,63695000
2015-03-03,4265,4360,4265,4320,14200,61235500
2015-03-02,4350,4400,4265,4310,21100,91488500
2015-02-27,4390,4435,4340,4370,14200,62196500
2015-02-26,4480,4480,4360,4435,17100,75656000
2015-02-25,4465,4495,4430,4480,13100,58586500
2015-02-24,4510,4520,4405,4425,20400,91437500
2015-02-23,4455,4565,4430,4500,32200,145010500
2015-02-20,4450,4580,4385,4525,45900,206473000
2015-02-19,4310,4480,4310,4475,31400,138897000
2015-02-18,4325,4345,4200,4310,29400,126700000
2015-02-17,4090,4330,4090,4325,43700,184971500
2015-02-16,4090,4095,4000,4090,17900,72766000
2015-02-13,4070,4095,4040,4095,18700,76305000
2015-02-12,4045,4080,4000,4065,21200,85853500
2015-02-10,4005,4055,4000,4055,19400,78073500
2015-02-09,3945,4020,3930,4000,40800,162783000
2015-02-06,3850,3950,3850,3950,16000,62413500
2015-02-05,3880,3880,3795,3855,12500,47978500
2015-02-04,3975,3975,3740,3880,32400,125987500
2015-02-03,4080,4080,3895,3935,38400,153103000
2015-02-02,3995,4170,3980,4150,47000,191020000
2015-01-30,3990,4005,3940,3990,38100,151654000
2015-01-29,3945,3985,3890,3975,31900,126026000
2015-01-28,3850,3960,3840,3945,53800,211445500
2015-01-27,3850,3860,3800,3855,37100,142307000
2015-01-26,3760,3825,3760,3825,32400,123083000
2015-01-23,3760,3760,3710,3750,18600,69538000
2015-01-22,3750,3775,3695,3760,37500,140575500
2015-01-21,3660,3760,3660,3700,42100,156272000
2015-01-20,3645,3745,3565,3730,53200,195015000
2015-01-19,3545,3640,3545,3620,30600,109823500
2015-01-16,3555,3565,3520,3540,10300,36442500
2015-01-15,3530,3575,3500,3555,18900,67032000
2015-01-14,3535,3545,3515,3545,29200,103219000
2015-01-13,3510,3540,3500,3535,19700,69374000
2015-01-09,3505,3535,3500,3535,16500,57933500
2015-01-08,3530,3545,3510,3525,14000,49405000
2015-01-07,3460,3520,3460,3495,16700,58328500
2015-01-06,3470,3495,3440,3440,14100,48858000
2015-01-05,3480,3500,3435,3455,14300,49698000
2014-12-30,3455,3500,3455,3465,4800,16681500
2014-12-29,3485,3485,3455,3480,12500,43344000
2014-12-26,3450,3485,3440,3475,25300,87606000
2014-12-25,3535,3540,3505,3510,21400,75379000
2014-12-24,3550,3555,3515,3535,18000,63574500
2014-12-22,3560,3570,3510,3550,23400,82779500
2014-12-19,3550,3580,3540,3560,29100,103525000
2014-12-18,3495,3555,3480,3545,43500,153336000
2014-12-17,3495,3495,3475,3475,16300,56799000
2014-12-16,3505,3505,3465,3495,17700,61623000
2014-12-15,3530,3560,3500,3510,18500,65112500
2014-12-12,3500,3525,3500,3525,23400,82207000
2014-12-11,3455,3510,3450,3510,14100,49198500
2014-12-10,3515,3530,3490,3505,27500,96616000
2014-12-09,3510,3530,3500,3520,26500,93139500
2014-12-08,3490,3520,3480,3505,50300,175986500
2014-12-05,3440,3485,3440,3485,26200,90857500
2014-12-04,3405,3440,3380,3440,28200,96417500
2014-12-03,3395,3405,3360,3400,30600,103620500
2014-12-02,3390,3400,3375,3395,21800,73855000
2014-12-01,3395,3400,3375,3395,16900,57314500
2014-11-28,3355,3390,3350,3380,6900,23287500
2014-11-27,3395,3395,3330,3360,24400,82030500
2014-11-26,3400,3415,3380,3395,21600,73385500
2014-11-25,3425,3450,3400,3420,13200,45154500
2014-11-21,3410,3420,3400,3420,5900,20113500
2014-11-20,3430,3450,3395,3405,20900,71385500
2014-11-19,3435,3455,3420,3430,9400,32311500
2014-11-18,3420,3455,3410,3435,10700,36716000
2014-11-17,3420,3470,3390,3445,28800,98949500
2014-11-14,3425,3425,3400,3415,11600,39600500
2014-11-13,3405,3405,3365,3390,7300,24725000
2014-11-12,3405,3430,3405,3405,14100,48249000
2014-11-11,3390,3410,3385,3405,11500,39056500
2014-11-10,3365,3385,3360,3385,11900,40129000
2014-11-07,3375,3400,3320,3330,32100,107732000
2014-11-06,3420,3425,3385,3405,15400,52414500
2014-11-05,3415,3440,3385,3435,25100,85513500
2014-11-04,3440,3480,3350,3475,45200,154289000
2014-10-31,3420,3440,3395,3430,16400,56032000
2014-10-30,3405,3415,3385,3415,8800,29952000
2014-10-29,3405,3430,3400,3405,26100,89031000
2014-10-28,3420,3430,3400,3430,14200,48578500
2014-10-27,3400,3425,3385,3425,10900,37129000
2014-10-24,3385,3400,3365,3370,5100,17242000
2014-10-23,3400,3400,3370,3385,7300,24715000
2014-10-22,3395,3400,3355,3385,14500,48967500
2014-10-21,3380,3400,3335,3400,23600,79738500
2014-10-20,3300,3370,3300,3360,13300,44411500
2014-10-17,3280,3315,3265,3275,15000,49330500
2014-10-16,3260,3325,3250,3270,24800,81382500
2014-10-15,3275,3300,3260,3290,11500,37838000
2014-10-14,3255,3280,3215,3250,26900,87359000
2014-10-10,3295,3315,3255,3275,24100,78985500
2014-10-09,3360,3360,3305,3315,9100,30252500
2014-10-08,3340,3380,3305,3350,21600,71809500
2014-10-07,3380,3405,3360,3380,13800,46661000
2014-10-06,3365,3390,3340,3390,16800,56397500
2014-10-03,3345,3350,3305,3345,13600,45334500
2014-10-02,3350,3350,3325,3345,20100,67183000
2014-10-01,3410,3430,3350,3410,35400,119800000
2014-09-30,3380,3420,3355,3410,19200,65071000
2014-09-29,3420,3420,3350,3370,19400,65480500
2014-09-26,3405,3405,3350,3380,18100,61097500
2014-09-25,3440,3445,3385,3405,11300,38475500
