3091-T,東証1部,ブロンコB,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,2450,2530,2445,2529,52800,131828500
2015-10-01,2480,2523,2384,2497,55500,137239600
2015-09-30,2332,2531,2332,2509,73700,180124000
2015-09-29,2299,2343,2261,2329,52200,120158200
2015-09-28,2235,2305,2224,2300,23000,52297400
2015-09-25,2234,2234,2196,2222,15700,34705200
2015-09-24,2199,2260,2185,2200,20200,44772000
2015-09-18,2220,2244,2202,2208,24300,53789700
2015-09-17,2260,2260,2212,2225,41400,92335200
2015-09-16,2285,2285,2251,2260,15100,34149500
2015-09-15,2226,2316,2226,2280,29100,66827300
2015-09-14,2280,2280,2218,2231,19100,42907200
2015-09-11,2217,2285,2208,2266,37300,83356500
2015-09-10,2222,2234,2185,2217,24800,54770000
2015-09-09,2220,2258,2131,2258,32800,72191500
2015-09-08,2168,2197,2118,2122,42600,91479900
2015-09-07,2238,2238,2154,2192,31800,69838500
2015-09-04,2319,2319,2172,2199,49300,109828500
2015-09-03,2237,2283,2217,2269,31200,70270600
2015-09-02,2150,2232,2150,2172,61200,133830100
2015-09-01,2335,2343,2240,2245,47100,107856300
2015-08-31,2350,2384,2318,2348,60500,142212600
2015-08-28,2281,2407,2281,2394,73500,172846100
2015-08-27,2299,2311,2257,2279,58900,134719800
2015-08-26,2119,2267,2119,2254,82400,181755900
2015-08-25,2025,2250,2025,2107,128100,272841300
2015-08-24,2305,2323,2195,2209,140500,316381200
2015-08-21,2450,2459,2390,2392,102000,246455600
2015-08-20,2500,2520,2484,2485,52400,130791400
2015-08-19,2513,2525,2495,2507,43100,107954800
2015-08-18,2558,2558,2513,2521,45500,114999600
2015-08-17,2529,2559,2529,2555,32300,82316100
2015-08-14,2515,2544,2505,2529,33000,83265500
2015-08-13,2500,2538,2490,2533,49300,123839100
2015-08-12,2505,2547,2500,2503,60700,152505300
2015-08-11,2521,2539,2501,2528,42500,107187200
2015-08-10,2510,2521,2499,2512,42800,107448400
2015-08-07,2512,2522,2495,2509,68700,172080000
2015-08-06,2576,2587,2508,2512,82500,208547600
2015-08-05,2511,2590,2499,2573,82200,209522400
2015-08-04,2532,2532,2496,2507,80200,201024100
2015-08-03,2522,2566,2515,2550,42400,107784200
2015-07-31,2550,2559,2485,2521,111800,281123200
2015-07-30,2628,2640,2542,2573,176500,454149100
2015-07-29,2590,2626,2588,2607,39100,101860500
2015-07-28,2520,2622,2513,2557,102600,262903500
2015-07-27,2608,2610,2536,2539,128800,330065900
2015-07-24,2690,2697,2608,2613,86800,229527300
2015-07-23,2697,2775,2683,2694,69900,190056200
2015-07-22,2698,2751,2675,2691,70100,190050500
2015-07-21,2745,2745,2688,2725,65600,178249300
2015-07-17,2650,2764,2638,2700,115900,312997500
2015-07-16,2512,2644,2485,2604,172600,444493300
2015-07-15,2588,2620,2525,2542,101800,260060500
2015-07-14,2557,2581,2500,2551,98900,251376500
2015-07-13,2475,2558,2465,2547,87600,220752700
2015-07-10,2532,2559,2448,2478,103000,256019300
2015-07-09,2500,2570,2366,2540,159300,395613900
2015-07-08,2665,2665,2554,2570,131700,341700700
2015-07-07,2683,2720,2578,2666,203700,536621700
2015-07-06,2714,2753,2670,2683,73600,199234700
2015-07-03,2785,2788,2683,2714,151700,412533400
2015-07-02,2895,2905,2756,2785,220700,621452100
2015-07-01,2798,2960,2797,2885,211400,612073000
2015-06-30,2590,2720,2590,2709,122900,329018200
2015-06-29,2524,2623,2517,2601,116400,300259700
2015-06-26,2500,2632,2500,2616,113400,292468200
2015-06-25,5170,5180,5130,5170,51400,265119000
2015-06-24,5200,5200,5150,5170,30800,159273000
2015-06-23,5120,5200,5110,5170,31400,162014000
2015-06-22,5120,5210,5080,5110,50000,256762000
2015-06-19,5100,5190,5070,5120,44700,228291000
2015-06-18,5200,5210,5100,5100,37600,193346000
2015-06-17,5240,5260,5200,5210,18300,95710000
2015-06-16,5300,5310,5190,5230,31800,166563000
2015-06-15,5330,5340,5270,5300,16800,89192000
2015-06-12,5350,5360,5300,5320,33600,179143000
2015-06-11,5310,5420,5310,5380,28700,154378000
2015-06-10,5350,5420,5300,5310,27000,144448000
2015-06-09,5440,5440,5330,5350,34700,186931000
2015-06-08,5360,5500,5320,5430,104800,567590000
2015-06-05,5060,5110,5030,5090,14900,75827000
2015-06-04,5100,5110,5040,5070,18800,95368000
2015-06-03,5190,5190,5060,5100,25900,132643000
