3098-T,東証1部,ココカラファイン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,4445,4585,4445,4540,83700,378611500
2015-10-01,4475,4520,4420,4475,55200,247096000
2015-09-30,4355,4505,4355,4410,71000,313442000
2015-09-29,4370,4370,4230,4260,78500,335669000
2015-09-28,4360,4450,4255,4425,74200,324941500
2015-09-25,4310,4370,4260,4360,77900,336847000
2015-09-24,4280,4490,4280,4330,62100,272127500
2015-09-18,4450,4530,4380,4405,96000,426514500
2015-09-17,4420,4485,4325,4470,94300,416510000
2015-09-16,4490,4495,4320,4385,56500,247737500
2015-09-15,4425,4535,4385,4435,40000,178081000
2015-09-14,4490,4560,4365,4380,111800,495034000
2015-09-11,4440,4530,4380,4495,141500,630186500
2015-09-10,4310,4430,4265,4370,101700,443179500
2015-09-09,4360,4470,4280,4450,64000,281156500
2015-09-08,4380,4470,4165,4185,112000,479035500
2015-09-07,4315,4405,4275,4330,87300,378688000
2015-09-04,4650,4650,4340,4385,118900,527202500
2015-09-03,4570,4750,4570,4630,94800,441120000
2015-09-02,4405,4670,4405,4525,145700,662556000
2015-09-01,4820,4850,4580,4595,114300,532870500
2015-08-31,4835,4875,4690,4865,97900,470089500
2015-08-28,5000,5000,4775,4830,191200,925952500
2015-08-27,5300,5340,4825,4855,319100,1600405000
2015-08-26,4615,4760,4600,4725,127400,598435500
2015-08-25,4470,4780,4330,4575,210500,966596500
2015-08-24,4695,4925,4675,4680,141000,672179000
2015-08-21,4810,4960,4770,4825,252400,1224824500
2015-08-20,5180,5220,4920,4950,174200,879963000
2015-08-19,5430,5540,5180,5250,152500,811517000
2015-08-18,5400,5490,5360,5410,94300,510779000
2015-08-17,5420,5500,5330,5410,67100,363259000
2015-08-14,5300,5480,5300,5430,87100,471660000
2015-08-13,5280,5330,5120,5310,139000,727198000
2015-08-12,5470,5490,5190,5260,191100,1007931000
2015-08-11,5600,5670,5460,5490,126300,700623000
2015-08-10,5500,5610,5410,5590,102100,564786000
2015-08-07,5360,5520,5250,5500,165900,897809000
2015-08-06,5600,5710,5360,5390,233900,1289157000
2015-08-05,5850,5940,5580,5600,407100,2319870000
2015-08-04,5600,6220,5530,5990,893500,5313107000
2015-08-03,5100,5350,5030,5350,389000,2031447000
2015-07-31,4830,4830,4640,4650,72700,341617500
2015-07-30,4550,4835,4520,4760,167900,791297500
2015-07-29,4405,4560,4385,4550,88300,398531000
2015-07-28,4275,4400,4245,4360,85300,370135500
2015-07-27,4335,4370,4300,4315,119100,516820500
2015-07-24,4370,4390,4295,4335,52600,227963000
2015-07-23,4250,4310,4220,4300,64900,277621000
