3099-T,東証1部,ミツコシイセタン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1846,1900,1845,1869,1774000,3317462300
2015-10-01,1808,1868,1790,1859,2359400,4334156100
2015-09-30,1794,1810,1770,1792,3195500,5717404500
2015-09-29,1800,1809,1737,1756,2976600,5265373700
2015-09-28,1805,1841,1778,1838,3007500,5485718900
2015-09-25,1772,1804,1762,1804,3464400,6179673100
2015-09-24,1772,1827,1770,1776,2298100,4124652900
2015-09-18,1819,1840,1787,1788,1656000,2985369400
2015-09-17,1808,1839,1786,1831,1385300,2523634300
2015-09-16,1840,1843,1786,1802,1702100,3069766100
2015-09-15,1826,1864,1807,1826,1833900,3368985600
2015-09-14,1813,1858,1792,1805,1582700,2875318800
2015-09-11,1750,1822,1750,1807,3488500,6184175100
2015-09-10,1788,1796,1741,1782,2566500,4548296500
2015-09-09,1780,1840,1752,1840,3514200,6353840200
2015-09-08,1769,1780,1704,1710,2645100,4591473700
2015-09-07,1744,1783,1711,1758,2574800,4498344600
2015-09-04,1831,1833,1744,1758,2377200,4222293500
2015-09-03,1844,1886,1817,1822,2001400,3698754500
2015-09-02,1800,1866,1771,1810,2681600,4908541900
2015-09-01,1930,1931,1831,1831,2712100,5079561700
2015-08-31,1937,1950,1912,1942,2060000,3986057500
2015-08-28,1940,1952,1912,1939,2074300,4010104700
2015-08-27,1889,1926,1875,1886,2738400,5193737900
2015-08-26,1834,1881,1821,1871,3079900,5716505500
2015-08-25,1820,1933,1782,1817,4694900,8714324300
2015-08-24,1927,1952,1866,1874,3197400,6072423900
2015-08-21,1975,2007,1951,1969,2549200,5040004600
2015-08-20,2023,2062,2009,2011,2174000,4410018600
2015-08-19,2069,2081,2019,2024,2629800,5363019400
2015-08-18,2110,2138,2078,2082,1760700,3690073200
2015-08-17,2111,2158,2102,2119,2009300,4279024200
2015-08-14,2089,2147,2076,2111,3155400,6681849700
2015-08-13,2050,2106,2009,2096,4626000,9543438700
2015-08-12,2113,2121,2037,2040,5126000,10596728400
2015-08-11,2240,2249,2136,2147,3160500,6866122700
2015-08-10,2169,2236,2163,2230,2318000,5147339700
2015-08-07,2193,2202,2141,2169,2194900,4749170300
2015-08-06,2230,2230,2190,2190,1862900,4105483000
2015-08-05,2275,2281,2201,2204,3062500,6800272500
2015-08-04,2240,2317,2234,2284,2476900,5668873600
2015-08-03,2260,2277,2235,2262,1595700,3597069400
2015-07-31,2254,2304,2217,2259,3890500,8778745000
2015-07-30,2328,2345,2287,2298,1945700,4505354400
2015-07-29,2300,2313,2274,2288,1307700,2996550300
2015-07-28,2250,2274,2212,2256,2180700,4900979600
2015-07-27,2327,2352,2274,2281,1670900,3848297300
2015-07-24,2362,2395,2323,2327,1930000,4542711600
2015-07-23,2301,2360,2295,2355,2170100,5082155000
2015-07-22,2308,2318,2220,2286,1326900,3036872600
2015-07-21,2330,2333,2274,2314,2196500,5050664500
2015-07-17,2287,2333,2282,2308,1542300,3552856600
2015-07-16,2254,2311,2248,2289,2474300,5651426400
2015-07-15,2228,2245,2217,2229,2274200,5071245100
2015-07-14,2250,2265,2211,2228,1975500,4406134500
2015-07-13,2119,2197,2094,2185,2127100,4595035300
2015-07-10,2145,2145,2040,2082,3992100,8327768800
2015-07-09,2087,2149,2031,2146,4182000,8740199600
2015-07-08,2246,2254,2148,2156,3313000,7245858000
2015-07-07,2284,2303,2266,2276,1431900,3270428300
2015-07-06,2269,2310,2233,2241,2407800,5446971300
2015-07-03,2315,2344,2293,2318,2321600,5382337300
2015-07-02,2318,2354,2283,2305,3117900,7220190100
2015-07-01,2218,2295,2214,2292,2646300,6002904400
2015-06-30,2169,2202,2141,2188,2148100,4689444900
2015-06-29,2175,2228,2169,2174,2089300,4584627900
2015-06-26,2253,2314,2243,2260,2729000,6221624800
2015-06-25,2209,2274,2205,2256,2226100,5019546900
2015-06-24,2269,2279,2208,2216,2713500,6050123200
2015-06-23,2260,2271,2236,2262,1721200,3879909900
2015-06-22,2222,2258,2220,2254,1764600,3960378600
2015-06-19,2188,2233,2180,2215,2792800,6173838000
2015-06-18,2155,2188,2151,2171,2508300,5444348500
2015-06-17,2092,2169,2092,2159,3394800,7238678600
2015-06-16,2081,2132,2081,2092,1324600,2791431900
2015-06-15,2070,2115,2069,2104,1072900,2250546600
2015-06-12,2121,2130,2069,2081,2631400,5537356800
2015-06-11,2043,2099,2042,2098,1442500,3006737400
2015-06-10,2051,2054,2009,2013,1384500,2805588600
2015-06-09,2086,2097,2034,2050,1632200,3369393500
2015-06-08,2110,2124,2091,2100,1069500,2249940300
2015-06-05,2055,2107,2054,2103,1606800,3361501600
2015-06-04,2102,2109,2069,2078,2853400,5948000900
2015-06-03,2140,2149,2113,2119,2019400,4294567600
2015-06-02,2102,2149,2101,2142,2974400,6353160900
2015-06-01,2096,2096,2059,2090,1831100,3805909200
2015-05-29,2030,2107,2027,2088,3374600,7045256800
2015-05-28,2050,2065,2029,2042,1800300,3688836300
2015-05-27,2056,2068,2026,2043,1241200,2536433300
2015-05-26,2080,2088,2068,2074,1560600,3240303600
2015-05-25,2086,2103,2078,2090,1325500,2769210200
2015-05-22,2060,2079,2030,2078,1976200,4066153200
2015-05-21,2060,2076,2046,2060,2195600,4532439200
2015-05-20,2040,2079,2030,2056,3683500,7565179000
2015-05-19,1951,2016,1951,2006,3063900,6107260800
2015-05-18,1924,1942,1905,1940,1812900,3496926800
2015-05-15,1892,1926,1870,1924,1964000,3737275200
2015-05-14,1908,1912,1877,1885,2255100,4259823500
2015-05-13,1906,1921,1896,1915,2576300,4919007200
2015-05-12,1977,1987,1911,1923,2564100,4952896600
2015-05-11,1942,2000,1929,1957,3247900,6380626100
2015-05-08,1914,1957,1914,1933,2461800,4761959700
2015-05-07,1938,1963,1913,1920,2516900,4853449500
2015-05-01,1950,1954,1925,1940,3083200,5974367500
2015-04-30,2000,2004,1915,1944,4986300,9756204700
2015-04-28,2076,2100,2058,2065,1559900,3235918800
2015-04-27,2078,2084,2051,2059,1912200,3946100100
2015-04-24,2077,2089,2070,2075,1520500,3156868200
2015-04-23,2115,2118,2062,2072,2721500,5652353100
2015-04-22,2106,2126,2086,2107,2197900,4632171000
2015-04-21,2076,2105,2055,2104,2335700,4871956100
2015-04-20,2047,2128,2022,2086,4246000,8856376600
2015-04-17,2242,2243,2053,2063,6713200,14147114300
2015-04-16,2267,2288,2255,2273,3412900,7749204600
2015-04-15,2225,2268,2212,2266,2320000,5227147500
2015-04-14,2279,2280,2229,2253,2612400,5874526300
2015-04-13,2256,2285,2244,2280,2715600,6137920000
2015-04-10,2255,2265,2230,2255,3630500,8176707200
