3103-T,東証1部,ユニチカ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,58,59,57,59,57289000,3320335000
2015-10-01,57,59,57,57,52093000,2986649000
2015-09-30,57,57,56,57,34105000,1943546000
2015-09-29,58,59,55,56,48938000,2818494000
2015-09-28,60,60,58,59,35418000,2112704000
2015-09-25,60,60,58,60,31004000,1846758000
2015-09-24,60,61,59,60,37839000,2265631000
2015-09-18,62,62,60,61,34415000,2119607000
2015-09-17,63,64,62,63,34946000,2183141000
2015-09-16,63,63,61,62,42020000,2630904000
2015-09-15,63,64,62,63,28140000,1767508000
2015-09-14,64,65,61,62,48076000,3050224000
2015-09-11,64,65,63,63,36396000,2328686000
2015-09-10,64,64,63,64,45660000,2903022000
2015-09-09,62,65,62,65,49797000,3152344000
2015-09-08,62,63,60,61,45299000,2815554000
2015-09-07,60,62,58,61,55811000,3360001000
2015-09-04,64,64,61,62,41570000,2624267000
2015-09-03,65,65,63,63,53297000,3421399000
2015-09-02,63,65,62,63,51409000,3256432000
2015-09-01,67,68,62,64,55820000,3678631000
2015-08-31,66,67,65,67,42621000,2814480000
2015-08-28,64,68,64,65,50261000,3282166000
2015-08-27,66,67,63,63,39647000,2590286000
2015-08-26,65,66,63,65,31161000,2013339000
2015-08-25,63,67,59,62,45818000,2895699000
2015-08-24,66,67,62,64,45779000,2978263000
2015-08-21,71,72,67,68,40653000,2866833000
2015-08-20,71,75,70,73,42253000,3053327000
2015-08-19,70,72,69,71,39953000,2827118000
2015-08-18,67,71,67,70,37517000,2535853000
2015-08-17,67,68,66,67,39038000,2601770000
2015-08-14,68,69,65,67,43274000,2913251000
2015-08-13,70,73,66,69,62958000,4363967000
2015-08-12,66,72,66,70,77786000,5258452000
2015-08-11,64,65,63,65,55028000,3529193000
2015-08-10,61,65,60,64,56202000,3473466000
2015-08-07,60,61,60,60,50228000,3030706000
2015-08-06,59,60,59,59,43452000,2566474000
2015-08-05,59,61,58,59,62941000,3738288000
2015-08-04,58,59,58,58,37252000,2174924000
2015-08-03,59,59,58,59,38470000,2269546000
2015-07-31,58,60,58,58,45734000,2655535000
2015-07-30,59,59,58,58,43498000,2562753000
2015-07-29,58,59,57,59,48524000,2815662000
2015-07-28,57,59,57,58,45645000,2638883000
2015-07-27,58,59,57,58,46131000,2675466000
2015-07-24,59,60,58,58,42824000,2509469000
2015-07-23,59,60,59,60,38439000,2269833000
2015-07-22,59,60,58,59,38173000,2264124000
2015-07-21,60,60,58,59,27207000,1607614000
2015-07-17,59,60,58,60,39325000,2322988000
2015-07-16,58,58,57,58,30903000,1792320000
2015-07-15,58,59,57,58,31335000,1807452000
2015-07-14,58,58,57,58,22724000,1317278000
2015-07-13,56,57,56,57,21693000,1219068000
2015-07-10,56,57,55,55,26375000,1473153000
2015-07-09,56,57,54,57,38651000,2158349000
2015-07-08,57,58,56,57,47164000,2696365000
2015-07-07,58,58,57,58,31002000,1798029000
2015-07-06,58,59,57,58,31258000,1811379000
2015-07-03,58,59,57,59,28510000,1656323000
2015-07-02,59,59,57,57,42434000,2463955000
2015-07-01,58,58,57,58,25891000,1501320000
2015-06-30,58,58,57,58,30839000,1779110000
2015-06-29,58,59,57,58,26307000,1525808000
2015-06-26,58,59,58,58,30823000,1797039000
2015-06-25,60,60,58,58,21651000,1290449000
2015-06-24,61,61,59,59,32247000,1948382000
2015-06-23,59,61,58,60,27871000,1658029000
2015-06-22,58,59,58,59,14356000,837513000
2015-06-19,58,59,57,59,18037000,1051728000
2015-06-18,59,59,57,58,27868000,1621996000
2015-06-17,60,60,58,58,25409000,1512265000
2015-06-16,60,61,59,60,29428000,1765517000
2015-06-15,60,61,59,60,34566000,2073913000
2015-06-12,60,60,59,60,28663000,1716695000
2015-06-11,60,60,58,59,35271000,2106435000
2015-06-10,59,60,59,60,27257000,1610940000
2015-06-09,60,60,59,59,33829000,2025757000
2015-06-08,61,61,59,60,29961000,1807559000
2015-06-05,61,62,60,60,42641000,2580859000
2015-06-04,62,63,61,62,42751000,2633648000
2015-06-03,60,62,60,62,39098000,2362418000
2015-06-02,60,61,59,60,37281000,2228645000
2015-06-01,59,60,59,60,36260000,2153136000
2015-05-29,59,59,57,59,36219000,2120967000
2015-05-28,59,59,58,58,29513000,1739052000
2015-05-27,58,59,57,59,25160000,1467511000
2015-05-26,58,59,57,58,23093000,1339434000
2015-05-25,58,59,57,58,28663000,1662530000
2015-05-22,59,60,57,59,22886000,1345437000
2015-05-21,60,60,58,59,24696000,1471013000
2015-05-20,59,60,58,59,22483000,1322534000
2015-05-19,58,59,57,59,24007000,1399730000
2015-05-18,58,58,56,57,29110000,1674733000
2015-05-15,56,57,56,57,29048000,1627721000
2015-05-14,57,57,56,56,31047000,1761790000
2015-05-13,56,58,55,57,47939000,2688750000
2015-05-12,58,59,56,56,39402000,2268323000
2015-05-11,58,59,57,57,40384000,2331533000
2015-05-08,57,58,57,57,36092000,2057871000
2015-05-07,58,59,57,57,39271000,2265498000
2015-05-01,59,59,57,59,35681000,2094520000
2015-04-30,59,60,58,60,22670000,1338372000
2015-04-28,60,60,59,59,20494000,1227497000
2015-04-27,60,61,58,59,21045000,1253445000
2015-04-24,60,61,59,60,31915000,1914890000
2015-04-23,61,62,60,60,45695000,2801500000
2015-04-22,62,62,60,60,23561000,1452261000
2015-04-21,60,62,60,61,25682000,1551777000
2015-04-20,59,60,58,60,25999000,1534366000
2015-04-17,60,61,58,59,31486000,1881505000
2015-04-16,60,61,60,60,32283000,1937685000
2015-04-15,58,60,58,60,30306000,1781417000
2015-04-14,56,59,56,59,41995000,2380683000
2015-04-13,57,58,57,58,35254000,2010801000
2015-04-10,57,59,57,57,60363000,3449100000
2015-04-09,56,57,56,56,45028000,2522027000
2015-04-08,56,56,55,56,44178000,2465151000
2015-04-07,55,56,55,56,47176000,2597080000
2015-04-06,55,56,55,55,40600000,2237136000
2015-04-03,56,56,55,56,52127000,2918622000
2015-04-02,55,56,55,56,33183000,1835395000
2015-04-01,55,56,55,56,28672000,1577785000
2015-03-31,55,56,54,55,43018000,2366107000
2015-03-30,54,55,54,55,46018000,2486805000
2015-03-27,55,55,54,55,20274000,1113916000
2015-03-26,54,55,54,54,20554000,1114145000
2015-03-25,55,56,54,56,24071000,1325537000
2015-03-24,55,56,55,55,32030000,1761745000
2015-03-23,55,56,54,56,34865000,1935662000
2015-03-20,54,55,54,55,44311000,2394622000
2015-03-19,54,55,54,55,36630000,1979065000
2015-03-18,55,55,54,55,31435000,1712429000
2015-03-17,54,55,54,54,17999000,972334000
2015-03-16,55,55,54,54,31513000,1725076000
2015-03-13,55,56,55,55,32971000,1814239000
2015-03-12,55,55,54,55,57752000,3166352000
2015-03-11,54,55,54,55,47686000,2576548000
2015-03-10,55,56,54,55,36371000,2000460000
2015-03-09,55,56,54,56,34327000,1889720000
2015-03-06,55,56,54,56,52817000,2881257000
2015-03-05,55,56,54,54,57775000,3173154000
2015-03-04,56,56,54,55,45000000,2506491000
2015-03-03,57,58,55,55,50813000,2867176000
2015-03-02,56,57,55,56,40108000,2229054000
2015-02-27,57,57,55,56,32726000,1849613000
2015-02-26,55,57,54,56,56198000,3146693000
2015-02-25,54,55,54,55,23175000,1259599000
2015-02-24,54,55,53,54,25624000,1383823000
2015-02-23,54,55,53,53,38460000,2075564000
2015-02-20,53,55,53,54,40091000,2148005000
2015-02-19,53,54,52,54,47760000,2535498000
2015-02-18,54,54,53,54,36062000,1947029000
2015-02-17,53,54,53,54,43756000,2323340000
2015-02-16,54,55,53,54,44282000,2391065000
2015-02-13,54,55,53,53,45982000,2490150000
2015-02-12,54,55,53,54,45362000,2443357000
2015-02-10,53,54,53,54,28136000,1492574000
2015-02-09,53,54,51,54,34462000,1811814000
2015-02-06,54,54,52,53,39952000,2136722000
2015-02-05,54,55,53,54,34775000,1887744000
2015-02-04,54,56,54,54,32363000,1752315000
2015-02-03,55,56,54,54,35813000,1962208000
2015-02-02,55,56,54,54,37945000,2073946000
2015-01-30,56,56,55,55,31548000,1765441000
2015-01-29,56,57,55,56,31485000,1763055000
2015-01-28,58,58,56,57,45957000,2641896000
2015-01-27,58,58,56,56,38480000,2216825000
2015-01-26,55,57,55,57,40856000,2266758000
2015-01-23,56,57,55,56,44567000,2495428000
2015-01-22,55,58,53,56,56699000,3111551000
2015-01-21,56,57,55,55,47816000,2680755000
2015-01-20,57,58,56,57,53466000,3049911000
2015-01-19,58,58,57,58,38998000,2250608000
2015-01-16,59,59,57,59,49208000,2882415000
2015-01-15,58,60,57,59,47939000,2799075000
2015-01-14,58,59,57,58,42456000,2462929000
2015-01-13,59,59,57,58,46479000,2707394000
2015-01-09,59,60,58,59,57942000,3415732000
2015-01-08,61,62,59,59,49060000,2969101000
2015-01-07,61,62,61,62,35427000,2164109000
2015-01-06,61,62,61,61,46804000,2855865000
2015-01-05,62,63,61,63,28190000,1750138000
2014-12-30,61,62,60,62,33956000,2073825000
2014-12-29,62,62,60,61,36849000,2253459000
2014-12-26,60,62,60,62,24641000,1486209000
2014-12-25,60,60,59,60,72364000,4305644000
2014-12-24,61,61,59,60,78219000,4703597000
2014-12-22,60,61,59,60,80320000,4784928000
2014-12-19,61,61,59,60,73482000,4413207000
2014-12-18,57,60,56,60,98000000,5664945000
2014-12-17,59,62,56,57,111606000,6636467000
2014-12-16,61,62,60,60,73601000,4480281000
2014-12-15,63,64,62,63,71754000,4523803000
2014-12-12,62,64,62,62,79048000,4931753000
2014-12-11,61,63,60,63,95400000,5870404000
2014-12-10,62,63,61,61,84392000,5189943000
2014-12-09,64,65,62,63,89421000,5714741000
2014-12-08,65,66,64,64,85075000,5493973000
2014-12-05,64,65,63,65,82240000,5250880000
2014-12-04,64,65,63,64,87246000,5583830000
2014-12-03,63,65,62,64,97591000,6229613000
2014-12-02,61,63,61,63,75860000,4662238000
2014-12-01,61,63,61,62,69021000,4218668000
2014-11-28,62,63,60,62,71622000,4412689000
2014-11-27,62,63,61,62,80909000,5016981000
2014-11-26,62,63,61,62,91241000,5658901000
2014-11-25,59,63,57,63,95488000,5659517000
2014-11-21,57,62,57,59,117336000,6850214000
2014-11-20,54,57,54,56,89340000,4844711000
2014-11-19,53,56,53,54,92360000,4976695000
2014-11-18,51,53,51,53,90970000,4684269000
2014-11-17,52,53,51,51,88098000,4570081000
2014-11-14,51,52,50,52,82559000,4211051000
2014-11-13,50,51,49,51,91108000,4562131000
2014-11-12,50,51,49,50,97823000,4891108000
2014-11-11,50,50,49,50,108285000,5374954000
2014-11-10,49,50,49,50,94807000,4646435000
2014-11-07,50,50,49,49,108275000,5366782000
2014-11-06,49,50,49,49,104543000,5158903000
2014-11-05,50,51,49,50,106014000,5267687000
2014-11-04,50,50,49,49,78156000,3899876000
2014-10-31,48,49,48,49,83774000,4024139000
2014-10-30,47,49,46,48,93969000,4428925000
2014-10-29,47,47,46,47,85157000,3996638000
2014-10-28,46,47,45,47,81676000,3763117000
2014-10-27,46,46,45,46,72755000,3346610000
2014-10-24,46,46,45,46,72122000,3294982000
2014-10-23,46,47,45,45,74912000,3461275000
2014-10-22,47,48,47,47,72813000,3422413000
2014-10-21,48,49,46,46,84307000,4056831000
2014-10-20,47,49,46,49,78154000,3703147000
2014-10-17,49,49,46,46,73149000,3549759000
2014-10-16,49,49,48,48,71096000,3476932000
2014-10-15,49,49,48,49,77682000,3785322000
2014-10-14,49,49,48,49,72021000,3527784000
2014-10-10,51,51,49,49,88648000,4470657000
2014-10-09,51,52,51,51,91807000,4682746000
2014-10-08,50,52,50,51,92640000,4676458000
2014-10-07,51,52,50,50,93602000,4798302000
2014-10-06,50,51,49,51,89411000,4474157000
2014-10-03,49,50,49,50,87645000,4299682000
2014-10-02,50,50,48,49,85836000,4257036000
2014-10-01,51,52,50,51,86598000,4387696000
2014-09-30,51,53,51,51,79897000,4085576000
2014-09-29,52,53,51,51,85255000,4450364000
2014-09-26,50,51,49,51,63069000,3182618000
2014-09-25,48,50,48,50,65792000,3188164000
