3106-T,東証1部,クラボウ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,215,217,211,214,101000,21692000
2015-10-01,214,219,214,216,271000,58775000
2015-09-30,211,214,210,212,256000,54228000
2015-09-29,211,212,205,205,324000,67649000
2015-09-28,213,215,206,214,208000,44115000
2015-09-25,208,210,204,210,434000,90292000
2015-09-24,205,214,203,206,875000,182101000
2015-09-18,221,222,215,221,335000,73446000
2015-09-17,216,223,216,223,187000,41132000
2015-09-16,219,220,216,218,99000,21572000
2015-09-15,222,223,216,216,161000,35320000
2015-09-14,221,221,217,217,165000,35990000
2015-09-11,211,219,211,218,485000,103283000
2015-09-10,216,221,212,219,545000,117815000
2015-09-09,218,224,216,222,276000,60663000
2015-09-08,212,216,210,210,235000,49873000
2015-09-07,211,220,209,214,319000,67981000
2015-09-04,227,227,215,215,248000,54291000
2015-09-03,228,231,222,222,181000,40883000
2015-09-02,228,234,223,227,249000,56892000
2015-09-01,234,237,227,230,390000,90357000
2015-08-31,236,240,234,237,232000,54928000
2015-08-28,234,236,231,234,345000,80484000
2015-08-27,226,230,225,226,426000,96974000
2015-08-26,220,224,213,222,657000,143421000
2015-08-25,218,229,214,214,470000,102998000
2015-08-24,229,234,219,219,615000,139376000
2015-08-21,238,244,238,239,431000,103655000
2015-08-20,250,251,246,247,299000,74309000
2015-08-19,254,254,251,251,214000,53946000
2015-08-18,254,255,253,255,141000,35836000
2015-08-17,258,258,253,255,266000,67724000
2015-08-14,256,256,254,256,111000,28332000
2015-08-13,256,258,253,256,244000,62306000
2015-08-12,256,260,256,258,274000,70838000
2015-08-11,260,261,256,257,362000,93384000
2015-08-10,257,260,255,260,128000,33013000
2015-08-07,259,259,256,257,198000,50927000
2015-08-06,257,260,253,259,407000,104619000
2015-08-05,254,265,254,259,693000,179928000
2015-08-04,255,257,252,256,223000,56746000
2015-08-03,256,259,253,255,234000,59754000
2015-07-31,254,260,252,260,464000,119415000
2015-07-30,254,256,252,253,166000,42188000
2015-07-29,253,258,251,256,328000,83332000
