3110-T,東証1部,日東紡,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,356,357,349,351,3993000,1405104000
2015-10-01,363,377,355,364,6825000,2491649000
2015-09-30,350,368,344,357,31474000,11212733000
2015-09-29,360,360,345,347,4074000,1431049000
2015-09-28,361,371,357,366,2416000,884348000
2015-09-25,360,367,355,361,2781000,1000201000
2015-09-24,365,368,359,361,2957000,1070890000
2015-09-18,378,380,369,371,2593000,967165000
2015-09-17,375,389,370,378,4183000,1586215000
2015-09-16,380,381,368,371,4506000,1679593000
2015-09-15,405,409,373,375,5033000,1933179000
2015-09-14,416,419,403,403,1630000,668256000
2015-09-11,413,423,410,411,3558000,1476968000
2015-09-10,415,421,405,411,2468000,1016945000
2015-09-09,425,425,411,423,2704000,1131315000
2015-09-08,430,435,407,409,3321000,1396509000
2015-09-07,453,454,423,426,6030000,2607427000
2015-09-04,532,532,510,523,1296000,675274000
2015-09-03,540,550,531,533,663000,356990000
2015-09-02,534,552,527,530,1008000,542812000
2015-09-01,566,570,548,548,540000,301383000
2015-08-31,579,584,570,575,493000,283580000
2015-08-28,571,584,571,582,544000,314672000
2015-08-27,553,571,547,561,966000,542566000
2015-08-26,541,560,536,543,1262000,687231000
2015-08-25,556,589,541,544,1170000,657924000
2015-08-24,592,601,578,580,689000,404893000
2015-08-21,630,630,601,602,595000,364329000
2015-08-20,646,649,636,638,313000,200837000
2015-08-19,651,656,646,647,310000,201188000
2015-08-18,667,668,651,653,237000,155846000
2015-08-17,656,666,650,664,247000,163506000
2015-08-14,661,672,656,656,470000,310923000
2015-08-13,657,665,650,663,465000,306819000
2015-08-12,659,666,644,647,370000,241597000
2015-08-11,673,679,660,662,428000,285468000
2015-08-10,679,679,669,672,347000,233620000
2015-08-07,664,684,664,680,509000,344229000
2015-08-06,685,687,663,664,563000,379952000
2015-08-05,644,659,636,652,331000,215413000
2015-08-04,640,658,635,647,519000,337266000
2015-08-03,648,649,636,642,648000,415786000
2015-07-31,675,684,662,664,643000,431829000
2015-07-30,656,678,656,676,588000,394216000
2015-07-29,637,661,637,650,429000,278186000
2015-07-28,603,636,603,634,520000,324159000
2015-07-27,614,614,604,607,266000,161753000
2015-07-24,625,628,618,621,282000,175503000
2015-07-23,634,635,622,635,194000,122449000
2015-07-22,622,628,622,624,175000,109344000
2015-07-21,629,633,627,632,173000,109007000
2015-07-17,625,637,617,628,315000,197823000
2015-07-16,615,619,607,617,366000,225386000
2015-07-15,621,622,606,607,436000,266379000
2015-07-14,619,627,618,620,442000,274751000
2015-07-13,600,615,590,612,585000,356569000
2015-07-10,602,606,592,596,848000,507902000
2015-07-09,583,604,567,604,764000,449498000
2015-07-08,602,606,588,592,696000,412957000
2015-07-07,587,604,584,601,563000,336906000
2015-07-06,580,590,572,577,948000,551028000
2015-07-03,550,595,550,595,989000,572921000
2015-07-02,556,556,549,552,249000,137522000
2015-07-01,543,548,536,547,264000,143889000
2015-06-30,538,540,530,540,396000,212535000
2015-06-29,549,549,528,531,646000,345265000
2015-06-26,565,567,552,553,357000,198447000
2015-06-25,559,562,552,559,307000,171053000
2015-06-24,550,557,548,554,433000,239548000
2015-06-23,530,546,530,545,498000,268517000
2015-06-22,518,529,517,528,247000,129447000
2015-06-19,513,525,512,524,401000,209418000
2015-06-18,531,531,515,517,430000,223425000
2015-06-17,527,530,521,527,328000,172489000
2015-06-16,537,543,529,531,336000,178965000
2015-06-15,537,539,533,538,315000,168880000
2015-06-12,552,555,539,541,1341000,736787000
2015-06-11,520,545,520,545,553000,296721000
2015-06-10,535,535,517,519,375000,195958000
2015-06-09,535,535,524,525,343000,181278000
2015-06-08,528,538,528,537,292000,155708000
2015-06-05,517,525,517,523,354000,184402000
2015-06-04,523,530,523,524,339000,178699000
2015-06-03,518,529,518,526,458000,240420000
2015-06-02,524,527,515,518,346000,180141000
2015-06-01,513,522,513,521,310000,160798000
2015-05-29,506,514,504,511,408000,208488000
2015-05-28,510,516,508,512,481000,246498000
2015-05-27,499,505,497,505,334000,167671000
2015-05-26,498,500,496,499,412000,205497000
2015-05-25,490,497,488,497,207000,102376000
2015-05-22,487,494,485,493,292000,143571000
2015-05-21,490,493,486,488,279000,136369000
2015-05-20,494,498,492,494,556000,275088000
2015-05-19,470,494,470,492,824000,401823000
2015-05-18,462,471,462,470,255000,119413000
2015-05-15,461,464,458,462,306000,141254000
2015-05-14,461,465,455,461,781000,358573000
2015-05-13,460,470,460,466,492000,228614000
2015-05-12,458,468,458,467,272000,126631000
2015-05-11,460,467,460,466,306000,142248000
2015-05-08,448,457,448,455,568000,256508000
2015-05-07,450,459,450,450,389000,176513000
2015-05-01,451,457,450,455,423000,191478000
2015-04-30,464,465,458,458,623000,287083000
2015-04-28,475,476,470,471,392000,185057000
2015-04-27,474,474,468,469,292000,137514000
2015-04-24,478,484,473,474,373000,177055000
2015-04-23,483,487,482,486,556000,269409000
2015-04-22,462,479,461,479,494000,233928000
2015-04-21,459,460,454,458,423000,193139000
2015-04-20,462,462,450,460,334000,152727000
2015-04-17,464,466,460,461,439000,203052000
2015-04-16,462,470,462,468,299000,139433000
2015-04-15,466,467,460,462,217000,100388000
2015-04-14,460,467,460,465,262000,121686000
2015-04-13,466,469,463,465,266000,124021000
2015-04-10,468,471,462,468,919000,429587000
2015-04-09,475,475,469,471,205000,96627000
2015-04-08,473,475,469,471,251000,118400000
2015-04-07,462,468,461,466,377000,175105000
2015-04-06,465,467,462,464,152000,70544000
2015-04-03,468,475,467,469,214000,100377000
2015-04-02,462,479,462,474,574000,271351000
2015-04-01,465,468,460,461,697000,322426000
2015-03-31,465,478,465,467,574000,270037000
2015-03-30,464,469,460,468,386000,179569000
2015-03-27,461,477,460,462,500000,232713000
2015-03-26,471,477,470,474,411000,194560000
2015-03-25,482,482,473,478,372000,177865000
2015-03-24,487,487,480,481,377000,181972000
2015-03-23,478,487,478,487,223000,108099000
2015-03-20,481,483,475,481,249000,119389000
2015-03-19,484,489,479,481,459000,221301000
2015-03-18,475,492,471,492,560000,269841000
2015-03-17,487,487,480,480,271000,130426000
2015-03-16,476,486,476,483,456000,220181000
2015-03-13,480,490,478,483,1722000,829055000
2015-03-12,463,475,463,475,245000,115718000
2015-03-11,457,470,457,463,317000,147085000
2015-03-10,473,473,460,461,432000,200934000
2015-03-09,467,473,465,465,308000,143745000
2015-03-06,473,475,469,470,313000,147583000
2015-03-05,472,479,472,472,281000,133210000
2015-03-04,474,481,473,478,226000,107797000
2015-03-03,484,488,481,481,196000,94725000
2015-03-02,486,494,483,486,273000,133001000
2015-02-27,495,497,488,492,256000,125854000
2015-02-26,491,500,491,498,212000,105332000
2015-02-25,495,499,489,491,232000,114381000
2015-02-24,492,498,491,497,317000,157145000
2015-02-23,492,493,487,490,324000,158642000
2015-02-20,490,491,483,488,269000,131304000
2015-02-19,486,495,486,492,364000,179356000
2015-02-18,479,495,479,487,699000,342228000
2015-02-17,473,486,473,477,271000,129746000
2015-02-16,469,480,469,478,408000,194612000
2015-02-13,473,478,467,469,756000,356324000
2015-02-12,475,487,475,479,585000,281263000
2015-02-10,465,469,461,465,424000,196915000
2015-02-09,470,470,457,466,676000,314176000
2015-02-06,429,472,428,470,1790000,819215000
2015-02-05,417,424,412,423,370000,154956000
2015-02-04,411,424,411,424,522000,219635000
2015-02-03,415,415,409,412,374000,153886000
2015-02-02,416,416,408,410,281000,115505000
2015-01-30,415,416,410,416,360000,148839000
2015-01-29,407,414,405,408,369000,150878000
2015-01-28,407,414,407,412,397000,163438000
2015-01-27,404,415,404,413,314000,129123000
2015-01-26,400,407,397,404,251000,101480000
2015-01-23,410,410,405,408,261000,106411000
2015-01-22,394,403,393,403,481000,191966000
2015-01-21,395,397,392,394,361000,142318000
2015-01-20,391,400,388,400,333000,132469000
2015-01-19,393,393,386,391,305000,119154000
2015-01-16,388,390,378,386,882000,338389000
2015-01-15,393,400,392,399,391000,155078000
2015-01-14,394,396,389,391,692000,271534000
2015-01-13,406,406,395,399,549000,218985000
2015-01-09,423,423,413,414,780000,326940000
2015-01-08,416,419,413,418,576000,240252000
