3159-T,東証1部,丸善CHI,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,364,369,360,369,28800,10536700
2015-10-01,367,370,360,368,29600,10861300
2015-09-30,358,370,358,364,30500,11065700
2015-09-29,365,365,352,352,36100,12874000
2015-09-28,357,367,353,367,51400,18603300
2015-09-25,345,352,345,351,35000,12163500
2015-09-24,345,353,344,347,31200,10849600
2015-09-18,350,351,345,345,28900,10021300
2015-09-17,352,353,346,351,30300,10597600
2015-09-16,359,359,349,351,22000,7746700
2015-09-15,358,359,355,355,21700,7734600
2015-09-14,356,358,352,354,38300,13587000
2015-09-11,362,369,360,363,51700,18758500
2015-09-10,359,361,350,356,30400,10874500
2015-09-09,344,359,344,357,39500,13854100
2015-09-08,346,347,338,338,34900,11938800
2015-09-07,351,352,345,346,43000,14967300
2015-09-04,359,359,351,351,33200,11754100
2015-09-03,363,368,357,359,27400,9862700
2015-09-02,361,368,360,360,28400,10295000
2015-09-01,375,375,365,365,43800,16205500
2015-08-31,376,377,371,375,29800,11158900
2015-08-28,373,378,371,375,31200,11681400
2015-08-27,363,372,361,363,34700,12692000
2015-08-26,358,360,352,355,55900,19892800
2015-08-25,346,363,342,351,84900,29641700
2015-08-24,377,379,357,358,72600,26825400
2015-08-21,390,391,380,380,56300,21747400
2015-08-20,391,392,390,391,15400,6020000
2015-08-19,393,395,392,392,33700,13251300
2015-08-18,397,397,390,394,28000,11038600
2015-08-17,396,397,394,395,28800,11380200
2015-08-14,395,396,393,395,19600,7733000
2015-08-13,395,397,393,394,24400,9634900
2015-08-12,393,398,393,397,40100,15902400
2015-08-11,395,398,392,396,76800,30306200
2015-08-10,390,393,389,392,41800,16331800
2015-08-07,389,390,387,390,63000,24477200
2015-08-06,392,393,389,390,68800,26914900
2015-08-05,392,394,392,393,41600,16338900
2015-08-04,395,395,393,395,34300,13519300
2015-08-03,396,396,392,395,69000,27180700
2015-07-31,400,400,395,398,74500,29615500
2015-07-30,396,401,393,396,111100,44027500
2015-07-29,390,400,390,396,519800,204064400
2015-07-28,395,395,390,390,875700,344651500
2015-07-27,402,402,398,398,294500,117987700
2015-07-24,404,405,403,403,155300,62728600
2015-07-23,405,406,403,404,105000,42483300
2015-07-22,402,407,402,405,142000,57318800
2015-07-21,407,410,406,408,150600,61448500
2015-07-17,407,425,402,403,501600,205952300
2015-07-16,399,401,397,401,87700,34999400
2015-07-15,400,402,399,399,51400,20557500
2015-07-14,405,405,397,400,81300,32672000
2015-07-13,400,402,398,401,47000,18801000
2015-07-10,400,400,397,398,47200,18835700
2015-07-09,395,397,386,396,119000,46655700
2015-07-08,409,410,398,398,132100,53314600
2015-07-07,400,404,400,404,73400,29481100
2015-07-06,401,404,400,400,66200,26569600
2015-07-03,404,404,402,402,41900,16894000
2015-07-02,401,404,401,404,40700,16383100
2015-07-01,396,401,396,400,40100,15986400
2015-06-30,395,399,394,397,86500,34256300
2015-06-29,399,402,398,398,103000,41136200
2015-06-26,405,405,403,404,58000,23451300
2015-06-25,406,406,403,406,53800,21784300
2015-06-24,402,408,402,405,72900,29487600
2015-06-23,399,403,397,402,82000,32765000
2015-06-22,394,399,394,397,40100,15898000
2015-06-19,394,396,392,394,34200,13475700
2015-06-18,393,394,391,391,33800,13263000
2015-06-17,394,395,393,393,30700,12087200
2015-06-16,395,395,392,392,70300,27686200
2015-06-15,392,394,391,394,45800,17977500
2015-06-12,390,393,387,391,79700,31073200
2015-06-11,387,389,385,387,32500,12581300
2015-06-10,390,390,386,386,44000,17070500
2015-06-09,386,390,385,385,94700,36631200
2015-06-08,385,385,381,385,66000,25342800
2015-06-05,380,382,378,381,44600,16960900
2015-06-04,378,383,378,378,39600,15019000
2015-06-03,377,380,377,378,28300,10701000
2015-06-02,380,381,378,378,41900,15891900
2015-06-01,379,382,378,380,42400,16080800
2015-05-29,377,380,377,378,37400,14143700
2015-05-28,379,381,377,379,44400,16819700
2015-05-27,381,382,376,377,49500,18774600
2015-05-26,378,385,377,381,110700,42096300
2015-05-25,375,375,373,373,37800,14138700
2015-05-22,373,374,372,372,33600,12520100
2015-05-21,374,374,372,373,25200,9407700
2015-05-20,373,374,372,374,35300,13163800
2015-05-19,374,374,371,373,51700,19263000
2015-05-18,372,374,372,373,26500,9869700
2015-05-15,372,373,371,371,20900,7769000
2015-05-14,373,374,371,371,26100,9722300
2015-05-13,373,374,372,373,19200,7161300
2015-05-12,374,374,372,373,30400,11341700
2015-05-11,377,377,374,374,46400,17432900
2015-05-08,374,374,372,373,28200,10511900
2015-05-07,374,374,372,372,27600,10302700
2015-05-01,373,373,371,372,24900,9271700
2015-04-30,371,372,370,372,19700,7317200
2015-04-28,371,372,371,371,26900,9988400
2015-04-27,371,373,371,371,27600,10249800
2015-04-24,371,373,371,371,22500,8360100
2015-04-23,371,373,371,371,21700,8065300
2015-04-22,374,374,371,372,16900,6307600
2015-04-21,371,372,370,371,19700,7314600
2015-04-20,372,372,371,371,24100,8953800
2015-04-17,372,375,371,372,23500,8747700
2015-04-16,375,376,371,373,34600,12919400
2015-04-15,377,378,376,376,20600,7768600
2015-04-14,378,378,376,378,9600,3623500
2015-04-13,378,378,376,377,18000,6787400
2015-04-10,376,377,374,376,34400,12927700
2015-04-09,373,375,373,375,22800,8521100
2015-04-08,374,376,373,375,25400,9516400
2015-04-07,374,374,371,373,19800,7382200
2015-04-06,372,374,370,373,20200,7511800
2015-04-03,374,374,367,370,34300,12701300
2015-04-02,369,374,369,371,24900,9235900
2015-04-01,371,372,368,369,18100,6693000
2015-03-31,375,375,370,372,18700,6972500
2015-03-30,374,375,368,373,25500,9498000
2015-03-27,371,375,370,371,22600,8396400
2015-03-26,376,376,372,373,32300,12084400
2015-03-25,375,375,372,375,21200,7926600
2015-03-24,375,376,372,375,12600,4710600
2015-03-23,376,377,374,376,16900,6344700
2015-03-20,377,377,374,375,10600,3981200
2015-03-19,372,378,372,375,12600,4735000
2015-03-18,375,376,372,376,11600,4347100
2015-03-17,373,376,370,374,24200,9027500
2015-03-16,378,378,370,376,36900,13821900
2015-03-13,379,380,376,378,55200,20905500
2015-03-12,378,379,376,379,43900,16594800
2015-03-11,374,379,373,374,19000,7122200
2015-03-10,379,380,375,375,32800,12376000
2015-03-09,376,378,375,378,14000,5274100
2015-03-06,379,379,376,377,19400,7318200
2015-03-05,376,378,375,378,22400,8451800
2015-03-04,373,376,373,375,10800,4045500
2015-03-03,374,376,372,373,11600,4339400
2015-03-02,374,376,368,372,26600,9933900
2015-02-27,366,375,365,373,23700,8745300
2015-02-26,370,374,370,372,25800,9598800
2015-02-25,374,374,372,374,12300,4591900
2015-02-24,375,375,370,374,14000,5228700
2015-02-23,377,377,366,375,30400,11342300
2015-02-20,370,374,369,372,20300,7541700
2015-02-19,370,373,369,373,30100,11180600
2015-02-18,370,370,367,369,21900,8089600
2015-02-17,370,370,366,368,20900,7697600
2015-02-16,370,370,366,367,40200,14816600
2015-02-13,366,367,364,366,24500,8958200
2015-02-12,360,365,358,363,38000,13794500
2015-02-10,357,359,355,359,14200,5079900
2015-02-09,358,359,355,359,15200,5437500
2015-02-06,357,357,354,355,12500,4443200
2015-02-05,356,358,352,353,21900,7740400
2015-02-04,350,364,350,359,48600,17480100
2015-02-03,352,352,349,350,15400,5396700
2015-02-02,355,355,351,352,14700,5187400
2015-01-30,355,357,353,357,15800,5614000
2015-01-29,356,358,354,355,17600,6267700
2015-01-28,357,357,354,357,29300,10436000
2015-01-27,359,359,352,357,30600,10872700
2015-01-26,355,358,352,358,33100,11771800
2015-01-23,359,359,354,357,27200,9720300
2015-01-22,353,354,350,354,22500,7916100
2015-01-21,353,353,351,351,12400,4359600
2015-01-20,353,353,350,353,13900,4900600
2015-01-19,355,355,348,350,18600,6538000
2015-01-16,348,350,346,347,19200,6670700
2015-01-15,352,352,347,351,16600,5808300
2015-01-14,349,351,348,348,16900,5904300
2015-01-13,351,351,349,350,25500,8932400
2015-01-09,353,353,346,350,31800,11117800
2015-01-08,350,357,350,352,19100,6719800
2015-01-07,350,353,348,350,17500,6130700
2015-01-06,358,358,351,352,30800,10912000
2015-01-05,364,364,358,359,23800,8570100
2014-12-30,365,365,362,363,17500,6362200
2014-12-29,365,366,358,363,42300,15309800
2014-12-26,358,362,356,360,49400,17730300
2014-12-25,367,376,353,357,155300,56278300
2014-12-24,355,356,350,351,39900,14063000
2014-12-22,352,359,350,352,53200,18781400
2014-12-19,345,350,342,348,59100,20479700
2014-12-18,345,345,342,343,23800,8167000
2014-12-17,340,343,340,341,26100,8902100
2014-12-16,345,346,340,342,33800,11569400
2014-12-15,354,354,346,346,35900,12592500
2014-12-12,353,357,353,354,56300,19961300
2014-12-11,355,355,350,353,41700,14683000
2014-12-10,357,358,354,356,40300,14363700
2014-12-09,362,364,354,357,60300,21652900
2014-12-08,372,372,362,363,33100,12088400
2014-12-05,377,377,368,368,27100,10039500
2014-12-04,380,380,366,374,62500,23337500
2014-12-03,368,379,363,375,98500,36495900
2014-12-02,365,367,363,367,70800,25853200
2014-12-01,364,365,359,364,71100,25780100
2014-11-28,358,359,354,359,21400,7616500
2014-11-27,363,363,355,357,25200,9033200
2014-11-26,362,363,360,361,22000,7957900
2014-11-25,368,368,363,364,22100,8068600
2014-11-21,369,369,363,364,56500,20633200
2014-11-20,368,370,366,366,14300,5257900
2014-11-19,370,372,367,368,32100,11844900
2014-11-18,366,370,366,369,22100,8134600
2014-11-17,372,380,366,366,30500,11283500
2014-11-14,377,377,370,372,26200,9810900
2014-11-13,367,375,367,372,21300,7898600
2014-11-12,375,380,370,370,34800,13024700
2014-11-11,371,372,364,372,50700,18638000
2014-11-10,374,375,367,369,27300,10149100
2014-11-07,373,375,371,374,28000,10444400
2014-11-06,387,387,362,375,85400,32014700
2014-11-05,383,387,372,384,59700,22826200
2014-11-04,388,389,367,380,89700,34066500
2014-10-31,379,385,378,385,96300,36805600
2014-10-30,376,379,373,379,207800,78482500
2014-10-29,372,379,369,376,112300,42239000
2014-10-28,356,375,356,375,83500,30862200
2014-10-27,372,372,358,359,27200,9905700
2014-10-24,372,372,363,364,37400,13752000
2014-10-23,359,378,354,378,37500,13641900
2014-10-22,357,359,348,359,21600,7641400
2014-10-21,352,355,347,349,24900,8719000
2014-10-20,344,352,343,351,30700,10656300
2014-10-17,343,349,339,339,69000,23596800
2014-10-16,344,346,340,342,43700,14981700
2014-10-15,348,350,345,348,25800,8964800
2014-10-14,349,354,346,350,55600,19523100
2014-10-10,336,355,335,350,334100,114724000
2014-10-09,391,392,368,372,412500,156542100
2014-10-08,380,398,374,391,527100,205255000
2014-10-07,374,387,371,377,137100,51782100
2014-10-06,371,373,368,373,57200,21240900
2014-10-03,355,364,355,361,20200,7263200
2014-10-02,361,365,356,357,36200,13050900
2014-10-01,370,370,365,366,51700,18983200
2014-09-30,370,371,368,370,99400,36708500
2014-09-29,359,373,354,366,230900,83891900
2014-09-26,340,349,340,349,51800,17750400
2014-09-25,353,354,349,354,33500,11800000
