3201-T,東証1部,ニッケ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,1003,1003,991,997,170000,169371000
2015-10-01,1012,1017,1004,1011,197000,198978000
2015-09-30,982,1010,982,1006,200000,201011000
2015-09-29,1007,1007,978,978,167000,165300000
2015-09-28,985,1009,980,1007,152000,151747000
2015-09-25,975,985,969,985,148000,144388000
2015-09-24,1001,1006,974,975,222000,219952000
2015-09-18,994,1014,985,1014,322000,323310000
2015-09-17,1010,1014,990,994,170000,170360000
2015-09-16,1011,1019,1004,1008,182000,183755000
2015-09-15,1013,1021,1005,1011,207000,209696000
2015-09-14,1020,1032,1013,1013,206000,210748000
2015-09-11,996,1023,996,1020,258000,259697000
2015-09-10,1025,1025,1010,1019,133000,135649000
2015-09-09,1001,1032,1001,1030,164000,167390000
2015-09-08,1010,1014,993,993,94000,94325000
2015-09-07,1008,1018,1001,1010,89000,89993000
2015-09-04,1020,1024,1001,1008,182000,184439000
2015-09-03,1018,1028,1015,1017,271000,277320000
2015-09-02,985,1030,974,1013,425000,429618000
2015-09-01,1018,1027,985,985,458000,463840000
2015-08-31,1003,1021,997,1018,369000,373322000
2015-08-28,1000,1007,972,1000,391000,388531000
2015-08-27,943,991,943,985,319000,310647000
2015-08-26,916,932,900,928,368000,337741000
2015-08-25,940,956,920,920,290000,270423000
2015-08-24,995,999,964,964,450000,443060000
2015-08-21,971,989,965,974,328000,320469000
2015-08-20,1013,1020,987,992,124000,124421000
2015-08-19,1035,1036,1014,1015,97000,99030000
2015-08-18,1020,1042,1019,1039,136000,139879000
2015-08-17,1014,1018,1010,1016,69000,69968000
2015-08-14,1005,1016,1005,1014,62000,62612000
2015-08-13,1005,1020,1001,1008,93000,93532000
2015-08-12,1021,1027,1005,1012,73000,74190000
2015-08-11,1010,1025,1010,1021,77000,78453000
2015-08-10,1003,1009,1003,1009,50000,50309000
2015-08-07,1014,1014,999,1003,54000,54282000
2015-08-06,1006,1020,1006,1018,137000,139231000
2015-08-05,1004,1015,1000,1006,156000,156760000
2015-08-04,998,1007,993,1002,194000,194082000
2015-08-03,980,989,974,986,83000,81577000
2015-07-31,964,982,958,977,111000,107825000
2015-07-30,950,964,950,961,95000,91077000
2015-07-29,952,955,950,954,45000,42875000
2015-07-28,954,962,950,956,99000,94767000
2015-07-27,956,961,948,954,96000,91688000
2015-07-24,960,968,957,964,68000,65390000
2015-07-23,941,959,939,959,187000,178002000
2015-07-22,946,955,938,940,203000,191939000
2015-07-21,946,958,935,953,219000,207531000
2015-07-17,934,940,923,937,138000,128888000
2015-07-16,947,947,923,931,80000,74587000
2015-07-15,925,951,925,947,140000,132125000
2015-07-14,933,933,917,925,67000,61928000
2015-07-13,924,950,909,918,139000,127978000
2015-07-10,913,919,901,905,87000,79092000
2015-07-09,900,914,876,906,183000,164087000
2015-07-08,940,952,913,914,124000,115207000
2015-07-07,960,963,942,955,191000,182436000
2015-07-06,927,930,922,922,68000,62909000
2015-07-03,951,953,936,938,54000,51019000
2015-07-02,954,965,954,958,110000,105403000
2015-07-01,949,950,938,946,79000,74712000
2015-06-30,930,945,924,943,239000,223571000
2015-06-29,936,948,922,924,202000,187768000
2015-06-26,949,949,930,938,147000,137853000
2015-06-25,950,950,940,945,125000,118393000
2015-06-24,939,963,936,951,411000,392176000
2015-06-23,940,940,923,930,163000,151678000
2015-06-22,922,940,913,919,135000,124569000
2015-06-19,925,930,918,922,136000,125598000
2015-06-18,925,927,918,923,102000,94226000
2015-06-17,925,929,919,925,177000,163665000
2015-06-16,928,930,920,924,97000,89744000
