3204-T,東証1部,トーア紡,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,615,618,606,615,19700,12073100
2015-10-01,618,623,610,616,18700,11540000
2015-09-30,614,616,610,614,12800,7854200
2015-09-29,615,623,602,602,17700,10804300
2015-09-28,628,628,615,624,39000,24328100
2015-09-25,593,603,593,600,14600,8718500
2015-09-24,600,606,594,594,18100,10854600
2015-09-18,617,617,603,603,19700,11982000
2015-09-17,618,621,614,617,18300,11293300
2015-09-16,613,616,611,615,5500,3379900
2015-09-15,616,620,609,609,23500,14429800
2015-09-14,612,619,608,608,15400,9454300
2015-09-11,601,615,601,612,46500,28275200
2015-09-10,600,604,595,601,25400,15250600
2015-09-09,586,600,584,600,26500,15703900
2015-09-08,587,588,578,578,12300,7163200
2015-09-07,584,590,579,585,30800,17940200
2015-09-04,591,594,585,587,29600,17443900
2015-09-03,596,605,590,590,13900,8281600
2015-09-02,588,597,585,593,28800,16999500
2015-09-01,610,613,595,595,26800,16226800
2015-08-31,615,615,604,610,20500,12472600
2015-08-28,603,613,603,611,47700,28895900
2015-08-27,599,609,590,593,36900,22041900
2015-08-26,590,597,578,589,104500,61100100
2015-08-25,592,617,581,590,52800,31548700
2015-08-24,645,650,616,617,68100,43181400
2015-08-21,671,671,663,663,29100,19430300
2015-08-20,683,685,677,677,11900,8087300
2015-08-19,685,695,685,686,22100,15196000
2015-08-18,692,696,689,691,25600,17718200
2015-08-17,674,692,674,688,29800,20349700
2015-08-14,672,676,671,674,9100,6126400
2015-08-13,674,676,670,672,17900,12029100
2015-08-12,683,686,676,677,24000,16305900
2015-08-11,684,697,682,687,35600,24507600
2015-08-10,667,683,667,680,53300,36074400
2015-08-07,676,677,664,669,46200,30952600
2015-08-06,665,670,665,669,25500,17033500
2015-08-05,660,664,656,662,46200,30514800
2015-08-04,668,668,658,660,30400,20102900
2015-08-03,668,669,665,669,16200,10806400
2015-07-31,665,673,665,669,32600,21831700
2015-07-30,662,672,662,664,45800,30474700
2015-07-29,673,673,664,666,22300,14863500
2015-07-28,670,675,660,674,43500,29048400
2015-07-27,681,681,670,672,25700,17327500
2015-07-24,688,689,681,683,24500,16764100
2015-07-23,693,693,687,690,16700,11516400
2015-07-22,693,695,691,693,25600,17723800
2015-07-21,697,699,688,694,38500,26683600
2015-07-17,700,700,697,699,15500,10829900
2015-07-16,706,706,696,699,28400,19867200
2015-07-15,705,708,700,702,46000,32389100
2015-07-14,706,706,691,698,57500,40263200
2015-07-13,675,689,665,681,32900,22288600
2015-07-10,662,669,662,664,46200,30778700
2015-07-09,672,687,649,669,99700,65958200
2015-07-08,700,700,669,679,103100,70665500
2015-07-07,698,702,698,700,26400,18490700
2015-07-06,702,703,696,697,100100,70108600
2015-07-03,710,711,705,707,67600,47832900
2015-07-02,714,714,710,712,44000,31326300
2015-07-01,713,713,708,712,41900,29788600
2015-06-30,714,720,707,711,104300,74252900
2015-06-29,723,723,707,714,202000,144494700
2015-06-26,735,746,712,731,268800,195489000
