3232-T,東証1部,三交GHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,427,437,425,437,36700,15806900
2015-10-01,422,430,418,427,53300,22698000
2015-09-30,420,424,417,421,26200,11035200
2015-09-29,421,423,416,417,59500,24913500
2015-09-28,435,435,427,428,193100,83710900
2015-09-25,438,441,431,436,357100,156150800
2015-09-24,439,446,436,441,311000,136716400
2015-09-18,430,442,429,442,102700,44733400
2015-09-17,425,432,424,432,113600,48430200
2015-09-16,426,428,421,424,54000,22967600
2015-09-15,422,426,421,425,25300,10725900
2015-09-14,422,426,420,420,18800,7936300
2015-09-11,412,423,412,419,77300,31983400
2015-09-10,415,425,410,416,75000,31217700
2015-09-09,420,430,412,426,69500,29305000
2015-09-08,425,426,400,400,89000,36830800
2015-09-07,430,432,421,430,30800,13129200
2015-09-04,442,442,422,430,44700,19247600
2015-09-03,441,441,436,436,37000,16225700
2015-09-02,435,447,433,437,40700,17873700
2015-09-01,452,455,442,443,53500,24034200
2015-08-31,454,456,451,455,23200,10527400
2015-08-28,452,456,445,450,37900,17063100
2015-08-27,444,448,440,440,62500,27736700
2015-08-26,421,435,420,431,83700,35653200
2015-08-25,417,445,416,420,130200,55528400
2015-08-24,436,449,432,432,133200,58197800
2015-08-21,455,455,450,451,67300,30480100
2015-08-20,470,470,463,464,49600,23204700
2015-08-19,473,478,472,473,30500,14463700
2015-08-18,475,478,472,476,31500,14960300
2015-08-17,475,478,472,472,50400,23876500
2015-08-14,477,482,473,474,36600,17411600
2015-08-13,479,481,471,477,54100,25725300
2015-08-12,481,485,480,482,31000,14975800
2015-08-11,483,485,478,481,35500,17097500
2015-08-10,475,485,475,483,83900,40534000
2015-08-07,482,482,471,477,54300,25944800
2015-08-06,483,484,479,482,46500,22413900
2015-08-05,480,483,478,479,25300,12160600
2015-08-04,478,482,478,482,15900,7640800
2015-08-03,480,482,478,482,22200,10655300
2015-07-31,475,479,472,479,23200,11062700
2015-07-30,477,478,471,475,37800,17964800
2015-07-29,475,477,474,477,20800,9890900
2015-07-28,473,480,470,475,47100,22253300
2015-07-27,484,484,474,475,65700,31553300
2015-07-24,477,479,476,476,41200,19642900
2015-07-23,471,476,471,476,19800,9375300
2015-07-22,475,477,469,470,58400,27509900
2015-07-21,471,477,471,477,31000,14696000
2015-07-17,475,475,470,471,33700,15887100
2015-07-16,472,473,469,473,40600,19153200
2015-07-15,472,475,466,471,48100,22626500
2015-07-14,470,476,467,472,82100,38712200
2015-07-13,457,466,456,462,42300,19433900
2015-07-10,455,462,451,455,55200,25149400
2015-07-09,451,457,441,455,120700,54313500
2015-07-08,470,471,462,462,74400,34613600
2015-07-07,475,475,465,470,50900,23948400
2015-07-06,472,475,467,468,78500,36902400
2015-07-03,479,479,474,475,50100,23849900
2015-07-02,485,485,478,478,95900,46257500
2015-07-01,471,477,470,473,68900,32555300
2015-06-30,469,480,469,478,95800,45436800
2015-06-29,465,473,465,469,121500,56923700
2015-06-26,479,480,474,476,125400,59757900
2015-06-25,481,485,479,479,60600,29187100
2015-06-24,486,486,478,481,95800,46230900
2015-06-23,478,490,473,485,319600,154271200
2015-06-22,484,484,476,480,106700,51274500
2015-06-19,472,482,472,480,130400,62135200
2015-06-18,469,476,469,471,74600,35241700
2015-06-17,474,476,465,471,113600,53468300
2015-06-16,460,485,459,476,316700,150049300
2015-06-15,460,465,458,461,140300,64537500
2015-06-12,467,470,456,461,413000,190851600
2015-06-11,472,477,465,468,371900,174805400
2015-06-10,477,493,475,476,750300,361012100
2015-06-09,490,498,478,483,3107800,1514601800
2015-06-08,518,518,518,518,412500,213675000
2015-06-05,445,446,438,438,66300,29245200
2015-06-04,444,447,443,445,36400,16189600
2015-06-03,441,444,440,444,22900,10111000
2015-06-02,445,447,444,444,25600,11394000
2015-06-01,448,450,445,446,45300,20289900
2015-05-29,444,449,444,448,59800,26721600
2015-05-28,438,450,438,450,111600,49680200
2015-05-27,445,446,439,441,73900,32780400
2015-05-26,438,441,438,438,20800,9120600
2015-05-25,438,441,436,437,68700,30111700
2015-05-22,446,450,437,447,68600,30272300
2015-05-21,452,453,448,448,16000,7200900
2015-05-20,450,454,449,450,31900,14376400
2015-05-19,454,455,447,450,54700,24647500
2015-05-18,446,455,444,455,87700,39397900
2015-05-15,441,446,439,444,30200,13357800
2015-05-14,450,452,438,439,71800,31800900
2015-05-13,455,457,444,457,94900,43018400
2015-05-12,430,453,426,452,183500,79613200
2015-05-11,441,453,440,450,94400,41942400
2015-05-08,450,450,433,443,184600,81157800
2015-05-07,455,459,442,447,84300,37925400
2015-05-01,466,468,444,463,254800,116081900
2015-04-30,479,485,465,474,587000,280858400
2015-04-28,471,482,452,482,827900,384261700
2015-04-27,479,487,460,479,183600,87616100
2015-04-24,495,497,465,485,233200,113494000
2015-04-23,494,500,486,495,214300,106535800
2015-04-22,482,497,482,495,232200,113765700
2015-04-21,457,484,433,484,271700,126725500
2015-04-20,463,469,458,465,123300,57189300
2015-04-17,481,492,466,472,283800,136319700
2015-04-16,464,489,462,485,584100,276102800
2015-04-15,450,467,450,462,539100,247623600
2015-04-14,438,455,437,452,724300,324301900
2015-04-13,435,440,433,440,333400,145650800
2015-04-10,434,435,428,432,147700,63684600
2015-04-09,432,434,422,431,189000,81361400
2015-04-08,428,434,427,429,272500,117449400
2015-04-07,422,426,419,425,86400,36562100
2015-04-06,423,425,416,418,106100,44671100
2015-04-03,423,423,416,418,107100,44947700
2015-04-02,424,426,420,423,91600,38750500
2015-04-01,425,428,417,427,91800,38845800
2015-03-31,433,435,423,431,91400,39304500
2015-03-30,431,446,427,429,146000,63467800
2015-03-27,414,430,410,423,153900,64461700
2015-03-26,414,415,412,412,114400,47308400
2015-03-25,410,414,409,414,86100,35413100
2015-03-24,411,414,406,409,86200,35280000
2015-03-23,415,415,404,414,95500,39344200
2015-03-20,425,425,396,415,338900,139061800
2015-03-19,450,450,420,429,223400,97454300
