3245-T,東証1部,ディア･ライフ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,480,490,465,475,113600,54306600
2015-10-01,486,494,470,482,216800,104653800
2015-09-30,503,520,473,478,639100,314047700
2015-09-29,479,505,470,495,836000,405953600
2015-09-28,480,499,450,480,407800,195651800
2015-09-25,1890,1946,1890,1945,173400,331667200
2015-09-24,1869,1948,1869,1898,81700,154889300
2015-09-18,1821,1870,1821,1841,44300,82092100
2015-09-17,1859,1859,1817,1828,26900,49366400
2015-09-16,1850,1886,1810,1830,33400,61410900
2015-09-15,1872,1890,1822,1828,39500,73221400
2015-09-14,1862,1926,1850,1890,100100,189527300
2015-09-11,1765,1859,1750,1822,56100,101910000
2015-09-10,1700,1747,1690,1745,29200,50067700
2015-09-09,1685,1750,1671,1740,75800,129647900
2015-09-08,1639,1675,1600,1625,54000,87834500
2015-09-07,1628,1653,1561,1635,40300,64772900
2015-09-04,1693,1730,1578,1668,72100,119527000
2015-09-03,1830,1830,1696,1704,46800,81949900
2015-09-02,1651,1832,1651,1737,89500,154529100
2015-09-01,1932,1939,1762,1762,118400,218658800
2015-08-31,1862,1946,1821,1930,142500,268865400
2015-08-28,1762,1863,1762,1808,326900,585535200
2015-08-27,1742,1832,1721,1723,78300,138486400
2015-08-26,1648,1800,1648,1781,69900,121535300
2015-08-25,1559,1797,1300,1635,313200,486435800
2015-08-24,1900,1925,1602,1660,245000,435843400
2015-08-21,1976,2017,1941,1973,101400,200082400
2015-08-20,2039,2079,2025,2035,96900,198834300
2015-08-19,2050,2081,2030,2040,250400,512703400
2015-08-18,2090,2188,2042,2059,175200,363663800
2015-08-17,2100,2179,2083,2088,99400,210783300
2015-08-14,2237,2250,2137,2170,152300,333720800
2015-08-13,2455,2483,2261,2271,151100,355587200
2015-08-12,2466,2594,2440,2490,386900,967812100
2015-08-11,2420,2428,2322,2367,20800,49023600
2015-08-10,2320,2403,2310,2385,17900,42332100
2015-08-07,2325,2349,2240,2349,20500,46904100
2015-08-06,2325,2388,2301,2316,15600,36322200
2015-08-05,2350,2398,2234,2368,17900,41835500
2015-08-04,2454,2559,2359,2385,77900,191375100
2015-08-03,2409,2429,2286,2404,67000,160208000
2015-07-31,2150,2160,2100,2160,18600,39642900
2015-07-30,2232,2239,2116,2141,37400,80515800
2015-07-29,2279,2305,2235,2245,28500,64857500
2015-07-28,2150,2284,2123,2231,22300,49210800
2015-07-27,2203,2261,2180,2183,20800,45996600
2015-07-24,2139,2315,2127,2289,45100,99369300
2015-07-23,2186,2357,2127,2339,61900,137666600
2015-07-22,2265,2269,2178,2186,38500,85320000
2015-07-21,2405,2420,2216,2306,53000,122560900
2015-07-17,2540,2540,2414,2441,31100,76445000
2015-07-16,2500,2562,2494,2540,15200,38436300
2015-07-15,2580,2643,2431,2488,36800,92333200
2015-07-14,2780,2797,2520,2578,59200,157105700
2015-07-13,2537,2700,2490,2661,44400,116482300
2015-07-10,2740,2763,2382,2487,87900,227627100
2015-07-09,2208,2450,2108,2440,126000,286692400
2015-07-08,2920,2920,2530,2608,64600,174124500
2015-07-07,2800,2931,2800,2885,29500,85059700
2015-07-06,2937,2937,2800,2830,40100,114083500
2015-07-03,2932,3000,2706,2984,50800,146502600
2015-07-02,2885,2980,2848,2901,74300,216374500
