3280-T,東証1部,エストラスト,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,512,527,512,522,12300,6435500
2015-10-01,519,519,511,512,3700,1910400
2015-09-30,503,517,500,517,5900,2975600
2015-09-29,523,523,500,500,12900,6526700
2015-09-28,514,525,514,515,12400,6416000
2015-09-25,511,515,508,515,5400,2760100
2015-09-24,517,517,511,513,4300,2212600
2015-09-18,516,518,512,517,7800,4020600
2015-09-17,527,527,515,520,8200,4262200
2015-09-16,527,530,511,520,16400,8583000
2015-09-15,534,535,526,527,5100,2705500
2015-09-14,531,536,524,525,6700,3548700
2015-09-11,531,531,512,522,10700,5637100
2015-09-10,529,529,495,521,31700,16164900
2015-09-09,510,535,510,535,11900,6226700
2015-09-08,516,517,503,506,10700,5446500
2015-09-07,513,517,507,514,9000,4602300
2015-09-04,530,530,508,523,16000,8279700
2015-09-03,531,541,520,530,34600,18347900
2015-09-02,521,542,521,535,16200,8569000
2015-09-01,552,555,535,545,12200,6666000
2015-08-31,558,563,548,556,14500,8043300
2015-08-28,551,597,551,573,13700,7854500
2015-08-27,550,560,550,551,8100,4493000
2015-08-26,540,571,522,549,25200,13649900
2015-08-25,510,564,507,528,50800,26873200
2015-08-24,604,605,550,566,50100,28695200
2015-08-21,608,615,604,614,29300,17825900
2015-08-20,620,623,617,617,5500,3404200
2015-08-19,622,627,618,626,9600,5969400
2015-08-18,628,628,620,622,3700,2305000
2015-08-17,635,635,619,623,19800,12452600
2015-08-14,621,628,614,621,21300,13217300
2015-08-13,617,633,617,626,20700,12944800
2015-08-12,625,629,621,624,9500,5931500
2015-08-11,628,634,624,628,6600,4149500
2015-08-10,640,640,621,628,21400,13394700
2015-08-07,632,639,630,639,8800,5576900
2015-08-06,646,646,632,633,8900,5719000
2015-08-05,641,648,639,646,10300,6636900
2015-08-04,639,640,627,640,8400,5359100
2015-08-03,639,640,625,638,6600,4193700
2015-07-31,622,643,622,635,9800,6193200
2015-07-30,637,643,627,632,18600,11851700
2015-07-29,637,643,632,639,8300,5275200
2015-07-28,641,645,634,637,7000,4475600
2015-07-27,650,650,642,642,8300,5361200
2015-07-24,630,647,628,640,12600,8052800
2015-07-23,642,642,608,633,17700,11010900
2015-07-22,642,645,623,641,21100,13479700
2015-07-21,650,650,626,642,16500,10527100
2015-07-17,650,650,642,649,4400,2850700
2015-07-16,651,652,646,652,7500,4871000
2015-07-15,652,653,646,651,13400,8701000
2015-07-14,642,656,642,650,46600,30296300
2015-07-13,633,648,631,641,35500,22761000
2015-07-10,639,644,630,639,47000,29971200
2015-07-09,602,624,590,617,30400,18354700
2015-07-08,630,640,615,615,24400,15270100
2015-07-07,630,640,623,629,21500,13623000
2015-07-06,625,640,616,620,22700,14240900
2015-07-03,628,632,626,626,2800,1758600
2015-07-02,624,631,624,628,21700,13634400
2015-07-01,618,636,602,628,24300,15076100
2015-06-30,617,621,611,621,16600,10233100
2015-06-29,617,620,614,615,32200,19852600
2015-06-26,629,629,625,627,6400,4011900
2015-06-25,627,629,624,627,8400,5262500
2015-06-24,628,630,623,626,12600,7900000
2015-06-23,625,629,623,629,13900,8691400
2015-06-22,629,630,624,626,8000,5012100
2015-06-19,625,628,625,625,6700,4196300
2015-06-18,629,629,625,625,9400,5895300
2015-06-17,633,635,628,628,10700,6761800
2015-06-16,633,635,629,631,11800,7459600
2015-06-15,634,634,630,633,12700,8032500
2015-06-12,626,638,626,633,35200,22223800
2015-06-11,625,628,624,626,10400,6510000
2015-06-10,623,625,621,624,14300,8902100
2015-06-09,628,632,624,624,16200,10171500
2015-06-08,626,631,626,630,14000,8801900
2015-06-05,630,630,621,625,11000,6880200
2015-06-04,630,633,624,626,12000,7541000
2015-06-03,630,633,629,630,11000,6931700
2015-06-02,632,635,631,631,16200,10245000
2015-06-01,630,635,628,632,25100,15829900
2015-05-29,619,630,619,627,51000,31981300
2015-05-28,617,621,616,619,15300,9444600
2015-05-27,617,618,616,616,10800,6662600
2015-05-26,621,621,616,617,16600,10266100
2015-05-25,620,625,620,622,8500,5286400
2015-05-22,622,623,620,621,5700,3542200
2015-05-21,626,626,620,622,10000,6217100
2015-05-20,617,627,616,623,21600,13422000
2015-05-19,621,624,621,622,11700,7280800
2015-05-18,620,620,618,619,6100,3776100
2015-05-15,615,618,614,616,11300,6957000
2015-05-14,622,625,613,616,34100,21073800
2015-05-13,617,622,616,618,13400,8285200
2015-05-12,622,622,617,620,8200,5077700
2015-05-11,621,622,616,617,14100,8718300
2015-05-08,614,621,613,617,22000,13578000
2015-05-07,619,622,615,618,15500,9586500
2015-05-01,622,624,619,619,29600,18376300
2015-04-30,631,631,622,622,39300,24567500
2015-04-28,629,630,626,629,52100,32737400
2015-04-27,627,629,626,626,15600,9781400
2015-04-24,626,627,624,625,23500,14697400
2015-04-23,629,629,626,627,12900,8089500
2015-04-22,630,630,627,629,18900,11876500
2015-04-21,631,631,626,628,18100,11373600
2015-04-20,632,634,630,630,29900,18878600
2015-04-17,634,640,631,633,25800,16392900
2015-04-16,632,638,632,635,24900,15798100
2015-04-15,638,639,630,632,52300,33100300
2015-04-14,640,640,635,636,29500,18786600
2015-04-13,646,648,633,635,84000,53756500
2015-04-10,644,655,624,643,437900,280111700
2015-04-09,705,709,698,709,56200,39530500
2015-04-08,694,704,690,701,48200,33576700
2015-04-07,676,686,676,686,15400,10496400
2015-04-06,670,676,666,675,9100,6104700
2015-04-03,671,671,666,668,4400,2940400
2015-04-02,659,677,659,668,14700,9811600
2015-04-01,667,669,651,659,37400,24515400
2015-03-31,667,682,667,671,5600,3777500
2015-03-30,666,686,650,670,16400,10934900
2015-03-27,681,695,660,674,24800,16741400
2015-03-26,686,689,680,684,13400,9158000
2015-03-25,685,689,677,689,15400,10525700
2015-03-24,684,688,680,688,8600,5895600
2015-03-23,687,687,677,683,8100,5531900
2015-03-20,680,685,670,684,10700,7270100
2015-03-19,689,689,668,677,13400,9064800
2015-03-18,673,686,670,686,14300,9682100
2015-03-17,675,680,671,678,8300,5606600
2015-03-16,675,677,664,677,13100,8807000
2015-03-13,670,678,670,673,11500,7728400
2015-03-12,661,674,661,668,8200,5471400
2015-03-11,660,674,658,667,9700,6455900
2015-03-10,686,686,661,664,5300,3534100
2015-03-09,672,679,661,666,5200,3494500
2015-03-06,673,673,661,673,11800,7876300
2015-03-05,660,688,660,668,8600,5756000
2015-03-04,671,678,650,674,21600,14331600
2015-03-03,677,683,671,677,5600,3778300
2015-03-02,685,688,674,684,6600,4492000
2015-02-27,689,689,668,685,19000,12871200
2015-02-26,686,696,685,689,15500,10681700
2015-02-25,690,698,671,691,46100,31527700
2015-02-24,687,693,681,684,19400,13352100
2015-02-23,690,693,676,681,29000,19977600
2015-02-20,693,700,678,693,37600,25874100
2015-02-19,704,707,700,703,32100,22565300
2015-02-18,697,715,692,708,102800,72595300
2015-02-17,690,698,684,697,90300,62582200
2015-02-16,660,690,660,686,36300,24730900
2015-02-13,657,670,657,665,22900,15158900
2015-02-12,657,670,657,664,32700,21696600
2015-02-10,647,660,646,659,25600,16719000
2015-02-09,660,660,650,654,11100,7283200
2015-02-06,650,650,643,650,14000,9062100
2015-02-05,641,650,630,649,31200,19928600
2015-02-04,642,648,635,645,22200,14283000
2015-02-03,645,647,635,635,22000,14130800
2015-02-02,648,650,644,645,13900,8984000
2015-01-30,652,658,649,653,11700,7646000
2015-01-29,660,660,648,651,48900,31843000
2015-01-28,655,665,652,662,12200,8025800
2015-01-27,657,663,657,661,7000,4618600
2015-01-26,667,667,654,659,8400,5542500
2015-01-23,662,662,652,654,13000,8518200
2015-01-22,660,661,657,657,5400,3561500
2015-01-21,680,680,658,661,15800,10487500
2015-01-20,670,680,665,670,7900,5290100
2015-01-19,662,669,661,664,9700,6426900
2015-01-16,681,683,661,666,13200,8801300
2015-01-15,675,681,675,680,11400,7727700
2015-01-14,689,689,675,680,9300,6329900
2015-01-13,695,695,670,682,36500,24840000
2015-01-09,671,673,659,668,16500,11024900
2015-01-08,667,676,667,667,9000,6025500
2015-01-07,661,670,661,666,7700,5134100
2015-01-06,666,675,665,668,14400,9619500
2015-01-05,666,682,666,675,10400,7008100
2014-12-30,680,680,663,663,9900,6681200
2014-12-29,665,689,660,680,19500,13028000
2014-12-26,655,659,655,659,9700,6376400
2014-12-25,654,660,654,655,25100,16494700
2014-12-24,669,669,655,663,15900,10533600
2014-12-22,653,658,652,657,20200,13240500
2014-12-19,665,668,657,661,18500,12260200
2014-12-18,666,670,658,659,14900,9865300
2014-12-17,670,677,663,663,20700,13861700
2014-12-16,683,685,672,677,22700,15413500
2014-12-15,674,680,670,676,39200,26548200
2014-12-12,662,668,655,664,14400,9529800
2014-12-11,650,665,648,662,23500,15424100
