3289-T,東証1部,東急不HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2015-10-02,807,811,793,801,2635700,2107191200
2015-10-01,790,827,782,817,4581700,3717757800
2015-09-30,794,799,779,793,3851900,3052519100
2015-09-29,805,807,772,781,4010300,3144876700
2015-09-28,824,834,811,818,2474300,2031056200
2015-09-25,812,824,798,823,5032100,4087349300
2015-09-24,784,797,782,782,2280900,1793954300
2015-09-18,800,803,784,793,3196600,2541475500
2015-09-17,807,808,795,806,2610000,2093410100
2015-09-16,827,831,800,804,2161100,1749763200
2015-09-15,840,842,811,813,3066100,2519979300
2015-09-14,831,847,824,825,3356000,2796575500
2015-09-11,802,835,802,823,6189200,5039172200
2015-09-10,825,825,798,818,6510800,5292983800
2015-09-09,796,822,783,820,6178300,4971559900
2015-09-08,782,798,770,773,2951200,2302532300
2015-09-07,780,785,764,777,3159000,2442951300
2015-09-04,818,820,775,787,3238600,2564728800
2015-09-03,817,827,805,808,2221900,1808320500
2015-09-02,804,825,799,805,3674900,2984200500
2015-09-01,831,838,810,810,2483600,2039120600
2015-08-31,835,838,824,834,2000900,1663156200
2015-08-28,838,847,836,841,3119700,2623095600
2015-08-27,825,834,812,814,3557100,2921054900
2015-08-26,796,813,778,803,4499600,3578360200
2015-08-25,796,836,778,793,5013200,4050925200
2015-08-24,851,863,815,822,6223700,5230312600
2015-08-21,902,909,885,893,3272800,2936295800
2015-08-20,917,937,917,926,2038500,1893675900
2015-08-19,925,937,920,920,2052600,1903332600
2015-08-18,929,937,922,925,1948600,1807821000
2015-08-17,944,947,923,931,2928300,2726365000
2015-08-14,930,951,921,941,4397200,4140315600
2015-08-13,942,947,930,938,3307300,3097751100
2015-08-12,969,978,945,951,2927000,2794135100
2015-08-11,980,993,973,977,3539400,3477159700
2015-08-10,951,956,948,955,1401700,1335448400
2015-08-07,941,959,941,958,2072900,1974646300
2015-08-06,957,971,939,951,3152400,3006938300
2015-08-05,929,978,925,972,3751800,3614560400
2015-08-04,915,936,915,931,2009700,1869467000
2015-08-03,941,948,914,923,2492400,2302399000
2015-07-31,928,941,919,936,2198800,2054444400
2015-07-30,923,933,920,933,2061200,1913648100
2015-07-29,939,940,908,916,3535600,3242998800
2015-07-28,930,939,912,931,3258300,3013791400
2015-07-27,940,946,930,942,1912200,1799018400
2015-07-24,951,962,949,952,1773100,1693975000
2015-07-23,976,976,945,948,3834400,3659327900
2015-07-22,974,974,959,966,2151800,2079744700
2015-07-21,985,987,975,979,2031500,1991191200
2015-07-17,984,1003,981,985,2180400,2158854600
2015-07-16,979,983,967,980,2175700,2121668700
2015-07-15,980,985,960,964,3700800,3597787400
2015-07-14,985,992,976,983,3210200,3158797000
2015-07-13,964,971,954,968,2312800,2231799900
2015-07-10,937,959,920,949,4458300,4207371300
2015-07-09,932,938,908,934,5944100,5491141500
2015-07-08,1000,1003,954,956,4404800,4276121400
2015-07-07,993,1016,990,1006,3256900,3271578500
2015-07-06,989,1004,972,982,3960200,3908258700
2015-07-03,992,1008,987,1000,3328000,3313774900
2015-07-02,975,1007,973,1001,4998400,4972248500
2015-07-01,955,975,950,959,2386800,2298387500
2015-06-30,941,950,937,944,3210000,3026842200
2015-06-29,936,947,927,935,3827600,3584980100
2015-06-26,969,974,960,966,2686200,2592034100
2015-06-25,959,973,959,965,2371700,2291395900
2015-06-24,975,976,953,956,2616700,2520248900
2015-06-23,950,974,944,974,3215600,3109778900
2015-06-22,932,948,930,948,1473000,1388133800
2015-06-19,936,944,932,934,1794900,1680862900
2015-06-18,946,949,929,932,2128100,1987991900
2015-06-17,952,959,942,948,2557000,2421112800
2015-06-16,958,971,955,956,3323800,3195827200
2015-06-15,925,961,922,960,3449000,3266888400
2015-06-12,933,933,922,930,3201400,2981754900
2015-06-11,928,932,921,926,1969400,1824283900
2015-06-10,926,937,911,913,2964200,2741514600
2015-06-09,930,932,916,916,3292000,3039043900
2015-06-08,940,945,931,942,2717500,2554173800
2015-06-05,926,936,922,934,3209300,2987015000
2015-06-04,932,934,917,922,1960300,1815811100
2015-06-03,925,928,917,921,1798000,1655291000
2015-06-02,936,940,927,934,1521300,1422324300
2015-06-01,930,936,922,935,2024900,1880527000
2015-05-29,939,954,932,935,4204300,3948569600
2015-05-28,945,945,928,939,1794300,1680419600
2015-05-27,939,939,929,933,1867800,1743037400
2015-05-26,945,948,932,943,1676600,1577613100
2015-05-25,954,955,941,944,3277500,3108217400
2015-05-22,941,946,925,942,2678700,2507565300
2015-05-21,938,963,937,947,5225100,4960700900
2015-05-20,904,938,897,933,5693900,5244160500
2015-05-19,899,903,887,894,2053700,1834025300
2015-05-18,888,897,883,896,1440900,1285529600
2015-05-15,897,899,879,886,2015300,1785899600
2015-05-14,901,906,888,892,2798400,2502752700
2015-05-13,909,918,902,913,2608600,2377338100
2015-05-12,905,915,889,898,1784000,1602915600
2015-05-11,900,917,896,905,3137100,2851268900
2015-05-08,879,895,876,886,3164600,2796908400
2015-05-07,886,892,868,878,3034200,2659458300
2015-05-01,893,905,878,882,2719500,2408368400
2015-04-30,919,927,883,892,6408700,5771271000
2015-04-28,905,919,904,909,3304100,3011621200
2015-04-27,898,903,890,897,2024400,1811859000
2015-04-24,904,906,890,892,1986700,1780326400
2015-04-23,903,913,894,902,2486400,2240782800
2015-04-22,866,906,861,903,4734200,4213016900
2015-04-21,870,873,860,865,2390000,2071206400
2015-04-20,880,885,863,866,2418800,2111911200
2015-04-17,877,899,869,889,3256400,2891665500
2015-04-16,887,893,882,885,2619400,2321799900
2015-04-15,890,895,883,886,1683500,1494178400
2015-04-14,887,899,880,886,2687100,2384688700
2015-04-13,907,908,888,893,2035500,1819844500
2015-04-10,912,917,901,904,3389900,3075885400
2015-04-09,908,920,896,908,3613300,3288969900
2015-04-08,903,919,891,910,7114300,6454461300
2015-04-07,850,894,850,893,9668700,8510042400
2015-04-06,835,845,831,843,1819500,1523342900
2015-04-03,838,846,833,846,1817500,1528326600
2015-04-02,832,845,828,840,2951900,2476307100
2015-04-01,821,840,813,831,4405800,3641166600
2015-03-31,836,848,820,820,4441200,3694697800
2015-03-30,826,833,820,832,2890100,2391630700
2015-03-27,832,841,820,828,3603200,2992157500
2015-03-26,842,848,832,837,2852900,2392063000
2015-03-25,843,849,838,848,3409300,2877519900
2015-03-24,830,843,827,840,3716000,3110441000
2015-03-23,838,844,829,833,1865900,1556767300
2015-03-20,819,839,814,835,4630100,3842896100
2015-03-19,820,826,813,822,3124900,2559244700
2015-03-18,825,826,812,823,2932700,2401544100
2015-03-17,829,833,818,825,3344100,2760511400
2015-03-16,833,842,818,822,4511100,3730258900
2015-03-13,793,835,784,827,10777100,8797698900
2015-03-12,778,788,772,786,3281200,2567386800
2015-03-11,773,779,770,773,2513400,1944572200
2015-03-10,786,791,774,779,3821100,2984716300
2015-03-09,788,790,775,777,2689000,2094345300
2015-03-06,781,794,778,793,2923100,2304347800
2015-03-05,779,785,772,778,2664400,2071854800
2015-03-04,780,785,771,779,3516400,2738630600
2015-03-03,787,788,773,780,7623700,5956103300
2015-03-02,816,817,792,794,5489000,4385850300
2015-02-27,838,839,814,817,4444400,3657183900
2015-02-26,824,839,822,837,2335100,1945205800
2015-02-25,832,835,824,827,2213500,1833871900
2015-02-24,838,838,823,833,2740500,2276517900
2015-02-23,826,845,823,837,3936500,3282920200
2015-02-20,827,834,816,822,2787200,2295882200
2015-02-19,808,824,807,821,3425800,2796342600
2015-02-18,801,810,795,808,2762300,2228615000
2015-02-17,794,810,793,800,3187800,2561912300
2015-02-16,786,803,786,795,3717900,2958683800
2015-02-13,769,780,767,779,3336200,2585823000
2015-02-12,768,774,766,770,3376400,2598821600
2015-02-10,765,769,748,755,2810900,2121563200
2015-02-09,766,773,760,768,4067800,3118938900
2015-02-06,759,762,747,751,4348900,3274054700
2015-02-05,747,762,733,745,4428300,3317189800
2015-02-04,740,747,736,743,4200900,3118038600
2015-02-03,739,742,728,732,3524800,2589260900
2015-02-02,734,739,726,739,3564400,2614460200
